Sym-H and AL  obtained from Kyoto WDC for SWPC Event 7.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1998 07 07 00 33 00 000  -22.00  -103.00
1998 07 07 00 34 00 000  -22.00  -107.00
1998 07 07 00 35 00 000  -22.00  -103.00
1998 07 07 00 36 00 000  -22.00  -102.00
1998 07 07 00 37 00 000  -22.00  -101.00
1998 07 07 00 38 00 000  -23.00  -103.00
1998 07 07 00 39 00 000  -23.00  -103.00
1998 07 07 00 40 00 000  -23.00  -104.00
1998 07 07 00 41 00 000  -23.00  -102.00
1998 07 07 00 42 00 000  -24.00  -108.00
1998 07 07 00 43 00 000  -24.00  -115.00
1998 07 07 00 44 00 000  -24.00  -107.00
1998 07 07 00 45 00 000  -24.00   -96.00
1998 07 07 00 46 00 000  -25.00   -90.00
1998 07 07 00 47 00 000  -25.00   -88.00
1998 07 07 00 48 00 000  -25.00   -85.00
1998 07 07 00 49 00 000  -24.00   -88.00
1998 07 07 00 50 00 000  -25.00   -90.00
1998 07 07 00 51 00 000  -24.00   -85.00
1998 07 07 00 52 00 000  -25.00   -83.00
1998 07 07 00 53 00 000  -24.00   -82.00
1998 07 07 00 54 00 000  -24.00   -77.00
1998 07 07 00 55 00 000  -24.00   -77.00
1998 07 07 00 56 00 000  -24.00   -81.00
1998 07 07 00 57 00 000  -24.00   -80.00
1998 07 07 00 58 00 000  -24.00   -77.00
1998 07 07 00 59 00 000  -25.00   -75.00
1998 07 07 01 00 00 000  -25.00   -71.00
1998 07 07 01 01 00 000  -25.00   -67.00
1998 07 07 01 02 00 000  -24.00   -68.00
1998 07 07 01 03 00 000  -25.00   -77.00
1998 07 07 01 04 00 000  -24.00   -83.00
1998 07 07 01 05 00 000  -24.00   -78.00
1998 07 07 01 06 00 000  -24.00   -68.00
1998 07 07 01 07 00 000  -24.00   -61.00
1998 07 07 01 08 00 000  -24.00   -63.00
1998 07 07 01 09 00 000  -24.00   -75.00
1998 07 07 01 10 00 000  -24.00   -77.00
1998 07 07 01 11 00 000  -24.00   -75.00
1998 07 07 01 12 00 000  -24.00   -70.00
1998 07 07 01 13 00 000  -23.00   -65.00
1998 07 07 01 14 00 000  -23.00   -61.00
1998 07 07 01 15 00 000  -23.00   -61.00
1998 07 07 01 16 00 000  -23.00   -68.00
1998 07 07 01 17 00 000  -23.00   -75.00
1998 07 07 01 18 00 000  -23.00   -71.00
1998 07 07 01 19 00 000  -23.00   -63.00
1998 07 07 01 20 00 000  -23.00   -56.00
1998 07 07 01 21 00 000  -23.00   -50.00
1998 07 07 01 22 00 000  -23.00   -51.00
1998 07 07 01 23 00 000  -23.00   -56.00
1998 07 07 01 24 00 000  -23.00   -58.00
1998 07 07 01 25 00 000  -23.00   -55.00
1998 07 07 01 26 00 000  -23.00   -47.00
1998 07 07 01 27 00 000  -23.00   -41.00
1998 07 07 01 28 00 000  -23.00   -42.00
1998 07 07 01 29 00 000  -23.00   -43.00
1998 07 07 01 30 00 000  -23.00   -51.00
1998 07 07 01 31 00 000  -23.00   -56.00
1998 07 07 01 32 00 000  -23.00   -60.00
1998 07 07 01 33 00 000  -23.00   -56.00
1998 07 07 01 34 00 000  -24.00   -53.00
1998 07 07 01 35 00 000  -23.00   -51.00
1998 07 07 01 36 00 000  -23.00   -48.00
1998 07 07 01 37 00 000  -23.00   -34.00
1998 07 07 01 38 00 000  -21.00   -38.00
1998 07 07 01 39 00 000  -20.00   -39.00
1998 07 07 01 40 00 000  -18.00   -62.00
1998 07 07 01 41 00 000  -18.00   -74.00
1998 07 07 01 42 00 000  -17.00  -120.00
1998 07 07 01 43 00 000  -17.00  -113.00
