Initial OMNI file

#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2017 09 06 18 00 00 000        -0.32        -1.47        -0.99      -408.20        -9.90        24.20         2.62     24686.00
2017 09 06 18 01 00 000        -0.48        -1.16        -1.28      -408.90       -12.10        24.70         2.43     29681.00
2017 09 06 18 02 00 000        -0.45        -1.65        -1.18      -409.70       -14.90        25.30         2.19     36019.00
2017 09 06 18 03 00 000        -0.35        -2.26        -0.61      -411.40       -16.50        26.70         1.86     21611.00
2017 09 06 18 04 00 000        -0.21        -2.34        -0.34      -410.80       -16.60        26.90         1.87     22474.00
2017 09 06 18 05 00 000        -0.02        -2.30        -0.20      -408.60       -16.80        27.50         1.89     25719.00
2017 09 06 18 06 00 000         0.11        -2.23        -0.12      -406.30       -15.10        28.50         1.89     28216.00
2017 09 06 18 07 00 000        -0.56        -1.72        -0.47      -411.00       -13.20        25.40         1.89     28290.00
2017 09 06 18 08 00 000        -0.94        -1.78        -0.54      -426.10        -7.30        15.40         1.88     28488.00
2017 09 06 18 09 00 000        -1.01        -1.33        -1.17      -422.00        -7.70        17.00         2.38     39340.00
2017 09 06 18 10 00 000        -0.99        -1.37        -1.10      -422.00        -7.70        17.00         2.38     39340.00
2017 09 06 18 11 00 000        -0.25        -1.92        -0.97     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 18 12 00 000        -0.26        -2.11        -0.90      -414.00       -12.40        14.70         2.01     31175.00
2017 09 06 18 13 00 000        -0.22        -2.17        -0.78      -414.00       -12.40        14.70         2.01     31170.00
2017 09 06 18 14 00 000        -0.11        -2.30        -0.64      -411.50       -15.30        19.10         2.07     27707.00
2017 09 06 18 15 00 000        -0.22        -2.29        -0.71      -411.50       -15.20        20.00         2.10     27991.00
2017 09 06 18 16 00 000         0.07        -2.33        -0.44      -411.50       -14.90        21.50         2.14     28489.00
2017 09 06 18 17 00 000        -0.03        -2.25        -0.59      -411.40       -15.60        21.30         2.15     33044.00
2017 09 06 18 18 00 000        -0.15        -2.12        -0.92      -411.40       -15.70        21.30         2.15     33411.00
2017 09 06 18 19 00 000        -0.20        -2.21        -0.97      -411.60       -13.70        15.60         2.13     35431.00
2017 09 06 18 20 00 000        -0.13        -2.12        -0.97      -411.60       -13.70        15.60         2.13     35431.00
2017 09 06 18 21 00 000        -0.13        -2.11        -0.95      -410.80       -15.50        18.10         2.11     32320.00
2017 09 06 18 22 00 000        -0.04        -2.15        -0.90      -410.40       -16.30        19.30         2.10     30901.00
2017 09 06 18 23 00 000        -0.07        -2.23        -1.01      -411.90       -15.60        19.80         2.07     28963.00
2017 09 06 18 24 00 000        -0.24        -2.30        -0.82      -412.40       -15.40        19.90         2.06     28406.00
2017 09 06 18 25 00 000        -0.26        -2.42        -0.68      -415.90       -14.90        20.20         2.37     24947.00
2017 09 06 18 26 00 000        -0.17        -2.43        -0.64      -415.90       -15.10        19.60         2.43     27261.00
