Sym-H and AL  obtained from Kyoto WDC for SWPC Event 3.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2001 08 30 19 00 00 000  -11.00  -188.00
2001 08 30 19 01 00 000  -11.00  -197.00
2001 08 30 19 02 00 000  -12.00  -173.00
2001 08 30 19 03 00 000  -12.00  -175.00
2001 08 30 19 04 00 000  -12.00  -195.00
2001 08 30 19 05 00 000  -12.00  -208.00
2001 08 30 19 06 00 000  -12.00  -225.00
2001 08 30 19 07 00 000  -13.00  -235.00
2001 08 30 19 08 00 000  -13.00  -237.00
2001 08 30 19 09 00 000  -13.00  -228.00
2001 08 30 19 10 00 000  -14.00  -233.00
2001 08 30 19 11 00 000  -14.00  -247.00
2001 08 30 19 12 00 000  -14.00  -257.00
2001 08 30 19 13 00 000  -14.00  -266.00
2001 08 30 19 14 00 000  -15.00  -265.00
2001 08 30 19 15 00 000  -15.00  -263.00
2001 08 30 19 16 00 000  -15.00  -253.00
2001 08 30 19 17 00 000  -16.00  -249.00
2001 08 30 19 18 00 000  -16.00  -250.00
2001 08 30 19 19 00 000  -16.00  -248.00
2001 08 30 19 20 00 000  -16.00  -242.00
2001 08 30 19 21 00 000  -16.00  -238.00
2001 08 30 19 22 00 000  -16.00  -213.00
2001 08 30 19 23 00 000  -17.00  -205.00
2001 08 30 19 24 00 000  -17.00  -204.00
2001 08 30 19 25 00 000  -17.00  -206.00
2001 08 30 19 26 00 000  -18.00  -267.00
2001 08 30 19 27 00 000  -18.00  -256.00
2001 08 30 19 28 00 000  -18.00  -249.00
2001 08 30 19 29 00 000  -19.00  -262.00
2001 08 30 19 30 00 000  -19.00  -270.00
2001 08 30 19 31 00 000  -19.00  -301.00
2001 08 30 19 32 00 000  -20.00  -322.00
2001 08 30 19 33 00 000  -20.00  -312.00
2001 08 30 19 34 00 000  -20.00  -335.00
2001 08 30 19 35 00 000  -21.00  -329.00
2001 08 30 19 36 00 000  -21.00  -307.00
2001 08 30 19 37 00 000  -22.00  -300.00
2001 08 30 19 38 00 000  -22.00  -306.00
2001 08 30 19 39 00 000  -22.00  -294.00
2001 08 30 19 40 00 000  -23.00  -281.00
2001 08 30 19 41 00 000  -23.00  -274.00
2001 08 30 19 42 00 000  -23.00  -253.00
2001 08 30 19 43 00 000  -23.00  -261.00
2001 08 30 19 44 00 000  -23.00  -261.00
2001 08 30 19 45 00 000  -23.00  -273.00
2001 08 30 19 46 00 000  -22.00  -283.00
2001 08 30 19 47 00 000  -22.00  -262.00
2001 08 30 19 48 00 000  -22.00  -244.00
2001 08 30 19 49 00 000  -22.00  -250.00
2001 08 30 19 50 00 000  -21.00  -239.00
2001 08 30 19 51 00 000  -21.00  -238.00
2001 08 30 19 52 00 000  -21.00  -228.00
2001 08 30 19 53 00 000  -21.00  -231.00
2001 08 30 19 54 00 000  -21.00  -234.00
2001 08 30 19 55 00 000  -21.00  -223.00
2001 08 30 19 56 00 000  -20.00  -216.00
2001 08 30 19 57 00 000  -20.00  -204.00
2001 08 30 19 58 00 000  -20.00  -198.00
2001 08 30 19 59 00 000  -20.00  -193.00
2001 08 30 20 00 00 000  -20.00  -183.00
2001 08 30 20 01 00 000  -20.00  -170.00
2001 08 30 20 02 00 000  -20.00  -164.00
2001 08 30 20 03 00 000  -21.00  -165.00
2001 08 30 20 04 00 000  -21.00  -157.00
2001 08 30 20 05 00 000  -21.00  -146.00
2001 08 30 20 06 00 000  -21.00  -139.00
2001 08 30 20 07 00 000  -21.00  -137.00
2001 08 30 20 08 00 000  -21.00  -136.00
2001 08 30 20 09 00 000  -21.00  -129.00
2001 08 30 20 10 00 000  -21.00  -128.00
2001 08 30 20 11 00 000  -21.00  -127.00
2001 08 30 20 12 00 000  -21.00  -125.00
2001 08 30 20 13 00 000  -21.00  -123.00
2001 08 30 20 14 00 000  -21.00  -118.00
2001 08 30 20 15 00 000  -21.00  -113.00
2001 08 30 20 16 00 000  -21.00  -115.00
2001 08 30 20 17 00 000  -21.00  -114.00
2001 08 30 20 18 00 000  -20.00  -111.00
2001 08 30 20 19 00 000  -20.00  -105.00
2001 08 30 20 20 00 000  -21.00  -105.00
2001 08 30 20 21 00 000  -20.00  -100.00
2001 08 30 20 22 00 000  -20.00   -95.00
2001 08 30 20 23 00 000  -20.00   -90.00
2001 08 30 20 24 00 000  -20.00   -84.00
2001 08 30 20 25 00 000  -20.00   -75.00
2001 08 30 20 26 00 000  -20.00   -71.00
2001 08 30 20 27 00 000  -20.00   -64.00
2001 08 30 20 28 00 000  -20.00   -58.00
2001 08 30 20 29 00 000  -20.00   -52.00
2001 08 30 20 30 00 000  -20.00   -48.00
2001 08 30 20 31 00 000  -20.00   -43.00
2001 08 30 20 32 00 000  -20.00   -42.00
2001 08 30 20 33 00 000  -20.00   -42.00
2001 08 30 20 34 00 000  -21.00   -40.00
2001 08 30 20 35 00 000  -21.00   -36.00
2001 08 30 20 36 00 000  -21.00   -38.00
2001 08 30 20 37 00 000  -21.00   -36.00
2001 08 30 20 38 00 000  -21.00   -36.00
2001 08 30 20 39 00 000  -21.00   -37.00
2001 08 30 20 40 00 000  -21.00   -40.00
2001 08 30 20 41 00 000  -21.00   -38.00
2001 08 30 20 42 00 000  -21.00   -35.00
2001 08 30 20 43 00 000  -21.00   -33.00
2001 08 30 20 44 00 000  -21.00   -35.00
2001 08 30 20 45 00 000  -21.00   -30.00
2001 08 30 20 46 00 000  -20.00   -30.00
2001 08 30 20 47 00 000  -20.00   -30.00
2001 08 30 20 48 00 000  -20.00   -27.00
2001 08 30 20 49 00 000  -20.00   -25.00
2001 08 30 20 50 00 000  -20.00   -24.00
2001 08 30 20 51 00 000  -20.00   -22.00
2001 08 30 20 52 00 000  -20.00   -22.00
2001 08 30 20 53 00 000  -20.00   -23.00
2001 08 30 20 54 00 000  -20.00   -25.00
2001 08 30 20 55 00 000  -19.00   -24.00
2001 08 30 20 56 00 000  -20.00   -23.00
2001 08 30 20 57 00 000  -20.00   -22.00
2001 08 30 20 58 00 000  -20.00   -20.00
2001 08 30 20 59 00 000  -19.00   -22.00
2001 08 30 21 00 00 000  -19.00   -20.00
2001 08 30 21 01 00 000  -19.00   -19.00
2001 08 30 21 02 00 000  -19.00   -17.00
2001 08 30 21 03 00 000  -18.00   -13.00
2001 08 30 21 04 00 000  -19.00   -15.00
2001 08 30 21 05 00 000  -19.00   -15.00
2001 08 30 21 06 00 000  -19.00   -17.00
2001 08 30 21 07 00 000  -19.00   -19.00
2001 08 30 21 08 00 000  -19.00   -20.00
2001 08 30 21 09 00 000  -19.00   -20.00
2001 08 30 21 10 00 000  -18.00   -18.00
2001 08 30 21 11 00 000  -19.00   -17.00
2001 08 30 21 12 00 000  -19.00   -18.00
2001 08 30 21 13 00 000  -18.00   -20.00
2001 08 30 21 14 00 000  -18.00   -22.00
2001 08 30 21 15 00 000  -18.00   -22.00
2001 08 30 21 16 00 000  -18.00   -22.00
2001 08 30 21 17 00 000  -18.00   -23.00
2001 08 30 21 18 00 000  -18.00   -22.00
2001 08 30 21 19 00 000  -18.00   -21.00
2001 08 30 21 20 00 000  -18.00   -19.00
2001 08 30 21 21 00 000  -18.00   -18.00
2001 08 30 21 22 00 000  -18.00   -17.00
2001 08 30 21 23 00 000  -18.00   -18.00
2001 08 30 21 24 00 000  -18.00   -21.00
2001 08 30 21 25 00 000  -18.00   -23.00
2001 08 30 21 26 00 000  -18.00   -23.00
2001 08 30 21 27 00 000  -17.00   -21.00
2001 08 30 21 28 00 000  -18.00   -21.00
2001 08 30 21 29 00 000  -18.00   -20.00
2001 08 30 21 30 00 000  -18.00   -18.00
2001 08 30 21 31 00 000  -18.00   -17.00
2001 08 30 21 32 00 000  -18.00   -19.00
2001 08 30 21 33 00 000  -18.00   -21.00
2001 08 30 21 34 00 000  -17.00   -24.00
2001 08 30 21 35 00 000  -17.00   -24.00
