#COORDINATES
GSM

 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
2006 12 14  7  0  0 0    0.00   -3.01   -0.56  -585.89   -11.35     1.73    1.39   171087.25
2006 12 14  7  1  0 0    0.00   -2.82   -0.82  -583.52   -12.21     1.25    1.43   172988.88
2006 12 14  7  2  0 0    0.00   -2.77   -0.77  -580.37   -13.88    -1.11    1.56   172606.37
2006 12 14  7  3  0 0    0.00   -2.53   -1.07  -581.40   -15.80    -1.74    1.73   163984.29
2006 12 14  7  4  0 0    0.00   -3.17   -0.48  -575.63    -7.34    -5.89    1.57   142902.24
2006 12 14  7  5  0 0    0.00   -3.10   -0.80  -577.96   -16.41     2.35    1.55   142943.62
2006 12 14  7  6  0 0    0.00   -3.24   -0.85  -587.70   -14.91    -0.14    1.51   158393.33
2006 12 14  7  7  0 0    0.00   -3.44   -0.47  -587.27   -19.49     9.57    1.40   133520.27
2006 12 14  7  8  0 0    0.00   -3.48   -1.32  -593.59   -18.61     2.16    1.46   137460.91
2006 12 14  7  9  0 0    0.00   -3.30   -1.50  -597.25   -21.57   -12.73    1.59   112312.53
2006 12 14  7 10  0 0    0.00   -2.98   -0.69  -587.49   -17.59    -2.12    1.43   140588.28
2006 12 14  7 11  0 0    0.00   -2.05   -0.24  -574.56   -12.95     3.54    1.49   151764.84
2006 12 14  7 12  0 0    0.00   -2.38   -1.29  -574.38   -12.64    -3.96    1.56   143448.09
2006 12 14  7 13  0 0    0.00   -2.76   -1.74  -582.85   -16.11   -10.08    1.56   135359.36
2006 12 14  7 14  0 0    0.00   -2.60   -1.69  -586.30   -18.45    -8.84    1.64   126050.72
2006 12 14  7 15  0 0    0.00   -2.87   -1.36  -585.50   -15.82    -4.97    1.59   132959.17
2006 12 14  7 16  0 0    0.00   -2.80   -1.70  -589.31   -17.04   -12.60    1.65   123821.37
2006 12 14  7 17  0 0    0.00   -0.88   -1.95  -592.15   -17.90   -18.54    1.73   117187.54
2006 12 14  7 18  0 0    0.00   -1.73   -1.28  -588.39   -16.20   -12.73    1.83   127593.88
2006 12 14  7 19  0 0    0.00   -2.51   -1.86  -586.90   -14.31    -8.20    1.56   132969.64
2006 12 14  7 20  0 0    0.00   -0.81   -3.32  -589.47   -14.40   -15.85    1.76   124741.43
2006 12 14  7 21  0 0    0.00   -2.80   -2.33  -591.24   -17.78   -14.76    1.72   140039.82
2006 12 14  7 22  0 0    0.00   -3.22   -2.34  -599.36   -18.89   -16.78    1.92   145298.46
2006 12 14  7 23  0 0    0.00   -3.30   -2.30  -610.00   -23.15   -13.73    1.83    95233.30
2006 12 14  7 24  0 0    0.00   -3.16   -2.56  -610.07   -20.73   -12.91    1.61    87507.68
2006 12 14  7 25  0 0    0.00   -3.15   -2.32  -606.49   -16.20   -13.24    1.58   126605.06
2006 12 14  7 26  0 0    0.00   -2.87   -2.97  -605.28   -18.15   -15.58    1.78   127266.32
2006 12 14  7 27  0 0    0.00   -2.75   -2.96  -600.87   -17.12   -18.43    1.96   108053.23
2006 12 14  7 28  0 0    0.00   -3.47   -0.19  -594.25   -11.16    -3.46    1.83   127296.66
2006 12 14  7 29  0 0    0.00   -3.64    1.66  -593.93   -11.05    26.93    1.51   144411.14
2006 12 14  7 30  0 0    0.00   -3.58    1.60  -599.11   -12.21    38.67    1.40   123628.68
2006 12 14  7 31  0 0    0.00   -3.78    1.41  -605.11   -12.24    38.66    1.42   127438.34
2006 12 14  7 32  0 0    0.00   -3.82    1.05  -605.30   -17.80    34.23    1.49   122882.31
2006 12 14  7 33  0 0    0.00   -3.78   -0.45  -612.69   -12.05    25.94    1.42   121812.22
2006 12 14  7 34  0 0    0.00   -2.33   -2.26  -599.83   -14.11     7.00    1.45   134184.54
2006 12 14  7 35  0 0    0.00   -1.39   -1.61  -572.32    -2.73    -5.75    1.42   151928.33
2006 12 14  7 36  0 0    0.00   -2.60   -1.69  -570.88     0.28   -22.07    1.44   152705.42
2006 12 14  7 37  0 0    0.00   -3.77   -0.33  -585.68   -12.01    -0.92    1.43   142201.32
2006 12 14  7 38  0 0    0.00   -3.19   -1.03  -584.54   -19.30     3.88    1.60   128851.21
2006 12 14  7 39  0 0    0.00   -2.42   -1.08  -571.98   -10.22    -5.32    1.64   135700.44
2006 12 14  7 40  0 0    0.00   -3.16   -0.36  -569.91    -8.06    -0.16    1.62   154005.45
2006 12 14  7 41  0 0    0.00   -3.61   -0.05  -580.92   -14.81    10.72    1.58   151887.52
2006 12 14  7 42  0 0    0.00   -3.67    0.35  -589.99   -14.05    10.87    1.43   130764.63
2006 12 14  7 43  0 0    0.00    0.73   -1.92  -588.41    -3.00     2.70    1.51   121964.22
2006 12 14  7 44  0 0    0.00    1.20   -2.29  -578.90    25.31   -31.17    1.91   114445.41
2006 12 14  7 45  0 0    0.00    0.85   -2.49  -573.34    15.47   -25.10    1.79   136659.04
2006 12 14  7 46  0 0    0.00   -1.00   -1.73  -571.46     3.80    -8.39    1.81   139915.91
2006 12 14  7 47  0 0    0.00   -2.50    0.10  -573.19    -1.77    -2.88    1.56   186935.70
2006 12 14  7 48  0 0    0.00   -2.11   -0.69  -575.13    -3.21     5.03    1.59   173355.87
2006 12 14  7 49  0 0    0.00   -2.16   -0.39  -575.37     0.76    -5.79    1.78   153510.83
2006 12 14  7 50  0 0    0.00   -0.30   -2.65  -575.22     5.84   -20.97    2.00   134103.62
2006 12 14  7 51  0 0    0.00   -0.71   -2.50  -575.46     5.61   -22.27    1.91   134471.51
2006 12 14  7 52  0 0    0.00   -0.10   -2.42  -573.55     6.39   -21.82    1.75   138669.91
2006 12 14  7 53  0 0    0.00    0.10   -3.23  -575.75     8.10   -29.21    1.70   126816.42
2006 12 14  7 54  0 0    0.00   -1.61   -2.60  -581.94     1.36   -29.50    1.65   118792.98
2006 12 14  7 55  0 0    0.00    0.42   -2.03  -580.74    -2.25   -17.60    1.64   134639.25
2006 12 14  7 56  0 0    0.00    2.70   -1.57  -576.18    28.61   -24.12    1.85   133766.28
2006 12 14  7 57  0 0    0.00   -0.73   -1.84  -567.07     2.27    -3.33    1.45   144415.37
2006 12 14  7 58  0 0    0.00   -2.41   -1.89  -579.07    -9.85    -6.86    1.53   153269.85
2006 12 14  7 59  0 0    0.00   -1.28   -2.74  -584.56   -14.52   -15.77    1.53   124275.93
2006 12 14  8  0  0 0    0.00   -1.15   -1.66  -580.83    -7.56   -20.84    1.58   118543.15
2006 12 14  8  1  0 0    0.00   -1.56   -1.81  -575.32    -6.52   -14.37    1.48   138388.04
2006 12 14  8  2  0 0    0.00   -1.55   -2.26  -575.88    -9.48   -12.62    1.42   128978.84
2006 12 14  8  3  0 0    0.00   -1.19   -1.85  -571.96    -6.37   -12.46    1.37   122523.53
2006 12 14  8  4  0 0    0.00   -0.47   -1.69  -566.08    -1.26   -10.49    1.38   135175.70
