Date_UTC,dbn_nez,dbe_nez,dbz_nez
2006-12-14T12:00:00, -32.910, 1.153, -30.889
2006-12-14T12:01:00, -33.861, 0.834, -29.908
2006-12-14T12:02:00, -34.811, 0.517, -28.925
2006-12-14T12:03:00, -26.315, 7.110, -17.943
2006-12-14T12:04:00, -25.066, 6.388, -18.960
2006-12-14T12:05:00, -15.051, 11.339, -9.977
2006-12-14T12:06:00, -10.639, 10.493, -11.994
2006-12-14T12:07:00, -8.552, 6.889, -11.011
2006-12-14T12:08:00, -7.982, 4.926, -8.027
2006-12-14T12:09:00, -9.052, 1.445, -8.044
2006-12-14T12:10:00, -7.118, 1.960, -1.060
2006-12-14T12:11:00, -0.661, 4.819, 6.923
2006-12-14T12:12:00, 1.273, 5.334, 10.907
2006-12-14T12:13:00, 5.129, 6.407, 13.891
2006-12-14T12:14:00, 5.827, 7.603, 15.875
2006-12-14T12:15:00, 5.565, 8.520, 14.860
2006-12-14T12:16:00, 6.142, 6.554, 13.844
2006-12-14T12:17:00, 9.041, 7.349, 13.829
2006-12-14T12:18:00, 5.777, 4.270, 12.814
2006-12-14T12:19:00, 5.394, 2.029, 9.799
2006-12-14T12:20:00, 1.730, -3.248, 7.785
2006-12-14T12:21:00, -4.411, -7.163, -1.228
2006-12-14T12:22:00, -8.230, -8.319, -0.242
2006-12-14T12:23:00, -9.447, -7.677, 3.743
2006-12-14T12:24:00, -9.021, -5.516, 7.730
2006-12-14T12:25:00, -9.555, -3.632, 12.717
2006-12-14T12:26:00, -11.728, -3.266, 11.704
2006-12-14T12:27:00, -14.459, -0.978, 9.691
2006-12-14T12:28:00, -12.109, 1.745, 8.678
2006-12-14T12:29:00, -9.757, 4.471, 10.666
2006-12-14T12:30:00, -10.411, 3.200, 3.654
2006-12-14T12:31:00, -8.457, 3.727, 1.642
2006-12-14T12:32:00, -10.469, -0.020, -0.369
2006-12-14T12:33:00, -8.237, -0.451, -1.380
2006-12-14T12:34:00, -10.806, -2.278, -3.391
2006-12-14T12:35:00, -6.127, 3.208, 6.597
2006-12-14T12:36:00, 0.907, 4.174, 12.591
2006-12-14T12:37:00, 14.911, 13.413, 30.580
2006-12-14T12:38:00, 2.497, 2.477, 14.570
2006-12-14T12:39:00, -7.874, -4.739, 2.560
2006-12-14T12:40:00, -0.310, 1.587, 11.551
2006-12-14T12:41:00, 0.688, 1.840, 19.541
2006-12-14T12:42:00, 0.324, -0.383, 15.532
2006-12-14T12:43:00, -4.156, -2.763, 10.523
2006-12-14T12:44:00, -8.917, -4.182, 5.514
2006-12-14T12:45:00, -5.035, -3.088, 7.506
2006-12-14T12:46:00, 3.373, 0.361, 15.497
2006-12-14T12:47:00, 1.619, 2.942, 20.489
2006-12-14T12:48:00, -0.937, 1.125, 19.481
2006-12-14T12:49:00, 1.709, 2.904, 20.473
2006-12-14T12:50:00, -2.364, 2.730, 19.466
2006-12-14T12:51:00, 4.526, 7.828, 23.459
2006-12-14T12:52:00, 2.931, 6.294, 23.452
2006-12-14T12:53:00, 7.503, 8.635, 23.445
2006-12-14T12:54:00, 14.274, 10.577, 28.438
2006-12-14T12:55:00, 6.797, 4.212, 17.432
