Date_UTC,dbn_nez,dbe_nez,dbz_nez
2001-08-31T00:00:00, 26.063, -3.968, -31.109
2001-08-31T00:01:00, 24.453, -4.994, -34.052
2001-08-31T00:02:00, 23.404, -6.848, -35.995
2001-08-31T00:03:00, 24.015, -7.582, -35.937
2001-08-31T00:04:00, 26.307, -10.802, -35.878
2001-08-31T00:05:00, 27.749, -10.976, -34.819
2001-08-31T00:06:00, 26.148, -12.001, -35.759
2001-08-31T00:07:00, 24.550, -13.024, -36.698
2001-08-31T00:08:00, 23.511, -14.879, -38.637
2001-08-31T00:09:00, 23.862, -17.001, -39.577
2001-08-31T00:10:00, 24.217, -19.124, -40.516
2001-08-31T00:11:00, 23.742, -21.808, -41.455
2001-08-31T00:12:00, 23.538, -23.103, -43.394
2001-08-31T00:13:00, 23.603, -23.010, -42.334
2001-08-31T00:14:00, 23.671, -22.915, -42.271
2001-08-31T00:15:00, 23.739, -22.823, -42.211
2001-08-31T00:16:00, 23.539, -24.121, -42.151
2001-08-31T00:17:00, 23.900, -26.247, -43.091
2001-08-31T00:18:00, 24.531, -26.986, -42.032
2001-08-31T00:19:00, 23.506, -28.846, -42.974
2001-08-31T00:20:00, 23.042, -31.534, -43.916
2001-08-31T00:21:00, 22.847, -32.836, -44.859
2001-08-31T00:22:00, 21.535, -32.479, -45.801
2001-08-31T00:23:00, 20.781, -32.962, -45.746
2001-08-31T00:24:00, 18.639, -33.170, -46.691
2001-08-31T00:25:00, 17.060, -34.207, -46.638
2001-08-31T00:26:00, 14.919, -34.417, -46.586
2001-08-31T00:27:00, 15.289, -36.554, -45.535
2001-08-31T00:28:00, 15.927, -37.304, -44.485
2001-08-31T00:29:00, 15.180, -37.785, -43.439
2001-08-31T00:30:00, 15.551, -39.926, -43.392
2001-08-31T00:31:00, 14.802, -40.411, -41.347
2001-08-31T00:32:00, 14.592, -38.121, -40.301
2001-08-31T00:33:00, 14.115, -37.219, -38.257
2001-08-31T00:34:00, 14.760, -37.975, -37.213
2001-08-31T00:35:00, 14.285, -37.076, -36.169
2001-08-31T00:36:00, 13.252, -35.348, -35.127
2001-08-31T00:37:00, 10.006, -33.911, -35.083
2001-08-31T00:38:00, 8.707, -33.574, -34.042
2001-08-31T00:39:00, 4.922, -34.917, -35.001
2001-08-31T00:40:00, 0.311, -36.822, -35.961
2001-08-31T00:41:00, 2.912, -38.681, -35.922
2001-08-31T00:42:00, 1.639, -41.953, -36.884
2001-08-31T00:43:00, 4.264, -47.420, -35.846
2001-08-31T00:44:00, 1.852, -45.430, -35.808
2001-08-31T00:45:00, 2.238, -47.584, -34.772
2001-08-31T00:46:00, -8.436, -54.803, -39.737
2001-08-31T00:47:00, -5.272, -57.498, -37.702
2001-08-31T00:48:00, -4.908, -56.050, -36.669
2001-08-31T00:49:00, -7.027, -56.284, -35.636
2001-08-31T00:50:00, -9.125, -60.124, -37.604
2001-08-31T00:51:00, -7.909, -61.726, -36.573
2001-08-31T00:52:00, -4.204, -61.647, -34.542
2001-08-31T00:53:00, -2.987, -63.251, -33.513
2001-08-31T00:54:00, -3.720, -63.759, -33.484
2001-08-31T00:55:00, -0.286, -65.074, -31.457
2001-08-31T00:56:00, 1.757, -66.122, -30.431
2001-08-31T00:57:00, 2.145, -68.290, -30.406
2001-08-31T00:58:00, 1.411, -68.804, -30.381
2001-08-31T00:59:00, 2.045, -65.980, -30.357
2001-08-31T01:00:00, -0.100, -62.622, -30.335
2001-08-31T01:01:00, -1.125, -60.922, -30.314
2001-08-31T01:02:00, -2.419, -60.612, -30.293
2001-08-31T01:03:00, -0.934, -60.841, -29.274
2001-08-31T01:04:00, -1.957, -59.144, -27.255
2001-08-31T01:05:00, -4.076, -59.398, -27.238
2001-08-31T01:06:00, -2.881, -57.413, -26.221
2001-08-31T01:07:00, -2.780, -57.376, -25.204
2001-08-31T01:08:00, -7.965, -54.884, -26.189
2001-08-31T01:09:00, -10.351, -56.530, -27.175
2001-08-31T01:10:00, -10.543, -54.282, -26.162
2001-08-31T01:11:00, -6.569, -52.839, -23.150
2001-08-31T01:12:00, -5.080, -53.078, -20.139
2001-08-31T01:13:00, -0.816, -53.855, -17.128
2001-08-31T01:14:00, -1.519, -57.992, -16.118
2001-08-31T01:15:00, -0.837, -62.400, -16.109
2001-08-31T01:16:00, -2.664, -64.883, -16.101
2001-08-31T01:17:00, -4.781, -65.150, -17.094
2001-08-31T01:18:00, -6.049, -68.465, -17.088
2001-08-31T01:19:00, -5.952, -68.443, -16.083
2001-08-31T01:20:00, -7.244, -68.153, -16.079
2001-08-31T01:21:00, -7.685, -70.910, -17.075
2001-08-31T01:22:00, -5.615, -75.594, -17.072
2001-08-31T01:23:00, -4.962, -76.405, -16.071
2001-08-31T01:24:00, -2.360, -78.314, -14.070
2001-08-31T01:25:00, -0.588, -80.784, -14.073
2001-08-31T01:26:00, -0.742, -85.764, -15.074
2001-08-31T01:27:00, 1.832, -84.071, -15.076
2001-08-31T01:28:00, 1.339, -79.624, -13.078
2001-08-31T01:29:00, 3.107, -82.098, -13.082
2001-08-31T01:30:00, 5.409, -81.797, -12.086
2001-08-31T01:31:00, 5.539, -88.998, -14.091
2001-08-31T01:32:00, 6.160, -86.214, -14.097
2001-08-31T01:33:00, 9.556, -83.967, -14.105
2001-08-31T01:34:00, 10.713, -78.408, -12.114
2001-08-31T01:35:00, 12.451, -77.284, -11.124
2001-08-31T01:36:00, 9.218, -79.521, -11.135
2001-08-31T01:37:00, 11.740, -70.627, -8.148
2001-08-31T01:38:00, 15.111, -64.781, -4.161
2001-08-31T01:39:00, 17.653, -59.496, -2.175
2001-08-31T01:40:00, 20.777, -58.646, -1.190
2001-08-31T01:41:00, 20.562, -56.432, -0.206
2001-08-31T01:42:00, 20.370, -57.824, -0.223
2001-08-31T01:43:00, 23.001, -66.965, -2.241
2001-08-31T01:44:00, 26.729, -74.159, -1.259
2001-08-31T01:45:00, 29.358, -83.302, -1.278
2001-08-31T01:46:00, 28.894, -86.087, -1.298
2001-08-31T01:47:00, 26.168, -81.953, -1.318
2001-08-31T01:48:00, 27.336, -80.014, -0.339
2001-08-31T01:49:00, 25.120, -69.501, 3.639
2001-08-31T01:50:00, 26.286, -67.564, 4.618
2001-08-31T01:51:00, 27.766, -71.450, 2.596
2001-08-31T01:52:00, 26.739, -73.413, 1.573
2001-08-31T01:53:00, 22.616, -69.016, 1.550
2001-08-31T01:54:00, 23.487, -64.870, 1.527
2001-08-31T01:55:00, 24.940, -65.155, 2.504
2001-08-31T01:56:00, 26.054, -56.012, 4.481
2001-08-31T01:57:00, 28.601, -54.351, 6.457
2001-08-31T01:58:00, 27.857, -58.535, 5.434
2001-08-31T01:59:00, 28.210, -60.772, 4.410
2001-08-31T02:00:00, 29.948, -63.278, 4.386
2001-08-31T02:01:00, 31.662, -62.180, 4.363
2001-08-31T02:02:00, 33.912, -58.305, 6.338
2001-08-31T02:03:00, 33.675, -56.112, 7.312
2001-08-31T02:04:00, 31.244, -57.817, 5.286
2001-08-31T02:05:00, 32.079, -50.072, 8.259
2001-08-31T02:06:00, 31.304, -50.659, 8.231
2001-08-31T02:07:00, 37.132, -43.162, 11.201
2001-08-31T02:08:00, 39.645, -37.906, 14.172
2001-08-31T02:09:00, 38.305, -37.667, 14.143
2001-08-31T02:10:00, 38.958, -45.738, 12.113
2001-08-31T02:11:00, 42.097, -52.129, 11.083
2001-08-31T02:12:00, 41.337, -56.328, 10.052
2001-08-31T02:13:00, 39.479, -62.475, 8.021
2001-08-31T02:14:00, 37.307, -62.803, 6.989
2001-08-31T02:15:00, 34.573, -62.301, 5.957
2001-08-31T02:16:00, 36.809, -58.440, 7.926
2001-08-31T02:17:00, 37.946, -56.529, 8.894
2001-08-31T02:18:00, 36.038, -55.470, 8.863
2001-08-31T02:19:00, 35.225, -52.463, 8.827
2001-08-31T02:20:00, 34.949, -46.680, 9.796
2001-08-31T02:21:00, 34.426, -45.892, 9.765
2001-08-31T02:22:00, 33.635, -46.494, 8.733
2001-08-31T02:23:00, 35.596, -44.027, 9.702
2001-08-31T02:24:00, 37.287, -42.949, 10.672
2001-08-31T02:25:00, 37.591, -41.603, 11.642
2001-08-31T02:26:00, 39.549, -39.138, 12.613
2001-08-31T02:27:00, 44.038, -42.204, 13.584
2001-08-31T02:28:00, 46.869, -46.391, 13.555
2001-08-31T02:29:00, 47.483, -50.871, 13.527
2001-08-31T02:30:00, 48.364, -53.962, 12.500
2001-08-31T02:31:00, 45.346, -54.860, 12.473
2001-08-31T02:32:00, 44.569, -59.072, 10.446
2001-08-31T02:33:00, 40.183, -63.309, 8.419
2001-08-31T02:34:00, 34.945, -64.500, 6.393
2001-08-31T02:35:00, 34.116, -61.505, 7.366
2001-08-31T02:36:00, 33.871, -62.944, 8.340
2001-08-31T02:37:00, 28.361, -65.529, 5.312
2001-08-31T02:38:00, 28.381, -65.581, 6.286
2001-08-31T02:39:00, 29.519, -67.291, 8.260
