MIDL 32Re Data for 2005-08 to 2005-09 (GSM nT, km/s, cm^-3, K)
year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2005  8 31  4  0     5.64    -2.91    -3.18    -352.4    -40.18     -3.63    18.886      41223    0    0    0    0    0
2005  8 31  4  1     5.37    -3.88    -2.63    -352.1    -40.85     -4.60    17.810      41223    0    0    0    0    0
2005  8 31  4  2     5.14    -4.58    -1.45    -353.1    -40.21     -3.89    17.879      41224    0    0    0    0    0
2005  8 31  4  3     5.32    -4.54    -0.94    -354.0    -39.27     -3.12    17.940      39020    0    0    0    0    0
2005  8 31  4  4     5.40    -4.42    -0.90    -354.8    -39.04     -2.65    17.660      38012    0    0    0    0    0
2005  8 31  4  5     5.42    -4.35    -0.92    -354.5    -38.76     -1.75    17.409      38907    0    0    0    0    0
2005  8 31  4  6     5.45    -4.22    -1.09    -354.0    -39.24     -0.93    17.346      39439    0    0    0    0    0
2005  8 31  4  7     5.57    -4.10    -1.22    -354.0    -39.85      0.05    17.346      39545    0    0    0    0    0
2005  8 31  4  8     5.98    -4.12    -1.41    -357.0    -40.24      3.15    14.544      31742    0    0    0    0    0
2005  8 31  4  9     5.98    -4.25    -1.21    -357.6    -39.71      3.32    14.442      30943    0    0    0    0    0
2005  8 31  4 10     6.19    -4.37    -0.91    -358.5    -40.12      3.19    14.493      32744    0    0    0    0    0
2005  8 31  4 11     6.25    -4.15    -1.22    -358.5    -40.52      3.52    14.651      35410    0    0    0    0    0
2005  8 31  4 12     6.22    -3.81    -1.75    -359.3    -41.03      4.67    14.797      35701    0    0    0    0    0
2005  8 31  4 13     6.16    -3.90    -1.87    -359.6    -41.38      5.26    15.463      35958    0    0    0    0    0
2005  8 31  4 14     6.01    -4.38    -1.58    -359.0    -41.70      4.97    16.198      37158    0    0    0    0    0
2005  8 31  4 15     5.61    -5.10    -1.10    -358.3    -42.35      4.48    16.480      38884    0    0    0    0    0
2005  8 31  4 16     5.06    -5.79    -0.69    -357.8    -43.15      4.25    16.300      39666    0    0    0    0    0
2005  8 31  4 17     4.73    -6.07    -0.48    -358.1    -43.80      4.50    15.477      38209    0    0    0    0    0
2005  8 31  4 18     4.54    -6.19    -0.32    -357.9    -43.86      4.56    14.706      35373    0    0    0    0    0
2005  8 31  4 19     4.55    -6.17    -0.33    -356.9    -44.03      4.75    14.676      35385    0    0    0    0    0
2005  8 31  4 20     4.73    -5.95    -0.73    -356.4    -44.70      4.97    14.694      35576    0    0    0    0    0
2005  8 31  4 21     5.09    -5.52    -1.41    -355.2    -46.62      4.44    14.916      37077    0    0    0    0    0
2005  8 31  4 22     5.03    -5.50    -1.37    -354.6    -46.94      4.35    15.163      37327    0    0    0    0    0
2005  8 31  4 23     4.89    -5.71    -0.95    -355.1    -46.65      4.91    15.457      36074    0    0    0    0    0
2005  8 31  4 24     4.87    -5.74    -0.56    -355.5    -46.03      6.67    16.318      34790    0    0    0    0    0
2005  8 31  4 25     4.40    -5.97    -0.51    -357.0    -46.52      6.35    17.366      35479    0    0    0    0    0
2005  8 31  4 26     4.11    -5.93    -0.45    -356.6    -47.21      5.11    17.917      39900    0    0    0    0    0
2005  8 31  4 27     4.15    -5.72    -0.27    -356.9    -46.99      5.46    19.751      40729    0    0    0    0    0
2005  8 31  4 28     4.18    -5.61     0.69    -356.1    -46.42      8.36    21.218      41396    0    0    0    0    0
2005  8 31  4 29     4.17    -5.57     1.00    -355.3    -45.99      8.70    22.100      41642    0    0    0    0    0
2005  8 31  4 30     4.10    -5.33     1.02    -355.9    -45.28      9.15    22.217      43714    0    0    0    0    0
2005  8 31  4 31     4.17    -5.05     0.51    -355.8    -43.76      7.68    21.764      44061    0    0    0    0    0
2005  8 31  4 32     4.38    -4.84    -0.79    -356.3    -42.26      6.03    21.041      44001    0    0    0    0    0
2005  8 31  4 33     4.66    -5.06    -1.64    -356.3    -41.39      5.99    20.400      42651    0    0    0    0    0
2005  8 31  4 34     4.32    -5.12    -1.50    -355.5    -41.39      6.19    20.400      42350    0    0    0    0    0
2005  8 31  4 35     4.38    -4.56    -1.76    -354.4    -41.76      6.21    20.657      42320    0    0    0    0    0
2005  8 31  4 36     4.45    -4.15    -1.89    -353.1    -42.30      5.66    20.743      42137    0    0    0    0    0
2005  8 31  4 37     4.45    -3.87    -1.79    -352.0    -42.61      4.63    20.612      41703    0    0    0    0    0
2005  8 31  4 38     4.39    -3.62    -1.54    -351.1    -42.38      3.52    20.354      41168    0    0    0    0    0
2005  8 31  4 39     4.36    -3.40    -1.51    -349.7    -41.93      3.26    20.354      41168    0    0    0    0    0
2005  8 31  4 40     4.50    -3.04    -1.49    -350.0    -43.52      2.88    20.321      41972    0    0    0    0    0
2005  8 31  4 41     4.65    -3.09    -1.54    -351.0    -45.38      4.46    20.321      41941    0    0    0    0    0
2005  8 31  4 42     4.69    -3.76    -1.32    -353.5    -46.22      5.22    20.977      40312    0    0    0    0    0
2005  8 31  4 43     4.31    -4.29    -0.93    -354.4    -47.37      7.33    21.430      38780    0    0    0    0    0
2005  8 31  4 44     4.04    -4.58    -0.70    -354.9    -47.87      7.90    21.433      38609    0    0    0    0    0
2005  8 31  4 45     3.89    -4.87    -0.50    -354.4    -47.19      6.63    21.128      45314    0    0    0    0    0
2005  8 31  4 46     4.61    -3.90    -2.61    -354.3    -45.81      4.29    20.711      47593    0    0    0    0    0
2005  8 31  4 47     4.95    -2.41    -3.85    -355.5    -43.76      1.78    15.393      39055    0    0    0    0    0
2005  8 31  4 48     5.24    -2.24    -4.23    -358.4    -41.97      2.38    15.429      36468    0    0    0    0    0
2005  8 31  4 49     5.86    -1.79    -4.41    -357.7    -41.89      3.33    16.453      36506    0    0    0    0    0
2005  8 31  4 50     6.25    -1.32    -4.70    -356.7    -42.12      2.86    17.039      36608    0    0    0    0    0
2005  8 31  4 51     6.33    -1.57    -5.04    -356.0    -42.97      1.07    17.663      36608    0    0    0    0    0
2005  8 31  4 52     6.46    -2.20    -4.64    -356.1    -43.39      1.21    18.023      34681    0    0    0    0    0
2005  8 31  4 53     6.61    -2.63    -4.38    -356.1    -43.36      2.15    18.029      34574    0    0    0    0    0
2005  8 31  4 54     6.76    -2.77    -3.97    -356.3    -43.35      3.83    18.028      33974    0    0    0    0    0
2005  8 31  4 55     6.80    -3.20    -3.94    -357.6    -45.55      4.80    17.988      22820    0    0    0    0    0
2005  8 31  4 56     6.89    -3.12    -3.94    -357.6    -46.60      5.00    18.062      21881    0    0    0    0    0
2005  8 31  4 57     7.07    -2.99    -4.00    -357.5    -46.19      5.17    18.310      21241    0    0    0    0    0
2005  8 31  4 58     7.18    -3.04    -4.00    -357.4    -45.00      5.90    18.412      21268    0    0    0    0    0
2005  8 31  4 59     7.26    -3.04    -3.99    -357.2    -43.54      6.87    18.588      21500    0    0    0    0    0
2005  8 31  5  0     7.26    -3.02    -3.94    -357.0    -42.74      8.02    18.991      22117    0    0    0    0    0
2005  8 31  5  1     7.23    -2.98    -3.79    -356.6    -42.37      9.88    18.963      22061    0    0    0    0    0
2005  8 31  5  2     7.21    -3.02    -3.62    -356.4    -42.25     10.52    18.662      21476    0    0    0    0    0
2005  8 31  5  3     7.33    -2.98    -3.55    -354.8    -41.56     10.25    18.076      20491    0    0    0    0    0
2005  8 31  5  4     7.38    -2.88    -3.49    -353.7    -40.06      9.18    17.930      20245    0    0    0    0    0
2005  8 31  5  5     7.35    -2.77    -3.53    -353.5    -37.69      8.24    18.098      21633    0    0    0    0    0
2005  8 31  5  6     7.14    -2.94    -3.67    -355.5    -35.28      7.55    20.677      28706    0    0    0    0    0
2005  8 31  5  7     5.76    -4.01    -2.70    -355.7    -33.94      7.52    20.877      30459    0    0    0    0    0
2005  8 31  5  8     5.68    -4.07    -2.67    -353.5    -33.06      5.78    20.493      30865    0    0    0    0    0
2005  8 31  5  9     5.88    -3.93    -2.85    -351.6    -32.76      4.52    19.963      31099    0    0    0    0    0
2005  8 31  5 10     6.36    -3.59    -3.22    -350.8    -33.36      4.58    19.313      31099    0    0    0    0    0
2005  8 31  5 11     6.32    -3.68    -3.00    -351.8    -33.41      6.51    20.098      30833    0    0    0    0    0
2005  8 31  5 12     4.48    -4.68    -2.32    -356.0    -33.72      8.48    23.458      28913    0    0    0    0    0
2005  8 31  5 13     4.48    -4.86    -2.32    -358.6    -33.85      8.67    25.235      28191    0    0    0    0    0
2005  8 31  5 14     3.79    -5.04    -1.85    -359.6    -34.22      9.09    26.308      26361    0    0    0    0    0
2005  8 31  5 15     3.23    -5.30    -1.50    -359.8    -34.36      9.47    26.915      25727    0    0    0    0    0
2005  8 31  5 16     3.65    -5.55    -1.56    -359.8    -34.08      9.44    26.915      25727    0    0    0    0    0
