Date_UTC,dbn_nez,dbe_nez,dbz_nez
2005-08-31T10:00:00, 15.907, 9.734, 0.406
2005-08-31T10:01:00, 15.728, 10.584, 0.404
2005-08-31T10:02:00, 17.736, 10.957, 0.404
2005-08-31T10:03:00, 19.024, 10.111, 1.403
2005-08-31T10:04:00, 17.634, 11.675, 1.403
2005-08-31T10:05:00, 18.428, 12.763, 0.403
2005-08-31T10:06:00, 19.474, 12.879, 0.404
2005-08-31T10:07:00, 20.769, 12.020, 1.406
2005-08-31T10:08:00, 22.309, 10.194, 2.408
2005-08-31T10:09:00, 21.665, 8.841, 2.411
2005-08-31T10:10:00, 21.744, 8.702, 2.414
2005-08-31T10:11:00, 20.610, 9.283, 1.418
2005-08-31T10:12:00, 21.166, 11.326, 0.422
2005-08-31T10:13:00, 22.217, 11.429, 0.427
2005-08-31T10:14:00, 20.365, 10.786, 0.433
2005-08-31T10:15:00, 21.663, 9.918, 0.440
2005-08-31T10:16:00, 20.533, 10.492, 0.447
2005-08-31T10:17:00, 20.619, 10.344, 0.455
2005-08-31T10:18:00, 21.920, 9.473, 0.464
2005-08-31T10:19:00, 22.007, 9.322, 0.478
2005-08-31T10:20:00, 21.125, 8.924, 0.488
2005-08-31T10:21:00, 20.967, 9.742, 0.499
2005-08-31T10:22:00, 20.336, 8.369, 0.512
2005-08-31T10:23:00, 20.179, 9.185, 0.525
2005-08-31T10:24:00, 20.269, 9.032, 0.539
2005-08-31T10:25:00, 20.111, 9.849, 0.554
2005-08-31T10:26:00, 20.202, 9.696, 0.569
2005-08-31T10:27:00, 21.262, 9.790, 1.586
2005-08-31T10:28:00, 21.601, 8.668, 1.604
2005-08-31T10:29:00, 21.695, 8.511, 1.623
2005-08-31T10:30:00, 21.539, 9.328, 0.643
2005-08-31T10:31:00, 21.385, 10.143, 0.663
2005-08-31T10:32:00, 21.479, 9.988, 1.685
2005-08-31T10:33:00, 23.510, 10.324, 1.708
2005-08-31T10:34:00, 22.882, 8.948, 1.732
2005-08-31T10:35:00, 21.763, 9.509, 1.757
2005-08-31T10:36:00, 20.643, 10.067, 0.782
2005-08-31T10:37:00, 20.494, 10.867, -0.189
