File downloaded from OMNIWeb, using WIND spacecraft

#COORDINATES
GSE

 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
2011 08 05  4  0 00 000    3.74   -3.24   -0.96  -413.4   -30.1   -25.8   6.76   41375.
2011 08 05  4  1 00 000    3.59   -3.57   -0.70  -407.6   -21.8   -32.6   5.65   48550.
2011 08 05  4  2 00 000    3.41   -3.85   -0.50  -407.6   -20.1   -37.2   5.44   57004.
2011 08 05  4  3 00 000    3.05   -4.16   -0.22  -409.1   -12.1   -38.5   5.70   57695.
2011 08 05  4  7 00 000    2.78   -3.95   -0.11  -406.9   -28.8   -40.9   4.51   38817.
2011 08 05  4  8 00 000    2.84   -3.79   -0.56  -406.9   -28.8   -40.9   4.51   38817.
2011 08 05  4  9 00 000    2.84   -3.76   -0.48  -406.9   -28.8   -40.9   4.51   38817.
2011 08 05  4 10 00 000    2.81   -3.77   -0.68  -406.4   -31.4   -36.0   4.85   45090.
2011 08 05  4 11 00 000    2.72   -3.77   -0.63  -406.4   -31.4   -36.0   4.85   45090.
2011 08 05  4 12 00 000    1.49   -4.05    0.58  -410.4   -22.9   -30.3   6.22   52900.
2011 08 05  4 13 00 000   -1.31   -3.96    2.83  -407.8   -26.2   -32.0   6.14   48593.
2011 08 05  4 14 00 000   -1.88   -3.73    2.84  -397.3   -39.9   -39.3   5.83   30744.
2011 08 05  4 15 00 000   -1.86   -3.87    2.70  -397.8   -39.5   -36.6   5.40   27188.
2011 08 05  4 16 00 000   -2.01   -3.80    2.71  -397.8   -39.5   -36.6   5.40   27140.
2011 08 05  4 17 00 000   -1.65   -3.88    2.84  -397.6   -38.8   -38.4   5.52   27750.
2011 08 05  4 18 00 000   -1.26   -4.33    2.53  -397.6   -38.8   -38.5   5.53   27784.
2011 08 05  4 19 00 000   -1.31   -4.31    2.62  -396.9   -39.7   -39.9   5.20   31148.
2011 08 05  4 20 00 000   -1.29   -4.17    2.81  -396.9   -39.7   -39.9   5.20   31148.
2011 08 05  4 21 00 000   -1.40   -4.33    2.45  -396.9   -40.9   -38.9   5.42   32395.
2011 08 05  4 22 00 000   -1.17   -4.35    2.43  -396.9   -40.9   -38.9   5.42   32395.
2011 08 05  4 25 00 000   -1.15   -4.42    2.31  -396.8   -39.9   -38.0   5.61   37150.
2011 08 05  4 26 00 000   -1.11   -4.59    2.27  -396.8   -39.9   -38.0   5.61   37150.
2011 08 05  4 27 00 000   -1.17   -4.50    2.51  -396.8   -39.9   -38.0   5.61   37150.
2011 08 05  4 31 00 000   -1.13   -4.53    2.74  -399.1   -41.2   -35.4   5.54   42679.
2011 08 05  4 32 00 000   -1.12   -4.56    2.77  -399.1   -41.2   -35.4   5.54   42679.
2011 08 05  4 35 00 000   -1.24   -4.55    2.57  -399.3   -40.5   -35.5   5.26   32788.
2011 08 05  4 36 00 000   -1.10   -4.47    2.72  -399.3   -40.5   -35.5   5.26   32788.
2011 08 05  4 39 00 000   -1.02   -4.65    2.85  -401.1   -37.9   -37.1   5.17   34385.
2011 08 05  4 40 00 000   -1.00   -4.73    2.71  -401.1   -37.9   -37.1   5.17   34385.
2011 08 05  4 41 00 000   -1.18   -4.79    2.59  -401.1   -37.9   -36.6   5.19   35215.
2011 08 05  4 42 00 000   -1.32   -4.61    2.67  -401.1   -37.9   -36.5   5.19   35373.
2011 08 05  4 43 00 000   -1.30   -4.57    2.63  -401.1   -37.9   -36.5   5.19   35373.
2011 08 05  4 44 00 000   -1.35   -4.70    2.67  -402.4   -35.1   -35.5   5.22   37752.
2011 08 05  4 45 00 000   -1.00   -4.66    2.23  -402.4   -35.1   -35.5   5.22   37752.
2011 08 05  4 46 00 000   -0.93   -4.74    1.82  -402.4   -35.1   -35.5   5.22   37752.
2011 08 05  4 47 00 000   -0.77   -4.62    2.08  -400.5   -37.9   -35.2   5.24   49210.
2011 08 05  4 48 00 000   -0.88   -4.54    2.10  -400.5   -37.9   -35.2   5.24   49210.
2011 08 05  4 49 00 000   -0.94   -4.66    1.80  -400.5   -37.9   -35.2   5.24   49210.
2011 08 05  4 50 00 000   -0.77   -4.69    1.71  -398.3   -41.0   -36.6   5.24   47177.
2011 08 05  4 51 00 000   -0.97   -4.73    1.64  -399.7   -38.3   -36.5   5.04   45823.
2011 08 05  4 52 00 000   -0.87   -4.64    1.71  -399.0   -36.9   -34.1   4.88   45334.
2011 08 05  4 53 00 000   -1.07   -4.65    1.52  -399.8   -36.7   -35.5   4.92   45368.
2011 08 05  4 54 00 000   -1.38   -4.66    1.53  -400.5   -38.2   -35.5   5.09   53835.
2011 08 05  4 55 00 000   -0.88   -4.84    1.55  -400.0   -37.5   -34.7   5.02   41142.
2011 08 05  4 56 00 000   -0.88   -4.90    1.51  -397.2   -40.6   -36.3   5.03   36362.
2011 08 05  4 57 00 000   -1.04   -5.07    1.86  -396.6   -40.8   -38.0   5.19   32887.
2011 08 05  4 58 00 000   -0.63   -5.15    1.64  -393.5   -38.3   -42.1   5.04   38116.
2011 08 05  4 59 00 000   -1.07   -5.13    1.41  -392.7   -37.4   -41.9   4.98   41077.
2011 08 05  5  0 00 000   -0.80   -5.23    1.13  -393.2   -41.2   -40.6   5.02   38920.
2011 08 05  5  1 00 000   -1.14   -5.15    1.00  -394.3   -42.3   -40.3   5.14   44805.
2011 08 05  5  2 00 000   -0.01   -5.19    0.55  -392.0   -39.7   -42.3   5.14   49618.
2011 08 05  5  3 00 000    0.20   -5.18    0.46  -392.1   -39.7   -42.4   5.17   46146.
2011 08 05  5  4 00 000    0.27   -4.85    0.52  -389.6   -34.9   -44.6   5.15   48128.
2011 08 05  5  5 00 000   -0.10   -4.71    0.89  -392.3   -34.8   -43.5   5.52   51462.
2011 08 05  5  6 00 000    0.49   -4.58    0.32  -392.3   -34.2   -44.1   5.19   50066.
2011 08 05  5  7 00 000    0.34   -4.50    0.36  -392.3   -34.2   -44.1   5.18   50042.
2011 08 05  5  8 00 000    0.54   -4.46    0.15  -392.3   -34.2   -44.1   5.18   50042.
