#SATELLITEXYZ
   248.8
    -9.8
    22.9

#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2017  5 27  0  1  0  0      -0.044      -1.938      -2.207   -9999.900   -9999.900   -9999.900   -9999.900   19728.735
2017  5 27  0  2  0  0      -0.100      -1.820      -2.273    -297.666     -12.632       4.467   -9999.900   17842.096
2017  5 27  0  3  0  0       0.012      -2.009      -2.170    -297.635     -13.163       5.248   -9999.900   16690.749
2017  5 27  0  4  0  0      -0.150      -2.012      -2.174    -297.134     -12.918       5.514   -9999.900   17213.375
2017  5 27  0  5  0  0       0.001      -1.978      -2.151    -297.786     -12.553       5.986   -9999.900   16415.596
2017  5 27  0  6  0  0      -0.144      -2.113      -2.061    -296.553     -14.470       5.255   -9999.900   14132.078
2017  5 27  0  7  0  0       0.033      -2.194      -1.980    -298.891     -14.483       5.708   -9999.900   14797.717
2017  5 27  0  8  0  0      -0.363      -1.814      -2.018    -298.346     -13.062       5.423   -9999.900   17259.296
2017  5 27  0  9  0  0      -0.583      -1.180      -1.756    -297.441     -15.045       5.059   -9999.900   18170.220
2017  5 27  0 10  0  0      -0.157      -1.770      -1.845    -297.853     -13.752       3.830   -9999.900   16634.595
2017  5 27  0 11  0  0       0.544      -2.098      -0.700    -299.888     -14.025       2.953   -9999.900   18119.030
2017  5 27  0 12  0  0       1.632      -1.951       0.712    -297.525     -13.130       4.075   -9999.900   23998.793
2017  5 27  0 13  0  0       1.667      -1.883       1.202    -296.210     -11.665       3.856   -9999.900   23280.908
2017  5 27  0 14  0  0       1.908      -1.580       1.301    -297.317     -14.275       4.778   -9999.900   22238.188
2017  5 27  0 15  0  0       2.001      -1.649       0.970    -296.282     -14.507       4.774   -9999.900   22415.109
2017  5 27  0 16  0  0       1.897      -1.174       1.045    -297.179     -12.485       4.566   -9999.900   -9999.900
2017  5 27  0 17  0  0       2.100      -1.614       1.051    -296.688     -14.381       5.168   -9999.900   -9999.900
2017  5 27  0 18  0  0       1.806      -1.881       0.628    -297.018     -15.648       5.239   -9999.900   21454.451
2017  5 27  0 19  0  0       1.718      -2.078       0.648    -298.152     -14.191       4.504   -9999.900   21274.643
2017  5 27  0 20  0  0       1.557      -2.330       0.151    -297.425     -13.160       4.370   -9999.900   17711.503
2017  5 27  0 21  0  0       0.006      -2.850      -1.176    -297.187     -12.733       4.353   -9999.900   15545.890
2017  5 27  0 22  0  0       0.128      -2.902      -1.281    -296.362     -14.392       3.331   -9999.900   16606.906
