#SATELLITEXYZ
   227.3
    27.9
    15.4

#COORDINATES
GSE

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2017  5 27  0  0  0  0      -0.290      -2.060      -2.080    -300.700      17.500      -4.500       3.800   12149.000
2017  5 27  0  1  0  0      -0.370      -2.000      -2.120    -301.000      19.300      -3.800       3.850   12265.000
2017  5 27  0  2  0  0      -0.290      -1.470      -2.540    -300.300      19.900      -5.000       4.180   12323.000
2017  5 27  0  3  0  0      -0.170      -1.530      -2.550    -299.900      17.300      -3.800       4.160   12413.000
2017  5 27  0  4  0  0      -0.220      -1.710      -2.500    -300.200      18.500      -5.000       4.150   12162.000
2017  5 27  0  5  0  0      -0.260      -1.780      -2.470    -300.400      19.200      -3.600       4.060   12177.000
2017  5 27  0  6  0  0      -0.300      -1.790      -2.550    -300.700      19.600      -4.000       4.000   12164.000
2017  5 27  0  7  0  0      -0.320      -1.840      -2.420    -301.100      20.900      -2.400       4.030   11971.000
2017  5 27  0  8  0  0      -0.180      -1.900      -2.490    -300.600      16.400      -4.900       3.900   12220.000
2017  5 27  0  9  0  0      -0.300      -1.670      -2.520    -300.900      16.000      -7.200       3.510   12192.000
2017  5 27  0 10  0  0      -0.480      -1.620      -2.540    -300.400      14.800      -6.300       3.550   12450.000
2017  5 27  0 11  0  0      -0.340      -1.640      -2.480    -299.000       7.000     -14.000       3.610   13858.000
2017  5 27  0 12  0  0      -0.720      -1.630      -2.350    -300.300      13.000      -7.900       3.680   12583.000
2017  5 27  0 13  0  0      -0.370      -2.190      -1.990    -300.300      14.800      -7.500       3.710   12544.000
2017  5 27  0 14  0  0       0.190      -2.290      -0.800    -300.600      19.200      -5.700       3.800   12443.000
2017  5 27  0 15  0  0       0.580      -2.140       0.770    -300.600      24.400      -2.800       3.620   13381.000
2017  5 27  0 16  0  0       0.690      -2.290       1.130    -299.900      17.400      -4.200       3.860   12963.000
2017  5 27  0 17  0  0       0.940      -2.090       1.070    -298.700      12.800      -7.400       3.970   14927.000
2017  5 27  0 18  0  0       1.070      -1.710       1.760    -300.100      24.100      -3.000       3.890   14183.000
2017  5 27  0 19  0  0       1.330      -1.610       1.920    -298.200      10.500      -4.100       3.980   15478.000
2017  5 27  0 20  0  0       1.290      -1.460       1.960    -298.200      12.900       0.000       4.050   15637.000
2017  5 27  0 21  0  0       0.940      -2.480       0.840    -299.800      19.000      -2.100       3.890   12885.000
2017  5 27  0 22  0  0       0.850      -2.440       1.080    -300.100      21.400      -0.700       4.020   12816.000
2017  5 27  0 23  0  0       0.440      -3.000      -0.370    -299.400      14.300      -6.400       4.020   12779.000
2017  5 27  0 24  0  0       0.390      -3.140      -0.720    -299.600      11.300      -5.300       3.980   12393.000
2017  5 27  0 25  0  0       0.510      -3.190      -0.620    -299.800      15.400      -5.500       3.950   12517.000
2017  5 27  0 26  0  0       0.440      -3.140      -0.750    -299.700      11.500      -6.700       3.960   12354.000
2017  5 27  0 27  0  0       0.360      -3.120      -0.980    -299.700      10.000      -9.500       3.960   12278.000
2017  5 27  0 28  0  0       0.430      -2.990      -1.210    -299.800      12.000      -6.700       3.950   12161.000
2017  5 27  0 29  0  0       0.520      -2.970      -1.090    -299.900      14.700      -4.400       4.050   12260.000
2017  5 27  0 30  0  0       0.580      -2.950      -0.980    -300.300      17.100      -5.300       3.930   12337.000
2017  5 27  0 31  0  0       0.750      -2.900      -0.910    -299.900      16.400      -6.500       3.870   12532.000
2017  5 27  0 32  0  0       0.840      -2.890      -0.920    -299.300       7.000      -9.900       3.850   12691.000
2017  5 27  0 33  0  0       0.730      -2.840      -1.170    -299.700      11.600      -8.400       3.870   12514.000
2017  5 27  0 34  0  0       0.680      -2.700      -1.420    -298.900       8.500      -8.200       4.040   13116.000
2017  5 27  0 35  0  0       0.670      -2.680      -1.460    -299.400       9.300     -10.300       3.940   12619.000
2017  5 27  0 36  0  0       0.570      -2.450      -1.390    -300.000      20.100      -5.500       3.710   12715.000
2017  5 27  0 37  0  0       0.650      -2.360      -1.870    -300.000      16.900      -5.100       3.760   12429.000
2017  5 27  0 38  0  0       0.570      -1.920      -1.940    -300.000      15.500      -7.100       4.030   12582.000
2017  5 27  0 39  0  0       0.450      -1.940       0.800    -299.700      14.300      -2.400       3.970   13958.000
2017  5 27  0 40  0  0       0.550      -2.060       1.510    -299.900      12.500      -0.600       3.900   13098.000
2017  5 27  0 41  0  0       0.890      -2.740      -0.730    -300.600      15.800      -5.700       3.550   12167.000
2017  5 27  0 42  0  0       0.920      -2.770      -0.790    -300.900      15.300      -7.600       3.520   12118.000
2017  5 27  0 43  0  0       0.920      -2.740      -0.860    -300.900      14.900      -5.300       3.610   12135.000
2017  5 27  0 44  0  0       0.830      -2.770      -0.830    -301.400      17.500      -1.900       3.560   11648.000
2017  5 27  0 45  0  0       1.100      -2.640      -0.970    -300.400      16.400      -5.300       3.530   12020.000
2017  5 27  0 46  0  0       1.080      -2.660      -0.910    -300.500      15.200      -5.200       3.590   12166.000
2017  5 27  0 47  0  0       1.360      -2.490      -1.070    -299.800       9.200      -7.500       3.650   12371.000
2017  5 27  0 48  0  0       1.480      -2.430      -1.130    -299.400       8.600      -9.300       3.700   12572.000
2017  5 27  0 49  0  0       1.570      -2.400      -1.140    -298.700       3.700     -10.000       3.670   12633.000
2017  5 27  0 50  0  0       1.570      -2.440      -1.040    -298.900       5.400      -9.300       3.820   12797.000
2017  5 27  0 51  0  0       1.460      -2.360      -1.010    -299.700      13.800      -6.000       3.640   12481.000
2017  5 27  0 52  0  0       1.460      -2.380      -1.080    -299.300       5.500      -8.300       3.690   12468.000
2017  5 27  0 53  0  0       1.350      -2.460      -1.050    -299.100       4.000      -9.200       3.780   12340.000
2017  5 27  0 54  0  0       1.580      -2.300      -1.290    -298.300       5.300     -12.200       3.860   13334.000
2017  5 27  0 55  0  0       1.530      -2.380      -1.210    -298.400       4.300     -11.000       3.790   13135.000
2017  5 27  0 56  0  0       1.340      -2.680      -0.730    -299.600       7.000      -6.300       3.690   12663.000
2017  5 27  0 57  0  0       1.210      -2.840      -0.140    -299.500       7.100      -9.300       3.600   12727.000
2017  5 27  0 58  0  0       1.200      -2.700      -0.110    -297.300      -1.100      -8.900       4.070   15397.000
2017  5 27  0 59  0  0       1.260      -2.760      -0.280    -299.300       5.500      -9.300       3.570   12766.000
2017  5 27  1  0  0  0       1.230      -2.710      -0.230    -297.800       4.000      -6.500       4.120   15435.000
2017  5 27  1  1  0  0       1.120      -2.720      -0.080    -298.400       2.300      -8.400       4.000   13585.000
2017  5 27  1  2  0  0       1.060      -2.720      -0.100    -298.900       2.200      -7.000       3.890   12575.000
2017  5 27  1  3  0  0       1.190      -2.660      -0.090    -298.800       0.200      -8.100       4.060   12978.000
2017  5 27  1  4  0  0       1.350      -2.570      -0.200    -296.900       1.300      -7.500       4.110   14812.000
2017  5 27  1  5  0  0       1.610      -2.490      -0.280    -295.900      -0.700     -10.000       4.100   15918.000
2017  5 27  1  6  0  0       1.400      -2.560      -0.080    -296.700      -1.200      -9.000       4.130   15512.000
2017  5 27  1  7  0  0       1.210      -2.680       0.220    -297.000      -0.600      -6.100       4.220   15380.000
2017  5 27  1  8  0  0       1.210      -2.640       0.110    -297.600       0.200      -9.300       4.030   14355.000
2017  5 27  1  9  0  0       1.340      -2.540       0.650    -298.400       1.100      -7.500       3.800   14168.000
2017  5 27  1 10  0  0       1.360      -2.090       1.400    -298.000       5.300      -2.200       3.830   15181.000
2017  5 27  1 11  0  0       1.300      -1.550       1.950    -297.700       6.400      -1.500       3.920   15642.000
2017  5 27  1 12  0  0       1.120      -1.820       1.460    -298.700      11.500      -2.700       3.760   14638.000
2017  5 27  1 13  0  0       1.080      -1.410       1.620    -298.700      16.900       2.400       3.540   14487.000
2017  5 27  1 14  0  0       0.970      -1.710       1.360    -299.900      21.000       1.200       3.520   13036.000
2017  5 27  1 15  0  0       0.910      -1.860       1.190    -300.000      24.600       2.800       3.570   12976.000
2017  5 27  1 16  0  0       0.790      -1.950       1.090    -299.700      19.800       0.700       3.630   13228.000
2017  5 27  1 17  0  0       0.820      -1.980       1.110    -299.200      15.800       1.000       3.740   13844.000
2017  5 27  1 18  0  0       0.700      -2.060       1.120    -299.300      14.700      -0.700       3.790   13879.000
2017  5 27  1 19  0  0       0.720      -2.090       0.970    -298.400      14.000      -1.400       3.870   15546.000
2017  5 27  1 20  0  0       0.760      -2.110       0.950    -298.100       8.400      -2.400       3.820   15582.000
2017  5 27  1 21  0  0       0.600      -2.010       1.420    -299.600      17.000       1.800       3.910   12949.000
2017  5 27  1 22  0  0       0.400      -1.690       2.150    -299.500       9.400      -4.400       4.010   12629.000
2017  5 27  1 23  0  0       0.520      -1.890       2.050    -299.800      11.800      -1.300       3.970   12554.000
2017  5 27  1 24  0  0       0.580      -1.920       1.880    -299.600      11.000      -4.600       3.870   12653.000
2017  5 27  1 25  0  0       1.020      -2.060       1.590    -299.300       4.400      -7.900       3.740   12732.000
2017  5 27  1 26  0  0       0.480      -1.950       1.910    -299.600       9.800      -6.800       3.810   12619.000
2017  5 27  1 27  0  0       0.600      -1.950       1.900    -299.700      10.900      -3.500       3.770   12573.000
2017  5 27  1 28  0  0       0.420      -1.880       2.070    -300.100      13.100      -2.400       3.790   12520.000
2017  5 27  1 29  0  0       0.380      -1.850       2.090    -300.000      12.300      -0.700       3.920   12675.000
2017  5 27  1 30  0  0       0.510      -1.910       2.030    -299.800      13.800      -2.600       3.940   12689.000
2017  5 27  1 31  0  0       0.500      -1.670       2.240    -300.300      15.500      -1.700       3.830   12566.000
2017  5 27  1 32  0  0       0.490      -1.840       2.180    -300.200      14.700      -1.600       3.840   12615.000
2017  5 27  1 33  0  0       0.450      -2.040       2.050    -300.300      15.500      -0.700       3.710   12560.000
2017  5 27  1 34  0  0       0.440      -2.110       2.090    -300.100      13.500      -2.100       3.810   12676.000
2017  5 27  1 35  0  0       0.490      -2.100       2.090    -299.700      10.700      -5.900       3.700   12761.000
2017  5 27  1 36  0  0       0.580      -1.860       2.300    -299.000       8.900      -5.800       3.840   13616.000
2017  5 27  1 37  0  0       0.370      -2.260       2.090    -300.000      14.900      -2.000       3.770   12706.000
2017  5 27  1 38  0  0       0.100      -2.620       1.780    -300.400      15.500      -0.700       3.990   12508.000
2017  5 27  1 39  0  0       0.360      -2.750       1.570    -300.500      16.400       2.400       4.230   12533.000
2017  5 27  1 40  0  0       0.250      -2.700       1.760    -300.600      18.600       3.400       4.240   12518.000
2017  5 27  1 41  0  0       0.400      -3.020       1.410    -300.200      16.300       2.600       4.160   12540.000
2017  5 27  1 42  0  0       0.480      -3.060       1.310    -300.200      20.200       2.600       4.210   12622.000
2017  5 27  1 43  0  0       0.360      -3.050       1.280    -300.200      17.300       2.600       4.350   12615.000
2017  5 27  1 44  0  0       0.390      -2.950       1.400    -300.100      18.000       2.200       4.270   12470.000
2017  5 27  1 45  0  0       0.460      -2.930       1.260    -300.200      17.900       3.100       4.270   12569.000
2017  5 27  1 46  0  0       0.540      -2.960       1.150    -299.600      14.000      -1.200       4.250   12570.000
2017  5 27  1 47  0  0       0.590      -2.890       1.140    -300.200      20.100       2.400       4.380   12559.000
2017  5 27  1 48  0  0       0.790      -2.960       0.970    -300.400      21.400       2.300       4.370   12448.000
2017  5 27  1 49  0  0       1.050      -2.860       0.970    -301.200      22.600       4.000       4.150   12406.000
2017  5 27  1 50  0  0       0.240      -3.290       0.320    -299.100      12.900      -1.800       4.220   13764.000
2017  5 27  1 51  0  0       0.490      -3.190       0.190    -299.200      12.700      -2.100       4.100   13003.000
2017  5 27  1 52  0  0       0.460      -3.180       0.220    -299.600      12.900      -0.400       4.060   12617.000
2017  5 27  1 53  0  0       0.440      -3.100       0.050    -300.400      19.200       3.400       4.250   12606.000
2017  5 27  1 54  0  0       0.590      -3.020      -0.410    -301.300      22.000       4.600       4.080   12473.000
2017  5 27  1 55  0  0       0.640      -2.790       1.210    -301.200      18.800       1.500       4.020   12113.000
2017  5 27  1 56  0  0      -0.900      -2.940       0.720    -299.600      11.500      -2.100       4.360   13589.000
2017  5 27  1 57  0  0      -0.570      -3.110       0.360    -300.000      14.100      -0.600       4.450   12419.000
2017  5 27  1 58  0  0      -0.130      -3.040       0.550    -300.500      16.400      -0.300       4.430   12364.000
2017  5 27  1 59  0  0       0.040      -3.050       0.550    -299.900      14.300      -1.600       4.350   12444.000
2017  5 27  2  0  0  0       0.270      -3.070       0.260    -299.900      13.300      -2.300       4.350   12451.000
2017  5 27  2  1  0  0       0.290      -3.000       0.110    -299.900      14.700      -2.300       4.380   12382.000
2017  5 27  2  2  0  0       0.440      -2.840       0.750    -299.700      13.900      -1.800       4.320   12373.000
2017  5 27  2  3  0  0       0.550      -2.820       0.700    -299.200       6.000      -7.200       4.400   12446.000
2017  5 27  2  4  0  0       0.670      -2.840       0.540    -300.300      13.900       1.700       4.390   12103.000
2017  5 27  2  5  0  0       0.960      -2.800       0.210    -299.800      12.700      -2.900       4.130   12474.000
2017  5 27  2  6  0  0       0.910      -2.840       0.070    -300.000      14.100      -2.200       4.100   12490.000
2017  5 27  2  7  0  0       1.290      -2.720       0.270    -297.700       0.600      -5.500       4.190   14305.000
2017  5 27  2  8  0  0       1.330      -2.670       0.190    -296.800      -0.300      -9.700       4.230   15611.000
2017  5 27  2  9  0  0       1.290      -2.700       0.270    -296.500      -0.500     -11.600       4.300   15633.000
2017  5 27  2 10  0  0       1.120      -2.820      -0.030    -298.700       2.400      -6.600       4.240   12794.000
2017  5 27  2 11  0  0       1.330      -2.800       0.070    -298.700       6.900      -6.700       4.200   13414.000
2017  5 27  2 12  0  0       1.300      -2.910      -0.250    -298.700       4.100      -4.200       4.280   12546.000
2017  5 27  2 13  0  0       1.400      -2.870      -0.070    -298.200       5.700      -4.200       4.430   13525.000
2017  5 27  2 14  0  0       1.460      -2.800       0.330    -298.000       6.800      -4.600       4.370   13638.000
2017  5 27  2 15  0  0       1.320      -3.000      -0.140    -299.300      10.200      -5.600       4.290   12564.000
2017  5 27  2 16  0  0       1.370      -2.960       0.190    -298.700       5.500      -4.700       4.390   12701.000
2017  5 27  2 17  0  0       1.140      -2.890       0.590    -297.600       4.700      -5.000       4.600   15065.000
2017  5 27  2 18  0  0       1.310      -2.830       0.480    -297.700       6.800      -4.600       4.580   15097.000
2017  5 27  2 19  0  0       1.160      -2.900       0.670    -297.200       5.100      -4.800       4.690   15281.000
2017  5 27  2 20  0  0       0.890      -2.790       0.980    -299.600      12.700      -0.400       4.320   12527.000
2017  5 27  2 21  0  0       0.820      -2.810       1.140    -299.300       7.600      -6.200       4.290   12542.000
2017  5 27  2 22  0  0       0.980      -2.670       1.070    -297.000       3.400      -7.300       4.610   14480.000
2017  5 27  2 23  0  0       1.270      -2.660       0.960    -296.000       2.700      -7.200       4.720   15687.000
2017  5 27  2 24  0  0       1.160      -2.590       1.240    -296.200       1.500      -7.700       4.540   15588.000
2017  5 27  2 25  0  0       1.240      -2.550       1.270    -296.900       0.900      -6.200       4.620   15255.000
2017  5 27  2 26  0  0       1.120      -2.680       1.270    -297.100       2.300      -6.000       4.750   15342.000
2017  5 27  2 27  0  0       1.200      -2.640       1.180    -296.800       2.500      -5.500       4.720   15315.000
2017  5 27  2 28  0  0       1.050      -2.690       1.080    -296.600       2.500      -7.200       4.530   15367.000
2017  5 27  2 29  0  0       0.940      -2.770       1.030    -297.300       3.200      -6.300       4.640   15218.000
2017  5 27  2 30  0  0       0.610      -2.870       0.760    -297.400       4.400      -6.000       4.750   14608.000
2017  5 27  2 31  0  0       0.460      -2.820       0.770    -297.400       1.200      -7.600       4.680   14883.000
2017  5 27  2 32  0  0       0.430      -2.810       0.770    -298.600       3.000      -5.500       4.670   13068.000
2017  5 27  2 33  0  0       0.450      -2.860       0.700    -297.700       3.300      -5.700       4.800   14615.000
2017  5 27  2 34  0  0       0.640      -2.720       0.980    -297.300       5.800      -3.400       4.980   14979.000
2017  5 27  2 35  0  0       0.550      -2.890       0.620    -297.500       3.800      -5.200       4.900   14939.000
2017  5 27  2 36  0  0       0.430      -2.990       0.570    -297.500       4.600      -6.300       4.820   15087.000
2017  5 27  2 37  0  0       0.500      -2.980       0.510    -296.700       5.100      -6.000       4.940   15490.000
2017  5 27  2 38  0  0       0.510      -2.980       0.570    -296.800       6.000      -6.100       4.930   15475.000
2017  5 27  2 39  0  0       0.410      -2.960       0.460    -297.400       4.600      -5.900       4.790   15205.000
2017  5 27  2 40  0  0       0.650      -2.910       0.550    -296.800       5.500      -5.400       4.780   15474.000
2017  5 27  2 41  0  0       0.560      -2.780       0.980    -297.500       4.300      -4.400       4.690   15564.000
