#SATELLITEXYZ
   224.3
    25.5
   -23.2

#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2017  9  6  0  1  0  0      -3.207      -1.815       1.551    -463.990       1.066       7.971       5.347   60930.876
2017  9  6  0  2  0  0      -3.202      -1.816       1.597   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2017  9  6  0  3  0  0      -3.192      -1.755       1.638   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2017  9  6  0  4  0  0      -3.178      -1.757       1.629    -463.669       2.387       8.054       5.694   58422.453
2017  9  6  0  5  0  0      -3.273      -1.878       1.735    -463.758       2.977       7.571       5.756   58417.031
2017  9  6  0  6  0  0      -3.038      -2.345       1.671    -464.657       3.737       8.128       5.257   58921.593
2017  9  6  0  7  0  0      -2.844      -2.298       1.960    -464.472       3.000       8.542       4.800   57621.691
2017  9  6  0  8  0  0      -3.134      -2.221       1.744    -463.423       3.023       9.869       4.758   57663.636
2017  9  6  0  9  0  0      -3.121      -2.327       1.506    -462.989       5.601      10.955       4.659   63093.402
2017  9  6  0 10  0  0      -3.376      -2.046       1.690    -460.156       5.121       6.448   -9999.900   66490.392
2017  9  6  0 11  0  0      -3.793      -1.426       1.942    -455.113       2.893       2.415   -9999.900   66411.590
2017  9  6  0 12  0  0      -3.883      -1.232       2.038    -449.035       2.725       0.332   -9999.900   72970.857
2017  9  6  0 13  0  0      -4.035      -0.968       2.074    -447.348       0.887      -1.908   -9999.900   75120.006
2017  9  6  0 14  0  0      -3.859      -1.504       1.989    -450.910       9.096      -1.119   -9999.900   68908.711
2017  9  6  0 15  0  0      -3.793      -1.145       2.369    -453.320       8.262      -4.672   -9999.900   82091.833
2017  9  6  0 16  0  0      -4.005      -0.247       2.432    -453.342      -5.576      -2.962   -9999.900   89151.915
2017  9  6  0 17  0  0      -4.203       0.459       2.274    -446.829     -13.705      -2.291   -9999.900   81620.320
2017  9  6  0 18  0  0      -4.269       0.231       2.189    -447.302     -19.511      -0.363   -9999.900   86420.181
2017  9  6  0 19  0  0      -4.170       0.011       2.485    -452.472     -13.279      -3.836   -9999.900   81672.224
