Date_UTC,dbn_nez,dbe_nez,dbz_nez
2017-09-06T18:00:00, -5.478, -1.492, 13.276
2017-09-06T18:01:00, -5.399, -0.549, 13.737
2017-09-06T18:02:00, -4.644, 0.190, 14.299
2017-09-06T18:03:00, -3.175, 1.630, 15.361
2017-09-06T18:04:00, -2.896, 2.547, 15.922
2017-09-06T18:05:00, -2.492, 3.648, 16.585
2017-09-06T18:06:00, -2.283, 4.781, 17.044
2017-09-06T18:07:00, -2.558, 5.382, 17.308
2017-09-06T18:08:00, -3.815, 5.528, 16.965
2017-09-06T18:09:00, -4.625, 5.304, 16.723
2017-09-06T18:10:00, -4.429, 5.028, 16.483
2017-09-06T18:11:00, -4.263, 4.555, 16.138
2017-09-06T18:12:00, -3.883, 4.152, 15.795
2017-09-06T18:13:00, -4.326, 3.674, 15.045
2017-09-06T18:14:00, -3.785, 3.652, 14.799
2017-09-06T18:15:00, -3.359, 3.548, 14.551
2017-09-06T18:16:00, -3.047, 3.362, 14.203
2017-09-06T18:17:00, -2.560, 3.655, 13.753
2017-09-06T18:18:00, -1.584, 3.166, 13.501
2017-09-06T18:19:00, -2.228, 3.332, 12.848
2017-09-06T18:20:00, -1.928, 3.050, 12.292
2017-09-06T18:21:00, -1.277, 2.411, 11.938
2017-09-06T18:22:00, -0.216, 1.809, 11.582
2017-09-06T18:23:00, -0.507, 1.620, 10.920
2017-09-06T18:24:00, -0.858, 1.036, 10.259
2017-09-06T18:25:00, -1.361, 0.779, 9.596
2017-09-06T18:26:00, -2.122, 0.157, 9.025
2017-09-06T18:27:00, -2.563, 0.297, 8.761
2017-09-06T18:28:00, -2.909, -0.285, 8.389
2017-09-06T18:29:00, -3.066, -0.291, 8.219
2017-09-06T18:30:00, -2.934, -1.048, 7.846
2017-09-06T18:31:00, -2.886, -1.691, 7.467
2017-09-06T18:32:00, -2.774, -1.937, 7.090
2017-09-06T18:33:00, -3.157, -2.106, 6.610
2017-09-06T18:34:00, -3.509, -2.077, 6.326
2017-09-06T18:35:00, -3.608, -2.389, 5.643
2017-09-06T18:36:00, -3.752, -2.996, 5.457
2017-09-06T18:37:00, -3.568, -3.451, 5.266
2017-09-06T18:38:00, -3.126, -3.540, 4.877
2017-09-06T18:39:00, -2.927, -3.894, 4.580
2017-09-06T18:40:00, -2.908, -4.118, 4.387
