#SATELLITEXYZ
   238.3
   -38.6
   -11.3

#COORDINATES
GSE

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2017  9  6  0  0  0  0      -3.560      -1.820       1.400    -476.300       7.000      -5.200      12.220  317902.000
2017  9  6  0  1  0  0      -3.260      -2.050       1.660    -476.300       6.800      -4.100      12.390  309353.000
2017  9  6  0  2  0  0      -3.710      -1.850       1.890    -473.700      14.700     -28.600       8.020  255894.000
2017  9  6  0  3  0  0      -3.740      -1.520       2.010    -466.900      24.600     -30.900       8.170  261898.000
2017  9  6  0  4  0  0      -3.720      -1.610       1.480    -469.200      20.000     -25.500       8.680  265384.000
2017  9  6  0  5  0  0      -3.780      -1.690       1.650    -471.100      19.400     -27.000       8.120  244408.000
2017  9  6  0  6  0  0      -3.930      -1.160       2.130    -467.500      26.900     -36.900       7.840  269363.000
2017  9  6  0  7  0  0      -4.120      -0.640       1.900    -467.400      22.300     -40.100       7.480  269476.000
2017  9  6  0  8  0  0      -3.830      -0.700       2.070    -467.900      20.800     -35.400       7.840  264074.000
2017  9  6  0  9  0  0      -3.920      -0.360       1.970    -467.200      18.700     -39.400       7.490  250084.000
2017  9  6  0 10  0  0      -3.870       0.630       2.110    -466.300      11.100     -41.400       6.990  242605.000
2017  9  6  0 11  0  0      -3.790       0.390       2.090    -468.000      14.500     -42.700       7.330  271496.000
2017  9  6  0 12  0  0      -3.750      -0.710       1.820    -468.700      17.500     -31.900       7.890  280910.000
2017  9  6  0 13  0  0      -2.880      -1.930       1.430    -472.100      11.500     -19.200       9.090  288194.000
2017  9  6  0 14  0  0      -2.890      -2.100       1.410    -476.900       9.700     -18.500      10.350  305805.000
2017  9  6  0 15  0  0      -2.910      -1.910       1.220    -476.100       8.400     -15.900      10.330  300208.000
2017  9  6  0 16  0  0      -2.840      -1.820       1.300    -476.400       7.600     -17.400      10.360  299249.000
2017  9  6  0 17  0  0      -2.840      -1.800       1.530    -476.400       5.700     -17.100      10.340  301932.000
2017  9  6  0 18  0  0      -2.830      -1.810       1.630    -476.800       5.600     -17.400      10.220  300714.000
2017  9  6  0 19  0  0      -2.590      -1.840       1.640    -476.200       8.600     -17.000      10.230  295658.000
