BEGIN METADATA
MAG 16-second Averaged Interplanetary Magnetic Field Data
Data downloaded from ACE Science Center on Fri Sep 16 13:44:58 2022
MAG Team Software Version: 2.0
MAG Team Time/Date Processed: 

ACE Science Center Level2 Software Version: 1.5
ACE Science Center Processing Date/Time: Thu Jul 28 17:16:17 2022 PDT


Note: All timestamps are UT, and refer to the start of the time period.
year,day,hr,min,sec: year, day of year, hour of day, minutes, seconds.
fp_year       : fractional year.
fp_doy        : fractional day-of-year.
ACEepoch      : seconds since Jan 1 00:00:00 UT 1996.
SCclock       : ACE spacecraft clock counter (seconds).
Br            : R-component of mag. field in RTN (nT).
Bt            : T-component of mag. field in RTN (nT).
Bn            : N-component of mag. field in RTN (nT).
Bmag          : <|B|> magnetic field magnitude (nT).
Delta         : RTN latitude.
Lambda        : RTN longitude.
Bgse_x        : X-component of mag. field in GSE (nT).
Bgse_y        : Y-component of mag. field in GSE (nT).
Bgse_z        : Z-component of mag. field in GSE (nT).
Bgsm_x        : X-component of mag. field in GSM (nT).
Bgsm_y        : Y-component of mag. field in GSM (nT).
Bgsm_z        : Z-component of mag. field in GSM (nT).
dBrms         : RMS values of underlying high-resolution measurements (nT).
sigma_B       : Variance of |B|, i.e. sqrt(<(|B|-<|B|>)^2>) (nT).
fraction_good : Fraction of the timing period for which there was data available
N_vectors     : Number of hi-res (16-sec) measurements included in the average.
Quality       : 0 = Normal data.
              : 1 = Spacecraft Maneuver and high-nutation period (~4 hr).
              : 2 = Bad or missing data, (data values set to -999.9)
pos_gse_x,y,z : Components of spacecraft position in GSE (km).
pos_gsm_x,y,z : Components of spacecraft position in GSM (km).
A value of -999.9 indicates bad or missing data.

More Documentation of the ACE MAG level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/mag_l2desc.html

year day hr min sec Bgse_x Bgse_y Bgse_z 
BEGIN DATA
2018 109  0  0 11.227    2.464    2.221   -1.715
2018 109  0  0 27.227    2.303    2.528   -1.709
2018 109  0  0 43.227    2.409    2.155   -1.840
2018 109  0  0 59.227    2.356    2.038   -1.887
2018 109  0  1 15.227    2.431    2.007   -1.918
2018 109  0  1 31.227    2.432    1.953   -1.919
2018 109  0  1 47.227    2.463    1.925   -1.968
2018 109  0  2  3.227    2.286    2.071   -1.801
2018 109  0  2 19.227    2.305    2.259   -1.439
2018 109  0  2 35.227    2.576    1.626   -1.986
2018 109  0  2 51.227    2.500    1.211   -2.200
2018 109  0  3  7.227    2.626    0.263   -2.281
2018 109  0  3 23.226    2.552    0.330   -2.346
2018 109  0  3 39.226    2.602    0.529   -2.313
2018 109  0  3 55.226    2.582    0.650   -2.255
2018 109  0  4 11.226    2.488    0.776   -2.200
2018 109  0  4 27.226    2.480    0.919   -2.132
2018 109  0  4 43.226    2.490    0.928   -2.126
2018 109  0  4 59.226    2.552    0.983   -2.117
2018 109  0  5 15.226    2.670    1.173   -1.997
2018 109  0  5 31.226    2.937    1.076   -1.948
2018 109  0  5 47.226    3.074    1.277   -1.903
2018 109  0  6  3.226    2.962    1.335   -1.872
2018 109  0  6 19.226    3.066    1.063   -1.974
2018 109  0  6 35.226    3.122    1.218   -1.908
2018 109  0  6 51.226    3.095    1.415   -1.788
2018 109  0  7  7.226    3.168    1.336   -1.774
2018 109  0  7 23.226    3.066    1.512   -1.804
2018 109  0  7 39.226    3.009    1.658   -1.735
2018 109  0  7 55.226    3.043    1.695   -1.685
2018 109  0  8 11.226    2.968    1.851   -1.598
2018 109  0  8 27.226    2.992    1.929   -1.584
2018 109  0  8 43.226    2.835    1.938   -1.621
2018 109  0  8 59.226    2.934    1.907   -1.700
2018 109  0  9 15.226    2.891    1.858   -1.758
2018 109  0  9 31.226    2.961    1.895   -1.735
2018 109  0  9 47.226    3.017    1.894   -1.741
2018 109  0 10  3.226    2.977    1.924   -1.727
2018 109  0 10 19.226    2.957    1.939   -1.760
2018 109  0 10 35.226    3.036    1.880   -1.809
2018 109  0 10 51.226    3.012    1.787   -1.892
2018 109  0 11  7.226    3.033    1.743   -1.896
2018 109  0 11 23.226    3.045    1.583   -1.966
2018 109  0 11 39.226    2.988    1.498   -2.031
2018 109  0 11 55.226    3.044    1.654   -1.876
2018 109  0 12 11.225    3.029    1.575   -1.911
2018 109  0 12 27.225    3.006    1.554   -1.923
2018 109  0 12 43.225    2.996    1.560   -1.949
2018 109  0 12 59.225    3.082    1.572   -1.886
2018 109  0 13 15.225    3.226    1.413   -2.016
2018 109  0 13 31.225    3.258    1.490   -2.005
2018 109  0 13 47.225    3.153    1.531   -1.962
2018 109  0 14  3.225    3.162    1.222   -2.082
2018 109  0 14 19.225    3.178    1.250   -1.960
2018 109  0 14 35.225    3.208    1.187   -1.948
2018 109  0 14 51.225    3.197    1.112   -1.966
2018 109  0 15  7.225    2.983    1.166   -1.936
2018 109  0 15 23.225    2.990    1.155   -1.960
2018 109  0 15 39.225    3.006    1.150   -1.986
2018 109  0 15 55.225    3.077    1.321   -1.865
2018 109  0 16 11.225    3.009    1.276   -1.913
2018 109  0 16 27.225    3.040    1.219   -1.891
2018 109  0 16 43.225    2.951    1.267   -1.981
2018 109  0 16 59.225    2.993    1.267   -1.976
2018 109  0 17 15.225    3.013    1.154   -2.068
2018 109  0 17 31.225    3.026    0.874   -2.282
2018 109  0 17 47.225    2.500    0.765   -2.506
2018 109  0 18  3.225    2.412    0.844   -2.468
2018 109  0 18 19.225    2.480    0.806   -2.468
2018 109  0 18 35.225    2.568    1.060   -2.234
2018 109  0 18 51.225    2.524    1.363   -2.225
2018 109  0 19  7.225    2.335    1.502   -2.307
2018 109  0 19 23.225    2.243    1.701   -2.260
2018 109  0 19 39.225    2.239    1.783   -2.204
2018 109  0 19 55.225    2.369    1.793   -2.131
2018 109  0 20 11.225    2.457    1.739   -2.069
2018 109  0 20 27.225    2.430    1.777   -1.874
2018 109  0 20 43.224    2.449    1.908   -1.597
2018 109  0 20 59.224    2.330    1.830   -1.691
2018 109  0 21 15.224    2.343    1.820   -1.752
2018 109  0 21 31.224    2.411    1.859   -1.651
2018 109  0 21 47.224    2.412    1.781   -1.681
2018 109  0 22  3.224    2.414    1.787   -1.731
2018 109  0 22 19.224    2.451    1.805   -1.789
2018 109  0 22 35.224    2.327    1.658   -1.942
2018 109  0 22 51.224    2.403    1.519   -2.067
2018 109  0 23  7.224    2.419    1.563   -2.054
2018 109  0 23 23.224    2.389    1.498   -2.125
2018 109  0 23 39.224    2.431    1.662   -2.023
2018 109  0 23 55.224    2.389    1.834   -1.881
2018 109  0 24 11.224    2.281    1.894   -1.787
2018 109  0 24 27.224    2.278    1.777   -1.890
2018 109  0 24 43.224    2.254    1.825   -1.872
2018 109  0 24 59.224    2.270    1.714   -1.977
2018 109  0 25 15.224    2.290    1.801   -1.918
2018 109  0 25 31.224    2.295    1.939   -1.794
2018 109  0 25 47.224    2.338    1.869   -1.794
2018 109  0 26  3.224    2.231    2.012   -1.691
2018 109  0 26 19.224    2.206    2.051   -1.791
2018 109  0 26 35.224    2.303    2.115   -1.601
2018 109  0 26 51.224    2.453    1.540   -2.052
2018 109  0 27  7.224    2.398    1.223   -2.269
2018 109  0 27 23.224    2.351    1.002   -2.353
2018 109  0 27 39.224    2.424    0.959   -2.375
2018 109  0 27 55.224    2.146    0.264   -2.557
2018 109  0 28 11.224    2.226    0.210   -2.556
2018 109  0 28 27.224    2.222    0.192   -2.522
2018 109  0 28 43.224    2.289   -0.581   -2.441
2018 109  0 28 59.224    2.397   -0.821   -2.443
2018 109  0 29 15.223    2.572   -0.247   -2.426
2018 109  0 29 31.223    2.467   -0.090   -2.413
2018 109  0 29 47.223    2.447    0.060   -2.414
