Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2018 04 19 00 42 06 705       2.55       1.19      -1.95    -479.10    -102.30      77.00       2.14    242462.00
2018 04 19 00 43 05 123       2.53       1.33      -1.94    -479.40     -89.10      60.30       2.12    252473.00
2018 04 19 00 44 09 344       2.53       1.48      -1.91    -478.60    -101.80      80.20       2.13    243114.00
2018 04 19 00 45 01 442       2.58       1.89      -1.80    -480.10      -1.50      32.20       2.14    250601.00
2018 04 19 00 46 06 705       2.54       2.02      -1.76    -479.10    -106.90      82.00       2.14    245011.00
2018 04 19 00 47 03  18       2.58       2.01      -1.78    -479.80     -97.40      60.20       2.17    252694.00
2018 04 19 00 48 06 177       2.55       1.91      -1.80    -479.20    -109.40      76.60       2.17    248566.00
2018 04 19 00 48 56 724       2.60       1.88      -1.85    -481.00     -53.20      44.20       2.13    248249.00
2018 04 19 00 50 01 442       2.65       1.66      -1.96    -480.10     -47.90      35.20       2.15    246462.00
2018 04 19 00 51 03  18       2.58       1.78      -1.94    -479.80     -96.00      61.20       2.13    245758.00
2018 04 19 00 52 06 177       2.60       1.79      -1.88    -479.20    -106.50      64.50       2.15    242619.00
2018 04 19 00 52 59 343       2.58       1.48      -2.16    -480.50     -86.60      60.10       2.12    242395.00
2018 04 19 00 53 58 818       2.49       1.44      -2.17    -480.60     -56.60      49.70       2.16    241584.00
2018 04 19 00 55 02 493       2.42       1.52      -2.16    -479.90     -58.10      57.50       2.15    248026.00
2018 04 19 00 56 00 392       2.39       1.56      -2.17    -480.30     -56.20      50.40       2.11    243367.00
2018 04 19 00 57 01 442       2.43       1.59      -2.07    -480.10     -57.60      53.10       2.14    244486.00
2018 04 19 00 57 57 247       2.38       1.56      -2.03    -480.90      -1.50      11.10       2.10    248443.00
2018 04 19 00 59 03  18       2.33       1.65      -1.98    -479.80     -60.00      51.60       2.06    237798.00
2018 04 19 00 59 56 724       2.42       1.72      -2.01    -481.00     -48.50      45.30       2.11    245270.00
