#SATELLITEXYZ
   245.3
    22.6
    -0.1

#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2018  4 19  0  1  0  0       2.360       2.037      -1.888    -307.572      16.776      -3.266   -9999.900   -9999.900
2018  4 19  0  2  0  0       2.322       2.042      -1.835    -309.170      16.609      -3.116   -9999.900   -9999.900
2018  4 19  0  3  0  0       2.569       0.691      -2.244    -307.573      17.583      -3.265   -9999.900   -9999.900
2018  4 19  0  4  0  0       2.554       0.688      -2.239   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  0  5  0  0       2.558       0.992      -2.111   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  0  6  0  0       2.985       1.323      -1.878    -309.363      15.945      -0.051   -9999.900   -9999.900
2018  4 19  0  7  0  0       3.135       1.372      -1.780    -307.531      18.038      -3.385   -9999.900   -9999.900
2018  4 19  0  8  0  0       3.021       1.742      -1.659    -306.969      15.572      -1.735   -9999.900   -9999.900
2018  4 19  0  9  0  0       2.932       1.905      -1.703    -306.823      15.834      -4.716   -9999.900   -9999.900
2018  4 19  0 10  0  0       2.985       1.918      -1.730    -307.662      14.242      -1.917   -9999.900   -9999.900
2018  4 19  0 11  0  0       3.024       1.763      -1.894    -309.367      12.628       1.347   -9999.900   -9999.900
2018  4 19  0 12  0  0       3.040       1.630      -1.886    -309.548      12.849       0.260   -9999.900   -9999.900
2018  4 19  0 13  0  0       3.089       1.564      -1.892    -308.551      13.369      -0.808   -9999.900   -9999.900
2018  4 19  0 14  0  0       3.160       1.284      -2.058    -308.739      13.021       0.506   -9999.900   -9999.900
2018  4 19  0 15  0  0       3.080       1.142      -1.950    -310.502      13.525       0.069   -9999.900   -9999.900
2018  4 19  0 16  0  0       3.057       1.308      -1.879    -309.673      13.478      -0.151   -9999.900   -9999.900
2018  4 19  0 17  0  0       2.994       1.262      -1.980    -308.127      13.319      -0.012   -9999.900   -9999.900
2018  4 19  0 18  0  0       2.430       0.828      -2.476    -309.133      14.328      -1.879   -9999.900   -9999.900
2018  4 19  0 19  0  0       2.420       1.439      -2.270    -308.883      13.836      -1.092   -9999.900   -9999.900
2018  4 19  0 20  0  0       2.395       1.777      -2.112    -308.793      13.315       1.943   -9999.900   -9999.900
2018  4 19  0 21  0  0       2.331       1.830      -1.694    -310.307      14.901       0.450   -9999.900   -9999.900
2018  4 19  0 22  0  0       2.414       1.786      -1.721    -310.482      15.786       1.114   -9999.900   -9999.900
2018  4 19  0 23  0  0       2.412       1.543      -2.060    -310.191      13.478       3.714   -9999.900   -9999.900
2018  4 19  0 24  0  0       2.357       1.852      -1.853    -309.629      17.922      -0.674   -9999.900   -9999.900
2018  4 19  0 25  0  0       2.271       1.718      -1.974    -310.752      15.297       0.630   -9999.900   -9999.900
2018  4 19  0 26  0  0       2.253       1.983      -1.712    -313.730      17.145      -0.789   -9999.900   -9999.900
2018  4 19  0 27  0  0       2.423       1.366      -2.171    -309.244      17.040      -0.143   -9999.900   -9999.900
2018  4 19  0 28  0  0       2.170       0.248      -2.557    -308.911      18.222      -1.634   -9999.900   -9999.900
2018  4 19  0 29  0  0       2.405      -0.793      -2.442    -306.823      18.681      -2.327   -9999.900   -9999.900
2018  4 19  0 30  0  0       2.487       0.121      -2.397    -306.662      19.778      -2.930   -9999.900   -9999.900
2018  4 19  0 31  0  0       2.568       0.486      -2.336    -308.767      18.733      -2.299   -9999.900   -9999.900
2018  4 19  0 32  0  0       2.292       1.602      -2.100    -308.786      16.380      -1.858   -9999.900   -9999.900
2018  4 19  0 33  0  0       2.216       1.975      -1.926    -306.726      15.502      -2.359   -9999.900   -9999.900
2018  4 19  0 34  0  0       2.409       1.929      -1.892    -305.565      15.642      -2.833   -9999.900   -9999.900
2018  4 19  0 35  0  0       2.214       1.975      -1.747    -305.162      15.532      -3.572   -9999.900   -9999.900
2018  4 19  0 36  0  0       2.410       1.796      -1.666    -305.459      14.238      -2.199   -9999.900   -9999.900
2018  4 19  0 37  0  0       3.108       1.798      -1.449   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  0 38  0  0       3.212       1.547      -1.685   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  0 39  0  0       3.159       1.470      -1.740   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  0 40  0  0       3.215       1.328      -1.667   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  0 41  0  0       3.364       1.225      -1.728    -314.275      21.223      -6.071   -9999.900   -9999.900
2018  4 19  0 42  0  0       3.174       1.576      -1.414    -314.148      20.556      -4.515   -9999.900   -9999.900
2018  4 19  0 43  0  0       2.971       1.863      -1.495    -312.701      17.725      -5.120   -9999.900   -9999.900
2018  4 19  0 44  0  0       2.973       1.917      -1.475    -310.493      17.674      -7.601   -9999.900   -9999.900
2018  4 19  0 45  0  0       2.846       2.060      -1.440    -312.087      17.359      -6.613   -9999.900   -9999.900
2018  4 19  0 46  0  0       2.860       2.175      -1.376    -313.391      18.196      -7.172   -9999.900   -9999.900
2018  4 19  0 47  0  0       2.972       1.967      -1.460    -313.943      18.688      -6.839   -9999.900   -9999.900
2018  4 19  0 48  0  0       2.833       2.054      -1.468    -313.798      17.277      -5.362   -9999.900   -9999.900
2018  4 19  0 49  0  0       2.863       2.030      -1.480    -313.552      17.388      -5.257   -9999.900   -9999.900
2018  4 19  0 50  0  0       2.948       1.942      -1.610    -313.160      19.398      -5.647   -9999.900   -9999.900
2018  4 19  0 51  0  0       3.126       1.926      -1.696    -311.653      17.742      -4.739   -9999.900   -9999.900
2018  4 19  0 52  0  0       2.591       2.308      -1.677    -312.536      14.503      -2.672   -9999.900   -9999.900
2018  4 19  0 53  0  0       2.461       2.457      -1.640    -312.257      16.271      -4.829   -9999.900   -9999.900
2018  4 19  0 54  0  0       2.290       2.633      -1.620    -311.429      12.253      -0.573   -9999.900   -9999.900
2018  4 19  0 55  0  0       2.253       2.770      -1.458    -309.789      10.522      -0.292   -9999.900   -9999.900
2018  4 19  0 56  0  0       2.234       2.742      -1.505    -307.361      12.997      -2.748   -9999.900   -9999.900
2018  4 19  0 57  0  0       2.068       2.835      -1.483    -304.634      13.914      -4.207   -9999.900   -9999.900
2018  4 19  0 58  0  0       2.021       2.878      -1.484    -304.681      15.595      -5.489   -9999.900   -9999.900
2018  4 19  0 59  0  0       2.096       2.706      -1.484    -304.638      16.710      -5.669   -9999.900   -9999.900
2018  4 19  1  0  0  0       2.091       2.441      -1.535    -304.164      15.136      -5.322   -9999.900   -9999.900
2018  4 19  1  1  0  0       2.012       2.249      -1.406    -302.907      17.783      -8.839   -9999.900   -9999.900
2018  4 19  1  2  0  0       1.599       2.619      -1.202    -301.865      18.768      -9.717   -9999.900   -9999.900
2018  4 19  1  3  0  0       1.756       2.384      -1.384    -300.738      17.895      -8.293   -9999.900   -9999.900
2018  4 19  1  4  0  0       1.887       2.314      -1.500    -302.158      19.034     -10.266   -9999.900   -9999.900
2018  4 19  1  5  0  0       2.020       2.443      -1.497    -303.489      19.650     -10.868   -9999.900   -9999.900
2018  4 19  1  6  0  0       2.895       1.147      -1.390    -302.728      18.184      -7.705   -9999.900   -9999.900
2018  4 19  1  7  0  0       2.573       1.714      -1.149    -303.373      17.502      -8.151   -9999.900   -9999.900
2018  4 19  1  8  0  0       2.664       1.700      -1.285    -301.264      15.548      -7.381   -9999.900   -9999.900
2018  4 19  1  9  0  0       2.902       1.319      -1.299    -302.759      15.629      -5.597   -9999.900   -9999.900
2018  4 19  1 10  0  0       3.205       1.094      -1.441   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 11  0  0       3.198       1.053      -1.428   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 12  0  0       3.057       0.995      -1.128   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 13  0  0       2.282       2.013      -1.073   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 14  0  0       2.103       2.150      -0.913   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 15  0  0       2.186       2.120      -1.070    -299.053      14.047      -7.463   -9999.900   23476.966
2018  4 19  1 16  0  0       2.213       2.009      -0.911    -298.833      14.178      -6.592   -9999.900   20051.097
2018  4 19  1 17  0  0       2.265       1.714      -1.168    -298.398      12.687      -4.258   -9999.900   21120.310
2018  4 19  1 18  0  0       2.178       1.583      -1.130    -297.163      12.237      -5.422   -9999.900   22032.345
2018  4 19  1 19  0  0       2.279       1.432      -1.139    -294.604      13.113      -8.322   -9999.900   19822.440
2018  4 19  1 20  0  0       1.700       1.377      -1.019    -294.084      14.121      -9.068   -9999.900   19728.216
2018  4 19  1 21  0  0       1.642       1.330      -0.944    -294.843      14.476      -9.799   -9999.900   19388.160
2018  4 19  1 22  0  0       1.859       1.769      -1.048    -293.772      15.459     -11.989   -9999.900   17918.623
2018  4 19  1 23  0  0       1.618       0.988      -1.034    -293.307      17.403     -12.218   -9999.900   20535.470
2018  4 19  1 24  0  0       1.654       1.225      -0.873    -293.356      16.716     -12.532   -9999.900   20349.247
2018  4 19  1 25  0  0       1.547       1.310      -0.848    -294.707      16.752     -14.465   -9999.900   23117.533
2018  4 19  1 26  0  0       1.563       1.474      -0.672    -293.975      15.169     -12.612   -9999.900   20733.656
2018  4 19  1 27  0  0       1.449       1.280      -0.823    -293.799      15.895     -15.186   -9999.900   21170.126
2018  4 19  1 28  0  0       1.588       1.189      -0.631    -292.881      14.835     -10.574   -9999.900   20153.876
2018  4 19  1 29  0  0       1.556       1.152      -0.715    -293.176      15.878     -10.529   -9999.900   20541.406
2018  4 19  1 30  0  0       1.591       1.211      -0.874    -291.404      15.399     -10.203   -9999.900   -9999.900
2018  4 19  1 31  0  0       1.741       1.157      -0.839    -293.718      17.126     -11.867   -9999.900   -9999.900
2018  4 19  1 32  0  0       1.724       1.247      -0.794    -293.382      16.116     -11.394   -9999.900   -9999.900
2018  4 19  1 33  0  0       1.787       1.278      -0.825    -294.489      16.478     -12.884   -9999.900   21144.467
2018  4 19  1 34  0  0       1.695       1.375      -0.869    -294.791      17.366     -13.058   -9999.900   20887.032
2018  4 19  1 35  0  0       1.760       1.421      -0.794    -293.733      16.929     -13.849   -9999.900   20062.438
2018  4 19  1 36  0  0       1.688       1.380      -0.752    -294.037      16.868     -13.872   -9999.900   20081.656
2018  4 19  1 37  0  0       1.558       1.272      -0.698    -294.958      17.155     -11.882   -9999.900   21031.217
2018  4 19  1 38  0  0       1.462       1.410      -0.729    -294.200      16.433     -11.333   -9999.900   21226.690
2018  4 19  1 39  0  0       1.423       1.441      -0.711    -293.819      16.343     -12.155   -9999.900   19899.092
2018  4 19  1 40  0  0       1.330       1.403      -0.691    -295.379      17.083     -11.797   -9999.900   20994.158
2018  4 19  1 41  0  0       1.445       1.430      -0.566    -294.749      16.968     -10.958   -9999.900   19348.374
2018  4 19  1 42  0  0       1.595       1.388      -0.577    -294.085      17.835     -12.117   -9999.900   20279.968
2018  4 19  1 43  0  0       1.576       1.311      -0.655   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 44  0  0       1.452       1.294      -0.626   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 45  0  0       1.417       1.304      -0.686   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2018  4 19  1 46  0  0       1.428       1.366      -0.640    -294.286      17.817     -12.014   -9999.900   19583.874
2018  4 19  1 47  0  0       1.638       1.736      -0.753    -294.250      15.525     -12.684   -9999.900   18374.189
2018  4 19  1 48  0  0       1.577       1.608      -0.599    -292.572      14.977     -12.566   -9999.900   18115.844
2018  4 19  1 49  0  0       1.546       1.663      -0.736    -293.033      14.525     -10.898   -9999.900   18330.437
2018  4 19  1 50  0  0       1.539       1.720      -0.805    -294.390      14.610      -9.756   -9999.900   19601.311
2018  4 19  1 51  0  0       1.520       1.748      -0.791    -294.091      14.175      -8.675   -9999.900   18331.565
2018  4 19  1 52  0  0       1.540       1.759      -0.833    -292.914      14.114      -9.252   -9999.900   17526.717
2018  4 19  1 53  0  0       1.588       1.702      -0.785    -292.554      14.696     -10.925   -9999.900   19651.498
2018  4 19  1 54  0  0       1.587       1.767      -0.726    -292.616      14.578     -10.668   -9999.900   19780.596
2018  4 19  1 55  0  0       1.616       1.679      -0.661    -292.222      14.873     -10.042   -9999.900   17015.064
2018  4 19  1 56  0  0       1.534       1.718      -0.700    -291.656      15.715     -10.583   -9999.900   16238.843
2018  4 19  1 57  0  0       1.232       1.869      -0.710    -290.726      14.396      -9.124   -9999.900   -9999.900
2018  4 19  1 58  0  0       1.287       1.914      -0.696    -290.062      13.591      -8.459   -9999.900   -9999.900
2018  4 19  1 59  0  0       1.286       1.805      -0.624    -292.162      15.850     -11.689   -9999.900   -9999.900
2018  4 19  2  0  0  0       1.264       1.880      -0.691    -290.728      13.740     -10.161   -9999.900   -9999.900
2018  4 19  2  1  0  0       1.159       1.900      -0.713    -291.033      12.392     -10.155   -9999.900   -9999.900
2018  4 19  2  2  0  0       1.361       1.850      -0.625    -290.538      14.420     -12.244   -9999.900   15306.937
2018  4 19  2  3  0  0       1.542       1.689      -0.404    -291.651      14.367     -12.919   -9999.900   17077.249
2018  4 19  2  4  0  0       1.189       1.703      -0.672    -290.560      15.268     -13.129   -9999.900   15648.721
2018  4 19  2  5  0  0       1.201       1.684      -0.628    -289.810      15.480     -13.502   -9999.900   15440.593
2018  4 19  2  6  0  0       1.118       1.739      -0.642    -290.013      15.143     -12.607   -9999.900   15485.250
2018  4 19  2  7  0  0       1.361       1.617      -0.403    -289.519      16.239     -13.112   -9999.900   16326.342
2018  4 19  2  8  0  0       1.246       1.687      -0.571    -288.703      16.661     -13.792   -9999.900   15246.347
2018  4 19  2  9  0  0       1.194       1.686      -0.584    -288.829      14.832     -12.453   -9999.900   14900.090
2018  4 19  2 10  0  0       1.281       1.689      -0.631    -289.374      14.606     -11.658   -9999.900   16456.315
2018  4 19  2 11  0  0       1.373       1.740      -0.524    -290.137      15.834     -12.643   -9999.900   15626.716
2018  4 19  2 12  0  0       1.422       1.670      -0.518    -291.695      13.300     -13.086   -9999.900   18891.470
2018  4 19  2 13  0  0       1.575       1.714      -0.411    -290.443      15.394     -13.894   -9999.900   17553.655
2018  4 19  2 14  0  0       1.560       1.634      -0.346    -288.247      13.278     -12.202   -9999.900   18102.376
