#SATELLITEXYZ
   221.8
    -3.6
    25.9

#COORDINATES
GSE

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2018  4 19  0  0  0  0       2.550       1.190      -1.950    -479.100    -102.300      77.000       2.140  242462.000
2018  4 19  0  1  0  0       2.530       1.190      -1.940    -479.400     -89.100      60.300       2.120  252473.000
2018  4 19  0  2  0  0       2.530       1.480      -1.910    -478.600    -101.800      80.200       2.130  243114.000
2018  4 19  0  3  0  0       2.580       1.890      -1.800    -480.100      -1.500      32.200       2.140  250601.000
2018  4 19  0  4  0  0       2.540       2.020      -1.760    -479.100    -106.900      82.000       2.140  245011.000
2018  4 19  0  5  0  0       2.580       2.010      -1.780    -479.800     -97.400      60.200       2.170  252694.000
2018  4 19  0  6  0  0       2.550       1.910      -1.800    -479.200    -109.400      76.600       2.170  248566.000
2018  4 19  0  7  0  0       2.550       1.880      -1.850    -481.000     -53.200      44.200       2.130  248249.000
2018  4 19  0  8  0  0       2.650       1.660      -1.960    -480.100     -47.900      35.200       2.150  246462.000
2018  4 19  0  9  0  0       2.580       1.780      -1.940    -479.800     -96.000      61.200       2.130  245758.000
2018  4 19  0 10  0  0       2.600       1.790      -1.880    -479.200    -106.500      64.500       2.150  242619.000
2018  4 19  0 11  0  0       2.580       1.480      -2.160    -480.500     -86.600      60.100       2.120  242395.000
2018  4 19  0 12  0  0       2.490       1.440      -2.170    -480.600     -56.600      49.700       2.160  241584.000
2018  4 19  0 13  0  0       2.420       1.520      -2.160    -479.900     -58.100      57.500       2.150  248026.000
2018  4 19  0 14  0  0       2.390       1.560      -2.170    -480.300     -56.200      50.400       2.110  243367.000
2018  4 19  0 15  0  0       2.430       1.590      -2.070    -480.100     -57.600      53.100       2.140  244486.000
2018  4 19  0 16  0  0       2.380       1.560      -2.030    -480.900      -1.500      11.100       2.140  248443.000
2018  4 19  0 17  0  0       2.330       1.650      -1.980    -479.800     -60.000      51.600       2.060  237798.000
2018  4 19  0 18  0  0       2.420       1.650      -2.010    -481.000     -48.500      45.300       2.110  245270.000
2018  4 19  0 19  0  0       2.340       1.790      -1.970    -479.800    -107.800      80.400       2.160  247631.000
2018  4 19  0 20  0  0       2.250       1.930      -1.900    -480.500     -56.700      52.700       2.150  245483.000
2018  4 19  0 21  0  0       2.170       1.820      -1.990    -480.800     -42.000      39.700       2.100  239683.000
2018  4 19  0 22  0  0       2.150       2.040      -1.940    -479.400     -57.700      52.500       2.110  239232.000
2018  4 19  0 23  0  0       2.420       1.050      -2.300    -479.900     -56.200      51.300       2.260  257568.000
2018  4 19  0 24  0  0       2.380       0.680      -2.490    -479.100     -52.400      46.600       2.210  258093.000
2018  4 19  0 25  0  0       2.360       0.790      -2.420    -480.100     -60.800      46.400       2.160  251432.000
2018  4 19  0 26  0  0       2.390       0.150      -2.410    -477.800     -93.400      57.400       2.190  243413.000
2018  4 19  0 27  0  0       2.510       1.820      -1.870    -481.300      -1.600      11.200       2.180  246977.000
2018  4 19  0 28  0  0       2.500       1.730      -1.900    -479.600     -73.100      51.600       2.190  243201.000
2018  4 19  0 29  0  0       2.510       1.570      -1.920    -480.500      -1.600      11.200       2.170  253719.000
2018  4 19  0 30  0  0       2.410       1.710      -1.870    -480.000      -1.800      11.400       2.170  244883.000
2018  4 19  0 31  0  0       2.520       1.650      -1.930    -480.700     -53.900      38.800       2.250  241143.000
2018  4 19  0 32  0  0       2.570       1.640      -1.860    -481.100      -1.600      11.200       2.190  244535.000
2018  4 19  0 33  0  0       2.670       1.500      -1.800    -479.600    -112.800      84.100       2.160  243988.000
2018  4 19  0 34  0  0       2.720       1.410      -1.900    -480.300     -59.400      54.800       2.100  239998.000
2018  4 19  0 35  0  0       2.610       1.400      -1.900    -480.400     -65.600      54.200       2.110  234754.000
