Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2018 08 25 01 02 07 359       2.34      -4.46       1.30    -336.17     -19.87      -5.40       6.70     14338.05
2018 08 25 01 03 12 910       2.34      -4.47       1.19    -335.67     -21.40      -6.94       6.64     15342.03
2018 08 25 01 04 54 283       2.29      -4.49       1.08    -331.93      -4.12       0.89       6.43     10786.48
2018 08 25 01 06 03 178       2.42      -4.58       0.97    -331.13      -4.32      -0.30       6.45     12526.90
2018 08 25 01 06 21 728       2.38      -4.54       0.78    -334.86     -21.70     -10.56       6.87     15775.86
2018 08 25 01 07 28 834       2.38      -4.59       0.75    -334.22     -21.00     -10.59       6.76     16865.06
2018 08 25 01 08 27 719       2.33      -4.62       0.64    -334.32     -20.12      -9.94       6.75     15964.15
2018 08 25 01 09 20 662       2.40      -4.72       0.79    -334.96     -22.11     -10.84       6.45     15720.72
2018 08 25 01 10 21 223       2.39      -4.72       0.80    -334.91     -20.89     -10.13       6.57     15731.96
2018 08 25 01 11 22 630       2.39      -4.64       0.68    -334.78     -19.05      -8.29       6.42     17116.35
2018 08 25 01 12 08   3       2.08      -4.86       1.19    -336.11     -19.75      -8.57       6.80     15663.98
2018 08 25 01 12 59 576       2.11      -4.85       1.37    -336.89     -17.18      -8.98       6.12     13279.25
2018 08 25 01 13 56 504       2.13      -4.92       1.32    -337.17     -19.66     -11.07       5.90     11480.35
2018 08 25 01 14 48 594       2.15      -4.95       1.23    -337.90     -18.42     -10.66       5.83     13608.25
2018 08 25 01 15 50 798       2.16      -4.96       1.17    -337.70     -17.23      -9.55       6.02     12475.62
2018 08 25 01 16 39 482       2.23      -5.06       1.29    -338.75     -17.14     -11.72       5.57     11160.38
2018 08 25 01 17 45 185       2.19      -5.07       1.36    -338.22     -15.62     -12.01       5.98     10781.33
2018 08 25 01 18 52 377       2.14      -5.16       1.22    -337.55     -16.50     -12.46       5.79     10987.93
2018 08 25 01 19 54 759       2.22      -5.13       1.16    -337.33     -18.34     -12.79       5.83     10274.81
2018 08 25 01 20 50 614       2.18      -5.12       1.09    -337.71     -18.20     -11.04       5.82     10819.66
2018 08 25 01 21 50 539       2.14      -5.11       1.04    -337.72     -18.22     -10.43       5.99     11278.33
2018 08 25 01 22 53 849       2.14      -5.18       1.07    -337.42     -17.71     -10.46       5.80     10975.03
2018 08 25 01 23 48 346       2.02      -5.27       1.35    -337.93     -15.58     -10.07       5.12     10423.19
2018 08 25 01 24 46 285       1.95      -5.27       1.44    -338.12     -15.93      -9.11       5.06     10505.22
2018 08 25 01 25 35 211       1.98      -5.32       1.34    -339.15     -15.56     -10.08       4.94      9658.45
2018 08 25 01 26 34  64       1.94      -5.38       1.30    -339.25     -14.18      -9.45       5.09      8651.41
2018 08 25 01 27 28  22       2.06      -5.33       1.48    -339.82     -14.85     -11.10       5.10      9084.10
