BEGIN METADATA
MAG and SWEPAM 64-second Averaged IMF and Solar Wind Ion Parameters
Data downloaded from ACE Science Center on Fri Sep 16 14:25:42 2022
MAG/SWEPAM Team Software Version: 2.0
MAG/SWEPAM Team Time/Date Processed: 


Note: All timestamps are UT, and refer to the start of the time period.
year,day,hr,min,sec: year, day of year, hour of day, minutes, seconds.
fp_year       : fractional year.
fp_doy        : fractional day-of-year.
ACEepoch      : seconds since Jan 1 00:00:00 UT 1996.
Np            : Proton Density (cm^-3).
Tp            : Radial Component of proton temperature (deg. Kelvin).
Alpha_ratio   : Ratio of alphas/protons
Vp            : Proton Speed (km/s)
r,t,n_dot_RTN : R,T,N-component of proton velocity in RTN coordinates (km/s)
x,y,z_dot_GSE : X,Y,Z-component of proton velocity in GSE coordinates (km/s)
x,y,z_dot_GSM : X,Y,Z-component of proton velocity in GSM coordinates (km/s)
Br            : R-component of mag. field in RTN (nT).
Bt            : T-component of mag. field in RTN (nT).
Bn            : N-component of mag. field in RTN (nT).
Bgse_x        : X-component of mag. field in GSE (nT).
Bgse_y        : Y-component of mag. field in GSE (nT).
Bgse_z        : Z-component of mag. field in GSE (nT).
Bgsm_x        : X-component of mag. field in GSM (nT).
Bgsm_y        : Y-component of mag. field in GSM (nT).
Bgsm_z        : Z-component of mag. field in GSM (nT).
Bmag          : <|B|> magnetic field magnitude (nT).
Lambda        : mag. field longitude in RTN (0 to 360 degrees).
Delta         : mag. field latitude in RTN (-90 to 90 degrees).
dBrms         : RMS values of underlying high-resolution measurements (nT).
pos_gse_x,y,z : Components of spacecraft position in GSE (km).
pos_gsm_x,y,z : Components of spacecraft position in GSM (km).
pos_hs_x,y,z  : Components of spacecraft position in HS (km).
MAG_pts       : Number of hi-res (16-sec) MAG measurements included in the average.
A value of -9999.9 indicates bad or missing data.

More Documentation of the ACE SWEPAM level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/swepam_l2desc.html
More Documentation of the ACE MAG level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/mag_l2desc.html

year day hr min sec Np Tp V_gse_x V_gse_y V_gse_z B_gse_x B_gse_y B_gse_z pos_gse_x pos_gse_y pos_gse_z 
BEGIN DATA
2019 216  0  0  0.000  -9999.900  4.3709e+04   -350.08      8.63     -8.19    3.359   -0.020   -0.627  1.4412e+06  1.1721e+05 -6.4038e+04
2019 216  0  1  4.022  -9999.900  4.3725e+04   -347.90      7.83     -7.82    3.069   -0.308   -0.978  1.4412e+06  1.1722e+05 -6.4041e+04
2019 216  0  2  8.045  -9999.900  4.7038e+04   -350.43      9.71    -10.62    3.318   -0.141   -0.783  1.4412e+06  1.1722e+05 -6.4045e+04
2019 216  0  3 11.981  -9999.900  4.5038e+04   -347.96      8.65     -7.84    3.178   -0.134   -0.976  1.4412e+06  1.1723e+05 -6.4048e+04
2019 216  0  4 16.003  -9999.900  5.1263e+04   -347.74      7.83     -7.63    3.295   -0.031   -0.799  1.4412e+06  1.1724e+05 -6.4052e+04
2019 216  0  5 20.026  -9999.900  4.9376e+04   -346.86      9.51    -10.24    3.282    0.016   -0.808  1.4412e+06  1.1724e+05 -6.4055e+04
2019 216  0  6 24.048  -9999.900  4.2319e+04   -349.43      9.18     -8.64    3.347   -0.010   -0.640  1.4412e+06  1.1725e+05 -6.4058e+04
2019 216  0  7 27.984  -9999.900  4.0008e+04   -348.31      8.46     -8.60    3.454    0.270   -0.530  1.4412e+06  1.1726e+05 -6.4062e+04
2019 216  0  8 32.006  -9999.900  4.4679e+04   -349.50      8.53     -8.33    3.423    0.231   -0.459  1.4412e+06  1.1726e+05 -6.4065e+04
2019 216  0  9 36.029  -9999.900  4.2365e+04   -347.82      9.07     -8.59    3.490    0.105   -0.284  1.4412e+06  1.1727e+05 -6.4069e+04
2019 216  0 10 40.051  -9999.900  4.4188e+04   -348.69      8.61     -9.35    3.519    0.249   -0.045  1.4412e+06  1.1728e+05 -6.4072e+04
2019 216  0 11 43.987  -9999.900  3.9823e+04   -349.54      9.19    -10.83    3.499    0.247   -0.184  1.4412e+06  1.1728e+05 -6.4075e+04
2019 216  0 12 48.010  -9999.900  4.6303e+04   -349.25      8.86     -9.06    3.532    0.224   -0.157  1.4412e+06  1.1729e+05 -6.4079e+04
