MAG 16-second Averaged Interplanetary Magnetic Field Data, GSE
year doy hr min sec Bx By Bz 
2019 216  0  0  9.606    3.349   -0.218   -0.884
2019 216  0  0 25.606    3.363   -0.150   -0.445
2019 216  0  0 41.606    3.379    0.182   -0.324
2019 216  0  0 57.606    3.089   -0.011   -0.997
2019 216  0  1 13.606    2.936   -0.399   -1.259
2019 216  0  1 29.606    3.036   -0.510   -0.992
2019 216  0  1 45.606    3.215   -0.312   -0.664
2019 216  0  2  1.606    3.297   -0.114   -0.598
2019 216  0  2 17.606    3.306   -0.098   -0.774
2019 216  0  2 33.606    3.336   -0.081   -0.880
2019 216  0  2 49.606    3.332   -0.271   -0.880
2019 216  0  3  5.606    3.183   -0.360   -1.016
2019 216  0  3 21.606    3.232   -0.281   -0.823
2019 216  0  3 37.605    3.231    0.052   -0.872
2019 216  0  3 53.605    3.066    0.053   -1.192
2019 216  0  4  9.605    3.169    0.003   -1.089
2019 216  0  4 25.605    3.349    0.029   -0.790
2019 216  0  4 41.605    3.343   -0.096   -0.657
2019 216  0  4 57.605    3.320   -0.062   -0.661
2019 216  0  5 13.605    3.241    0.066   -0.821
2019 216  0  5 29.605    3.282    0.002   -0.855
2019 216  0  5 45.605    3.357    0.000   -0.794
2019 216  0  6  1.605    3.250   -0.004   -0.761
2019 216  0  6 17.605    3.273   -0.008   -0.681
2019 216  0  6 33.605    3.321    0.191   -0.704
2019 216  0  6 49.605    3.409   -0.037   -0.569
2019 216  0  7  5.605    3.387   -0.186   -0.606
2019 216  0  7 21.605    3.450    0.186   -0.543
2019 216  0  7 37.605    3.479    0.463   -0.361
2019 216  0  7 53.605    3.446    0.324   -0.687
2019 216  0  8  9.605    3.441    0.106   -0.529
2019 216  0  8 25.605    3.489    0.185   -0.526
2019 216  0  8 41.605    3.429    0.261   -0.552
2019 216  0  8 57.605    3.432    0.262   -0.397
2019 216  0  9 13.605    3.344    0.218   -0.361
2019 216  0  9 29.605    3.452    0.219   -0.400
2019 216  0  9 45.605    3.483    0.075   -0.236
2019 216  0 10  1.605    3.491    0.014   -0.271
2019 216  0 10 17.605    3.533    0.111   -0.231
2019 216  0 10 33.605    3.530    0.150   -0.230
2019 216  0 10 49.605    3.521    0.254   -0.018
2019 216  0 11  5.605    3.551    0.288    0.029
2019 216  0 11 21.605    3.473    0.305    0.040
2019 216  0 11 37.605    3.466    0.285   -0.104
2019 216  0 11 53.604    3.487    0.238   -0.173
2019 216  0 12  9.604    3.510    0.193   -0.235
2019 216  0 12 25.604    3.531    0.272   -0.223
2019 216  0 12 41.604    3.569    0.263   -0.224
2019 216  0 12 57.604    3.524    0.236   -0.226
2019 216  0 13 13.604    3.559    0.207   -0.158
2019 216  0 13 29.604    3.476    0.188   -0.018
2019 216  0 13 45.604    3.422    0.262   -0.067
2019 216  0 14  1.604    3.540    0.252   -0.113
2019 216  0 14 17.604    3.551    0.194   -0.194
2019 216  0 14 33.604    3.527    0.160   -0.190
2019 216  0 14 49.604    3.532    0.186   -0.188
2019 216  0 15  5.604    3.551    0.174   -0.228
2019 216  0 15 21.604    3.537    0.166   -0.225
2019 216  0 15 37.604    3.544    0.225   -0.175
2019 216  0 15 53.604    3.502    0.238   -0.250
2019 216  0 16  9.604    3.560    0.201   -0.294
2019 216  0 16 25.604    3.595    0.269   -0.312
2019 216  0 16 41.604    3.557    0.264   -0.285
2019 216  0 16 57.604    3.574    0.242   -0.243
2019 216  0 17 13.604    3.541    0.253   -0.216
2019 216  0 17 29.604    3.558    0.300   -0.252
2019 216  0 17 45.604    3.597    0.308   -0.232
2019 216  0 18  1.604    3.603    0.266   -0.229
2019 216  0 18 17.604    3.586    0.293   -0.230
2019 216  0 18 33.604    3.513    0.249   -0.199
2019 216  0 18 49.604    3.569    0.289   -0.255
2019 216  0 19  5.604    3.538    0.313   -0.186
2019 216  0 19 21.604    3.586    0.215   -0.223
2019 216  0 19 37.604    3.522    0.298   -0.221
2019 216  0 19 53.604    3.447    0.777   -0.033
2019 216  0 20  9.603    3.540    0.748   -0.130
2019 216  0 20 25.603    3.518    0.596   -0.404
2019 216  0 20 41.603    3.522    0.530   -0.394
2019 216  0 20 57.603    3.574    0.031   -0.556
2019 216  0 21 13.603    3.633   -0.173   -0.555
2019 216  0 21 29.603    3.600   -0.099   -0.535
2019 216  0 21 45.603    3.612   -0.155   -0.477
2019 216  0 22  1.603    3.598   -0.208   -0.604
2019 216  0 22 17.603    3.488   -0.307   -0.675
2019 216  0 22 33.603    3.524   -0.146   -0.613
2019 216  0 22 49.603    3.605   -0.090   -0.533
2019 216  0 23  5.603    3.599   -0.106   -0.500
2019 216  0 23 21.603    3.563   -0.122   -0.637
2019 216  0 23 37.603    3.684   -0.049   -0.566
2019 216  0 23 53.603    3.695   -0.031   -0.470
2019 216  0 24  9.603    3.721   -0.027   -0.463
2019 216  0 24 25.603    3.662   -0.031   -0.463
2019 216  0 24 41.603    3.661   -0.053   -0.426
2019 216  0 24 57.603    3.706   -0.080   -0.361
2019 216  0 25 13.603    3.575   -0.144   -0.417
2019 216  0 25 29.603    3.623   -0.126   -0.532
2019 216  0 25 45.603    3.544   -0.067   -0.623
2019 216  0 26  1.603    3.353   -0.359   -0.915
2019 216  0 26 17.603    3.076   -0.665   -1.156
2019 216  0 26 33.603    3.160   -0.601   -1.176
2019 216  0 26 49.603    3.082   -0.609   -1.230
2019 216  0 27  5.603    3.043   -0.716   -1.261
2019 216  0 27 21.603    2.970   -0.695   -1.263
2019 216  0 27 37.603    3.123   -0.683   -1.187
