BEGIN METADATA
SWEPAM 64-second Averaged Solar Wind Ion Parameters
Data downloaded from ACE Science Center on Fri Sep 16 14:16:42 2022
SWEPAM Team Software Version: 3.30
SWEPAM Team Time/Date Processed: 
ACE Science Center Level2 Software Version: 1.5
ACE Science Center Processing Date/Time: Thu Feb  3 23:17:45 2022 PST


Note: All timestamps are UT, and refer to the start of the time period.
year,day,hr,min,sec: year, day of year, hour of day, minutes, seconds.
fp_year       : fractional year.
fp_doy        : fractional day-of-year.
ACEepoch      : seconds since Jan 1 00:00:00 UT 1996.
proton_density: Proton Density (cm^-3).
proton_temp   : Radial Component of proton temperature (deg. Kelvin).
He4toprotons  : Ratio of alphas/protons
proton_speed  : Proton Speed (km/s)
x,y,z_dot_GSE : X,Y,Z-component of proton velocity in GSE coordinates (km/s)
r,t,n_dot_RTN : R,T,N-component of proton velocity in RTN coordinates (km/s)
x,y,z_dot_GSM : X,Y,Z-component of proton velocity in GSM coordinates (km/s)
Electron_temp : Electron Temperature (deg. Kelvin).
pos_gse_x,y,z : Components of spacecraft position in GSE (km).
pos_gsm_x,y,z : Components of spacecraft position in GSM (km).
A value of -9999.9 indicates bad or missing data.

More Documentation of the ACE SWEPAM level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/swepam_l2desc.html

year day hr min sec proton_density proton_temp x_dot_GSE y_dot_GSE z_dot_GSE pos_gse_x pos_gse_y pos_gse_z 
BEGIN DATA
2019 216  0  0 16.000  -9999.900  4.3709e+04   -350.08      8.70     -8.17  1.4412e+06  1.1721e+05 -6.4039e+04
2019 216  0  1 20.000  -9999.900  4.3725e+04   -347.90      7.90     -7.82  1.4412e+06  1.1722e+05 -6.4042e+04
2019 216  0  2 24.000  -9999.900  4.7038e+04   -350.43      9.79    -10.60  1.4412e+06  1.1723e+05 -6.4046e+04
2019 216  0  3 28.000  -9999.900  4.5038e+04   -347.95      8.72     -7.83  1.4412e+06  1.1723e+05 -6.4049e+04
2019 216  0  4 32.000  -9999.900  5.1263e+04   -347.73      7.90     -7.62  1.4412e+06  1.1724e+05 -6.4052e+04
2019 216  0  5 36.000  -9999.900  4.9376e+04   -346.85      9.58    -10.22  1.4412e+06  1.1725e+05 -6.4056e+04
2019 216  0  6 40.000  -9999.900  4.2319e+04   -349.43      9.24     -8.63  1.4412e+06  1.1725e+05 -6.4059e+04
2019 216  0  7 44.000  -9999.900  4.0008e+04   -348.31      8.53     -8.59  1.4412e+06  1.1726e+05 -6.4063e+04
2019 216  0  8 48.000  -9999.900  4.4679e+04   -349.50      8.60     -8.31  1.4412e+06  1.1727e+05 -6.4066e+04
2019 216  0  9 52.000  -9999.900  4.2365e+04   -347.82      9.14     -8.57  1.4412e+06  1.1727e+05 -6.4069e+04
2019 216  0 10 56.000  -9999.900  4.4188e+04   -348.69      8.68     -9.34  1.4412e+06  1.1728e+05 -6.4073e+04
2019 216  0 12  0.000  -9999.900  3.9823e+04   -349.54      9.26    -10.82  1.4412e+06  1.1729e+05 -6.4076e+04
2019 216  0 13  4.000  -9999.900  4.6303e+04   -349.25      8.93     -9.05  1.4412e+06  1.1729e+05 -6.4080e+04
2019 216  0 14  8.000  -9999.900  4.1114e+04   -348.94      9.30    -10.05  1.4412e+06  1.1730e+05 -6.4083e+04
2019 216  0 15 12.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.4412e+06  1.1731e+05 -6.4086e+04
2019 216  0 16 16.000  -9999.900  4.6459e+04   -348.42      8.46     -9.12  1.4412e+06  1.1731e+05 -6.4090e+04
2019 216  0 17 20.000  -9999.900  3.7998e+04   -349.57      8.72     -9.45  1.4412e+06  1.1732e+05 -6.4093e+04
2019 216  0 18 24.000  -9999.900  4.1834e+04   -348.99      8.27     -8.78  1.4412e+06  1.1733e+05 -6.4097e+04
2019 216  0 19 28.000  -9999.900  3.8981e+04   -348.46      8.70     -9.52  1.4412e+06  1.1733e+05 -6.4100e+04
2019 216  0 20 32.000  -9999.900  4.3455e+04   -347.67     10.08    -11.10  1.4412e+06  1.1734e+05 -6.4103e+04
2019 216  0 21 36.000  -9999.900  4.8522e+04   -344.17      7.35     -7.73  1.4412e+06  1.1735e+05 -6.4107e+04
2019 216  0 22 40.000  -9999.900  4.5369e+04   -348.75      8.75     -9.91  1.4412e+06  1.1735e+05 -6.4110e+04
2019 216  0 23 44.000  -9999.900  4.1508e+04   -345.74      8.04     -8.56  1.4412e+06  1.1736e+05 -6.4114e+04
2019 216  0 24 48.000  -9999.900  4.8487e+04   -347.02      7.35     -6.95  1.4412e+06  1.1737e+05 -6.4117e+04
2019 216  0 25 52.000  -9999.900  4.8386e+04   -345.14      8.30     -8.32  1.4412e+06  1.1737e+05 -6.4120e+04
2019 216  0 26 56.000  -9999.900  4.3680e+04   -351.57      9.74     -8.59  1.4412e+06  1.1738e+05 -6.4124e+04
2019 216  0 28  0.000  -9999.900  4.2871e+04   -349.13      8.96     -8.73  1.4412e+06  1.1739e+05 -6.4127e+04
2019 216  0 29  4.000  -9999.900  4.4015e+04   -351.49      9.04     -6.75  1.4412e+06  1.1739e+05 -6.4131e+04
2019 216  0 30  8.000  -9999.900  3.6623e+04   -351.42     10.94    -10.30  1.4412e+06  1.1740e+05 -6.4134e+04
2019 216  0 31 12.000  -9999.900  4.4959e+04   -349.47      9.50     -8.20  1.4412e+06  1.1741e+05 -6.4137e+04
2019 216  0 32 16.000  -9999.900  3.6793e+04   -350.86     10.25    -10.96  1.4412e+06  1.1741e+05 -6.4141e+04
2019 216  0 33 20.000  -9999.900  4.3416e+04   -351.00      9.70     -9.39  1.4412e+06  1.1742e+05 -6.4144e+04
2019 216  0 34 24.000  -9999.900  3.6730e+04   -352.34     10.76    -11.26  1.4412e+06  1.1743e+05 -6.4148e+04
2019 216  0 35 28.000  -9999.900 -9.9999e+03   -347.47      8.51     -6.99  1.4412e+06  1.1743e+05 -6.4151e+04
2019 216  0 36 32.000  -9999.900  4.0123e+04   -350.19      9.13     -8.34  1.4412e+06  1.1744e+05 -6.4154e+04
2019 216  0 37 36.000  -9999.900  4.0323e+04   -352.25     10.16     -9.89  1.4412e+06  1.1745e+05 -6.4158e+04
2019 216  0 38 40.000  -9999.900  3.3246e+04   -352.60     10.91    -10.78  1.4412e+06  1.1745e+05 -6.4161e+04
2019 216  0 39 44.000  -9999.900  4.1157e+04   -348.36     10.59    -11.01  1.4412e+06  1.1746e+05 -6.4165e+04
2019 216  0 40 48.000  -9999.900  4.5546e+04   -347.42     10.38     -9.79  1.4412e+06  1.1747e+05 -6.4168e+04
2019 216  0 41 52.000  -9999.900  4.2465e+04   -349.90      9.15     -8.43  1.4412e+06  1.1747e+05 -6.4171e+04
2019 216  0 42 56.000  -9999.900  4.2083e+04   -348.49     10.51    -10.94  1.4412e+06  1.1748e+05 -6.4175e+04
2019 216  0 44  0.000  -9999.900  4.6641e+04   -345.84      9.91     -9.17  1.4412e+06  1.1749e+05 -6.4178e+04
2019 216  0 45  4.000  -9999.900  4.1888e+04   -345.97     10.06    -10.08  1.4412e+06  1.1749e+05 -6.4182e+04
2019 216  0 46  8.000  -9999.900  4.7453e+04   -347.17     10.24     -9.49  1.4412e+06  1.1750e+05 -6.4185e+04
2019 216  0 47 12.000  -9999.900  3.9302e+04   -347.97     10.57    -10.56  1.4412e+06  1.1751e+05 -6.4188e+04
2019 216  0 48 16.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.4412e+06  1.1751e+05 -6.4192e+04
2019 216  0 49 20.000  -9999.900 -9.9999e+03   -346.51     10.48    -11.95  1.4412e+06  1.1752e+05 -6.4195e+04
2019 216  0 50 24.000  -9999.900  4.0061e+04   -348.62     11.66    -14.14  1.4412e+06  1.1753e+05 -6.4199e+04
2019 216  0 51 28.000  -9999.900  4.5726e+04   -346.46     10.98    -10.35  1.4412e+06  1.1753e+05 -6.4202e+04
2019 216  0 52 32.000  -9999.900  4.1619e+04   -347.23     11.14    -12.20  1.4412e+06  1.1754e+05 -6.4205e+04
2019 216  0 53 36.000  -9999.900  4.0530e+04   -346.89     10.55     -7.37  1.4412e+06  1.1755e+05 -6.4209e+04
2019 216  0 54 40.000  -9999.900  3.5773e+04   -347.00     12.09    -11.55  1.4412e+06  1.1755e+05 -6.4212e+04
2019 216  0 55 44.000  -9999.900  4.0822e+04   -344.19     10.13    -10.67  1.4412e+06  1.1756e+05 -6.4216e+04
2019 216  0 56 48.000  -9999.900  3.9983e+04   -346.50     11.07    -11.05  1.4412e+06  1.1757e+05 -6.4219e+04
2019 216  0 57 52.000  -9999.900  3.3535e+04   -347.83     10.78     -9.05  1.4412e+06  1.1757e+05 -6.4222e+04
2019 216  0 58 56.000  -9999.900  3.9811e+04   -344.38     10.77    -11.58  1.4412e+06  1.1758e+05 -6.4226e+04
