Date_UTC,dbn_nez,dbe_nez,dbz_nez
2019-08-04T00:00:00, 0.663, -1.346, -0.611
2019-08-04T00:01:00, 0.709, -0.979, -0.454
2019-08-04T00:02:00, 0.600, -1.464, -0.629
2019-08-04T00:03:00, 0.519, -1.450, -0.597
2019-08-04T00:04:00, 0.777, -1.195, -0.433
2019-08-04T00:05:00, 0.777, -1.456, -0.588
2019-08-04T00:06:00, 0.382, -1.573, -0.603
2019-08-04T00:07:00, 0.320, -1.751, -0.579
2019-08-04T00:08:00, 0.378, -1.805, -0.582
2019-08-04T00:09:00, 0.576, -1.496, -0.538
2019-08-04T00:10:00, 0.363, -1.513, -0.553
2019-08-04T00:11:00, 0.362, -1.523, -0.490
2019-08-04T00:12:00, 0.441, -1.528, -0.536
2019-08-04T00:13:00, 0.473, -1.489, -0.554
2019-08-04T00:14:00, 0.658, -1.550, -0.518
2019-08-04T00:15:00, 0.575, -1.495, -0.545
2019-08-04T00:16:00, 0.947, -1.316, -0.517
2019-08-04T00:17:00, 1.135, -1.517, -0.512
2019-08-04T00:18:00, 0.756, -1.675, -0.539
2019-08-04T00:19:00, 0.494, -1.338, -0.553
2019-08-04T00:20:00, 1.588, -1.652, -0.439
2019-08-04T00:21:00, 1.365, -2.189, -0.544
2019-08-04T00:22:00, 1.018, -2.479, -0.520
2019-08-04T00:23:00, 1.379, -2.690, -0.387
2019-08-04T00:24:00, 1.876, -3.109, -0.422
2019-08-04T00:25:00, 1.661, -2.895, -0.578
2019-08-04T00:26:00, 1.681, -3.817, -0.472
2019-08-04T00:27:00, 1.369, -3.718, -0.479
2019-08-04T00:28:00, 1.589, -3.800, -0.397
2019-08-04T00:29:00, 1.657, -3.913, -0.542
2019-08-04T00:30:00, 1.245, -3.679, -0.558
2019-08-04T00:31:00, 1.435, -3.739, -0.355
2019-08-04T00:32:00, 1.599, -3.968, -0.461
2019-08-04T00:33:00, 1.330, -3.852, -0.437
2019-08-04T00:34:00, 1.544, -3.773, -0.465
2019-08-04T00:35:00, 1.521, -3.891, -0.469
2019-08-04T00:36:00, 1.343, -3.840, -0.532
2019-08-04T00:37:00, 1.327, -3.558, -0.497
