Date_UTC,dbn_nez,dbe_nez,dbz_nez
2019-08-04T00:00:00, 4.158, -0.074, 0.911
2019-08-04T00:01:00, 4.384, -0.003, 0.959
2019-08-04T00:02:00, 4.085, -0.365, 0.969
2019-08-04T00:03:00, 3.978, -0.337, 0.947
2019-08-04T00:04:00, 4.471, -0.332, 0.976
2019-08-04T00:05:00, 4.429, -0.438, 1.056
2019-08-04T00:06:00, 3.816, -0.473, 1.077
2019-08-04T00:07:00, 3.560, -0.659, 1.067
2019-08-04T00:08:00, 3.553, -0.837, 1.026
2019-08-04T00:09:00, 3.899, -0.613, 0.965
2019-08-04T00:10:00, 3.625, -0.577, 0.954
2019-08-04T00:11:00, 3.656, -0.577, 0.913
2019-08-04T00:12:00, 3.723, -0.549, 0.895
2019-08-04T00:13:00, 3.567, -0.520, 0.908
2019-08-04T00:14:00, 3.806, -0.661, 0.929
2019-08-04T00:15:00, 3.764, -0.548, 0.927
2019-08-04T00:16:00, 4.318, -0.416, 0.956
2019-08-04T00:17:00, 4.630, -0.661, 0.984
2019-08-04T00:18:00, 3.927, -0.802, 1.056
2019-08-04T00:19:00, 3.532, -0.219, 1.022
2019-08-04T00:20:00, 4.921, -0.962, 0.973
2019-08-04T00:21:00, 4.533, -1.610, 1.021
2019-08-04T00:22:00, 3.756, -1.998, 0.960
2019-08-04T00:23:00, 4.181, -2.579, 0.910
2019-08-04T00:24:00, 4.881, -3.296, 0.829
2019-08-04T00:25:00, 4.555, -2.975, 0.857
2019-08-04T00:26:00, 4.089, -4.320, 0.725
2019-08-04T00:27:00, 3.681, -4.225, 0.655
2019-08-04T00:28:00, 3.931, -4.385, 0.492
2019-08-04T00:29:00, 3.873, -4.449, 0.422
2019-08-04T00:30:00, 3.329, -3.947, 0.399
2019-08-04T00:31:00, 3.396, -4.157, 0.298
2019-08-04T00:32:00, 3.780, -4.435, 0.205
2019-08-04T00:33:00, 3.395, -4.301, 0.174
2019-08-04T00:34:00, 3.651, -4.181, 0.104
2019-08-04T00:35:00, 3.673, -4.329, 0.022
2019-08-04T00:36:00, 3.532, -4.158, 0.030
2019-08-04T00:37:00, 3.404, -3.748, 0.007
2019-08-04T00:38:00, 3.175, -3.392, -0.023
2019-08-04T00:39:00, 3.448, -2.782, -0.011
2019-08-04T00:40:00, 4.659, -2.824, 0.016
2019-08-04T00:41:00, 4.641, -2.228, 0.137
2019-08-04T00:42:00, 4.798, -1.232, 0.254
2019-08-04T00:43:00, 5.474, -1.324, 0.320
2019-08-04T00:44:00, 5.438, -1.649, 0.488
2019-08-04T00:45:00, 5.572, -1.823, 0.527
2019-08-04T00:46:00, 5.905, -2.006, 0.582
2019-08-04T00:47:00, 6.162, -2.106, 0.659
2019-08-04T00:48:00, 6.368, -2.062, 0.757
2019-08-04T00:49:00, 6.432, -1.840, 0.807
2019-08-04T00:50:00, 6.373, -1.881, 0.872
2019-08-04T00:51:00, 6.242, -1.949, 0.899
2019-08-04T00:52:00, 6.250, -1.663, 0.875
2019-08-04T00:53:00, 6.746, -1.623, 0.893
2019-08-04T00:54:00, 6.572, -1.707, 0.912
2019-08-04T00:55:00, 6.361, -1.398, 0.906
2019-08-04T00:56:00, 6.388, -1.723, 0.854
2019-08-04T00:57:00, 6.185, -1.994, 0.849
2019-08-04T00:58:00, 5.985, -1.855, 0.823
2019-08-04T00:59:00, 5.959, -1.985, 0.763
2019-08-04T01:00:00, 5.631, -1.828, 0.706
2019-08-04T01:01:00, 5.865, -2.001, 0.641
2019-08-04T01:02:00, 6.004, -1.527, 0.627
2019-08-04T01:03:00, 5.694, -1.179, 0.648
2019-08-04T01:04:00, 5.501, -0.907, 0.603
2019-08-04T01:05:00, 5.390, -1.360, 0.569
2019-08-04T01:06:00, 4.859, -1.068, 0.555
2019-08-04T01:07:00, 4.819, -1.154, 0.540
2019-08-04T01:08:00, 4.873, -1.334, 0.424
2019-08-04T01:09:00, 4.760, -1.255, 0.390
2019-08-04T01:10:00, 5.023, -1.065, 0.344
2019-08-04T01:11:00, 4.962, -1.187, 0.321
2019-08-04T01:12:00, 4.713, -1.029, 0.365
2019-08-04T01:13:00, 4.859, -1.173, 0.350
2019-08-04T01:14:00, 5.165, -1.324, 0.323
2019-08-04T01:15:00, 5.122, -1.458, 0.339
2019-08-04T01:16:00, 5.449, -1.590, 0.350
2019-08-04T01:17:00, 5.406, -1.762, 0.315
2019-08-04T01:18:00, 5.067, -1.789, 0.338
2019-08-04T01:19:00, 5.125, -1.686, 0.330
2019-08-04T01:20:00, 5.159, -1.501, 0.287
2019-08-04T01:21:00, 4.899, -1.571, 0.247
2019-08-04T01:22:00, 4.584, -1.739, 0.203
2019-08-04T01:23:00, 4.489, -1.718, 0.144
2019-08-04T01:24:00, 5.066, -1.242, 0.139
2019-08-04T01:25:00, 5.480, -1.238, 0.181
2019-08-04T01:26:00, 5.579, -1.337, 0.164
2019-08-04T01:27:00, 5.522, -1.498, 0.283
2019-08-04T01:28:00, 5.403, -1.546, 0.254
2019-08-04T01:29:00, 5.618, -1.501, 0.283
2019-08-04T01:30:00, 5.851, -1.318, 0.277
2019-08-04T01:31:00, 5.659, -1.181, 0.286
2019-08-04T01:32:00, 5.645, -0.964, 0.350
2019-08-04T01:33:00, 5.844, -1.008, 0.332
