BEGIN METADATA
SWEPAM 64-second Averaged Solar Wind Ion Parameters
Data downloaded from ACE Science Center on Tue Aug  9 13:12:33 2022
SWEPAM Team Software Version: 3.30
SWEPAM Team Time/Date Processed: 
ACE Science Center Level2 Software Version: 1.5
ACE Science Center Processing Date/Time: Thu Feb  3 23:17:45 2022 PST


Note: All timestamps are UT, and refer to the start of the time period.
year,day,hr,min,sec: year, day of year, hour of day, minutes, seconds.
fp_year       : fractional year.
fp_doy        : fractional day-of-year.
ACEepoch      : seconds since Jan 1 00:00:00 UT 1996.
proton_density: Proton Density (cm^-3).
proton_temp   : Radial Component of proton temperature (deg. Kelvin).
He4toprotons  : Ratio of alphas/protons
proton_speed  : Proton Speed (km/s)
x,y,z_dot_GSE : X,Y,Z-component of proton velocity in GSE coordinates (km/s)
r,t,n_dot_RTN : R,T,N-component of proton velocity in RTN coordinates (km/s)
x,y,z_dot_GSM : X,Y,Z-component of proton velocity in GSM coordinates (km/s)
Electron_temp : Electron Temperature (deg. Kelvin).
pos_gse_x,y,z : Components of spacecraft position in GSE (km).
pos_gsm_x,y,z : Components of spacecraft position in GSM (km).
A value of -9999.9 indicates bad or missing data.

More Documentation of the ACE SWEPAM level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/swepam_l2desc.html

year day hr min sec proton_density proton_temp x_dot_GSE y_dot_GSE z_dot_GSE pos_gse_x pos_gse_y pos_gse_z 
BEGIN DATA
2020 111  0  0 36.000  -9999.900 -9.9999e+03   -276.72      4.08    -38.78  1.5749e+06 -1.0289e+05  6.7892e+03
2020 111  0  1 40.000  -9999.900 -9.9999e+03   -275.89      7.16    -38.95  1.5749e+06 -1.0289e+05  6.7928e+03
2020 111  0  2 44.000  -9999.900 -9.9999e+03   -276.47     11.06    -40.98  1.5749e+06 -1.0290e+05  6.7964e+03
2020 111  0  3 48.000  -9999.900 -9.9999e+03   -287.69     19.98    -30.88  1.5749e+06 -1.0290e+05  6.8000e+03
2020 111  0  4 52.000  -9999.900 -9.9999e+03   -277.19     13.78    -38.28  1.5749e+06 -1.0291e+05  6.8036e+03
2020 111  0  5 56.000  -9999.900 -9.9999e+03   -274.75      4.39    -38.22  1.5749e+06 -1.0291e+05  6.8073e+03
2020 111  0  7  0.000  -9999.900 -9.9999e+03   -273.91      8.89    -35.60  1.5749e+06 -1.0292e+05  6.8109e+03
2020 111  0  8  4.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5749e+06 -1.0293e+05  6.8145e+03
2020 111  0  9  8.000  -9999.900 -9.9999e+03   -278.34     18.59    -40.71  1.5749e+06 -1.0293e+05  6.8181e+03
2020 111  0 10 12.000  -9999.900 -9.9999e+03   -277.48     10.56    -40.34  1.5749e+06 -1.0294e+05  6.8217e+03
2020 111  0 11 16.000  -9999.900 -9.9999e+03   -277.62      2.29    -43.69  1.5749e+06 -1.0294e+05  6.8254e+03
2020 111  0 12 20.000  -9999.900 -9.9999e+03   -280.75      6.46    -40.62  1.5749e+06 -1.0295e+05  6.8290e+03
2020 111  0 13 24.000  -9999.900 -9.9999e+03   -279.34     15.13    -33.60  1.5749e+06 -1.0295e+05  6.8326e+03
2020 111  0 14 28.000  -9999.900 -9.9999e+03   -281.17      8.32    -39.56  1.5749e+06 -1.0296e+05  6.8362e+03
2020 111  0 15 32.000  -9999.900 -9.9999e+03   -281.16     -0.63    -43.29  1.5749e+06 -1.0297e+05  6.8398e+03
2020 111  0 16 36.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5749e+06 -1.0297e+05  6.8435e+03
2020 111  0 17 40.000  -9999.900 -9.9999e+03   -278.99      3.11    -40.22  1.5749e+06 -1.0298e+05  6.8471e+03
2020 111  0 18 44.000  -9999.900 -9.9999e+03   -274.28     11.85    -38.40  1.5749e+06 -1.0298e+05  6.8507e+03
2020 111  0 19 48.000  -9999.900 -9.9999e+03   -278.95     13.65    -35.53  1.5749e+06 -1.0299e+05  6.8543e+03
2020 111  0 20 52.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5749e+06 -1.0299e+05  6.8580e+03
2020 111  0 21 56.000  -9999.900 -9.9999e+03   -281.80      6.34    -30.04  1.5749e+06 -1.0300e+05  6.8616e+03
2020 111  0 23  0.000  -9999.900 -9.9999e+03   -282.92     15.16    -33.94  1.5749e+06 -1.0301e+05  6.8652e+03
2020 111  0 24  4.000  -9999.900 -9.9999e+03   -279.91      4.08    -38.47  1.5749e+06 -1.0301e+05  6.8688e+03
