#SATELLITEXYZ
   246.8
   -17.9
     2.2

#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2020  4 20  0  1  0  0      -1.076       1.855      -0.983    -276.409       5.235     -38.844   -9999.900   -9999.900
2020  4 20  0  2  0  0      -1.297       1.811      -0.785    -276.071       8.379     -39.584   -9999.900   -9999.900
2020  4 20  0  3  0  0      -1.310       1.820      -0.793    -279.275      13.290     -38.455   -9999.900   -9999.900
2020  4 20  0  4  0  0      -1.372       1.761      -0.795    -285.721      18.818     -32.267   -9999.900   -9999.900
2020  4 20  0  5  0  0      -1.239       1.823      -0.907    -276.885      12.606     -38.273   -9999.900   -9999.900
2020  4 20  0  6  0  0      -1.232       1.803      -0.830    -274.698       4.671     -38.056   -9999.900   -9999.900
2020  4 20  0  7  0  0      -1.235       1.837      -0.875    -273.910       8.890     -35.600   -9999.900   -9999.900
2020  4 20  0  8  0  0      -1.259       1.814      -0.979   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2020  4 20  0  9  0  0      -1.089       1.756      -1.070   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2020  4 20  0 10  0  0      -0.994       1.768      -1.171    -277.641      12.066     -40.409   -9999.900   -9999.900
2020  4 20  0 11  0  0      -1.088       1.863      -1.062    -277.585       4.358     -42.852   -9999.900   -9999.900
2020  4 20  0 12  0  0      -1.174       1.967      -1.036    -279.772       5.157     -41.579   -9999.900   -9999.900
2020  4 20  0 13  0  0      -1.058       2.063      -0.810    -279.869      11.879     -36.233   -9999.900   -9999.900
2020  4 20  0 14  0  0      -1.178       1.968      -0.819    -280.369      11.299     -36.952   -9999.900   -9999.900
2020  4 20  0 15  0  0      -1.078       2.040      -0.969    -281.165       3.845     -41.425   -9999.900   -9999.900
2020  4 20  0 16  0  0      -1.312       1.906      -1.022   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2020  4 20  0 17  0  0      -1.110       1.997      -0.996   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2020  4 20  0 18  0  0      -1.213       1.967      -1.036    -277.518       5.841     -39.651   -9999.900   -9999.900
2020  4 20  0 19  0  0      -1.005       2.010      -1.119    -275.447      12.300     -37.683   -9999.900   -9999.900
2020  4 20  0 20  0  0      -1.124       1.921      -1.043   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2020  4 20  0 21  0  0      -1.046       1.963      -1.097   -9999.900   -9999.900   -9999.900   -9999.900   -9999.900
2020  4 20  0 22  0  0      -0.966       2.022      -1.046    -281.870       6.891     -30.284   -9999.900   -9999.900
2020  4 20  0 23  0  0      -1.078       1.910      -1.096    -282.920      15.160     -33.940   -9999.900   -9999.900
2020  4 20  0 24  0  0      -1.094       1.906      -1.056    -280.098       4.773     -38.187   -9999.900   -9999.900
