Date_UTC,dbn_nez,dbe_nez,dbz_nez
2020-04-20T00:00:00, 3.649, 5.911, 0.142
2020-04-20T00:01:00, 3.400, 6.100, 0.094
2020-04-20T00:02:00, 3.374, 6.123, 0.073
2020-04-20T00:03:00, 3.288, 6.109, 0.057
2020-04-20T00:04:00, 3.328, 5.898, 0.056
2020-04-20T00:05:00, 3.256, 5.773, 0.028
2020-04-20T00:06:00, 3.153, 5.817, -0.007
2020-04-20T00:07:00, 3.114, 5.791, -0.046
2020-04-20T00:08:00, 3.088, 5.762, -0.062
2020-04-20T00:09:00, 2.957, 5.762, -0.097
2020-04-20T00:10:00, 2.815, 5.764, -0.135
2020-04-20T00:11:00, 2.606, 5.838, -0.170
2020-04-20T00:12:00, 2.531, 5.824, -0.212
2020-04-20T00:13:00, 2.609, 5.717, -0.231
2020-04-20T00:14:00, 2.897, 5.557, -0.249
2020-04-20T00:15:00, 3.011, 5.333, -0.275
2020-04-20T00:16:00, 3.276, 5.073, -0.288
2020-04-20T00:17:00, 3.322, 4.978, -0.325
2020-04-20T00:18:00, 3.120, 5.163, -0.408
2020-04-20T00:19:00, 3.286, 5.037, -0.433
2020-04-20T00:20:00, 3.241, 5.022, -0.477
2020-04-20T00:21:00, 3.285, 4.985, -0.520
2020-04-20T00:22:00, 3.331, 4.840, -0.544
2020-04-20T00:23:00, 3.134, 4.974, -0.599
2020-04-20T00:24:00, 3.188, 4.884, -0.653
2020-04-20T00:25:00, 3.198, 4.805, -0.699
2020-04-20T00:26:00, 3.081, 4.814, -0.749
2020-04-20T00:27:00, 2.890, 4.952, -0.810
2020-04-20T00:28:00, 2.953, 4.864, -0.851
2020-04-20T00:29:00, 2.883, 4.865, -0.911
2020-04-20T00:30:00, 3.082, 4.742, -0.932
2020-04-20T00:31:00, 2.961, 4.814, -0.991
2020-04-20T00:32:00, 3.007, 4.734, -1.039
2020-04-20T00:33:00, 2.927, 4.688, -1.078
2020-04-20T00:34:00, 2.921, 4.677, -1.137
2020-04-20T00:35:00, 2.811, 4.667, -1.195
2020-04-20T00:36:00, 2.629, 4.731, -1.257
2020-04-20T00:37:00, 2.455, 4.821, -1.346
2020-04-20T00:38:00, 2.219, 4.981, -1.404
2020-04-20T00:39:00, 2.336, 4.836, -1.442
2020-04-20T00:40:00, 2.289, 4.815, -1.479
2020-04-20T00:41:00, 2.209, 4.857, -1.559
2020-04-20T00:42:00, 2.152, 4.866, -1.616
2020-04-20T00:43:00, 2.098, 4.823, -1.664
2020-04-20T00:44:00, 2.040, 4.836, -1.708
2020-04-20T00:45:00, 1.763, 4.960, -1.787
2020-04-20T00:46:00, 1.537, 5.072, -1.842
2020-04-20T00:47:00, 1.050, 5.306, -1.927
2020-04-20T00:48:00, 0.978, 5.433, -1.993
2020-04-20T00:49:00, 0.589, 5.698, -2.067
2020-04-20T00:50:00, 0.514, 5.720, -2.132
2020-04-20T00:51:00, 0.343, 5.769, -2.205
2020-04-20T00:52:00, -0.058, 5.931, -2.289
2020-04-20T00:53:00, -0.146, 5.959, -2.353
2020-04-20T00:54:00, -0.201, 5.900, -2.420
2020-04-20T00:55:00, -0.160, 5.816, -2.472
2020-04-20T00:56:00, -0.121, 5.760, -2.547
2020-04-20T00:57:00, 0.173, 5.531, -2.597
2020-04-20T00:58:00, 0.330, 5.394, -2.620
2020-04-20T00:59:00, 0.653, 5.213, -2.658
2020-04-20T01:00:00, 0.656, 5.225, -2.700
2020-04-20T01:01:00, 0.733, 5.218, -2.749
2020-04-20T01:02:00, 0.704, 5.187, -2.778
2020-04-20T01:03:00, 0.640, 5.220, -2.818
2020-04-20T01:04:00, 0.831, 5.132, -2.859
2020-04-20T01:05:00, 0.865, 5.088, -2.895
2020-04-20T01:06:00, 1.072, 5.054, -2.915
2020-04-20T01:07:00, 1.126, 5.006, -2.922
2020-04-20T01:08:00, 1.247, 4.997, -2.934
2020-04-20T01:09:00, 1.350, 4.993, -2.949
2020-04-20T01:10:00, 1.396, 5.059, -2.975
2020-04-20T01:11:00, 1.546, 5.043, -2.989
2020-04-20T01:12:00, 1.757, 4.907, -2.995
2020-04-20T01:13:00, 1.838, 4.965, -2.977
2020-04-20T01:14:00, 1.708, 4.972, -2.998
2020-04-20T01:15:00, 1.725, 4.888, -3.019
2020-04-20T01:16:00, 1.595, 4.950, -3.043
2020-04-20T01:17:00, 1.564, 4.880, -3.078
2020-04-20T01:18:00, 1.517, 4.868, -3.101
2020-04-20T01:19:00, 1.531, 4.787, -3.124
2020-04-20T01:20:00, 1.572, 4.754, -3.146
2020-04-20T01:21:00, 1.381, 4.835, -3.179
2020-04-20T01:22:00, 1.376, 4.761, -3.201
2020-04-20T01:23:00, 1.473, 4.661, -3.210
2020-04-20T01:24:00, 1.412, 4.710, -3.230
2020-04-20T01:25:00, 1.239, 4.735, -3.262
2020-04-20T01:26:00, 1.342, 4.635, -3.274
2020-04-20T01:27:00, 1.309, 4.570, -3.293
2020-04-20T01:28:00, 1.411, 4.444, -3.292
2020-04-20T01:29:00, 1.500, 4.375, -3.298
2020-04-20T01:30:00, 1.078, 4.520, -3.335
2020-04-20T01:31:00, 1.032, 4.515, -3.356
2020-04-20T01:32:00, 1.092, 4.429, -3.373
2020-04-20T01:33:00, 1.095, 4.413, -3.369
2020-04-20T01:34:00, 0.961, 4.486, -3.369
2020-04-20T01:35:00, 0.846, 4.556, -3.407
2020-04-20T01:36:00, 0.823, 4.549, -3.402
2020-04-20T01:37:00, 0.813, 4.539, -3.405
2020-04-20T01:38:00, 0.882, 4.563, -3.391
2020-04-20T01:39:00, 0.885, 4.497, -3.376
2020-04-20T01:40:00, 0.814, 4.505, -3.366
2020-04-20T01:41:00, 0.874, 4.425, -3.358
2020-04-20T01:42:00, 0.937, 4.292, -3.339
2020-04-20T01:43:00, 0.688, 4.401, -3.362
2020-04-20T01:44:00, 0.658, 4.293, -3.373
2020-04-20T01:45:00, 0.551, 4.258, -3.391
2020-04-20T01:46:00, 0.602, 4.130, -3.405
2020-04-20T01:47:00, 0.551, 4.136, -3.411
2020-04-20T01:48:00, 0.480, 4.202, -3.416
2020-04-20T01:49:00, 0.430, 4.154, -3.406
2020-04-20T01:50:00, 0.409, 4.100, -3.415
2020-04-20T01:51:00, 0.348, 4.056, -3.411
2020-04-20T01:52:00, 0.390, 3.932, -3.423
2020-04-20T01:53:00, 0.262, 3.906, -3.431
2020-04-20T01:54:00, 0.335, 3.774, -3.439
2020-04-20T01:55:00, 0.322, 3.772, -3.442
2020-04-20T01:56:00, 0.213, 3.742, -3.461
2020-04-20T01:57:00, 0.185, 3.691, -3.476
2020-04-20T01:58:00, 0.223, 3.569, -3.494
2020-04-20T01:59:00, -0.009, 3.624, -3.532
2020-04-20T02:00:00, -0.086, 3.586, -3.577
2020-04-20T02:01:00, -0.088, 3.528, -3.595
2020-04-20T02:02:00, -0.294, 3.577, -3.619
2020-04-20T02:03:00, -0.346, 3.479, -3.644
2020-04-20T02:04:00, -0.340, 3.420, -3.660
2020-04-20T02:05:00, -0.389, 3.376, -3.664
2020-04-20T02:06:00, -0.363, 3.313, -3.687
2020-04-20T02:07:00, -0.469, 3.230, -3.721
2020-04-20T02:08:00, -0.623, 3.215, -3.736
2020-04-20T02:09:00, -0.776, 3.145, -3.789
2020-04-20T02:10:00, -0.913, 3.180, -3.830
2020-04-20T02:11:00, -1.153, 3.106, -3.851
2020-04-20T02:12:00, -1.277, 3.003, -3.884
2020-04-20T02:13:00, -1.570, 2.970, -3.967
2020-04-20T02:14:00, -1.592, 2.868, -3.999
2020-04-20T02:15:00, -1.704, 2.816, -4.039
2020-04-20T02:16:00, -1.780, 2.728, -4.067
2020-04-20T02:17:00, -1.581, 2.543, -4.055
2020-04-20T02:18:00, -1.380, 2.276, -4.036
2020-04-20T02:19:00, -1.123, 2.264, -4.028
2020-04-20T02:20:00, -1.379, 2.386, -4.008
2020-04-20T02:21:00, -1.353, 2.326, -4.008
2020-04-20T02:22:00, -1.416, 2.289, -4.008
2020-04-20T02:23:00, -1.197, 2.180, -4.019
2020-04-20T02:24:00, -1.096, 2.156, -4.019
2020-04-20T02:25:00, -0.988, 2.129, -4.000
2020-04-20T02:26:00, -0.911, 2.057, -3.987
2020-04-20T02:27:00, -0.386, 1.923, -3.952
2020-04-20T02:28:00, -0.316, 1.907, -3.921
2020-04-20T02:29:00, -0.005, 1.829, -3.890
2020-04-20T02:30:00, 0.149, 1.791, -3.885
2020-04-20T02:31:00, -3.873, 2.948, -4.085
2020-04-20T02:32:00, 1.580, -2.839, -4.233
2020-04-20T02:33:00, 8.263, -4.381, -3.889
2020-04-20T02:34:00, 11.956, -0.313, -3.466
2020-04-20T02:35:00, 12.279, 2.035, -3.043
2020-04-20T02:36:00, 16.136, 0.580, -2.409
2020-04-20T02:37:00, 20.595, -0.381, -1.811
2020-04-20T02:38:00, 20.938, 1.694, -1.535
2020-04-20T02:39:00, 19.111, 3.277, -1.382
2020-04-20T02:40:00, 18.798, 2.660, -1.208
2020-04-20T02:41:00, 17.615, 1.620, -1.171
2020-04-20T02:42:00, 16.362, 0.976, -1.247
2020-04-20T02:43:00, 15.227, 0.951, -1.359
2020-04-20T02:44:00, 13.505, 0.699, -1.486
2020-04-20T02:45:00, 11.556, -0.115, -1.636
2020-04-20T02:46:00, 11.327, -1.211, -1.783
2020-04-20T02:47:00, 11.064, -0.976, -1.922
2020-04-20T02:48:00, 9.499, -0.674, -2.010
2020-04-20T02:49:00, 8.688, -1.107, -2.098
2020-04-20T02:50:00, 8.309, -1.679, -2.159
2020-04-20T02:51:00, 8.135, -1.601, -2.271
2020-04-20T02:52:00, 7.397, -1.297, -2.386
2020-04-20T02:53:00, 7.660, -1.144, -2.404
2020-04-20T02:54:00, 7.060, -1.199, -2.403
2020-04-20T02:55:00, 6.619, -1.295, -2.516
2020-04-20T02:56:00, 6.946, -1.428, -2.535
2020-04-20T02:57:00, 6.588, -1.167, -2.530
2020-04-20T02:58:00, 5.847, -1.241, -2.608
2020-04-20T02:59:00, 5.697, -1.574, -2.640
2020-04-20T03:00:00, 5.631, -1.876, -2.710
2020-04-20T03:01:00, 4.498, -1.522, -2.801
2020-04-20T03:02:00, 3.874, -1.463, -2.930
2020-04-20T03:03:00, 3.418, -1.824, -2.974
2020-04-20T03:04:00, 3.121, -2.119, -3.096
2020-04-20T03:05:00, 2.213, -2.256, -3.182
2020-04-20T03:06:00, 2.401, -2.676, -3.340
2020-04-20T03:07:00, 3.502, -2.523, -3.341
2020-04-20T03:08:00, 3.842, -2.443, -3.353
2020-04-20T03:09:00, 4.501, -2.499, -3.272
2020-04-20T03:10:00, 5.118, -2.816, -3.215
2020-04-20T03:11:00, 6.251, -2.752, -3.208
2020-04-20T03:12:00, 6.214, -2.520, -3.190
2020-04-20T03:13:00, 5.906, -2.757, -3.212
2020-04-20T03:14:00, 7.099, -2.979, -3.213
2020-04-20T03:15:00, 7.081, -3.075, -3.184
2020-04-20T03:16:00, 5.568, -3.487, -3.229
2020-04-20T03:17:00, 8.658, -5.442, -3.391
2020-04-20T03:18:00, 9.424, -2.124, -3.210
2020-04-20T03:19:00, 5.641, -0.947, -3.103
2020-04-20T03:20:00, 2.948, -3.291, -3.133
2020-04-20T03:21:00, 2.104, -5.521, -3.449
2020-04-20T03:22:00, 0.732, -6.076, -3.803
2020-04-20T03:23:00, -0.123, -6.359, -4.044
2020-04-20T03:24:00, -0.653, -6.133, -4.169
2020-04-20T03:25:00, -1.179, -5.666, -4.173
2020-04-20T03:26:00, -1.182, -5.872, -4.129
2020-04-20T03:27:00, -0.732, -6.252, -4.133
2020-04-20T03:28:00, 0.430, -5.359, -4.106
2020-04-20T03:29:00, 1.380, -5.112, -3.951
2020-04-20T03:30:00, 2.754, -4.705, -3.779
2020-04-20T03:31:00, 3.788, -4.858, -3.624
2020-04-20T03:32:00, 4.068, -4.923, -3.520
2020-04-20T03:33:00, 5.568, -5.357, -3.439
2020-04-20T03:34:00, 7.314, -5.641, -3.324
2020-04-20T03:35:00, 8.354, -5.200, -3.228
2020-04-20T03:36:00, 9.070, -4.945, -3.093
2020-04-20T03:37:00, 9.093, -5.321, -2.971
2020-04-20T03:38:00, 9.519, -5.747, -2.938
2020-04-20T03:39:00, 10.803, -6.180, -2.870
2020-04-20T03:40:00, 11.381, -6.158, -2.779
2020-04-20T03:41:00, 11.668, -6.116, -2.716
2020-04-20T03:42:00, 11.237, -6.211, -2.641
2020-04-20T03:43:00, 11.203, -6.356, -2.629
2020-04-20T03:44:00, 10.250, -6.423, -2.609
2020-04-20T03:45:00, 10.374, -6.501, -2.636
2020-04-20T03:46:00, 11.246, -6.449, -2.604
2020-04-20T03:47:00, 10.155, -6.427, -2.581
2020-04-20T03:48:00, 12.518, -6.004, -2.542
2020-04-20T03:49:00, 12.548, -5.734, -2.390
2020-04-20T03:50:00, 11.455, -5.711, -2.308
2020-04-20T03:51:00, 12.288, -5.162, -2.285
2020-04-20T03:52:00, 11.501, -5.354, -2.255
2020-04-20T03:53:00, 12.639, -1.374, -2.423
2020-04-20T03:54:00, 9.596, -1.117, -2.065
2020-04-20T03:55:00, 10.519, 1.081, -2.073
2020-04-20T03:56:00, 9.883, 1.877, -1.852
2020-04-20T03:57:00, 9.214, 2.651, -1.649
