Date_UTC,dbn_nez,dbe_nez,dbz_nez
2020-04-20T00:00:00, 3.025, 3.174, 1.192
2020-04-20T00:01:00, 2.592, 3.601, 1.295
2020-04-20T00:02:00, 2.509, 3.786, 1.460
2020-04-20T00:03:00, 3.363, 3.667, 1.954
2020-04-20T00:04:00, 3.786, 3.291, 2.390
2020-04-20T00:05:00, 3.383, 3.447, 2.498
2020-04-20T00:06:00, 3.051, 3.921, 2.438
2020-04-20T00:07:00, 3.237, 4.344, 2.445
2020-04-20T00:08:00, 3.161, 4.463, 2.319
2020-04-20T00:09:00, 3.035, 4.228, 2.186
2020-04-20T00:10:00, 2.940, 4.162, 2.390
2020-04-20T00:11:00, 2.307, 4.210, 2.222
2020-04-20T00:12:00, 1.825, 4.035, 1.875
2020-04-20T00:13:00, 1.677, 3.959, 1.700
2020-04-20T00:14:00, 1.736, 3.977, 1.569
2020-04-20T00:15:00, 1.961, 4.049, 1.512
2020-04-20T00:16:00, 2.640, 4.199, 1.397
2020-04-20T00:17:00, 2.879, 4.242, 1.071
2020-04-20T00:18:00, 2.880, 4.357, 0.808
2020-04-20T00:19:00, 2.954, 4.231, 0.869
2020-04-20T00:20:00, 3.062, 4.215, 0.806
2020-04-20T00:21:00, 3.465, 4.382, 0.825
2020-04-20T00:22:00, 3.609, 4.016, 0.630
2020-04-20T00:23:00, 3.670, 3.895, 0.552
2020-04-20T00:24:00, 3.583, 3.720, 0.630
2020-04-20T00:25:00, 3.604, 3.607, 0.475
2020-04-20T00:26:00, 3.642, 3.578, 0.374
2020-04-20T00:27:00, 3.401, 3.686, 0.122
2020-04-20T00:28:00, 3.117, 3.374, -0.145
2020-04-20T00:29:00, 3.292, 3.446, -0.136
2020-04-20T00:30:00, 3.984, 3.321, 0.022
2020-04-20T00:31:00, 4.398, 3.421, 0.142
2020-04-20T00:32:00, 4.467, 3.375, 0.219
2020-04-20T00:33:00, 4.442, 3.520, 0.238
2020-04-20T00:34:00, 4.446, 3.833, 0.082
2020-04-20T00:35:00, 4.021, 3.671, -0.479
2020-04-20T00:36:00, 3.722, 3.581, -0.592
2020-04-20T00:37:00, 2.987, 3.705, -0.611
2020-04-20T00:38:00, 2.614, 4.019, -0.515
2020-04-20T00:39:00, 3.369, 4.160, -0.275
2020-04-20T00:40:00, 3.250, 3.970, -0.582
2020-04-20T00:41:00, 3.373, 4.113, -0.298
2020-04-20T00:42:00, 3.142, 4.083, -0.331
2020-04-20T00:43:00, 2.853, 4.091, -0.512
2020-04-20T00:44:00, 2.708, 4.119, -0.641
2020-04-20T00:45:00, 2.434, 4.175, -0.790
2020-04-20T00:46:00, 2.023, 3.913, -0.798
2020-04-20T00:47:00, 1.560, 3.825, -0.689
2020-04-20T00:48:00, 1.258, 3.734, -0.412
2020-04-20T00:49:00, 0.780, 3.979, -0.243
2020-04-20T00:50:00, 0.303, 4.141, -0.208
2020-04-20T00:51:00, -0.362, 4.246, -0.344
