#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE Magnetometer Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-min Key Parameter [PRELIM]
#     DESCRIPTOR                      MFI>ACE Magnetic Field Instrument
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20240516
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#     MODS                            Initial Release 11/10/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_MFI_20240510_V01
#     LOGICAL_SOURCE                  ac_k0_mfi
#     LOGICAL_SOURCE_DESCRIPTION      ACE Magnetic Field 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     TEXT_SUPPLEMENT_1               ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     MAG Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/MAG/KeyParameter/PT5M
#     CDAWEB_PARENTS                  ac_k0_mfi_00000000_v01
#                                     ac_k0_mfi_20240510_v01, ac_k0_mfi_20240511_v01
#                                     ac_k0_mfi_20240512_v01, ac_k0_mfi_20240513_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] Magnetic Field, Cartesian GSE coord
#
EPOCH                          [PRELIM]_BX_GSE        [PRELIM]_BY_GSE        [PRELIM]_BZ_GSE
                                        (@_x_)                 (@_y_)                 (@_z_)
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
10-05-2024 00:00:00.000               -4.89300             -0.0960000               -3.21700
10-05-2024 00:05:00.000               -4.42800               0.307000               -3.93400
10-05-2024 00:10:00.000               -4.11500               0.580000               -4.14700
10-05-2024 00:15:00.000               -3.63400                1.50800               -4.35700
10-05-2024 00:20:00.000               -3.55900                1.77400               -4.03600
10-05-2024 00:25:00.000               -3.79800               0.839000               -4.05500
10-05-2024 00:30:00.000               -4.28800              -0.178000               -3.63200
10-05-2024 00:35:00.000               -4.00300               -2.10500               -3.21900
10-05-2024 00:40:00.000               -4.17300               -1.64700               -3.10700
10-05-2024 00:45:00.000               -3.23600               -2.92800               -2.77200
10-05-2024 00:50:00.000               -3.00500               0.848000               -4.03600
10-05-2024 00:55:00.000               -3.53000              -0.756000               -3.64700
10-05-2024 01:00:00.000               -1.00500               -3.26700              -0.209000
10-05-2024 01:05:00.000               0.808000               -4.33700               0.693000
10-05-2024 01:10:00.000               -2.70500              -0.285000               0.706000
10-05-2024 01:15:00.000               -3.87600                1.46500              -0.527000
10-05-2024 01:20:00.000               -3.48100                2.00300               -2.11100
10-05-2024 01:25:00.000               -2.81200                3.42800               -2.05400
10-05-2024 01:30:00.000               -2.60500                6.01200              -0.110000
10-05-2024 01:35:00.000               -2.23500                5.98200              -0.506000
10-05-2024 01:40:00.000               -2.37800                6.09500             -0.0820000
10-05-2024 01:45:00.000               -2.52300                5.94600               0.677000
10-05-2024 01:50:00.000               -2.04500                6.03700               0.775000
10-05-2024 01:55:00.000               -1.60200                6.30500                1.13700
10-05-2024 02:00:00.000               -1.48500                6.28200                1.42000
10-05-2024 02:05:00.000               -1.56300                6.10500                1.56300
10-05-2024 02:10:00.000               -1.95000                4.96700                1.51300
10-05-2024 02:15:00.000               -1.43800                4.28800                1.74700
10-05-2024 02:20:00.000               -2.70300                4.71100                1.54600
10-05-2024 02:25:00.000               -2.89300                3.95800               0.725000
10-05-2024 02:30:00.000               -1.70200               -1.53500               -1.65100
10-05-2024 02:35:00.000               -1.99700               -3.13500               -2.92700
10-05-2024 02:40:00.000               -2.17300               -3.72300               -3.71300
10-05-2024 02:45:00.000               -2.93400               -3.07500               -4.24200
10-05-2024 02:50:00.000               -1.74500               -4.68700               -4.14500
10-05-2024 02:55:00.000              -0.806000               -5.19600               -3.72500
10-05-2024 03:00:00.000               -1.11500               -4.97500               -3.74100
10-05-2024 03:05:00.000              -0.967000               -4.85100               -3.49400
10-05-2024 03:10:00.000              -0.731000               -4.27200               -3.25900
10-05-2024 03:15:00.000               -1.24900               -2.61000               -2.98400
10-05-2024 03:20:00.000              -0.576000               -2.50300               -2.08200
10-05-2024 03:25:00.000               -1.05700              -0.810000               -1.78100
10-05-2024 03:30:00.000              -0.698000              -0.900000               -1.44900
10-05-2024 03:35:00.000              0.0140000               -1.29300               -1.47800
10-05-2024 03:40:00.000              0.0750000               -1.02400               -1.94200
10-05-2024 03:45:00.000               0.100000              -0.656000               -1.55500
10-05-2024 03:50:00.000             -0.0810000              -0.638000               -1.60900
10-05-2024 03:55:00.000              -0.143000              -0.846000               -2.12100
10-05-2024 04:00:00.000              -0.189000               -1.02000               -2.24100
10-05-2024 04:05:00.000               0.111000               -1.39000               -1.98800
10-05-2024 04:10:00.000               0.686000               -1.29400              -0.692000
10-05-2024 04:15:00.000                1.11600              -0.772000              -0.429000
10-05-2024 04:20:00.000               0.618000              -0.495000              0.0400000
10-05-2024 04:25:00.000                1.70400              -0.964000               0.561000
10-05-2024 04:30:00.000                1.23100              -0.697000              -0.227000
10-05-2024 04:35:00.000               0.442000              -0.664000              -0.778000
10-05-2024 04:40:00.000               0.784000              -0.719000              -0.753000
10-05-2024 04:45:00.000               0.436000              -0.549000              -0.631000
10-05-2024 04:50:00.000               0.362000              -0.417000              -0.527000
10-05-2024 04:55:00.000               0.667000              -0.474000              -0.482000
10-05-2024 05:00:00.000               0.551000              -0.145000              -0.361000
10-05-2024 05:05:00.000               0.532000              -0.142000              -0.807000
10-05-2024 05:10:00.000               0.389000             -0.0530000              -0.801000
10-05-2024 05:15:00.000               0.109000              -0.679000              -0.639000
10-05-2024 05:20:00.000              -0.254000              -0.376000             -0.0970000
10-05-2024 05:25:00.000               0.485000              -0.190000               -1.04000
10-05-2024 05:30:00.000               0.487000              0.0670000               -1.83400
10-05-2024 05:35:00.000               0.609000             -0.0100000               -1.59300
10-05-2024 05:40:00.000                1.05400              0.0570000              -0.680000
10-05-2024 05:45:00.000                1.42700            -0.00900000              -0.628000
10-05-2024 05:50:00.000               0.142000              -0.983000               -1.09200
10-05-2024 05:55:00.000               0.144000               -1.19700               -1.00100
10-05-2024 06:00:00.000              -0.571000               -2.02100               -1.45800
10-05-2024 06:05:00.000              -0.728000               -2.47600               -1.90400
10-05-2024 06:10:00.000              -0.606000               -2.12000               -2.41500
10-05-2024 06:15:00.000              -0.687000               -2.57800               -3.53200
10-05-2024 06:20:00.000              -0.354000               -1.96600               -3.45000
10-05-2024 06:25:00.000               0.466000               -1.78000               -1.87700
10-05-2024 06:30:00.000              -0.141000               -1.79500               -1.99100
10-05-2024 06:35:00.000               0.659000               -1.65800               -1.49100
10-05-2024 06:40:00.000               0.164000               -2.03400               -2.19800
10-05-2024 06:45:00.000               0.664000               -1.44500               -1.40600
10-05-2024 06:50:00.000               0.244000               -1.57500               -1.56200
10-05-2024 06:55:00.000              0.0230000               -1.58900               -2.11300
10-05-2024 07:00:00.000               0.633000              -0.974000               -1.21900
10-05-2024 07:05:00.000                1.25100              -0.861000               -1.24200
10-05-2024 07:10:00.000                1.58400              -0.918000               -1.17200
10-05-2024 07:15:00.000                1.88800               -1.00500              -0.251000
10-05-2024 07:20:00.000                1.35200               -1.49800               0.132000
10-05-2024 07:25:00.000                1.45800               -1.39600            -0.00400000
10-05-2024 07:30:00.000                2.12900              -0.518000                1.13900
10-05-2024 07:35:00.000                2.02200              -0.910000               0.503000
10-05-2024 07:40:00.000                2.19200              -0.693000               0.523000
10-05-2024 07:45:00.000                2.30500              -0.879000               0.697000
10-05-2024 07:50:00.000                2.16200              -0.736000               0.675000
10-05-2024 07:55:00.000                1.83000               -1.04100               0.767000
10-05-2024 08:00:00.000                2.22400              -0.751000                1.28900
10-05-2024 08:05:00.000                2.10900               0.734000                1.27700
10-05-2024 08:10:00.000                1.66800              -0.730000               0.853000
10-05-2024 08:15:00.000                1.93600               0.446000                1.15100
10-05-2024 08:20:00.000                1.68200              -0.494000                1.80200
10-05-2024 08:25:00.000                1.83200               0.477000                1.86800
10-05-2024 08:30:00.000                3.14500              -0.842000                1.27600
10-05-2024 08:35:00.000                3.08100               -2.10100               0.287000
10-05-2024 08:40:00.000                2.61500               -1.77500               0.355000
10-05-2024 08:45:00.000                1.72100               -1.74200              -0.329000
10-05-2024 08:50:00.000              0.0600000              -0.623000               -1.21300
10-05-2024 08:55:00.000              -0.667000               -1.31700               -1.99300
