#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Solar Wind Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-Min Key Parameter [PRELIM]
#     DESCRIPTOR                      SWE>ACE Solar Wind Electron Proton Alpha Monitor
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20240516
#     TEXT                            SWEPAM - Solar Wind Electron Proton Alpha Monitor
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     SWEPAM Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     MODS                            Initial Release 12/01/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_SWE_20240510_V01
#     LOGICAL_SOURCE                  AC_K0_SWE
#     LOGICAL_SOURCE_DESCRIPTION      K0 - ACE Solar Wind Experiment 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         D. J. McComas
#     PI_AFFILIATION                  Southwest Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, D. J. McComas of
#                                     NASA LANL
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_SWEPAM_Solar-Wind-Plasma-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/SWEPAM/KeyParameter/PT5M
#     CDAWEB_PARENTS                  ac_k0_swe_00000000_v01
#                                     ac_k0_swe_20240510_v01, ac_k0_swe_20240511_v01
#                                     ac_k0_swe_20240512_v01, ac_k0_swe_20240513_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Proton Number Density, scalar
#       NOTES:  Np is the proton number density in units of cm-3, as calculated by integrating the ion distribution function.
#  3. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Bulk Speed
#       NOTES:  Vp is the solar wind proton speed, or more generally just the solar wind (bulk) speed. It is obtained by integrating the ion (proton) distribution function.
#  4. [PRELIMINARY VALUES - BROWSE USE ONLY] radial component of the proton temperature
#       NOTES:  The radial component of the proton temperature is the (1,1) component of the temperature tensor, along the radial direction. It is obtained by integration of the ion (proton) distribution function.
#
EPOCH                   [PRELIM]_SW_H_NUM_DENSITY [PRELIM]_SW_BULK_SPEED [PRELIM]_H_TEMP_(RADICAL)
dd-mm-yyyy hh:mm:ss.ms                       #/cc                   km/s                    Kelvin
10-05-2024 00:00:00.000                   4.67380                398.960                   73080.0
10-05-2024 00:05:00.000                   4.43990                402.330                   69595.0
10-05-2024 00:10:00.000                   4.18500                403.620                   65562.0
10-05-2024 00:15:00.000                   4.23340                404.880                   58391.0
10-05-2024 00:20:00.000                   4.79920                404.410                   62745.0
10-05-2024 00:25:00.000                   4.75110                400.680                   63003.0
10-05-2024 00:30:00.000                   4.87980                394.710                   64238.0
10-05-2024 00:35:00.000                   4.36010                395.260                   66892.0
10-05-2024 00:40:00.000                   4.48220                393.110                   69577.0
10-05-2024 00:45:00.000                   4.21020                396.040                   67651.0
10-05-2024 00:50:00.000                   4.64680                394.790                   64389.0
10-05-2024 00:55:00.000                   4.32490                389.350                   73702.0
10-05-2024 01:00:00.000                   4.51040                404.520                   78467.0
10-05-2024 01:05:00.000                   4.61560                421.550                   67312.0
10-05-2024 01:10:00.000                   4.06160                405.040                   77911.0
10-05-2024 01:15:00.000                   3.85200                393.680                   92388.0
10-05-2024 01:20:00.000                   4.48170                398.150                   87890.0
10-05-2024 01:25:00.000                   3.45870                412.820                   78538.0
10-05-2024 01:30:00.000                   3.32010                425.850                   54406.0
10-05-2024 01:35:00.000                   4.00610                430.040                   55615.0
10-05-2024 01:40:00.000                   4.10180                431.480                   48449.0
10-05-2024 01:45:00.000                   3.85520                428.730                   46240.0
10-05-2024 01:50:00.000                   4.40840                431.610                   43656.0
10-05-2024 01:55:00.000                   4.37870                427.470                   37237.0
10-05-2024 02:00:00.000                   4.82350                425.710                   35387.0
10-05-2024 02:05:00.000                   4.46380                427.840                   40918.0
10-05-2024 02:10:00.000                   6.75530                431.050                   43701.0
10-05-2024 02:15:00.000                   8.67970                435.000                   49761.0
10-05-2024 02:20:00.000                   5.90440                431.420                   59766.0
10-05-2024 02:25:00.000                   6.83700                429.900                   64987.0
10-05-2024 02:30:00.000                   12.7817                431.990                   42330.0
10-05-2024 02:35:00.000                   12.9167                431.240                   33978.0
10-05-2024 02:40:00.000                   11.1208                429.320                   27563.0
10-05-2024 02:45:00.000                   10.0992                431.050                   27635.0
10-05-2024 02:50:00.000                   7.97690                430.040                   23161.0
10-05-2024 02:55:00.000                   8.10450                428.050                   20751.0
10-05-2024 03:00:00.000                   7.65820                427.640                   21710.0
10-05-2024 03:05:00.000                   8.15420                427.240                   24515.0
10-05-2024 03:10:00.000                   8.23420                426.690                   29905.0
10-05-2024 03:15:00.000                   8.01330                427.670                   43125.0
10-05-2024 03:20:00.000                   8.86780                429.100                   47288.0
10-05-2024 03:25:00.000                   8.01760                430.960                   50325.0
10-05-2024 03:30:00.000                   8.99960                431.050                   48919.0
10-05-2024 03:35:00.000                   9.82970                431.250                   47857.0
10-05-2024 03:40:00.000                   9.42770                431.010                   48722.0
10-05-2024 03:45:00.000                   9.66740                430.550                   47422.0
10-05-2024 03:50:00.000                   9.99460                429.470                   46586.0
10-05-2024 03:55:00.000                   9.89530                428.100                   44395.0
10-05-2024 04:00:00.000                   9.85370                427.790                   45726.0
10-05-2024 04:05:00.000                   9.04120                427.710                   45816.0
10-05-2024 04:10:00.000                   8.00040                426.000                   50744.0
10-05-2024 04:15:00.000                   7.63110                422.520                   50798.0
10-05-2024 04:20:00.000                   6.97180                422.100                   53901.0
10-05-2024 04:25:00.000                   6.24250                421.190                   54734.0
