#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2024 5 10 8 4 0 0.00 1.58 -0.75 -0.18 -414.30 -2.00 -32.10 8.75 64179.00
2024 5 10 8 5 0 0.00 1.78 -0.80 0.61 -412.90 -3.10 -31.00 8.61 64317.00
2024 5 10 8 6 0 0.00 1.64 -0.62 0.38 -410.80 -4.80 -29.40 8.39 64534.00
2024 5 10 8 7 0 0.00 1.58 -0.91 -0.01 -413.30 -0.50 -21.50 9.17 48473.00
2024 5 10 8 8 0 0.00 1.64 -1.29 -0.36 -413.20 -0.40 -21.00 9.35 50406.00
2024 5 10 8 9 0 0.00 1.35 -0.45 -0.01 -412.30 0.20 -19.70 9.74 52796.00
2024 5 10 8 10 0 0.00 1.20 -0.71 -0.24 -412.30 -0.30 -17.60 10.09 52551.00
2024 5 10 8 11 0 0.00 1.42 -0.26 0.21 -412.47 1.09 -16.94 9.84 52889.86
2024 5 10 8 12 0 0.00 1.14 -0.43 -0.01 -412.64 2.47 -16.29 9.59 53228.71
2024 5 10 8 13 0 0.00 1.21 0.45 0.47 -412.81 3.86 -15.63 9.34 53567.57
2024 5 10 8 14 0 0.00 1.47 0.28 0.44 -412.99 5.24 -14.97 9.08 53906.43
2024 5 10 8 15 0 0.00 1.48 -0.69 -0.11 -413.16 6.63 -14.31 8.83 54245.29
2024 5 10 8 16 0 0.00 1.09 0.08 0.17 -413.33 8.01 -13.66 8.58 54584.14
2024 5 10 8 17 0 0.00 1.30 -0.06 0.02 -413.50 9.40 -13.00 8.33 54923.00
2024 5 10 8 18 0 0.00 1.55 -0.59 0.07 -411.80 5.40 -17.70 8.52 57891.00
2024 5 10 8 19 0 0.00 1.40 -0.69 -0.46 -410.20 1.40 -22.40 8.70 60776.00
2024 5 10 8 20 0 0.00 1.27 -0.63 -0.30 -410.05 0.12 -22.72 8.82 57652.75
2024 5 10 8 21 0 0.00 1.58 -0.98 -0.53 -409.90 -1.15 -23.05 8.95 54529.50
2024 5 10 8 22 0 0.00 1.48 -0.94 -0.48 -409.75 -2.42 -23.38 9.07 51406.25
2024 5 10 8 23 0 0.00 1.12 -1.20 -0.95 -409.60 -3.70 -23.70 9.19 48283.00
