MIDL 32Re Data for 2024-05 (GSM nT, km/s, cm^-3, K)
year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2024  5 10  2  0    -3.17    -1.57    -1.43    -410.1     -6.74     -4.53     4.970      78504    0    1    1    1    1
2024  5 10  2  1    -3.15    -0.98    -1.43    -409.5     -9.78     -6.12     5.008      79736    0    1    1    1    1
2024  5 10  2  2    -3.32    -0.31    -1.42    -408.2    -11.82     -7.94     4.997      83607    0    1    1    1    1
2024  5 10  2  3    -3.34     0.13    -1.20    -406.4    -11.94     -9.96     4.968      89379    0    1    1    1    2
2024  5 10  2  4    -3.15     1.43     1.56    -405.9    -10.67    -11.80     4.912      89377    0    0    0    1    1
2024  5 10  2  5    -3.40     2.29     1.86    -408.9    -12.01    -11.53     5.098      89264    0    1    1    1    1
2024  5 10  2  6    -3.60     2.91     0.52    -410.5    -13.85    -11.14     5.087      89213    0    1    1    1    1
2024  5 10  2  7    -3.57     2.78    -0.90    -409.8    -15.67    -10.58     4.968      89213    0    1    1    1    1
2024  5 10  2  8    -3.56     2.68    -1.43    -408.4    -16.96    -10.68     4.973      88034    0    0    0    0    0
2024  5 10  2  9    -3.55     2.68    -1.32    -407.0    -17.37    -11.53     5.145      85480    0    0    0    0    0
2024  5 10  2 10    -3.31     2.83    -0.56    -408.9    -18.75    -11.60     5.502      87400    0    1    1    1    1
2024  5 10  2 11    -3.13     3.21    -0.18    -413.4    -20.37    -11.13     6.211      90693    0    1    1    1    1
2024  5 10  2 12    -3.11     2.98    -1.62    -414.4    -20.18    -10.55     6.409      87312    0    1    1    1    1
2024  5 10  2 13    -2.92     3.45    -1.48    -414.4    -19.21     -9.85     6.546      82417    0    1    1    1    1
2024  5 10  2 14    -2.69     3.98    -1.31    -414.5    -16.12     -9.49     6.653      82417    0    1    1    1    1
2024  5 10  2 15    -2.71     3.61    -1.73    -414.6    -14.32    -10.24     6.744      82361    0    1    1    1    1
2024  5 10  2 16    -2.76     4.32    -0.07    -416.2    -10.72    -12.08     6.837      80189    0    1    1    1    1
2024  5 10  2 17    -2.50     5.51     1.88    -419.7     -6.41    -12.74     6.790      75191    0    1    1    1    1
2024  5 10  2 18    -2.40     5.67     2.12    -427.9     -4.67    -11.80     6.407      68449    0    1    1    1    1
2024  5 10  2 19    -2.50     5.57     2.14    -429.4     -4.60    -10.88     6.211      64356    0    0    0    1    1
2024  5 10  2 20    -2.58     5.52     2.15    -429.3     -2.34    -11.50     6.202      60867    0    0    0    1    1
2024  5 10  2 21    -2.56     5.51     2.13    -431.0      1.73    -12.13     6.292      56596    0    0    0    1    1
2024  5 10  2 22    -2.38     5.51     2.15    -432.5      2.87    -12.45     6.385      55891    0    1    1    1    1
