Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2024 05 10 03 47 24 924      -1.60      -3.88      -5.10    -438.80       0.00       0.00      11.49     45919.00
2024 05 10 03 49 25 889      -1.48      -3.85      -4.98    -429.40       0.00       0.00       8.12     22105.00
2024 05 10 03 50 27 878      -1.36      -3.92      -4.86    -429.10       0.00       0.00       7.06     27692.00
2024 05 10 03 53 28 101      -1.52      -3.76      -4.71    -438.30       0.00       0.00      11.73     45563.00
2024 05 10 03 56 21 918      -0.96      -3.91      -4.52    -430.00       0.00       0.00       8.40     35002.00
2024 05 10 03 56 38 316      -1.02      -3.93      -4.81    -436.70       0.00       0.00      10.96     42302.00
2024 05 10 03 58 12 695      -1.50      -3.21      -5.11    -431.40       0.00       0.00       9.89     36528.00
2024 05 10 04 00 36 526      -1.51      -2.84      -5.07    -419.00       0.00       0.00       5.47     22797.00
2024 05 10 04 02 04 638      -1.05      -3.37      -3.84    -415.00       0.00       0.00       4.22     19326.00
2024 05 10 04 02 04 855      -0.45      -3.49      -3.13    -423.60       0.00       0.00       7.29     33830.00
2024 05 10 04 02 16 640      -1.32      -2.81      -3.61    -430.80       0.00       0.00       9.01     48258.00
2024 05 10 04 03 47 256      -1.53      -2.51      -3.88    -426.20       0.00       0.00       7.23     44498.00
2024 05 10 04 04 41 195      -1.88      -0.43      -2.71    -445.80       0.00       0.00      12.87    102443.00
2024 05 10 04 05 46 740      -1.32      -1.35      -2.46    -444.90       0.00       0.00      12.65    100185.00
2024 05 10 04 09 20 488      -0.84      -1.97      -2.59    -439.50       0.00       0.00       9.36     70889.00
2024 05 10 04 10 16  67      -0.86      -1.87      -2.74    -440.20       0.00       0.00      10.47     80671.00
2024 05 10 04 11 46 671      -0.96      -1.67      -2.54    -435.40       0.00       0.00       9.51     63104.00
2024 05 10 04 13 04 184      -1.37      -0.99      -1.51    -432.70       0.00       0.00       8.59     51444.00
2024 05 10 04 13 23  21      -1.85       0.08      -2.01    -439.10       0.00       0.00       8.85     64113.00
2024 05 10 04 14 06 639      -2.22       0.25      -2.17    -441.70       0.00       0.00       9.17     76720.00
2024 05 10 04 15 44  95      -2.18       0.23      -2.23    -435.80       0.00       0.00       8.22     67444.00
2024 05 10 04 18 16  67      -0.91      -1.40      -1.86    -440.20       0.00       0.00       9.41     79509.00
2024 05 10 04 19 32 561      -0.98      -1.05      -1.67    -437.60       0.00       0.00       9.74     74127.00
2024 05 10 04 21 38 537      -1.24      -1.32      -2.06    -427.50       0.00       0.00       8.91     44795.00
2024 05 10 04 21 47 975      -0.77      -1.09      -1.89    -444.70       0.00       0.00      10.48     69376.00
2024 05 10 04 22 30 171      -0.46      -0.89      -2.11    -447.60       0.00       0.00      12.25    102111.00
2024 05 10 04 25 01 576      -0.65      -0.79      -1.75    -433.10       0.00       0.00       8.60     52708.00
2024 05 10 04 27 00 390      -0.62      -0.82      -2.39    -442.70       0.00       0.00      10.17     95619.00
2024 05 10 04 27 13 801      -0.47      -0.55      -2.16    -450.30       0.00       0.00      13.03    108617.00
2024 05 10 04 30 51 973      -0.71      -0.65      -2.17    -425.50       0.00       0.00       9.25     52919.00
2024 05 10 04 31 18 631      -0.73      -0.31      -1.78    -449.50       0.00       0.00      12.78    111909.00
2024 05 10 04 33 52 485      -0.54      -0.56      -2.11    -434.50       0.00       0.00      11.30     75224.00
2024 05 10 04 34 42 425      -0.63      -0.38      -1.79    -445.60       0.00       0.00      12.12     91664.00
2024 05 10 04 36 17 960      -0.78      -0.55      -1.87    -439.90       0.00       0.00      12.71     73904.00
2024 05 10 04 37 04 136      -0.76      -0.33      -1.89    -442.10       0.00       0.00      13.72     79623.00
2024 05 10 04 40 02 228      -0.81      -0.39      -1.58    -433.00       0.00       0.00      11.01     56563.00
2024 05 10 04 41 43 225      -0.91      -0.26      -2.05    -426.80       0.00       0.00       9.07     44314.00
2024 05 10 04 42 56  29      -0.89      -0.35      -2.49    -424.90       0.00       0.00       8.05     40253.00
2024 05 10 04 45 01 802      -0.86      -0.42      -2.33    -415.40       0.00       0.00       5.42     27815.00
2024 05 10 04 45 19 228      -0.85      -0.49      -2.39    -421.50       0.00       0.00       7.10     34965.00
2024 05 10 04 45 38 537      -0.90      -0.42      -2.37    -427.50       0.00       0.00       9.41     45031.00
2024 05 10 04 47 28 542      -0.96      -0.50      -2.53    -429.00       0.00       0.00       9.86     48824.00
2024 05 10 04 48 30 536      -0.88      -0.51      -2.52    -428.70       0.00       0.00       9.90     47540.00
2024 05 10 04 49 09 416      -0.92      -0.59      -2.67    -431.90       0.00       0.00      10.90     56829.00
2024 05 10 04 49 50 544      -0.85      -0.62      -2.51    -434.80       0.00       0.00      11.56     64971.00
2024 05 10 04 51 15 324      -0.89      -0.85      -2.70    -431.00       0.00       0.00      10.25     53347.00
2024 05 10 04 52 56 706      -0.67      -1.02      -2.45    -424.80       0.00       0.00       8.96     43421.00
2024 05 10 04 52 57 898      -0.64      -0.99      -2.44    -443.10       0.00       0.00      12.16     86918.00
2024 05 10 04 54 42 166      -0.56      -1.01      -2.50    -436.10       0.00       0.00      11.57     68715.00
2024 05 10 04 56 30 536      -0.65      -0.93      -2.15    -428.70       0.00       0.00       7.71     52403.00
2024 05 10 04 57 57  23      -0.55      -0.64      -2.12    -433.80       0.00       0.00       9.10     72502.00
2024 05 10 04 58 44 739      -0.63      -1.04      -2.18    -435.70       0.00       0.00       9.95     79157.00
2024 05 10 05 00 31 866       0.58      -1.93      -0.29    -428.50       0.00       0.00       7.80     63681.00
2024 05 10 05 03 08 264       1.00      -1.19       0.12    -423.10       0.00       0.00       6.72     55511.00
2024 05 10 05 03 14 666       0.24      -0.61      -0.66    -431.10       0.00       0.00       8.21     69362.00
2024 05 10 05 04 28 542       0.34      -0.86      -1.02    -429.00       0.00       0.00       8.74     67158.00
2024 05 10 05 06 42 106       0.39      -0.76      -1.10    -418.20       0.00       0.00       7.50     50229.00
2024 05 10 05 06 49 830      -0.74      -0.17      -0.64    -444.40       0.00       0.00      10.24    136790.00
2024 05 10 05 09 33 198       0.23      -0.70      -0.14    -428.30       0.00       0.00       8.82     76792.00
2024 05 10 05 13 25 359       0.34      -0.85       0.25    -412.10       0.00       0.00       4.26     37927.00
2024 05 10 05 16 35 865       1.06      -1.10       0.18    -427.90       0.00       0.00       7.35     76041.00
2024 05 10 05 18 12 366       1.08      -1.11       0.08    -422.50       0.00       0.00       6.25     62788.00
2024 05 10 05 20 53 691       0.48      -0.82      -0.39    -408.20       0.00       0.00       4.32     34129.00
2024 05 10 05 21 23 902       0.13      -0.29      -0.69    -429.70       0.00       0.00       7.11     73592.00
2024 05 10 05 22 49 276      -0.15      -0.38      -0.91    -425.90       0.00       0.00       6.47     67904.00
2024 05 10 05 25 08 190      -0.33      -0.64      -1.14    -414.50       0.00       0.00       4.63     42375.00
2024 05 10 05 25 13 736      -1.20      -0.93      -0.64    -422.30       0.00       0.00       6.09     58667.00
2024 05 10 05 26 06 218       0.18      -0.52      -1.38    -423.40       0.00       0.00       6.20     61634.00
2024 05 10 05 27 10 997       0.10      -0.48      -1.20    -422.70       0.00       0.00       6.14     60398.00
2024 05 10 05 28 00  96       0.00      -0.55      -1.33    -424.30       0.00       0.00       6.16     63297.00
2024 05 10 05 29 03 494       0.51      -0.44      -1.06    -423.80       0.00       0.00       5.88     58937.00
2024 05 10 05 30 00 775       0.53      -0.33      -0.55    -424.20       0.00       0.00       5.99     66483.00
2024 05 10 05 31 11 681      -0.53      -1.01      -0.99    -422.60       0.00       0.00       6.17     59856.00
2024 05 10 05 32 23 361      -0.27      -0.95      -1.05    -420.90       0.00       0.00       6.33     58569.00
2024 05 10 05 33 32 356      -0.10      -0.54      -0.99    -419.60       0.00       0.00       6.32     54335.00
2024 05 10 05 33 42 555      -0.42      -0.67      -0.94    -426.90       0.00       0.00       6.78     74494.00
2024 05 10 05 34 23 902      -0.41      -0.43      -0.72    -429.70       0.00       0.00       7.55     82417.00
2024 05 10 05 35 43 225      -0.39      -0.45      -0.85    -426.80       0.00       0.00       7.26     69589.00
2024 05 10 05 37 12 366      -0.22      -0.41      -0.87    -422.50       0.00       0.00       6.72     58142.00
2024 05 10 05 37 59 417      -0.39      -0.45      -0.71    -424.40       0.00       0.00       6.93     67535.00
2024 05 10 05 38 29 871      -0.45      -0.33      -0.57    -428.80       0.00       0.00       7.59     82473.00
2024 05 10 05 39 56  29      -0.41      -0.28      -0.62    -424.90       0.00       0.00       7.44     74458.00
2024 05 10 05 42 01 802      -0.30      -0.56      -0.83    -415.40       0.00       0.00       5.56     48307.00
2024 05 10 05 42 22 579      -0.32      -0.25      -0.92    -429.90       0.00       0.00       7.06     78843.00
2024 05 10 05 44 02 133      -0.19      -0.24      -0.75    -424.00       0.00       0.00       6.77     65854.00
2024 05 10 05 45 25 432      -0.08      -0.49      -0.77    -420.60       0.00       0.00       5.69     58001.00
2024 05 10 05 48 01 454      -0.06      -0.42      -0.06    -424.10       0.00       0.00       6.80     64390.00
2024 05 10 05 49 01 454      -0.43       0.74       0.74    -410.45       0.00       0.00       5.26     41087.50
2024 05 10 05 51 17 958       0.07      -0.55      -1.34    -430.60       0.00       0.00       6.62     99767.00
2024 05 10 05 52 01 576      -0.02      -0.21      -1.09    -433.10       0.00       0.00       7.50    101618.00
2024 05 10 05 55 19 614      -0.01      -0.19      -1.07    -412.90       0.00       0.00       4.76     43047.00
2024 05 10 05 56 06 798      -0.35       0.12      -0.97    -432.30       0.00       0.00       8.04     91791.00
2024 05 10 05 57 30 536      -0.45       0.20      -0.94    -428.70       0.00       0.00       8.03     79893.00
2024 05 10 06 00 22 579      -0.15      -0.03      -1.02    -429.90       0.00       0.00       7.61     78088.00
2024 05 10 06 01 08 761      -0.17      -0.07      -0.86    -432.00       0.00       0.00       8.39     85121.00
2024 05 10 06 03 54   0      -0.82      -0.80      -0.51    -425.20       0.00       0.00       7.30     68696.00
2024 05 10 06 05 17 166      -0.74      -1.16      -0.81    -421.80       0.00       0.00       6.66     57937.00
2024 05 10 06 06 28 198      -0.66      -0.68      -0.92    -420.20       0.00       0.00       6.69     54232.00
2024 05 10 06 08 01  94      -0.46       0.03      -1.31    -415.50       0.00       0.00       4.88     85690.00
2024 05 10 06 09 32 573      -0.83      -0.35      -0.79    -411.10       0.00       0.00       4.77     65432.00
2024 05 10 06 10 04 638      -0.92      -0.38      -0.69    -415.00       0.00       0.00       5.83     49443.00
2024 05 10 06 10 09 630      -1.40      -0.50       0.40    -422.90       0.00       0.00       6.80     70324.00
2024 05 10 06 10 56 706      -1.39      -0.48       0.59    -424.80       0.00       0.00       7.37     73690.00
2024 05 10 06 13 04 638      -0.47      -0.43      -0.99    -415.00       0.00       0.00       5.78     50021.00
2024 05 10 06 13 41 214      -0.08      -0.33      -1.01    -427.10       0.00       0.00       7.08     85666.00
2024 05 10 06 14 52 648      -0.15      -0.08      -0.93    -425.40       0.00       0.00       7.40     76998.00
2024 05 10 06 16 18 540      -0.28       0.00      -1.34    -421.60       0.00       0.00       6.30     63692.00
2024 05 10 06 17 35 865      -0.57       0.03      -1.68    -427.90       0.00       0.00       6.44     79600.00
2024 05 10 06 19 03 532       0.01       0.45      -2.06    -432.80       0.00       0.00       7.48     92941.00
2024 05 10 06 21 19 916      -0.01       0.54      -2.13    -421.40       0.00       0.00       5.95     63235.00
2024 05 10 06 21 56  29      -0.12       0.39      -2.36    -424.90       0.00       0.00       5.88     71141.00
2024 05 10 06 22 45 239      -0.13       0.35      -1.91    -426.50       0.00       0.00       6.52     74708.00
