ACE

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  8  0 27 689    0.76   -0.98   -1.27  -411.7 0.0 0.0     7.15   52852.0  233.5
2024  5 10  8  2 26  95    0.88   -0.96   -1.23  -404.2 0.0 0.0     5.76   39239.0  233.5
2024  5 10  8  3 40 437    0.88   -0.75   -1.24  -402.3 0.0 0.0     5.42   36054.0  233.5
2024  5 10  8  4 30 637    1.05   -1.01   -1.24  -419.2 0.0 0.0     8.50   60601.0  233.5
2024  5 10  8  7 20 553    1.03   -1.10   -1.37  -404.8 0.0 0.0     7.54   28652.0  233.5
2024  5 10  8  7 33 588    1.17   -1.08   -0.58  -418.8 0.0 0.0    10.39   56496.0  233.5
2024  5 10  8  8 45 449    1.31   -1.05   -0.07  -417.2 0.0 0.0    10.96   50435.0  233.5
2024  5 10  8 10 53 901    0.98   -1.05   -0.26  -408.2 0.0 0.0     8.19   31020.0  233.5
2024  5 10  8 11 18 888    0.87   -1.35   -0.43  -420.8 0.0 0.0    10.34   58589.0  233.5
2024  5 10  8 12 13 776    0.76   -1.45   -0.07  -421.6 0.0 0.0    11.46   51948.0  233.5
2024  5 10  8 13 52 908    0.82   -1.45    0.67  -416.2 0.0 0.0     9.05   43903.0  233.5
2024  5 10  8 15 18 888    0.36   -1.87   -0.25  -420.8 0.0 0.0    10.56   62935.0  233.5
2024  5 10  8 16 58 902    0.21   -1.70   -0.56  -415.5 0.0 0.0     9.51   44480.0  233.5
2024  5 10  8 17 58 902    0.48   -1.53   -0.49  -415.5 0.0 0.0     8.32   38101.0  233.5
2024  5 10  8 20 22 347    1.01   -1.42    0.13  -412.3 0.0 0.0     8.56   49640.0  233.5
2024  5 10  8 20 31 374    1.25   -1.26    0.20  -419.2 0.0 0.0    10.39   57972.0  233.5
2024  5 10  8 22 20 823    1.45   -0.88    0.74  -412.6 0.0 0.0     9.17   42166.0  233.5
2024  5 10  8 24 28 477    1.28   -0.58    1.14  -403.8 0.0 0.0     6.50   35268.0  233.5
2024  5 10  8 24 31 374    1.38   -0.66    1.05  -419.2 0.0 0.0    10.97   59726.0  233.5
2024  5 10  8 25 36 544    1.47   -0.63    0.84  -418.5 0.0 0.0    12.40   60109.0  233.5
2024  5 10  8 26 37 284    1.34   -0.88    0.26  -418.3 0.0 0.0    12.08   59460.0  233.5
2024  5 10  8 28 57 819    1.29   -1.06    0.49  -423.7 0.0 0.0    13.22   80395.0  233.5
2024  5 10  8 30 18 888    1.45   -1.06    0.40  -420.8 0.0 0.0    13.22   64022.0  233.5
2024  5 10  8 33 59 653    1.33   -0.70    0.45  -415.3 0.0 0.0    11.20   47766.0  233.5
2024  5 10  8 34 40 990    1.38   -0.75    0.36  -417.8 0.0 0.0    12.04   53093.0  233.5
2024  5 10  8 38  7  66    1.46   -0.61    0.60  -399.1 0.0 0.0     5.99   22512.0  233.5
2024  5 10  8 38 23 718    1.72   -0.97    0.45  -404.5 0.0 0.0     7.83   33862.0  233.5
2024  5 10  8 38 29 220    1.61   -1.04    0.59  -411.5 0.0 0.0     9.97   47350.0  233.5
2024  5 10  8 39  3 412    1.47   -1.04    0.59  -414.8 0.0 0.0    10.83   52604.0  233.5
2024  5 10  8 40  1 156    1.42   -0.96    0.57  -415.2 0.0 0.0    11.26   54591.0  233.5
2024  5 10  8 42  1 694    1.53   -1.01    0.54  -407.2 0.0 0.0     9.30   44492.0  233.5
2024  5 10  8 43 10 202    1.32   -0.85    0.50  -414.0 0.0 0.0    10.20   54738.0  233.5
2024  5 10  8 44 41 733    1.28   -0.60    0.54  -417.7 0.0 0.0    10.86   55489.0  233.5
2024  5 10  8 46 48 429    1.37   -1.09    0.62  -416.8 0.0 0.0     8.72   56501.0  233.5
2024  5 10  8 48  7 936    0.90   -0.96    0.47  -414.2 0.0 0.0     8.47   47361.0  233.5
2024  5 10  8 49 23 109    1.03   -1.07    0.60  -412.2 0.0 0.0     7.57   43885.0  233.5
2024  5 10  8 51 20  63    1.15   -1.50    0.60  -412.7 0.0 0.0     7.45   49394.0  233.5
2024  5 10  8 51 23 283    1.20   -0.93    1.00  -420.2 0.0 0.0     9.32   61263.0  233.5
2024  5 10  8 53  5 673    1.35   -1.11    1.16  -414.6 0.0 0.0     7.73   56730.0  233.5
2024  5 10  8 55 58 152    1.57   -0.59    1.16  -415.6 0.0 0.0     7.81   63582.0  233.5
2024  5 10  8 57 42 284    1.67   -0.32    1.14  -409.7 0.0 0.0     7.20   51341.0  233.5
2024  5 10  8 59 12 668    1.55    0.05    1.19  -405.8 0.0 0.0     5.55   45848.0  233.5
2024  5 10  8 59 55 902    1.13    1.39    1.15  -415.8 0.0 0.0     8.53   66189.0  233.5
2024  5 10  9  0  9 407    1.04    1.32    1.04  -422.2 0.0 0.0    15.77   35009.0  233.5
2024  5 10  9  2 32 284    1.17    0.85    0.93  -411.1 0.0 0.0     5.69   57284.0  233.5
2024  5 10  9  3 32 849    0.65   -1.44    0.26  -419.0 0.0 0.0     7.97   93085.0  233.5
2024  5 10  9  3 49 185    1.06   -1.38    0.82  -425.0 0.0 0.0     8.62  106626.0  233.5
2024  5 10  9  5 26 220    1.05   -1.10    0.93  -419.8 0.0 0.0     9.64   84758.0  233.5
2024  5 10  9 10 34 801    1.20   -0.22    1.07  -388.6 0.0 0.0    23.40   58119.0  233.5
