File created on 2024-08-30T14:48:23.418999 by Dan Welling
Source data: wind_20240509_230030_merged.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-08-30 14:48:23.418358
Units: nT, km/s, K

#COORINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2024 05 10 00 47 56 703       -4.74       1.85      -3.77    -405.08      -4.64      18.68       5.98  149848.86
2024 05 10 00 49 02 380       -4.81       2.04      -3.74    -404.29      -5.19      16.54       5.88  145290.30
2024 05 10 00 50 08 079       -4.95       2.29      -3.61    -403.49      -5.75      14.40       5.79  140731.73
2024 05 10 00 51 13 801       -5.06       2.49      -3.36    -402.70      -6.31      12.26       5.69  136173.17
2024 05 10 00 52 19 546       -5.04       2.50      -3.37    -401.90      -6.86      10.12       5.60  131614.61
2024 05 10 00 53 26 932       -4.96       2.30      -3.65    -400.88      -7.05      10.32       5.71  127049.60
2024 05 10 00 54 34 900       -4.88       2.31      -3.74    -399.78      -7.11      11.30       5.90  122482.45
2024 05 10 00 55 43 672       -4.92       2.26      -3.66    -398.59      -0.59      12.82       6.03  127651.88
2024 05 10 00 56 52 003       -5.09       0.97      -3.78    -397.46       5.39      13.66       6.12  133678.55
2024 05 10 00 57 58 129       -5.08       0.18      -3.83    -396.63       3.14      11.93       6.12  132540.39
2024 05 10 00 59 04 279       -5.00       0.53      -3.72    -395.80       0.90      10.20       6.12  131402.23
2024 05 10 01 00 10 456       -4.97       1.54      -3.42    -394.97      -1.35       8.46       6.13  130264.06
2024 05 10 01 01 16 659       -5.08       1.78      -3.14    -394.15      -3.59       6.73       6.13  129125.91
2024 05 10 01 02 22 887       -5.06       1.89      -3.14    -393.32      -5.84       4.99       6.13  127987.74
2024 05 10 01 03 29 143       -4.94       1.64      -3.46    -392.49      -8.08       3.26       6.13  126849.58
2024 05 10 01 04 30 206       -5.43       1.63      -2.67    -392.35      -8.81       3.96       6.13  127864.03
2024 05 10 01 05 29 534       -5.86       1.15      -2.00    -392.44      -9.03       5.47       6.13  129596.02
2024 05 10 01 06 28 863       -5.97       0.66      -1.75    -392.53      -9.25       6.98       6.13  131328.00
2024 05 10 01 07 28 192       -5.52       0.64      -2.84    -392.62      -9.47       8.49       6.13  133060.00
2024 05 10 01 08 27 521       -5.19       0.79      -3.44    -392.71      -9.69      10.00       6.13  134791.98
2024 05 10 01 09 26 851       -4.63       1.92      -3.17    -392.80      -9.91      11.52       6.13  136523.97
2024 05 10 01 10 26 181       -4.33       2.23      -3.32    -392.89     -10.13      13.03       6.13  138255.95
2024 05 10 01 11 25 511       -4.38       1.66      -3.74    -392.98     -10.35      14.54       6.13  139987.95
2024 05 10 01 12 29 067       -4.53       1.23      -3.76    -392.52      -7.41      16.19       6.16  142558.58
2024 05 10 01 13 45 410       -4.51      -0.05      -3.79    -390.37       4.99      18.25       6.25  147645.12
2024 05 10 01 14 32 774       -4.13      -1.17      -3.98    -392.03       9.42      16.95       6.10  142382.95
2024 05 10 01 15 10 729       -4.18      -1.03      -4.01    -394.96      11.20      14.53       5.87  133671.19
2024 05 10 01 15 33 646       -4.19       0.21      -4.01    -399.99       2.87      12.75       5.55  130898.94
2024 05 10 01 16 02 327       -4.27       0.91      -4.20    -404.33      -6.10      11.92       5.31  130833.03
2024 05 10 01 17 00 855       -4.19       1.55      -4.27    -404.54      -6.91      13.31       5.39  132946.64
2024 05 10 01 17 59 384       -4.02       2.22      -4.17    -404.75      -7.73      14.69       5.47  135060.23
2024 05 10 01 18 57 915       -3.50       2.68      -4.30    -404.96      -8.54      16.08       5.55  137173.84
2024 05 10 01 19 56 447       -3.95       2.19      -4.04    -405.17      -9.35      17.46       5.63  139287.44
2024 05 10 01 20 54 693       -3.60       1.74      -4.35    -405.42      -9.33      18.64       5.69  140883.06
2024 05 10 01 21 52 076       -4.18       1.66      -3.82    -405.79      -6.78      19.19       5.69  140924.75
2024 05 10 01 22 49 466       -4.17       1.63      -3.78    -406.16      -4.24      19.74       5.68  140966.44
2024 05 10 01 23 46 859       -3.70       0.73      -4.21    -406.53      -1.70      20.29       5.68  141008.12
2024 05 10 01 24 44 257       -3.06      -0.09      -4.74    -406.90       0.85      20.84       5.67  141049.81
2024 05 10 01 25 41 661       -2.00      -0.79      -5.25    -407.27       3.39      21.39       5.67  141091.50
2024 05 10 01 26 39 068       -2.18      -1.09      -4.96    -407.64       5.93      21.94       5.66  141133.19
2024 05 10 01 27 36 481       -2.29      -1.46      -4.92    -408.01       8.48      22.49       5.66  141174.88
2024 05 10 01 28 33 898       -2.49      -1.67      -4.70    -408.38      11.02      23.05       5.65  141216.56
2024 05 10 01 29 10 949       -2.35      -1.76      -4.97    -411.69       9.94      21.76       5.96  146098.41
2024 05 10 01 30 06 238       -1.81      -1.72      -5.28    -412.38       6.43      21.10       6.31  149048.75
2024 05 10 01 32 17 397       -2.88      -0.77      -4.46    -402.25      -0.74      24.13       6.45  141364.41
2024 05 10 01 33 54 765       -3.57      -0.36      -4.02    -397.13      -4.51      20.94       6.47  136647.75
2024 05 10 01 35 20 506       -3.93       0.09      -3.70    -393.68      -7.15      15.67       6.46  132920.30
2024 05 10 01 36 22 200       -4.32       0.73      -3.25    -393.46      -7.79      14.67       6.35  130949.01
2024 05 10 01 37 15 810       -4.32       0.61      -3.27    -394.31      -7.76      15.09       6.23  129563.10
2024 05 10 01 38 09 446       -4.33       0.36      -3.21    -395.16      -7.74      15.52       6.10  128177.20
2024 05 10 01 39 03 110       -4.15       1.07      -3.26    -396.02      -7.72      15.95       5.97  126791.29
2024 05 10 01 39 56 801       -4.29       1.11      -3.25    -396.87      -7.69      16.37       5.84  125405.38
2024 05 10 01 40 50 519       -4.03       0.94      -3.75    -397.72      -7.67      16.80       5.71  124019.48
2024 05 10 01 41 46 052       -4.02       0.84      -3.82    -398.33      -8.07      16.41       5.57  123626.73
2024 05 10 01 42 46 959       -3.92       0.36      -3.96    -398.21      -9.78      13.58       5.42  126213.49
2024 05 10 01 43 46 447       -4.22       1.22      -3.70    -398.28     -11.32      11.20       5.35  128240.75
2024 05 10 01 44 41 686       -4.15       1.33      -3.72    -398.93     -12.36      10.14       5.50  128589.52
2024 05 10 01 45 36 940       -4.06       2.29      -3.23    -399.58     -13.40       9.08       5.65  128938.28
2024 05 10 01 46 32 210       -3.46       0.55      -3.96    -400.23     -14.44       8.02       5.80  129287.05
2024 05 10 01 47 27 495       -3.30      -0.16      -3.89    -400.88     -15.49       6.97       5.95  129635.82
