File created on 2024-08-30T14:48:23.418999 by Dan Welling. Density spikes removed manually.
Source data: wind_20240509_230030_merged.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-08-30 14:48:23.418358
Units: nT, km/s, K

#COORINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2024 05 10 08 00 26 004        2.25      -1.61       0.39    -410.09      15.68     -17.71       8.60   92984.84
2024 05 10 08 01 22 945        2.35      -1.42       0.48    -410.54       9.63     -16.11       8.60   95178.77
2024 05 10 08 02 23 802        2.37      -1.25       0.55    -410.41       8.42     -15.43       8.53   96184.73
2024 05 10 08 03 25 966        2.31      -1.49       0.40    -410.10       8.81     -15.07       8.43   96794.72
2024 05 10 08 04 28 133        2.46      -1.45       0.47    -409.79       9.20     -14.71       8.34   97404.70
2024 05 10 08 05 22 610        2.55      -1.52       0.35    -410.59       9.77     -15.25       8.44   95162.54
2024 05 10 08 06 14 562        2.34      -1.68       0.10    -411.76      10.40     -16.08       8.60   91969.65
2024 05 10 08 07 13 963        2.23      -1.63       0.17    -411.85      10.44     -15.93       8.69   92234.48
2024 05 10 08 08 15 841        1.80      -1.86      -0.06    -411.57      10.29     -15.45       8.75   93651.89
2024 05 10 08 09 17 721        1.98      -1.06       0.22    -411.30      10.14     -14.97       8.81   95069.29
2024 05 10 08 10 19 604        2.30      -0.66       0.33    -411.03       9.98     -14.49       8.88   96486.70
2024 05 10 08 11 21 489        2.01      -1.18      -0.17    -410.76       9.83     -14.01       8.94   97904.10
2024 05 10 08 12 19 436        1.87      -1.26      -0.40    -411.06      10.03     -14.10       8.91   99274.20
2024 05 10 08 13 16 077        1.60      -0.99      -0.31    -411.55      10.35     -14.38       8.85  100628.54
2024 05 10 08 14 12 725        1.55      -0.94      -0.96    -412.04      10.67     -14.66       8.79  101982.87
2024 05 10 08 15 09 382        1.40      -0.89      -0.76    -412.52      10.99     -14.94       8.74  103337.20
2024 05 10 08 16 06 047        1.53      -0.80      -0.42    -413.01      11.31     -15.22       8.68  104691.53
2024 05 10 08 17 02 720        1.72      -0.77      -0.27    -413.50      11.63     -15.51       8.62  106045.87
2024 05 10 08 17 59 400        1.75      -0.70      -0.15    -413.99      11.95     -15.79       8.56  107400.20
2024 05 10 08 18 56 088        1.93      -0.69      -0.08    -414.48      12.27     -16.07       8.50  108754.53
2024 05 10 08 19 59 009        2.05      -0.58       0.12    -414.05      11.63     -16.34       8.37  103391.31
2024 05 10 08 21 04 021        2.21      -0.46       0.30    -413.32      10.68     -16.62       8.21   95788.90
2024 05 10 08 22 03 649        2.20      -0.34       0.44    -413.37      10.69     -16.46       8.20   93820.42
2024 05 10 08 23 01 482        1.93      -0.21       0.47    -413.69      11.01     -16.16       8.24   93729.91
2024 05 10 08 23 59 318        1.95      -0.49       0.16    -414.01      11.34     -15.86       8.28   93639.41
2024 05 10 08 24 57 158        1.63      -0.46       0.06    -414.33      11.67     -15.56       8.32   93548.91
2024 05 10 08 25 55 001        1.72      -0.33       0.21    -414.65      12.00     -15.26       8.36   93458.40
2024 05 10 08 26 52 848        1.66      -0.19       0.41    -414.97      12.33     -14.96       8.40   93367.89
2024 05 10 08 27 50 697        1.83      -0.03       0.57    -415.29      12.66     -14.66       8.44   93277.39
2024 05 10 08 28 48 550        1.62       0.08       0.61    -415.61      12.99     -14.36       8.48   93186.88
2024 05 10 08 29 49 466        1.53       0.17       0.61    -415.47      12.72     -14.27       8.58   94009.55
