Created with imf_median.pro
Median of IMF_ballistic_WIND_bad.dat, IMF_ballistic_ACE.dat, IMF_ballistic_DSCOVER_bad.dat
Units: nT, km/s, K

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  8  0 34 413       0.78      -0.98      -1.27    -411.27       0.00     -14.18       8.64   52078.95     233.50
2024  5 10  8  1 40 427       0.83      -0.97      -1.25    -408.40       0.00     -13.20       8.41   44489.40     233.50
2024  5 10  8  2 45  53       0.88      -0.91      -1.23    -407.80       0.00     -11.52       8.07   38442.10     233.50
2024  5 10  8  3 48 580       1.08      -0.92      -1.24    -407.30       0.00     -10.15       7.98   42193.80     233.50
2024  5 10  8  4 49 300       1.19      -1.29      -0.81    -410.70       0.00      -9.37       8.39   54362.64     233.50
2024  5 10  8  5 40 444       1.17      -1.43      -0.57    -410.68       0.00     -10.59       8.11   47475.32     233.50
2024  5 10  8  6 30 998       1.32      -1.07      -0.80    -409.80       0.00     -11.90       8.26   45590.20     233.50
2024  5 10  8  7 20 631       1.09      -1.10      -1.37    -410.22       0.00     -13.34       8.42   45282.80     233.50
2024  5 10  8  8 22 347       1.26      -1.06      -0.23    -411.00       0.00     -13.04      10.43   51250.92     233.50
2024  5 10  8  9 25 915       1.35      -1.27      -0.13    -410.50       0.00     -12.46      10.09   49124.50     233.50
2024  5 10  8 10 29 484       1.54      -1.05      -0.22    -409.91       2.56     -11.88       8.87   46779.99     233.50
2024  5 10  8 11 33  62       1.38      -1.25      -0.09    -410.53       1.89     -11.30      10.63   53459.00     233.50
2024  5 10  8 12 36 657       1.06      -1.39       0.10    -412.02       0.00     -10.73      10.90   50091.11     233.50
2024  5 10  8 13 40 253       1.03      -1.45      -0.15    -411.62       0.00     -10.15       9.36   46352.60     233.50
2024  5 10  8 14 41 443       1.07      -1.47      -0.12    -411.25       0.00      -9.73       9.90   54646.41     233.50
2024  5 10  8 15 30 529       1.18      -1.36      -0.29    -411.01       0.00     -10.08      10.44   60786.95     233.50
2024  5 10  8 16 17 748       0.98      -1.38      -0.43    -411.70       0.00     -11.43       9.94   52073.91     233.50
2024  5 10  8 17  2 618       1.03      -1.26      -0.33    -413.90       0.00     -14.03       9.44   47387.34     233.50
2024  5 10  8 18  7 692       1.18      -1.08      -0.22    -413.20       0.20     -13.92       8.44   47350.16     233.50
2024  5 10  8 19 15 770       1.34      -0.85      -0.08    -412.00       0.53     -13.31       8.48   48143.88     233.50
2024  5 10  8 20 17  31       1.43      -0.81       0.10    -411.80       0.62     -13.17       8.55   49212.37     233.50
2024  5 10  8 21 18 301       1.46      -0.84       0.26    -411.60       1.07     -13.04       9.87   51195.07     233.50
2024  5 10  8 22 19 565       1.48      -0.88       0.40    -411.50       0.37     -12.91       9.18   48210.03     233.50
2024  5 10  8 23 14 472       1.63      -0.75       0.46    -410.16       3.75     -12.52       8.16   47391.91     233.50
2024  5 10  8 24  8 387       1.74      -0.63       0.59    -409.20       6.12     -12.30       8.20   47005.64     233.50
2024  5 10  8 25  3 173       1.74      -0.65       0.70    -413.90       6.85     -13.10      10.83   59912.88     233.50
2024  5 10  8 25 59 828       1.65      -0.60       0.62    -414.30       8.87     -13.20      10.76   59860.21     233.50
2024  5 10  8 27  0 665       1.59      -0.50       0.35    -414.20       5.85     -11.71      10.73   59101.80     233.50
2024  5 10  8 28  5 672       1.42      -0.99       0.40    -413.50       4.32     -11.11      10.99   58567.30     233.50
2024  5 10  8 29 11 222       1.71      -0.77       0.48    -412.70       8.23     -10.94      10.47   59574.20     233.50
2024  5 10  8 30  6 130       1.52      -0.91       0.43    -413.40      11.74     -11.30      10.47   55923.40     233.50
2024  5 10  8 31  4 419       1.52      -0.96       0.46    -413.70      12.29     -11.47      10.27   54446.00     233.50
2024  5 10  8 32  5 866       1.39      -0.89       0.49    -413.50      11.40     -11.45       9.81   54923.20     233.50
2024  5 10  8 33  7 701       1.36      -0.78       0.44    -413.20      10.31     -11.54       9.58   51591.48     233.50
2024  5 10  8 34  9 601       1.34      -0.69       0.54    -412.90      11.57     -11.65       9.91   49047.98     233.50
2024  5 10  8 35 11 503       1.39      -0.73       0.40    -412.60      10.78     -11.75       9.96   48564.97     233.50
2024  5 10  8 36 13 416       1.42      -0.69       0.47    -409.41      12.38     -11.86       9.33   46347.51     233.50
