Propagated from L1 to (X,Y,Z):   3.20000E+01  0.00000E+00  0.00000E+00
 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
 2024 05 10 03 00 00 000 -1.54000E+000 -3.89419E+000 -5.09159E+000 -4.19300E+002  3.06295E-014  3.55352E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 01 02 700 -1.54000E+000 -3.89763E+000 -5.08896E+000 -4.19300E+002  3.06535E-014  3.55145E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 02 05 205 -1.54000E+000 -3.90105E+000 -5.08633E+000 -4.19300E+002  3.06774E-014  3.54938E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 03 01 214 -1.54000E+000 -3.90413E+000 -5.08397E+000 -4.19300E+002  3.06989E-014  3.54752E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 04 03 031 -1.54000E+000 -3.90753E+000 -5.08136E+000 -4.19300E+002  3.07226E-014  3.54547E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 05 03 271 -1.54000E+000 -3.91085E+000 -5.07880E+000 -4.19300E+002  3.06622E-014  3.54053E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 06 03 512 -1.54000E+000 -3.91417E+000 -5.07624E+000 -4.19300E+002  3.08524E-014  3.54437E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 07 03 558 -1.54000E+000 -3.91749E+000 -5.07369E+000 -4.19300E+002  3.08754E-014  3.54234E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 08 03 436 -1.54000E+000 -3.92080E+000 -5.07113E+000 -4.19300E+002  3.08981E-014  3.54032E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 09 03 138 -1.54000E+000 -3.92410E+000 -5.06857E+000 -4.19300E+002  3.08933E-014  3.53733E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 10 02 630 -1.54000E+000 -3.92740E+000 -5.06602E+000 -4.19300E+002  3.08062E-014  3.53151E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 11 01 874 -1.54000E+000 -3.93068E+000 -5.06347E+000 -4.19300E+002  3.09483E-014  3.53056E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 12 00 891 -1.54000E+000 -3.93396E+000 -5.06093E+000 -4.19300E+002  3.09081E-014  3.52027E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 13 05 561 -1.54000E+000 -3.93755E+000 -5.05813E+000 -4.19300E+002  3.13201E-014  3.74119E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 14 04 143 -1.54000E+000 -3.94081E+000 -5.05559E+000 -4.19300E+002  7.13483E-014  8.48309E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 15 02 559 -1.54000E+000 -3.94407E+000 -5.05305E+000 -4.19300E+002  1.19841E-013  1.47267E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 16 00 813 -1.54000E+000 -3.94731E+000 -5.05052E+000 -4.19300E+002  1.20273E-013  1.50792E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 17 04 725 -1.54000E+000 -3.95088E+000 -5.04773E+000 -4.19300E+002  6.28230E-014  9.07069E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 18 02 643 -1.54000E+000 -3.95412E+000 -5.04519E+000 -4.19300E+002  6.97762E-013  8.91709E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 19 00 345 -1.54000E+000 -3.95734E+000 -5.04266E+000 -4.19300E+002  4.61042E-013  5.57514E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 20 03 558 -1.54000E+000 -3.96088E+000 -5.03988E+000 -4.19300E+002 -5.43944E-015 -2.51183E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 21 00 833 -1.54000E+000 -3.96409E+000 -5.03736E+000 -4.19300E+002 -4.85151E-013 -5.88832E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 22 03 711 -1.54000E+000 -3.96762E+000 -5.03458E+000 -4.19300E+002 -2.82787E-013 -3.80306E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 23 00 842 -1.54000E+000 -3.97082E+000 -5.03205E+000 -4.19300E+002 -2.83674E-013 -3.73327E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 24 03 745 -1.54000E+000 -3.97436E+000 -5.02926E+000 -4.19300E+002  2.26711E-013  3.23116E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 25 01 063 -1.54000E+000 -3.97758E+000 -5.02672E+000 -4.19300E+002 -1.96875E-013 -2.69784E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 26 04 333 -1.54000E+000 -3.98114E+000 -5.02390E+000 -4.19300E+002 -4.20200E-013 -5.51377E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 27 02 128 -1.54000E+000 -3.98439E+000 -5.02132E+000 -4.19300E+002 -1.48989E-012 -1.83275E-012  4.89000E+000  5.36210E+004
 2024 05 10 03 28 00 243 -1.54000E+000 -3.98767E+000 -5.01872E+000 -4.19300E+002  5.86048E-014  6.06946E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 29 04 528 -1.54000E+000 -3.99129E+000 -5.01583E+000 -4.19300E+002  5.59133E-013  6.95316E-013  4.89000E+000  5.36210E+004
