Propagated from L1 to (X,Y,Z):   3.20000E+01  0.00000E+00  0.00000E+00
 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
 2024 05 10 03 00 00 000 -1.54000E+000 -3.89419E+000 -5.09159E+000 -4.19300E+002  3.06295E-014  3.55352E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 01 02 167 -1.54000E+000 -3.89760E+000 -5.08898E+000 -4.19300E+002  3.06533E-014  3.55147E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 02 03 621 -1.54000E+000 -3.90097E+000 -5.08640E+000 -4.19300E+002  3.06768E-014  3.54943E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 03 05 193 -1.54000E+000 -3.90435E+000 -5.08380E+000 -4.19300E+002  3.07004E-014  3.54739E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 04 00 663 -1.54000E+000 -3.90740E+000 -5.08146E+000 -4.19300E+002  3.07217E-014  3.54555E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 05 02 126 -1.54000E+000 -3.91079E+000 -5.07885E+000 -4.19300E+002  3.07737E-014  3.54449E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 06 03 402 -1.54000E+000 -3.91417E+000 -5.07625E+000 -4.19300E+002  3.08821E-014  3.54541E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 07 04 550 -1.54000E+000 -3.91754E+000 -5.07364E+000 -4.19300E+002  3.09055E-014  3.54335E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 08 05 611 -1.54000E+000 -3.92092E+000 -5.07104E+000 -4.19300E+002  3.07597E-014  3.53540E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 09 00 520 -1.54000E+000 -3.92395E+000 -5.06869E+000 -4.19300E+002  3.08091E-014  3.53453E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 10 01 508 -1.54000E+000 -3.92733E+000 -5.06607E+000 -4.19300E+002  3.09455E-014  3.53639E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 11 02 492 -1.54000E+000 -3.93072E+000 -5.06344E+000 -4.19300E+002  3.09702E-014  3.52488E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 12 03 473 -1.54000E+000 -3.93410E+000 -5.06081E+000 -4.19300E+002  3.09917E-014  3.54169E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 13 04 469 -1.54000E+000 -3.93749E+000 -5.05818E+000 -4.19300E+002  3.10553E-014  3.51888E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 14 05 489 -1.54000E+000 -3.94089E+000 -5.05553E+000 -4.19300E+002  3.09642E-014  3.53180E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 15 00 417 -1.54000E+000 -3.94395E+000 -5.05315E+000 -4.19300E+002  3.11003E-014  3.51491E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 16 01 446 -1.54000E+000 -3.94735E+000 -5.05049E+000 -4.19300E+002  3.93919E-014  4.74439E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 17 02 468 -1.54000E+000 -3.95076E+000 -5.04782E+000 -4.19300E+002  1.06240E-013  1.33776E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 18 03 483 -1.54000E+000 -3.95416E+000 -5.04515E+000 -4.19300E+002  3.92872E-013  4.77948E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 19 04 497 -1.54000E+000 -3.95758E+000 -5.04248E+000 -4.19300E+002  1.02987E-014 -6.39239E-015  4.89000E+000  5.36210E+004
 2024 05 10 03 20 05 511 -1.54000E+000 -3.96099E+000 -5.03980E+000 -4.19300E+002 -5.30828E-013 -6.70213E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 21 00 425 -1.54000E+000 -3.96407E+000 -5.03738E+000 -4.19300E+002  7.84965E-014  9.67162E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 22 01 442 -1.54000E+000 -3.96749E+000 -5.03468E+000 -4.19300E+002  6.08431E-013  7.39272E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 23 02 461 -1.54000E+000 -3.97091E+000 -5.03198E+000 -4.19300E+002 -5.20419E-013 -6.29169E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 24 03 479 -1.54000E+000 -3.97434E+000 -5.02928E+000 -4.19300E+002 -4.55113E-013 -5.69699E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 25 04 499 -1.54000E+000 -3.97777E+000 -5.02656E+000 -4.19300E+002  7.48622E-014  7.08151E-014  4.89000E+000  5.36210E+004
 2024 05 10 03 26 05 519 -1.54000E+000 -3.98120E+000 -5.02384E+000 -4.19300E+002 -3.28047E-013 -3.75276E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 27 00 437 -1.54000E+000 -3.98430E+000 -5.02139E+000 -4.19300E+002  1.39320E-012  1.72490E-012  4.89000E+000  5.36210E+004
 2024 05 10 03 28 01 458 -1.54000E+000 -3.98773E+000 -5.01866E+000 -4.19300E+002 -9.11202E-014 -1.44340E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 29 02 480 -1.54000E+000 -3.99118E+000 -5.01593E+000 -4.19300E+002 -1.44546E-013 -1.69976E-013  4.89000E+000  5.36210E+004
 2024 05 10 03 30 03 504 -1.54000E+000 -3.99462E+000 -5.01318E+000 -4.19300E+002  9.02125E-014  9.96598E-014  4.89000E+000  5.36210E+004
