File created on 2026-01-23T13:16:46.137744
DSCOVR Gannon storm data

Orbit:
XYZ GSE GSM: 2024 05 10 12 0 244.61 -28.12  20.56 244.61 -30.09  17.55
XYZ GSE GSM: 2024 05 11 12 0 244.24 -29.00  19.84 244.24 -30.80  16.91
XYZ GSE GSM: 2024 05 12 12 0 243.83 -29.88  19.09 243.83 -31.51  16.26

#SATELLITEXYZ
244.61
-30.09
17.55

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2024 05 10 03 00 00 000       -1.10      -3.18      -5.18    -425.50      -6.90     -15.10      10.35   27245.00
2024 05 10 03 01 00 000       -0.68      -3.66      -4.81    -424.00      -7.60     -14.60      10.37   33392.00
2024 05 10 03 02 00 000       -0.91      -3.28      -4.84    -426.20      -6.80     -16.00      10.36   29283.00
2024 05 10 03 03 00 000       -0.93      -3.26      -4.72    -426.10      -7.10     -16.40      10.65   29631.00
2024 05 10 03 04 00 000       -0.82      -3.42      -4.62    -424.20      -6.20     -15.40      10.84   34507.00
2024 05 10 03 05 00 000       -0.59      -3.35      -4.66    -424.90      -5.90     -15.40      10.95   34401.00
2024 05 10 03 06 00 000       -0.66      -3.17      -4.63    -424.20      -4.50     -13.50      11.39   34006.00
2024 05 10 03 07 00 000       -0.64      -3.33      -4.63    -425.70      -6.70     -14.70      10.84   31456.00
2024 05 10 03 08 00 000       -1.13      -2.88      -4.56    -424.80      -6.10     -15.20      11.20   36513.00
2024 05 10 03 09 00 000       -1.39      -2.81      -4.50    -423.80      -7.00     -16.10      11.01   37549.00
2024 05 10 03 10 00 000       -1.12      -2.98      -4.40    -424.70      -9.40     -16.50      10.86   38791.00
2024 05 10 03 11 00 000       -0.25      -2.90      -3.76    -426.80     -10.00     -16.50      11.24   55460.00
2024 05 10 03 12 00 000        0.23      -2.72      -3.28    -424.60      -8.10     -13.30      11.24   56779.00
2024 05 10 03 13 00 000       -0.94      -2.06      -3.84    -428.50     -10.60     -16.80      11.47   58691.00
2024 05 10 03 14 00 000       -1.17      -1.34      -3.40    -426.20     -12.20     -15.90      12.04   55949.00
2024 05 10 03 15 00 000       -0.72      -1.57      -2.39    -425.60      -9.70     -14.70      12.83   56244.00
2024 05 10 03 16 00 000       -1.58      -1.05      -2.11    -427.20     -12.40     -12.90      13.33   57444.00
2024 05 10 03 17 00 000       -1.31      -0.87      -2.36    -424.90      -9.60     -16.00      13.12   47571.00
2024 05 10 03 18 00 000       -1.22      -0.60      -2.35    -426.00      -8.70     -16.90      13.27   56033.00
2024 05 10 03 19 00 000       -0.30      -1.52      -2.85    -427.70     -12.70     -15.20      12.38   60619.00
2024 05 10 03 20 00 000        0.11      -1.99      -3.06    -428.80     -13.90     -15.20      12.01   63556.00
