File created on 2026-01-23T12:41:09.209080
Wind Gannon storm data

Orbit:
XYZ GSE GSM: 2024 05 10 12 0 215.36  100.57   -1.10 215.36  100.14   9.29
XYZ GSE GSM: 2024 05 11 12 0 216.31  101.57   -0.68 216.31  101.15   9.25
XYZ GSE GSM: 2024 05 12 12 0 217.27  102.42   -0.27 217.27  102.01   9.17

#SATELLITEXYZ
215.36
100.14
9.29

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2024 05 10 00 00 00 000       -4.73       1.73      -3.84    -405.08      -4.64      18.68       5.98  149848.86
2024 05 10 00 01 00 000       -4.81       2.04      -3.74    -404.29      -5.19      16.54       5.88  145290.30
2024 05 10 00 02 00 000       -4.95       2.29      -3.61    -403.49      -5.75      14.40       5.79  140731.73
2024 05 10 00 03 00 000       -5.06       2.49      -3.36    -402.70      -6.31      12.26       5.69  136173.17
2024 05 10 00 04 00 000       -5.04       2.50      -3.37    -401.90      -6.86      10.12       5.60  131614.61
2024 05 10 00 05 00 000       -4.96       2.30      -3.65    -400.88      -7.05      10.32       5.71  127049.60
2024 05 10 00 06 00 000       -4.88       2.31      -3.74    -399.78      -7.11      11.30       5.90  122482.45
2024 05 10 00 07 00 000       -4.92       2.26      -3.66    -398.59      -0.59      12.82       6.03  127651.88
2024 05 10 00 08 00 000       -5.09       0.97      -3.78    -397.46       5.39      13.66       6.12  133678.55
2024 05 10 00 09 00 000       -5.08       0.18      -3.83    -396.63       3.14      11.93       6.12  132540.39
2024 05 10 00 10 00 000       -5.00       0.53      -3.72    -395.80       0.90      10.20       6.12  131402.23
2024 05 10 00 11 00 000       -4.97       1.54      -3.42    -394.97      -1.35       8.46       6.13  130264.06
2024 05 10 00 12 00 000       -5.08       1.78      -3.14    -394.15      -3.59       6.73       6.13  129125.91
2024 05 10 00 13 00 000       -5.06       1.89      -3.14    -393.32      -5.84       4.99       6.13  127987.74
2024 05 10 00 14 00 000       -4.94       1.64      -3.46    -392.49      -8.08       3.26       6.13  126849.58
2024 05 10 00 15 00 000       -5.43       1.63      -2.67    -392.35      -8.81       3.96       6.13  127864.03
2024 05 10 00 16 00 000       -5.86       1.15      -2.00    -392.44      -9.03       5.47       6.13  129596.02
2024 05 10 00 17 00 000       -5.97       0.66      -1.75    -392.53      -9.25       6.98       6.13  131328.00
2024 05 10 00 18 00 000       -5.52       0.64      -2.84    -392.62      -9.47       8.49       6.13  133060.00
2024 05 10 00 19 00 000       -5.19       0.79      -3.44    -392.71      -9.69      10.00       6.13  134791.98
2024 05 10 00 20 00 000       -4.63       1.92      -3.17    -392.80      -9.91      11.52       6.13  136523.97
