Downloaded from SuperMag. SMR is renamed to dst_sm. All indexes are in nT.
year	month	day	hour	min	sec	SME	SML	SMU	dst_sm
2024	05	10	00	00	00	197	-48	149	25.1
2024	05	10	00	01	00	201	-51	150	26.7
2024	05	10	00	02	00	202	-50	152	26.6
2024	05	10	00	03	00	212	-52	160	26.6
2024	05	10	00	04	00	212	-50	162	26.4
2024	05	10	00	05	00	214	-48	166	26.3
2024	05	10	00	06	00	214	-47	167	26.1
2024	05	10	00	07	00	213	-47	166	25.8
2024	05	10	00	08	00	212	-45	166	25.6
2024	05	10	00	09	00	207	-43	164	25.3
2024	05	10	00	10	00	212	-48	163	25.0
2024	05	10	00	11	00	198	-45	153	24.8
2024	05	10	00	12	00	198	-45	153	24.9
2024	05	10	00	13	00	193	-44	149	24.9
2024	05	10	00	14	00	182	-42	139	24.8
2024	05	10	00	15	00	182	-43	139	24.8
2024	05	10	00	16	00	187	-44	143	24.7
2024	05	10	00	17	00	194	-58	136	24.8
2024	05	10	00	18	00	208	-74	135	24.6
2024	05	10	00	19	00	218	-81	138	24.6
2024	05	10	00	20	00	219	-88	131	24.3
2024	05	10	00	21	00	212	-91	121	24.0
2024	05	10	00	22	00	205	-91	114	23.8
2024	05	10	00	23	00	195	-86	109	23.6
2024	05	10	00	24	00	188	-82	107	23.3
2024	05	10	00	25	00	187	-86	101	23.0
2024	05	10	00	26	00	182	-86	96	22.6
2024	05	10	00	27	00	175	-84	91	22.2
2024	05	10	00	28	00	171	-81	90	22.2
2024	05	10	00	29	00	174	-92	83	22.1
2024	05	10	00	30	00	175	-94	80	21.9
2024	05	10	00	31	00	169	-89	79	21.7
2024	05	10	00	32	00	158	-83	75	21.5
2024	05	10	00	33	00	156	-81	75	21.3
2024	05	10	00	34	00	161	-85	76	20.9
2024	05	10	00	35	00	166	-87	79	20.9
2024	05	10	00	36	00	176	-95	81	20.8
2024	05	10	00	37	00	194	-105	89	20.9
2024	05	10	00	38	00	188	-101	87	21.1
2024	05	10	00	39	00	179	-96	82	21.5
2024	05	10	00	40	00	174	-97	78	22.0
2024	05	10	00	41	00	206	-95	111	22.0
2024	05	10	00	42	00	211	-98	113	22.0
2024	05	10	00	43	00	210	-116	94	22.2
2024	05	10	00	44	00	215	-122	92	22.4
2024	05	10	00	45	00	222	-123	99	22.3
2024	05	10	00	46	00	230	-128	101	22.2
2024	05	10	00	47	00	221	-128	93	22.2
2024	05	10	00	48	00	216	-127	89	22.1
2024	05	10	00	49	00	219	-125	94	22.0
2024	05	10	00	50	00	227	-124	103	21.9
2024	05	10	00	51	00	242	-125	116	21.7
2024	05	10	00	52	00	250	-125	125	21.4
2024	05	10	00	53	00	260	-134	126	21.2
2024	05	10	00	54	00	275	-152	122	21.0
2024	05	10	00	55	00	286	-168	118	21.1
2024	05	10	00	56	00	291	-173	118	21.0
2024	05	10	00	57	00	290	-172	118	20.9
2024	05	10	00	58	00	294	-171	123	20.7
2024	05	10	00	59	00	299	-172	127	20.6
2024	05	10	01	00	00	305	-173	132	20.5
2024	05	10	01	01	00	314	-179	135	20.1
2024	05	10	01	02	00	321	-185	136	19.9
2024	05	10	01	03	00	327	-192	135	19.6
2024	05	10	01	04	00	336	-199	137	19.4
2024	05	10	01	05	00	348	-209	138	19.3
2024	05	10	01	06	00	354	-217	138	19.2
2024	05	10	01	07	00	356	-215	140	19.2
2024	05	10	01	08	00	359	-215	144	19.2
2024	05	10	01	09	00	364	-214	149	19.2
2024	05	10	01	10	00	366	-215	151	19.3
2024	05	10	01	11	00	359	-207	152	19.6
2024	05	10	01	12	00	357	-207	151	19.5
2024	05	10	01	13	00	356	-206	151	19.8
2024	05	10	01	14	00	353	-199	154	20.0
2024	05	10	01	15	00	359	-198	160	20.1
2024	05	10	01	16	00	371	-201	170	20.4
2024	05	10	01	17	00	381	-202	180	20.1
2024	05	10	01	18	00	391	-204	187	20.2
2024	05	10	01	19	00	401	-209	193	19.9
2024	05	10	01	20	00	401	-198	203	19.7
2024	05	10	01	21	00	403	-200	203	19.0
2024	05	10	01	22	00	399	-200	200	18.8
2024	05	10	01	23	00	404	-201	203	18.6
2024	05	10	01	24	00	405	-204	201	18.6
2024	05	10	01	25	00	442	-253	189	18.5
2024	05	10	01	26	00	396	-206	190	18.3
2024	05	10	01	27	00	403	-212	191	18.3
2024	05	10	01	28	00	427	-240	188	18.3
2024	05	10	01	29	00	438	-248	190	18.1
2024	05	10	01	30	00	449	-255	194	18.0
2024	05	10	01	31	00	462	-265	196	18.0
2024	05	10	01	32	00	502	-304	198	17.9
2024	05	10	01	33	00	515	-315	199	17.8
2024	05	10	01	34	00	531	-331	201	18.0
2024	05	10	01	35	00	545	-337	208	18.0
2024	05	10	01	36	00	581	-366	216	18.3
2024	05	10	01	37	00	600	-382	217	18.4
2024	05	10	01	38	00	600	-386	214	18.4
2024	05	10	01	39	00	621	-409	212	18.4
2024	05	10	01	40	00	623	-410	212	18.3
2024	05	10	01	41	00	636	-425	210	18.3
2024	05	10	01	42	00	627	-408	219	18.4
2024	05	10	01	43	00	612	-397	215	18.3
2024	05	10	01	44	00	606	-395	212	18.4
2024	05	10	01	45	00	619	-401	218	18.3
2024	05	10	01	46	00	617	-397	220	18.3
2024	05	10	01	47	00	572	-355	217	18.4
2024	05	10	01	48	00	555	-339	216	18.7
2024	05	10	01	49	00	520	-301	219	18.7
2024	05	10	01	50	00	503	-286	217	19.0
2024	05	10	01	51	00	503	-289	214	19.3
2024	05	10	01	52	00	508	-293	215	19.6
2024	05	10	01	53	00	515	-298	217	20.0
2024	05	10	01	54	00	511	-297	215	20.2
2024	05	10	01	55	00	502	-280	221	20.0
2024	05	10	01	56	00	504	-278	226	20.5
2024	05	10	01	57	00	482	-262	220	20.5
2024	05	10	01	58	00	464	-243	221	20.1
2024	05	10	01	59	00	457	-237	220	19.9
2024	05	10	02	00	00	450	-235	215	19.6
2024	05	10	02	01	00	441	-236	204	19.6
2024	05	10	02	02	00	432	-243	189	19.4
2024	05	10	02	03	00	434	-243	191	19.0
2024	05	10	02	04	00	421	-229	192	18.7
2024	05	10	02	05	00	411	-225	185	18.3
2024	05	10	02	06	00	408	-233	175	18.0
2024	05	10	02	07	00	397	-232	165	18.0
2024	05	10	02	08	00	374	-218	156	17.5
2024	05	10	02	09	00	363	-215	148	17.2
2024	05	10	02	10	00	342	-200	142	17.0
2024	05	10	02	11	00	326	-192	134	16.5
2024	05	10	02	12	00	325	-193	133	16.4
2024	05	10	02	13	00	323	-191	133	16.9
2024	05	10	02	14	00	316	-184	132	17.5
2024	05	10	02	15	00	335	-200	135	17.9
2024	05	10	02	16	00	343	-203	140	18.1
2024	05	10	02	17	00	339	-193	146	17.9
2024	05	10	02	18	00	333	-187	145	18.2
2024	05	10	02	19	00	299	-160	139	18.0
2024	05	10	02	20	00	275	-149	126	17.6
2024	05	10	02	21	00	263	-153	109	17.6
2024	05	10	02	22	00	258	-154	105	17.8
2024	05	10	02	23	00	230	-125	105	18.3
2024	05	10	02	24	00	240	-124	117	18.0
2024	05	10	02	25	00	258	-143	115	17.2
2024	05	10	02	26	00	261	-157	104	16.6
2024	05	10	02	27	00	251	-146	105	16.3
2024	05	10	02	28	00	263	-151	112	16.6
2024	05	10	02	29	00	256	-147	109	16.9
2024	05	10	02	30	00	255	-153	102	17.0
2024	05	10	02	31	00	231	-147	84	17.1
2024	05	10	02	32	00	201	-125	77	18.7
2024	05	10	02	33	00	204	-123	81	19.5
2024	05	10	02	34	00	195	-113	82	20.0
2024	05	10	02	35	00	183	-99	84	21.0
2024	05	10	02	36	00	192	-102	91	21.2
2024	05	10	02	37	00	179	-90	90	21.7
2024	05	10	02	38	00	181	-90	91	21.7
2024	05	10	02	39	00	206	-110	95	22.0
2024	05	10	02	40	00	220	-125	95	22.3
2024	05	10	02	41	00	216	-127	89	22.5
2024	05	10	02	42	00	181	-102	79	23.2
2024	05	10	02	43	00	147	-81	66	23.0
2024	05	10	02	44	00	138	-75	63	23.7
2024	05	10	02	45	00	126	-57	70	24.2
2024	05	10	02	46	00	127	-56	71	24.6
2024	05	10	02	47	00	146	-66	80	25.1
2024	05	10	02	48	00	155	-64	91	25.5
2024	05	10	02	49	00	162	-62	100	24.8
2024	05	10	02	50	00	161	-60	102	24.0
2024	05	10	02	51	00	151	-54	97	23.5
2024	05	10	02	52	00	163	-76	87	22.9
2024	05	10	02	53	00	174	-98	76	22.7
2024	05	10	02	54	00	170	-104	67	22.4
2024	05	10	02	55	00	150	-94	57	22.1
2024	05	10	02	56	00	136	-83	53	22.1
2024	05	10	02	57	00	131	-77	54	22.0
2024	05	10	02	58	00	127	-72	55	22.1
2024	05	10	02	59	00	105	-53	52	22.5
2024	05	10	03	00	00	101	-44	58	23.0
2024	05	10	03	01	00	111	-52	59	23.2
2024	05	10	03	02	00	110	-52	58	23.3
2024	05	10	03	03	00	99	-47	52	23.4
