Downloaded from SuperMag. SMR is renamed to dst_sm. Added msc column so making SmrHourly can work.
year	month	day	hour	min	sec msc	dst_sm
2024	05	10	08	00	0  0	22.9
2024	05	10	08	01	0  0	22.5
2024	05	10	08	02	0  0	23.2
2024	05	10	08	03	0  0	23.2
2024	05	10	08	04	0  0	23.0
2024	05	10	08	05	0  0	23.3
2024	05	10	08	06	0  0	23.7
2024	05	10	08	07	0  0	23.8
2024	05	10	08	08	0  0	23.1
2024	05	10	08	09	0  0	22.9
2024	05	10	08	10	0  0	22.9
2024	05	10	08	11	0  0	22.8
2024	05	10	08	12	0  0	23.0
2024	05	10	08	13	0  0	23.1
2024	05	10	08	14	0  0	23.1
2024	05	10	08	15	0  0	23.0
2024	05	10	08	16	0  0	23.2
2024	05	10	08	17	0  0	23.3
2024	05	10	08	18	0  0	23.7
2024	05	10	08	19	0  0	23.8
2024	05	10	08	20	0  0	24.1
2024	05	10	08	21	0  0	24.0
2024	05	10	08	22	0  0	24.4
2024	05	10	08	23	0  0	24.4
2024	05	10	08	24	0  0	24.0
2024	05	10	08	25	0  0	24.0
2024	05	10	08	26	0  0	23.7
2024	05	10	08	27	0  0	23.9
2024	05	10	08	28	0  0	23.6
2024	05	10	08	29	0  0	23.5
2024	05	10	08	30	0  0	23.4
2024	05	10	08	31	0  0	23.8
2024	05	10	08	32	0  0	23.8
2024	05	10	08	33	0  0	24.0
2024	05	10	08	34	0  0	24.3
2024	05	10	08	35	0  0	24.8
2024	05	10	08	36	0  0	25.1
2024	05	10	08	37	0  0	25.1
2024	05	10	08	38	0  0	25.0
2024	05	10	08	39	0  0	25.3
2024	05	10	08	40	0  0	25.2
2024	05	10	08	41	0  0	25.4
2024	05	10	08	42	0  0	25.6
2024	05	10	08	43	0  0	25.8
2024	05	10	08	44	0  0	25.8
2024	05	10	08	45	0  0	25.7
2024	05	10	08	46	0  0	25.7
2024	05	10	08	47	0  0	25.8
2024	05	10	08	48	0  0	26.0
2024	05	10	08	49	0  0	26.0
2024	05	10	08	50	0  0	25.6
2024	05	10	08	51	0  0	25.5
2024	05	10	08	52	0  0	25.3
2024	05	10	08	53	0  0	25.1
2024	05	10	08	54	0  0	25.1
2024	05	10	08	55	0  0	24.9
2024	05	10	08	56	0  0	24.7
2024	05	10	08	57	0  0	24.3
2024	05	10	08	58	0  0	24.3
2024	05	10	08	59	0  0	24.3
2024	05	10	09	00	0  0	24.5
2024	05	10	09	01	0  0	24.8
2024	05	10	09	02	0  0	25.3
2024	05	10	09	03	0  0	25.1
2024	05	10	09	04	0  0	25.1
2024	05	10	09	05	0  0	26.1
2024	05	10	09	06	0  0	26.6
2024	05	10	09	07	0  0	26.9
2024	05	10	09	08	0  0	26.5
2024	05	10	09	09	0  0	26.4
2024	05	10	09	10	0  0	26.0
2024	05	10	09	11	0  0	25.8
2024	05	10	09	12	0  0	25.5
2024	05	10	09	13	0  0	25.2
2024	05	10	09	14	0  0	25.1
2024	05	10	09	15	0  0	25.4
2024	05	10	09	16	0  0	25.8
2024	05	10	09	17	0  0	26.4
2024	05	10	09	18	0  0	26.7
2024	05	10	09	19	0  0	27.3
2024	05	10	09	20	0  0	28.2
2024	05	10	09	21	0  0	28.7
2024	05	10	09	22	0  0	28.8
2024	05	10	09	23	0  0	28.6
2024	05	10	09	24	0  0	28.3
2024	05	10	09	25	0  0	27.8
2024	05	10	09	26	0  0	27.5
2024	05	10	09	27	0  0	27.5
2024	05	10	09	28	0  0	27.0
2024	05	10	09	29	0  0	26.5
2024	05	10	09	30	0  0	25.9
2024	05	10	09	31	0  0	25.3
2024	05	10	09	32	0  0	25.0
2024	05	10	09	33	0  0	24.8
2024	05	10	09	34	0  0	24.9
2024	05	10	09	35	0  0	25.3
2024	05	10	09	36	0  0	25.8
2024	05	10	09	37	0  0	26.1
2024	05	10	09	38	0  0	26.6
2024	05	10	09	39	0  0	26.9
2024	05	10	09	40	0  0	27.3
2024	05	10	09	41	0  0	27.5
2024	05	10	09	42	0  0	28.0
2024	05	10	09	43	0  0	28.6
2024	05	10	09	44	0  0	29.2
2024	05	10	09	45	0  0	29.6
2024	05	10	09	46	0  0	29.8
2024	05	10	09	47	0  0	30.2
2024	05	10	09	48	0  0	30.6
2024	05	10	09	49	0  0	30.9
2024	05	10	09	50	0  0	30.3
2024	05	10	09	51	0  0	30.0
2024	05	10	09	52	0  0	30.1
2024	05	10	09	53	0  0	29.7
2024	05	10	09	54	0  0	29.2
2024	05	10	09	55	0  0	29.8
2024	05	10	09	56	0  0	29.9
2024	05	10	09	57	0  0	29.9
2024	05	10	09	58	0  0	29.2
2024	05	10	09	59	0  0	27.9
2024	05	10	10	00	0  0	26.5
2024	05	10	10	01	0  0	25.9
2024	05	10	10	02	0  0	26.4
2024	05	10	10	03	0  0	27.3
2024	05	10	10	04	0  0	27.6
2024	05	10	10	05	0  0	28.2
2024	05	10	10	06	0  0	28.4
2024	05	10	10	07	0  0	28.5
2024	05	10	10	08	0  0	28.8
2024	05	10	10	09	0  0	28.3
2024	05	10	10	10	0  0	28.0
2024	05	10	10	11	0  0	27.5
2024	05	10	10	12	0  0	27.0
2024	05	10	10	13	0  0	26.6
2024	05	10	10	14	0  0	26.5
2024	05	10	10	15	0  0	26.4
2024	05	10	10	16	0  0	26.5
2024	05	10	10	17	0  0	26.8
2024	05	10	10	18	0  0	26.9
