MIDL 32Re, 2012-04 (nT, km/s, cm^-3, K)

#COORDINATES
GSM                     Earth orbital motion included

year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2012  4 23  4  0     0.15     8.77     3.18    -392.1     -6.48     -1.01    37.544      69822    0    0    0    0    0
2012  4 23  4  1     0.56     8.14     3.06    -392.5     -6.78     -1.36    37.565      69829    0    0    0    0    0
2012  4 23  4  2     0.83     7.91     3.13    -392.0     -7.02     -1.23    37.659      65652    0    0    0    0    0
2012  4 23  4  3     0.90     7.85     3.21    -391.9     -5.84     -2.50    37.924      63844    0    0    0    0    0
2012  4 23  4  4     0.92     7.68     3.35    -392.5     -6.85     -1.23    38.075      63734    0    0    0    0    0
2012  4 23  4  5     0.88     7.31     3.71    -392.7     -6.95     -1.38    38.257      64497    0    0    0    0    0
2012  4 23  4  6     0.80     7.26     3.71    -392.3     -8.00     -1.11    38.518      67077    0    0    0    0    0
2012  4 23  4  7     0.76     6.75     2.99    -392.2     -8.43     -0.79    38.823      67163    0    0    0    0    0
2012  4 23  4  8     0.65     6.77     0.66    -392.4     -8.40     -0.50    39.098      62136    0    0    0    0    0
2012  4 23  4  9     0.69     6.21     0.55    -393.1     -5.28     -4.40    39.119      62072    0    0    0    0    0
2012  4 23  4 10     0.62     5.73     0.27    -393.2     -5.25     -3.96    39.351      62318    0    0    0    0    0
2012  4 23  4 11     0.49     5.43    -0.44    -393.1     -5.32     -3.48    39.871      62138    0    0    0    0    0
2012  4 23  4 12     0.14     5.41    -0.39    -392.6     -5.55     -3.26    39.877      59999    0    0    0    0    0
2012  4 23  4 13    -0.23     5.44     0.13    -392.7     -4.30     -4.03    40.285      59159    0    0    0    0    0
2012  4 23  4 14    -0.16     5.36     0.12    -392.7     -3.29     -3.62    41.935      59162    0    0    0    0    0
2012  4 23  4 15    -0.44     5.03     0.04    -393.3     -2.93     -3.67    42.849      59242    0    0    0    0    0
2012  4 23  4 16    -0.77     4.91    -0.28    -393.8     -3.16     -3.26    42.846      58945    0    0    0    0    0
2012  4 23  4 17    -0.56     4.46    -0.64    -393.7     -3.14     -3.38    42.828      57621    0    0    0    0    0
2012  4 23  4 18    -0.80     3.82    -0.78    -393.3     -3.01     -3.46    42.762      57809    0    0    0    0    0
2012  4 23  4 19    -0.48     3.81    -1.04    -392.9     -2.18     -4.15    42.603      59345    0    0    0    0    0
2012  4 23  4 20    -0.25     3.53    -1.98    -392.9     -2.46     -4.29    43.040      59380    0    0    0    0    0
2012  4 23  4 21    -0.30     2.92    -2.01    -393.2     -2.77     -4.70    44.700      59852    0    0    0    0    0
2012  4 23  4 22    -0.50     2.58    -2.07    -393.1     -3.37     -4.71    45.667      59852    0    0    0    0    0
2012  4 23  4 23    -0.55     2.08    -1.89    -391.9     -4.76     -4.04    46.395      59852    0    0    0    0    0
2012  4 23  4 24    -0.52     1.81    -1.65    -391.0     -4.95     -4.09    46.672      59688    0    0    0    0    0
2012  4 23  4 25    -0.46     1.82    -1.51    -390.5     -4.93     -4.55    47.118      59649    0    0    0    0    0
2012  4 23  4 26    -0.37     1.99    -1.33    -390.6     -4.99     -4.90    47.680      60122    0    0    0    0    0
2012  4 23  4 27    -0.18     1.70    -1.12    -391.4     -4.51     -5.12    48.350      61231    0    0    0    0    0
2012  4 23  4 28     0.09     1.33    -1.24    -391.5     -5.32     -4.71    48.403      61378    0    0    0    0    0
2012  4 23  4 29     0.30    -1.43    -1.12    -391.3    -10.12     -0.72    48.299      60467    0    0    0    0    0
2012  4 23  4 30     0.11    -2.81    -0.47    -391.0    -11.02      1.32    48.280      60132    0    0    0    0    0
2012  4 23  4 31     0.14    -3.83     0.53    -390.2    -10.56      0.18    48.146      59655    0    0    0    0    0
2012  4 23  4 32     0.63    -5.01     1.85    -389.5     -9.30     -2.08    47.319      58058    0    0    0    0    0
2012  4 23  4 33     0.98    -6.57     3.50    -389.2     -8.01     -4.07    45.041      55601    0    0    0    0    0
2012  4 23  4 34     1.11    -7.80     2.75    -389.1     -7.40     -5.65    41.447      53601    0    0    0    0    0
2012  4 23  4 35     1.09    -8.81     1.32    -389.0     -7.26     -7.12    39.604      52911    0    0    0    0    0
2012  4 23  4 36     0.82    -9.82     0.29    -389.0     -7.18     -8.49    39.744      53306    0    0    0    0    0
2012  4 23  4 37     0.69   -10.26    -0.82    -389.1     -6.03    -10.11    40.391      53752    0    0    0    0    0
2012  4 23  4 38     0.73   -10.49    -1.19    -389.1     -5.39    -11.20    40.091      53838    0    0    0    0    0
2012  4 23  4 39     0.66   -11.02    -1.35    -389.0     -7.20    -11.43    36.320      53838    0    0    0    0    0
2012  4 23  4 40     0.81   -11.74    -0.18    -388.6     -9.50     -9.43    32.632      51223    0    0    0    0    0
2012  4 23  4 41     1.37   -12.60     1.62    -388.2    -10.40     -5.91    30.718      46917    0    0    0    0    0
2012  4 23  4 42     1.80   -13.21     2.43    -387.4    -10.31     -4.02    28.841      44481    0    0    0    0    0
2012  4 23  4 43     1.69   -13.26     2.70    -386.6    -10.29     -4.19    27.078      43864    0    0    0    0    0
2012  4 23  4 44     1.35   -13.36     2.45    -388.6     -9.95     -5.48    26.117      43864    0    0    0    0    0
2012  4 23  4 45     1.43   -13.25     1.11    -390.4     -7.33    -10.84    26.585      49300    0    0    0    0    0
