MIDL 32Re Data for 1998-08 (GSM nT, km/s, cm^-3, K)
yr mo dy hr mn sc msc bx by bz ux uy uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
1998  8  1 18  0  0    0    -0.07    -9.50     0.12    -442.7    -12.90    -10.54    12.139       9762    0    0    0    0    0
1998  8  1 18  1  0    0    -0.02    -9.45    -0.44    -443.4    -13.12    -15.01    12.131      10158    0    0    0    0    0
1998  8  1 18  2  0    0     0.01    -9.42    -0.78    -442.7    -13.37    -17.81    11.993      10524    0    0    0    0    0
1998  8  1 18  3  0    0    -0.01    -9.42    -0.71    -441.0    -13.84    -17.81    11.821      10436    0    0    0    0    0
1998  8  1 18  4  0    0    -0.09    -9.43    -0.49    -441.0    -14.17    -17.75    12.226      10035    0    0    0    0    0
1998  8  1 18  5  0    0    -0.22    -9.41    -0.61    -441.7    -13.19    -17.56    13.440       9626    0    0    0    0    0
1998  8  1 18  6  0    0    -0.48    -9.36    -0.86    -443.8    -11.29    -17.56    13.381       9626    0    0    0    0    0
1998  8  1 18  7  0    0    -0.37    -9.25    -1.48    -444.4    -10.61    -18.50    13.043      10266    0    0    0    0    0
1998  8  1 18  8  0    0    -0.18    -9.13    -2.28    -444.0    -10.61    -21.40    12.873      10679    0    0    0    0    0
1998  8  1 18  9  0    0    -0.20    -9.14    -2.35    -443.3    -10.65    -23.11    13.079      10708    0    0    0    0    0
1998  8  1 18 10  0    0    -0.36    -9.20    -2.13    -443.3    -10.29    -24.04    13.483      10708    0    0    0    0    0
1998  8  1 18 11  0    0    -0.46    -9.25    -2.00    -444.0    -10.36    -26.24    13.445      10778    0    0    0    0    0
1998  8  1 18 12  0    0    -0.61    -9.28    -1.90    -445.1    -11.75    -25.54    12.751      11060    0    0    0    0    0
1998  8  1 18 13  0    0    -0.67    -9.24    -1.90    -445.5    -12.19    -26.32    12.436      11252    0    0    0    0    0
1998  8  1 18 14  0    0    -0.67    -9.16    -2.01    -445.8    -10.66    -26.64    12.504      11284    0    0    0    0    0
1998  8  1 18 15  0    0    -0.72    -9.15    -2.04    -445.9    -10.25    -26.60    12.151      11436    0    0    0    0    0
1998  8  1 18 16  0    0    -0.73    -9.16    -1.94    -446.0    -10.47    -26.54    13.329      11474    0    0    0    0    0
1998  8  1 18 17  0    0    -0.75    -9.18    -1.89    -445.8    -11.69    -23.28    13.647      11606    0    0    0    0    0
1998  8  1 18 18  0    0    -0.86    -9.17    -1.23    -445.8    -10.85    -20.00    13.798      12488    0    0    0    0    0
1998  8  1 18 19  0    0    -0.89    -9.24    -0.88    -445.4    -11.63    -14.45    13.840      12722    0    0    0    0    0
1998  8  1 18 20  0    0    -0.84    -9.07    -0.82    -445.8    -12.69     -7.28    19.727      16355    0    0    0    0    0
1998  8  1 18 21  0    0     0.16    -4.66    -3.91    -446.8    -12.87     -5.78    31.645      17346    0    0    0    0    0
1998  8  1 18 22  0    0     1.44    -1.22    -6.68    -447.8    -11.96     -5.73    34.504      17638    0    0    0    0    0
1998  8  1 18 23  0    0     1.61    -0.46    -6.88    -449.0    -11.43     -5.87    34.504      17638    0    0    0    0    0
1998  8  1 18 24  0    0     1.55    -0.46    -6.90    -448.8    -11.36     -6.69    34.333      17549    0    0    0    0    0
1998  8  1 18 25  0    0     1.13    -0.46    -7.07    -447.6    -10.91     -6.69    33.195      16949    0    0    0    0    0
1998  8  1 18 26  0    0     0.38    -2.62    -7.07    -446.6     -7.14     -3.41    28.820      16447    0    0    0    0    0
1998  8  1 18 27  0    0     0.21    -3.10    -7.06    -446.5     -5.04     -2.23    28.229      16304    0    0    0    0    0
1998  8  1 18 28  0    0     0.26    -3.33    -6.48    -445.7     -4.79     -1.42    30.207      16292    0    0    0    0    0
1998  8  1 18 29  0    0     0.34    -3.60    -5.86    -447.9     -4.79     -2.14    31.520      16070    0    0    0    0    0
1998  8  1 18 30  0    0     0.37    -4.23    -5.84    -446.0     -4.73     -2.72    31.520      16070    0    0    0    0    0
1998  8  1 18 31  0    0     0.38    -4.93    -5.84    -446.4     -3.70     -3.00    29.087      16010    0    0    0    0    0
1998  8  1 18 32  0    0     0.33    -5.33    -5.92    -445.5     -2.33     -3.02    26.090      15330    0    0    0    0    0
1998  8  1 18 33  0    0     0.32    -5.47    -5.95    -446.4     -1.96     -4.37    25.300      15128    0    0    0    0    0
1998  8  1 18 34  0    0     0.32    -5.45    -5.71    -444.9     -2.08     -4.82    25.840      15128    0    0    0    0    0
1998  8  1 18 35  0    0     0.19    -5.40    -4.79    -446.4     -5.47     -6.99    31.298      16174    0    0    0    0    0
1998  8  1 18 36  0    0     0.16    -4.79    -3.63    -444.8     -7.47     -9.99    38.058      18271    0    0    0    0    0
1998  8  1 18 37  0    0    -0.18    -4.50    -2.07    -442.7     -8.51    -11.77    40.905      19635    0    0    0    0    0
1998  8  1 18 38  0    0    -0.72    -4.50    -0.20    -441.2     -8.88    -12.52    40.567      20245    0    0    0    0    0
1998  8  1 18 39  0    0    -1.28    -4.38     2.15    -441.2     -9.25    -14.12    38.602      20473    0    0    0    0    0
