Sym-H and AL  obtained from Kyoto WDC for SWPC Event 10.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1999 07 02 00 07 00 000  -16.00   -61.00
1999 07 02 00 08 00 000  -16.00   -58.00
1999 07 02 00 09 00 000  -16.00   -67.00
1999 07 02 00 10 00 000  -16.00   -72.00
1999 07 02 00 11 00 000  -16.00   -82.00
1999 07 02 00 12 00 000  -16.00   -87.00
1999 07 02 00 13 00 000  -16.00   -92.00
1999 07 02 00 14 00 000  -16.00   -97.00
1999 07 02 00 15 00 000  -16.00   -98.00
1999 07 02 00 16 00 000  -16.00   -94.00
1999 07 02 00 17 00 000  -16.00   -95.00
1999 07 02 00 18 00 000  -16.00   -92.00
1999 07 02 00 19 00 000  -15.00   -89.00
1999 07 02 00 20 00 000  -16.00   -90.00
1999 07 02 00 21 00 000  -16.00   -94.00
1999 07 02 00 22 00 000  -16.00   -87.00
1999 07 02 00 23 00 000  -16.00   -82.00
1999 07 02 00 24 00 000  -16.00   -77.00
1999 07 02 00 25 00 000  -16.00   -72.00
1999 07 02 00 26 00 000  -16.00   -70.00
1999 07 02 00 27 00 000  -16.00   -70.00
1999 07 02 00 28 00 000  -16.00   -71.00
1999 07 02 00 29 00 000  -15.00   -68.00
1999 07 02 00 30 00 000  -15.00   -65.00
1999 07 02 00 31 00 000  -15.00   -60.00
1999 07 02 00 32 00 000  -15.00   -58.00
1999 07 02 00 33 00 000  -15.00   -53.00
1999 07 02 00 34 00 000  -15.00   -51.00
1999 07 02 00 35 00 000  -15.00   -51.00
1999 07 02 00 36 00 000  -15.00   -48.00
1999 07 02 00 37 00 000  -15.00   -48.00
1999 07 02 00 38 00 000  -15.00   -49.00
1999 07 02 00 39 00 000  -15.00   -50.00
1999 07 02 00 40 00 000  -15.00   -51.00
1999 07 02 00 41 00 000  -15.00   -52.00
1999 07 02 00 42 00 000  -15.00   -52.00
1999 07 02 00 43 00 000  -15.00   -53.00
1999 07 02 00 44 00 000  -15.00   -53.00
1999 07 02 00 45 00 000  -15.00   -53.00
1999 07 02 00 46 00 000  -15.00   -54.00
1999 07 02 00 47 00 000  -15.00   -55.00
1999 07 02 00 48 00 000  -15.00   -56.00
1999 07 02 00 49 00 000  -15.00   -56.00
1999 07 02 00 50 00 000  -15.00   -55.00
1999 07 02 00 51 00 000  -15.00   -54.00
1999 07 02 00 52 00 000  -15.00   -54.00
1999 07 02 00 53 00 000  -16.00   -53.00
1999 07 02 00 54 00 000  -16.00   -53.00
1999 07 02 00 55 00 000  -15.00   -55.00
1999 07 02 00 56 00 000  -15.00   -57.00
1999 07 02 00 57 00 000  -14.00   -61.00
1999 07 02 00 58 00 000  -15.00   -70.00
1999 07 02 00 59 00 000  -14.00   -81.00
1999 07 02 01 00 00 000  -11.00   -93.00
1999 07 02 01 01 00 000   -2.00  -103.00
1999 07 02 01 02 00 000    6.00  -105.00
1999 07 02 01 03 00 000    5.00  -109.00
1999 07 02 01 04 00 000    2.00  -114.00
1999 07 02 01 05 00 000    1.00  -113.00
1999 07 02 01 06 00 000    2.00  -111.00
1999 07 02 01 07 00 000    2.00  -111.00
1999 07 02 01 08 00 000    2.00  -143.00
1999 07 02 01 09 00 000    2.00  -149.00
1999 07 02 01 10 00 000    1.00  -114.00
1999 07 02 01 11 00 000    2.00  -127.00
1999 07 02 01 12 00 000    1.00  -129.00
1999 07 02 01 13 00 000    1.00  -137.00
1999 07 02 01 14 00 000    2.00  -137.00
1999 07 02 01 15 00 000    2.00  -134.00
1999 07 02 01 16 00 000    1.00  -130.00
1999 07 02 01 17 00 000    2.00  -110.00
1999 07 02 01 18 00 000    1.00  -106.00
1999 07 02 01 19 00 000    0.00  -120.00
1999 07 02 01 20 00 000    0.00  -118.00
1999 07 02 01 21 00 000    0.00  -116.00
1999 07 02 01 22 00 000    0.00  -110.00
1999 07 02 01 23 00 000    0.00   -98.00
1999 07 02 01 24 00 000   -1.00   -91.00
