MIDL 32Re, 2019-07 to 2019-08 (nT, km/s, cm^-3, K)

#COORDINATES
GSM                     Earth orbital motion included

year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2019  7 31 18  0     4.50    -6.07    -0.38    -478.6     44.25    -85.34     7.768     216814    0    0    0    0    0
2019  7 31 18  1     4.60    -5.83     0.22    -477.4     35.45    -89.72     7.771     216937    0    0    0    0    0
2019  7 31 18  2     4.71    -5.77     0.52    -477.1     34.66    -90.11     7.743     216229    0    0    0    0    0
2019  7 31 18  3     4.83    -5.38     0.87    -477.8     51.98    -83.13     7.427     214330    0    0    0    0    0
2019  7 31 18  4     4.84    -5.30     1.37    -476.7     57.30    -81.17     7.195     202038    0    0    0    0    0
2019  7 31 18  5     4.93    -5.16     1.72    -473.5     50.77    -79.81     7.132     198344    0    0    0    0    0
2019  7 31 18  6     5.14    -4.91     1.94    -469.9     42.90    -77.76     7.123     199410    0    0    0    0    0
2019  7 31 18  7     5.75    -4.33     1.79    -467.9     45.29    -73.09     7.123     205811    0    0    0    0    0
2019  7 31 18  8     5.87    -3.93     2.08    -466.5     49.91    -67.82     7.263     232658    0    0    0    0    0
2019  7 31 18  9     5.79    -3.57     2.95    -466.8     53.18    -64.39     7.345     240958    0    0    0    0    0
2019  7 31 18 10     5.54    -3.28     3.28    -467.1     53.08    -63.78     7.334     241373    0    1    1    1    1
2019  7 31 18 11     5.62    -2.61     2.80    -466.8     50.78    -65.13     7.302     238363    0    1    1    2    2
2019  7 31 18 12     6.13    -2.30     2.57    -467.1     62.58    -79.20     7.267     234729    0    1    1    2    2
2019  7 31 18 13     6.31    -2.95     2.31    -467.8     64.25    -81.07     7.231     230968    0    1    0    2    2
2019  7 31 18 14     5.90    -3.50     1.73    -468.8     64.26    -87.89     7.191     229332    0    1    0    1    1
2019  7 31 18 15     5.02    -3.43     2.43    -478.0     74.31    -80.66     7.075     229332    0    0    0    0    0
2019  7 31 18 16     4.80    -3.12     3.46    -477.5     70.23    -74.11     7.136     227723    0    0    0    0    0
2019  7 31 18 17     4.20    -3.71     3.76    -477.4     67.15    -66.57     7.204     223845    0    0    0    0    0
2019  7 31 18 18     3.96    -3.52     4.43    -480.0     61.44    -57.17     7.443     223136    0    0    0    0    0
2019  7 31 18 19     3.91    -3.57     4.26    -478.8     56.83    -52.38     7.473     223375    0    0    0    0    0
2019  7 31 18 20     4.04    -3.91     4.04    -477.6     52.04    -47.58     7.568     223388    0    0    0    0    0
2019  7 31 18 21     4.38    -4.17     3.04    -476.1     50.26    -42.89     7.602     224954    0    0    0    0    0
2019  7 31 18 22     4.57    -4.28     2.60    -475.2     49.88    -42.25     7.550     225624    0    0    0    0    0
2019  7 31 18 23     4.40    -4.25     3.33    -475.4     51.31    -39.34     7.355     222584    0    0    0    0    0
2019  7 31 18 24     4.33    -3.87     3.72    -476.4     52.17    -38.12     7.214     220895    0    0    0    0    0
2019  7 31 18 25     4.70    -3.76     3.52    -475.7     51.72    -39.77     7.378     226736    0    0    0    0    0
2019  7 31 18 26     4.60    -4.65     2.77    -475.8     51.23    -41.53     7.698     238220    0    0    0    0    0
2019  7 31 18 27     4.59    -5.20     2.28    -475.5     51.42    -43.86     7.832     242155    0    0    0    0    0
2019  7 31 18 28     4.72    -5.51     1.98    -475.2     51.46    -45.82     7.567     250335    0    0    0    0    0
2019  7 31 18 29     4.94    -5.64     1.74    -475.2     51.86    -46.47     7.361     258135    0    0    0    0    0
2019  7 31 18 30     5.07    -5.65     1.48    -474.8     51.70    -46.50     7.339     259834    0    0    0    0    0
2019  7 31 18 31     5.13    -5.65     1.16    -474.1     50.81    -44.51     7.258     258219    0    0    0    0    0
2019  7 31 18 32     5.15    -5.69     1.31    -472.9     49.54    -42.62     6.980     243826    0    0    0    0    0
