Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 1998  7  7  0 33 32 490       0.87      -4.73       1.13    -531.82     -45.88     -16.76       1.37     27797.05
 1998  7  7  0 34 37  39       1.12      -4.65       1.24    -530.58     -44.53     -18.12       1.44     22609.12
 1998  7  7  0 35 50 509       1.17      -4.63       1.14    -526.95     -41.38     -17.13       1.36     27949.82
 1998  7  7  0 36 42 105       1.02      -4.65       1.26    -529.21     -39.14     -18.64       1.40     21514.67
 1998  7  7  0 37 30 839       0.87      -4.70       1.28    -532.27     -41.03     -17.50       1.42     27938.56
 1998  7  7  0 38 27 283       0.72      -4.74       1.25    -533.24     -43.21     -16.38       1.44     24198.99
 1998  7  7  0 39 22 221       0.48      -4.72       1.22    -534.63     -51.23     -16.33       1.39     29330.52
 1998  7  7  0 40 26 546       0.51      -4.70       1.24    -533.44     -52.11     -14.31       1.45     23764.25
 1998  7  7  0 41 23   6       0.57      -4.67       1.30    -534.41     -54.14     -15.17       1.27     25143.10
 1998  7  7  0 42 37 367       0.80      -4.65       1.33    -530.49     -53.07     -14.65       1.38     21274.75
 1998  7  7  0 43 41 912       0.70      -4.63       1.38    -529.26     -51.32     -12.82       1.40     26190.70
 1998  7  7  0 44 59 245       1.22      -4.50       1.42    -524.63     -50.24     -11.49       1.36     28979.68
 1998  7  7  0 46  9 210       0.99      -4.55       1.52    -522.00     -50.51     -10.64       1.36     28614.19
 1998  7  7  0 46 58 612       1.10      -4.52       1.57    -524.80     -50.05      -9.12       1.41     27485.66
 1998  7  7  0 47 46 646       1.04      -4.53       1.53    -527.99     -48.09      -8.31       1.50     28392.75
 1998  7  7  0 48 39 620       1.01      -4.55       1.50    -529.88     -47.70     -10.28       1.52     32131.16
 1998  7  7  0 49 53 846       1.01      -4.57       1.42    -526.06     -48.51     -11.88       1.43     24740.07
 1998  7  7  0 51  2 590       1.30      -4.49       1.53    -523.74     -50.63     -10.84       1.25     29873.72
 1998  7  7  0 52 14 915       1.29      -4.49       1.55    -520.51     -50.53     -12.06       1.27     28841.50
 1998  7  7  0 53 17 733       1.44      -4.47       1.44    -519.77     -49.03      -8.69       1.26     29842.71
 1998  7  7  0 54 13 969       1.27      -4.48       1.52    -520.75     -50.62     -10.17       1.29     28217.25
 1998  7  7  0 55  5  49       1.14      -4.59       1.39    -523.09     -49.60     -14.31       1.13     32908.79
 1998  7  7  0 55 30 810       1.21      -4.61       1.29    -532.27     -50.51     -19.30       1.20     30774.13
 1998  7  7  0 56 41 779       1.12      -4.57       1.43    -529.30     -52.97     -15.23       1.12     30938.02
 1998  7  7  0 57 43   6       1.06      -4.56       1.53    -528.97     -50.96     -11.76       1.25     24496.38
 1998  7  7  0 58 46 128       1.13      -4.48       1.67    -528.13     -49.32     -11.57       1.31     24666.56
 1998  7  7  0 59 52  39       1.13      -4.63       1.38    -526.54     -48.33     -12.44       1.32     28235.25
 1998  7  7  1  0 55 713       1.11      -4.62       1.31    -525.57     -49.65     -12.41       1.39     26035.39
 1998  7  7  1  1 55 269       1.14      -4.55       1.46    -525.68     -51.32     -13.00       1.31     26491.83
 1998  7  7  1  2 57 651       1.24      -4.54       1.47    -525.05     -50.04     -12.92       1.29     27091.06
 1998  7  7  1  4  0 363       1.19      -4.57       1.48    -524.33     -48.60     -12.24       1.30     25590.64
 1998  7  7  1  4 58 468       1.04      -4.52       1.63    -524.83     -49.78     -12.07       1.11     28675.36
 1998  7  7  1  6  4 746       1.14      -4.51       1.60    -523.17     -49.54      -8.44       1.34     25338.26
 1998  7  7  1  7  2 972       1.22      -4.49       1.61    -523.64     -48.65      -8.81       1.37     28530.00
 1998  7  7  1  8  4 154       1.10      -4.57       1.57    -523.33     -48.83     -10.24       1.43     26029.07
 1998  7  7  1  9 17 241       1.36      -4.52       1.43    -519.90     -47.20     -13.32       1.35     30605.35
 1998  7  7  1 10 18 244       1.07      -4.60       1.44    -519.64     -48.00     -12.66       1.48     28566.16
 1998  7  7  1 11 14  50       1.27      -4.54       1.46    -520.73     -45.59     -12.11       1.33     31489.12
 1998  7  7  1 12 11 419       1.58      -4.35       1.72    -521.42     -46.66     -13.30       1.30     26776.79
 1998  7  7  1 13 46 676       1.87      -4.25       1.83    -512.35     -44.67      -7.14       1.38     27809.34
 1998  7  7  1 14 46 419       1.96      -4.21       1.84    -512.41     -45.66      -7.31       1.34     31473.84
