Date_UTC,dbn_nez,dbe_nez,dbz_nez
2001-08-31T00:00:00, 11.326, 7.245, 9.961
2001-08-31T00:01:00, 11.322, 7.272, 10.978
2001-08-31T00:02:00, 10.362, 7.009, 10.994
2001-08-31T00:03:00, 9.109, 7.702, 10.011
2001-08-31T00:04:00, 10.354, 7.068, 7.027
2001-08-31T00:05:00, 12.555, 6.727, 7.043
2001-08-31T00:06:00, 11.594, 6.466, 10.059
2001-08-31T00:07:00, 10.342, 7.164, 12.075
2001-08-31T00:08:00, 9.381, 6.904, 12.095
2001-08-31T00:09:00, 9.669, 5.981, 9.110
2001-08-31T00:10:00, 10.622, 6.307, 9.126
2001-08-31T00:11:00, 10.617, 6.342, 10.141
2001-08-31T00:12:00, 10.613, 6.376, 10.157
2001-08-31T00:13:00, 12.520, 6.996, 10.172
2001-08-31T00:14:00, 12.808, 6.076, 10.188
2001-08-31T00:15:00, 13.761, 6.403, 11.203
2001-08-31T00:16:00, 13.757, 6.439, 11.219
2001-08-31T00:17:00, 13.088, 5.227, 11.234
2001-08-31T00:18:00, 14.041, 5.555, 11.250
2001-08-31T00:19:00, 14.994, 5.883, 11.265
2001-08-31T00:20:00, 15.282, 4.963, 10.281
2001-08-31T00:21:00, 16.235, 5.291, 10.297
2001-08-31T00:22:00, 15.276, 5.036, 11.313
2001-08-31T00:23:00, 15.937, 6.320, 12.329
2001-08-31T00:24:00, 14.686, 7.020, 12.350
2001-08-31T00:25:00, 13.727, 6.763, 14.366
2001-08-31T00:26:00, 13.433, 7.754, 14.383
2001-08-31T00:27:00, 13.431, 7.789, 14.400
2001-08-31T00:28:00, 15.341, 8.407, 13.417
2001-08-31T00:29:00, 15.046, 9.399, 13.435
2001-08-31T00:30:00, 16.002, 9.724, 11.453
2001-08-31T00:31:00, 17.542, 8.136, 9.471
2001-08-31T00:32:00, 16.585, 7.877, 10.489
2001-08-31T00:33:00, 17.246, 9.159, 10.507
2001-08-31T00:34:00, 16.583, 7.943, 9.525
2001-08-31T00:35:00, 15.917, 6.728, 9.543
2001-08-31T00:36:00, 15.917, 6.761, 10.562
2001-08-31T00:37:00, 14.005, 6.211, 11.580
2001-08-31T00:38:00, 13.048, 5.952, 13.599
2001-08-31T00:39:00, 12.464, 7.898, 13.617
2001-08-31T00:40:00, 13.129, 9.179, 14.640
2001-08-31T00:41:00, 13.793, 10.461, 17.658
2001-08-31T00:42:00, 14.459, 11.731, 20.677
2001-08-31T00:43:00, 15.708, 11.100, 20.696
2001-08-31T00:44:00, 17.914, 10.761, 25.716
2001-08-31T00:45:00, 17.703, 14.912, 26.735
2001-08-31T00:46:00, 19.910, 14.572, 23.755
2001-08-31T00:47:00, 21.743, 12.028, 22.775
2001-08-31T00:48:00, 23.366, 13.601, 28.794
2001-08-31T00:49:00, 22.490, 16.502, 30.815
2001-08-31T00:50:00, 25.654, 16.454, 25.835
2001-08-31T00:51:00, 29.110, 15.449, 24.856
2001-08-31T00:52:00, 31.316, 15.110, 27.877
2001-08-31T00:53:00, 31.983, 16.390, 28.898
