Date_UTC,dbn_nez,dbe_nez,dbz_nez
2005-08-31T10:00:00, 4.291, -5.561, -7.005
2005-08-31T10:01:00, 4.240, -6.335, -6.957
2005-08-31T10:02:00, 5.217, -6.135, -6.908
2005-08-31T10:03:00, 5.141, -7.906, -6.859
2005-08-31T10:04:00, 4.118, -7.649, -6.814
2005-08-31T10:05:00, 6.097, -7.471, -6.765
2005-08-31T10:06:00, 6.046, -8.238, -6.715
2005-08-31T10:07:00, 5.997, -8.997, -6.663
2005-08-31T10:08:00, 7.947, -9.815, -6.613
2005-08-31T10:09:00, 7.898, -10.579, -6.562
2005-08-31T10:10:00, 8.824, -12.369, -6.512
2005-08-31T10:11:00, 7.800, -12.106, -6.461
2005-08-31T10:12:00, 7.777, -11.870, -6.410
2005-08-31T10:13:00, 8.753, -11.660, -6.360
2005-08-31T10:14:00, 8.728, -11.416, -7.307
2005-08-31T10:15:00, 9.702, -11.206, -7.257
2005-08-31T10:16:00, 9.652, -11.969, -7.206
2005-08-31T10:17:00, 10.628, -11.760, -7.156
2005-08-31T10:18:00, 10.575, -12.525, -7.109
2005-08-31T10:19:00, 10.550, -12.291, -7.059
2005-08-31T10:20:00, 11.524, -12.084, -7.010
2005-08-31T10:21:00, 12.475, -12.878, -6.960
2005-08-31T10:22:00, 11.448, -12.614, -6.910
2005-08-31T10:23:00, 10.421, -12.358, -6.861
2005-08-31T10:24:00, 10.393, -12.130, -6.813
2005-08-31T10:25:00, 10.391, -10.904, -6.765
2005-08-31T10:26:00, 10.365, -10.680, -6.718
2005-08-31T10:27:00, 10.311, -11.457, -6.671
2005-08-31T10:28:00, 9.254, -12.210, -6.625
2005-08-31T10:29:00, 9.223, -11.986, -7.578
2005-08-31T10:30:00, 9.193, -11.771, -6.533
2005-08-31T10:31:00, 8.162, -11.530, -7.489
2005-08-31T10:32:00, 8.133, -11.316, -6.444
2005-08-31T10:33:00, 9.076, -12.128, -6.403
2005-08-31T10:34:00, 9.018, -12.914, -6.359
2005-08-31T10:35:00, 8.986, -12.700, -7.314
2005-08-31T10:36:00, 9.955, -12.513, -7.269
2005-08-31T10:37:00, 8.899, -13.268, -7.223
2005-08-31T10:38:00, 7.866, -13.029, -7.179
2005-08-31T10:39:00, 8.859, -11.845, -7.135
2005-08-31T10:40:00, 7.826, -11.609, -7.091
2005-08-31T10:41:00, 7.793, -11.400, -7.048
2005-08-31T10:42:00, 7.736, -12.192, -7.004
2005-08-31T10:43:00, 6.702, -11.959, -6.962
2005-08-31T10:44:00, 6.667, -11.748, -6.918
2005-08-31T10:45:00, 7.632, -11.571, -6.876
2005-08-31T10:46:00, 7.569, -12.370, -6.835
2005-08-31T10:47:00, 6.535, -12.144, -7.798
2005-08-31T10:48:00, 7.471, -12.972, -6.758
2005-08-31T10:49:00, 6.434, -12.750, -7.718
2005-08-31T10:50:00, 5.396, -12.531, -7.680
2005-08-31T10:51:00, 6.332, -13.366, -7.642
2005-08-31T10:52:00, 6.292, -13.173, -7.603
2005-08-31T10:53:00, 7.227, -14.013, -7.567
2005-08-31T10:54:00, 8.161, -14.857, -7.532
2005-08-31T10:55:00, 8.145, -13.678, -7.497
2005-08-31T10:56:00, 8.077, -14.501, -7.464
2005-08-31T10:57:00, 8.034, -14.327, -8.431
2005-08-31T10:58:00, 6.992, -14.130, -8.400
2005-08-31T10:59:00, 6.946, -13.959, -8.369
2005-08-31T11:00:00, 6.901, -13.796, -8.339
2005-08-31T11:01:00, 6.854, -13.636, -8.311
2005-08-31T11:02:00, 6.808, -13.478, -8.287
2005-08-31T11:03:00, 7.762, -13.350, -9.260
2005-08-31T11:04:00, 5.715, -13.144, -9.234
2005-08-31T11:05:00, 4.692, -11.967, -9.208
