Date_UTC,dbn_nez,dbe_nez,dbz_nez
2016-03-06T00:00:00, 7.455, 2.516, -4.637
2016-03-06T00:01:00, 7.655, 2.409, -4.725
2016-03-06T00:02:00, 8.133, 2.455, -4.818
2016-03-06T00:03:00, 8.774, 2.735, -4.906
2016-03-06T00:04:00, 9.118, 2.959, -4.998
2016-03-06T00:05:00, 9.286, 3.049, -4.988
2016-03-06T00:06:00, 9.392, 2.923, -4.978
2016-03-06T00:07:00, 9.148, 3.038, -4.863
2016-03-06T00:08:00, 8.958, 2.857, -4.853
2016-03-06T00:09:00, 8.455, 2.720, -4.644
2016-03-06T00:10:00, 8.364, 2.558, -4.634
2016-03-06T00:11:00, 8.452, 2.531, -4.624
2016-03-06T00:12:00, 8.739, 2.540, -4.716
2016-03-06T00:13:00, 8.709, 2.593, -4.705
2016-03-06T00:14:00, 8.782, 2.664, -4.695
2016-03-06T00:15:00, 8.887, 2.539, -4.685
2016-03-06T00:16:00, 8.780, 2.475, -4.675
2016-03-06T00:17:00, 8.671, 2.411, -4.563
2016-03-06T00:18:00, 8.762, 2.384, -4.553
2016-03-06T00:19:00, 8.931, 2.474, -4.645
2016-03-06T00:20:00, 9.022, 2.448, -4.635
2016-03-06T00:21:00, 9.091, 2.519, -4.621
2016-03-06T00:22:00, 9.200, 2.394, -4.611
2016-03-06T00:23:00, 9.307, 2.269, -4.698
2016-03-06T00:24:00, 9.461, 2.458, -4.688
2016-03-06T00:25:00, 9.746, 2.468, -4.780
2016-03-06T00:26:00, 9.801, 2.638, -4.770
2016-03-06T00:27:00, 9.204, 2.484, -4.561
2016-03-06T00:28:00, 8.821, 2.268, -4.450
2016-03-06T00:29:00, 8.734, 2.108, -4.440
2016-03-06T00:30:00, 8.806, 2.180, -4.431
2016-03-06T00:31:00, 9.192, 2.210, -4.523
2016-03-06T00:32:00, 9.365, 2.302, -4.611
2016-03-06T00:33:00, 9.534, 2.392, -4.602
2016-03-06T00:34:00, 9.510, 2.447, -4.592
2016-03-06T00:35:00, 9.503, 2.403, -4.579
