Date_UTC,dbn_nez,dbe_nez,dbz_nez
2016-10-13T00:00:00, 7.751, 5.833, -22.359
2016-10-13T00:01:00, 8.198, 5.400, -22.148
2016-10-13T00:02:00, 10.672, 3.651, -22.033
2016-10-13T00:03:00, 9.659, 2.928, -22.519
2016-10-13T00:04:00, 8.022, 2.095, -23.304
2016-10-13T00:05:00, 7.902, 1.944, -23.186
2016-10-13T00:06:00, 6.955, 3.027, -23.167
2016-10-13T00:07:00, 6.887, 4.586, -22.648
2016-10-13T00:08:00, 9.110, 5.903, -21.628
2016-10-13T00:09:00, 9.268, 5.608, -21.509
2016-10-13T00:10:00, 11.323, 5.130, -20.885
2016-10-13T00:11:00, 9.572, 4.916, -21.366
2016-10-13T00:12:00, 9.032, 4.016, -21.842
2016-10-13T00:13:00, 9.181, 4.327, -21.618
2016-10-13T00:14:00, 10.371, 4.177, -21.490
2016-10-13T00:15:00, 11.348, 3.960, -21.565
2016-10-13T00:16:00, 11.212, 2.393, -22.237
2016-10-13T00:17:00, 10.626, 1.197, -22.811
2016-10-13T00:18:00, 10.258, 0.777, -22.982
2016-10-13T00:19:00, 10.015, 2.563, -22.253
2016-10-13T00:20:00, 9.210, 2.614, -23.224
2016-10-13T00:21:00, 6.901, 2.078, -24.494
2016-10-13T00:22:00, 5.586, 2.105, -24.963
2016-10-13T00:23:00, 2.649, 2.779, -25.831
2016-10-13T00:24:00, -0.369, 4.275, -27.600
2016-10-13T00:25:00, -3.671, 5.915, -27.068
2016-10-13T00:26:00, -4.598, 7.201, -26.134
2016-10-13T00:27:00, -2.702, 7.764, -25.704
2016-10-13T00:28:00, -1.319, 7.595, -25.273
2016-10-13T00:29:00, -2.672, 6.722, -25.939
2016-10-13T00:30:00, -6.083, 6.968, -26.406
2016-10-13T00:31:00, -5.925, 8.097, -25.678
2016-10-13T00:32:00, -6.385, 9.825, -24.741
2016-10-13T00:33:00, -7.965, 11.517, -24.405
2016-10-13T00:34:00, -7.581, 12.815, -23.670
2016-10-13T00:35:00, -6.622, 13.218, -22.833
2016-10-13T00:36:00, -7.917, 13.451, -22.595
2016-10-13T00:37:00, -8.305, 13.651, -22.057
2016-10-13T00:38:00, -7.330, 14.862, -20.718
2016-10-13T00:39:00, -8.876, 15.438, -20.780
2016-10-13T00:40:00, -13.575, 16.587, -21.842
2016-10-13T00:41:00, -16.942, 17.841, -21.700
2016-10-13T00:42:00, -15.525, 19.998, -20.058
2016-10-13T00:43:00, -13.543, 21.870, -18.016
2016-10-13T00:44:00, -10.253, 23.039, -15.677
2016-10-13T00:45:00, -3.928, 20.826, -13.533
2016-10-13T00:46:00, -1.382, 18.369, -12.593
2016-10-13T00:47:00, -1.709, 15.634, -13.051
2016-10-13T00:48:00, -2.218, 13.028, -13.606
2016-10-13T00:49:00, -3.709, 11.986, -14.063
2016-10-13T00:50:00, -2.103, 10.684, -13.220
2016-10-13T00:51:00, 0.722, 10.110, -11.778
2016-10-13T00:52:00, 4.749, 7.438, -10.341
2016-10-13T00:53:00, 7.353, 5.384, -9.197
2016-10-13T00:54:00, 7.598, 3.784, -8.854
2016-10-13T00:55:00, 7.180, 2.488, -8.714
2016-10-13T00:56:00, 7.062, 1.855, -8.470
2016-10-13T00:57:00, 5.332, 3.286, -8.229
2016-10-13T00:58:00, 3.799, 4.687, -8.090
2016-10-13T00:59:00, 5.070, 4.559, -7.248
2016-10-13T01:00:00, 7.712, 4.127, -6.009
2016-10-13T01:01:00, 8.682, 3.340, -5.367
2016-10-13T01:02:00, 8.380, 2.845, -5.026
2016-10-13T01:03:00, 8.401, 1.797, -4.785
2016-10-13T01:04:00, 9.414, 1.311, -4.143
2016-10-13T01:05:00, 7.253, 1.906, -4.101
2016-10-13T01:06:00, 4.066, 1.744, -4.659
2016-10-13T01:07:00, 4.722, 0.909, -4.317
2016-10-13T01:08:00, 5.092, 1.534, -3.774
2016-10-13T01:09:00, 4.734, 1.359, -3.931
2016-10-13T01:10:00, 4.578, 1.862, -3.991
2016-10-13T01:11:00, 4.902, 2.194, -3.448
2016-10-13T01:12:00, 4.577, 2.927, -3.012
2016-10-13T01:13:00, 5.213, 3.315, -2.766
2016-10-13T01:14:00, 3.725, 3.718, -3.325
2016-10-13T01:15:00, 2.632, 4.063, -3.783
2016-10-13T01:16:00, 3.479, 4.524, -3.441
2016-10-13T01:17:00, 4.999, 4.077, -3.302
2016-10-13T01:18:00, 6.009, 3.606, -3.359
2016-10-13T01:19:00, 7.325, 2.483, -3.319
2016-10-13T01:20:00, 8.346, 1.406, -3.279
2016-10-13T01:21:00, 9.044, 0.884, -3.141
2016-10-13T01:22:00, 9.457, -0.200, -3.500
2016-10-13T01:23:00, 9.117, -1.577, -3.962
2016-10-13T01:24:00, 8.837, -2.556, -4.124
2016-10-13T01:25:00, 8.136, -2.967, -4.287
2016-10-13T01:26:00, 7.590, -3.702, -4.153
2016-10-13T01:27:00, 6.931, -3.814, -4.216
2016-10-13T01:28:00, 6.222, -3.613, -4.283
2016-10-13T01:29:00, 5.519, -4.019, -4.850
2016-10-13T01:30:00, 4.472, -3.361, -5.017
2016-10-13T01:31:00, 5.431, -2.800, -4.584
2016-10-13T01:32:00, 7.297, -2.271, -3.658
2016-10-13T01:33:00, 6.512, -2.558, -3.628
2016-10-13T01:34:00, 5.997, -2.379, -3.599
2016-10-13T01:35:00, 5.667, -2.327, -3.570
2016-10-13T01:36:00, 6.305, -3.226, -3.643
2016-10-13T01:37:00, 6.201, -3.003, -3.314
2016-10-13T01:38:00, 8.052, -4.587, -3.287
2016-10-13T01:39:00, 8.680, -4.876, -2.960
2016-10-13T01:40:00, 7.642, -4.812, -3.536
2016-10-13T01:41:00, 6.618, -4.649, -3.608
2016-10-13T01:42:00, 7.037, -4.297, -3.384
2016-10-13T01:43:00, 6.196, -4.260, -3.360
2016-10-13T01:44:00, 6.377, -3.465, -2.636
2016-10-13T01:45:00, 6.066, -2.596, -2.210
2016-10-13T01:46:00, 5.778, -2.235, -2.089
2016-10-13T01:47:00, 6.840, -0.963, -1.266
2016-10-13T01:48:00, 7.280, 0.200, -0.846
2016-10-13T01:49:00, 7.992, -0.193, -1.023
2016-10-13T01:50:00, 8.611, -1.886, -1.599
2016-10-13T01:51:00, 9.520, -4.329, -2.179
2016-10-13T01:52:00, 9.795, -4.958, -2.057
2016-10-13T01:53:00, 9.706, -4.623, -1.642
2016-10-13T01:54:00, 8.341, -4.704, -2.122
2016-10-13T01:55:00, 6.252, -5.586, -2.802
2016-10-13T01:56:00, 6.929, -4.859, -2.583
2016-10-13T01:57:00, 7.645, -2.520, -1.166
2016-10-13T01:58:00, 8.499, 1.416, 0.954
2016-10-13T01:59:00, 10.002, 2.930, 1.774
2016-10-13T02:00:00, 10.956, 0.078, 0.593
2016-10-13T02:01:00, 12.459, -5.181, -1.489
2016-10-13T02:02:00, 15.208, -10.221, -2.972
2016-10-13T02:03:00, 15.453, -13.067, -3.854
2016-10-13T02:04:00, 14.465, -11.986, -4.439
2016-10-13T02:05:00, 13.513, -12.023, -5.924
2016-10-13T02:06:00, 12.854, -16.853, -8.807
2016-10-13T02:07:00, 9.055, -17.676, -10.495
2016-10-13T02:08:00, 5.980, -13.652, -10.181
2016-10-13T02:09:00, 7.547, -9.006, -7.468
2016-10-13T02:10:00, 9.193, -5.180, -4.654
2016-10-13T02:11:00, 8.406, 0.626, -2.539
2016-10-13T02:12:00, 7.616, 1.682, -3.527
2016-10-13T02:13:00, 8.365, -4.568, -5.519
2016-10-13T02:14:00, 9.320, -2.659, -4.705
2016-10-13T02:15:00, 6.883, 1.576, -4.096
2016-10-13T02:16:00, 6.211, 3.424, -3.585
2016-10-13T02:17:00, 8.143, 5.087, -2.374
2016-10-13T02:18:00, 9.318, 5.750, -1.261
2016-10-13T02:19:00, 8.710, 8.701, -0.051
2016-10-13T02:20:00, 10.394, 11.412, 1.362
2016-10-13T02:21:00, 12.787, 10.075, 1.271
2016-10-13T02:22:00, 12.653, 7.395, -0.017
2016-10-13T02:23:00, 11.329, 6.207, -1.307
2016-10-13T02:24:00, 11.354, 5.930, -2.194
2016-10-13T02:25:00, 12.632, 4.555, -3.382
2016-10-13T02:26:00, 11.368, 1.740, -4.871
2016-10-13T02:27:00, 9.780, 3.523, -4.961
2016-10-13T02:28:00, 8.544, 4.950, -4.949
2016-10-13T02:29:00, 9.729, 7.026, -4.136
2016-10-13T02:30:00, 10.973, 6.768, -4.022
2016-10-13T02:31:00, 11.460, 5.510, -4.509
2016-10-13T02:32:00, 10.835, 4.923, -5.099
2016-10-13T02:33:00, 9.507, 5.049, -5.590
2016-10-13T02:34:00, 11.195, 5.735, -4.680
2016-10-13T02:35:00, 9.926, 6.257, -4.668
2016-10-13T02:36:00, 7.947, 4.055, -6.355
2016-10-13T02:37:00, 5.326, 0.936, -8.644
2016-10-13T02:38:00, 3.182, 1.690, -9.031
2016-10-13T02:39:00, 4.079, 4.517, -7.121
2016-10-13T02:40:00, 5.123, 10.356, -4.008
2016-10-13T02:41:00, 8.442, 15.855, -0.997
2016-10-13T02:42:00, 11.369, 13.324, -0.786
2016-10-13T02:43:00, 12.760, 11.326, -0.872
2016-10-13T02:44:00, 12.538, 9.366, -1.763
2016-10-13T02:45:00, 12.059, 7.040, -2.751
2016-10-13T02:46:00, 11.773, 6.000, -3.240
2016-10-13T02:47:00, 10.503, 5.814, -3.927
2016-10-13T02:48:00, 10.931, 8.205, -3.115
2016-10-13T02:49:00, 11.070, 9.325, -2.904
2016-10-13T02:50:00, 9.369, 3.541, -5.493
2016-10-13T02:51:00, 5.900, 2.167, -6.379
2016-10-13T02:52:00, 5.570, 9.625, -3.668
2016-10-13T02:53:00, 7.659, 17.025, -1.359
2016-10-13T02:54:00, 9.168, 11.064, -3.647
2016-10-13T02:55:00, 9.295, 10.061, -3.435
2016-10-13T02:56:00, 10.247, 11.866, -2.520
2016-10-13T02:57:00, 11.146, 9.938, -3.308
2016-10-13T02:58:00, 11.347, 2.654, -5.994
2016-10-13T02:59:00, 8.718, -0.566, -7.581
2016-10-13T03:00:00, 5.824, -0.817, -8.068
2016-10-13T03:01:00, 5.273, 2.424, -7.054
2016-10-13T03:02:00, 5.137, 4.389, -6.438
2016-10-13T03:03:00, 6.062, 3.972, -6.326
2016-10-13T03:04:00, 5.629, 3.252, -6.409
2016-10-13T03:05:00, 4.717, 5.433, -5.496
2016-10-13T03:06:00, 6.077, 6.569, -4.680
2016-10-13T03:07:00, 7.533, 4.959, -4.564
2016-10-13T03:08:00, 7.757, 5.252, -3.951
2016-10-13T03:09:00, 8.080, 5.529, -3.635
2016-10-13T03:10:00, 8.465, 2.157, -4.519
2016-10-13T03:11:00, 7.528, 2.117, -4.406
2016-10-13T03:12:00, 6.880, 5.370, -3.289
2016-10-13T03:13:00, 7.032, 5.167, -3.375
2016-10-13T03:14:00, 8.199, 4.308, -3.062
2016-10-13T03:15:00, 7.435, 4.746, -2.944
2016-10-13T03:16:00, 7.854, 4.300, -2.831
2016-10-13T03:17:00, 7.655, 4.452, -2.815
2016-10-13T03:18:00, 7.048, 2.541, -3.600
2016-10-13T03:19:00, 6.123, 1.891, -3.783
2016-10-13T03:20:00, 5.567, 5.735, -2.665
2016-10-13T03:21:00, 5.803, 7.440, -2.250
2016-10-13T03:22:00, 5.911, 6.938, -2.432
2016-10-13T03:23:00, 5.725, 4.458, -3.217
2016-10-13T03:24:00, 5.352, 3.421, -3.598
2016-10-13T03:25:00, 3.454, 3.016, -4.082
2016-10-13T03:26:00, 3.565, 2.513, -4.467
2016-10-13T03:27:00, 2.391, 0.180, -5.048
2016-10-13T03:28:00, 1.453, 1.452, -4.531
2016-10-13T03:29:00, 0.396, 1.932, -4.315
2016-10-13T03:30:00, -1.430, 1.314, -4.899
2016-10-13T03:31:00, -2.247, 1.354, -4.679
2016-10-13T03:32:00, -4.401, 0.581, -5.364
2016-10-13T03:33:00, -3.999, 3.371, -4.346
2016-10-13T03:34:00, -3.824, 8.014, -2.832
2016-10-13T03:35:00, -1.636, 9.222, -2.411
2016-10-13T03:36:00, -0.990, 10.256, -1.992
2016-10-13T03:37:00, 0.520, 11.666, -1.473
2016-10-13T03:38:00, 2.097, 12.156, -1.153
2016-10-13T03:39:00, 2.179, 8.723, -2.832
2016-10-13T03:40:00, 0.678, 5.527, -4.414
2016-10-13T03:41:00, -1.694, 5.292, -5.195
2016-10-13T03:42:00, -5.556, 6.593, -5.573
2016-10-13T03:43:00, -4.020, 11.537, -3.354
2016-10-13T03:44:00, -0.581, 17.713, -0.931
2016-10-13T03:45:00, 1.072, 14.652, -2.115
2016-10-13T03:46:00, 0.868, 12.676, -2.692
2016-10-13T03:47:00, 0.202, 11.679, -3.474
2016-10-13T03:48:00, -2.488, 9.973, -4.556
2016-10-13T03:49:00, -1.977, 11.429, -4.037
2016-10-13T03:50:00, -1.119, 11.822, -4.315
2016-10-13T03:51:00, -1.650, 9.692, -5.596
2016-10-13T03:52:00, -2.763, 9.064, -6.180
2016-10-13T03:53:00, -3.007, 9.520, -6.759
2016-10-13T03:54:00, -6.087, 6.557, -9.648
2016-10-13T03:55:00, -7.649, 4.276, -11.432
2016-10-13T03:56:00, -8.491, 6.135, -11.513
2016-10-13T03:57:00, -9.897, 6.257, -12.900
2016-10-13T03:58:00, -10.624, 6.177, -13.182
2016-10-13T03:59:00, -10.211, 9.667, -12.370
2016-10-13T04:00:00, -11.680, 8.686, -13.453
2016-10-13T04:01:00, -10.787, 12.003, -11.542
2016-10-13T04:02:00, -9.171, 13.391, -11.329
2016-10-13T04:03:00, -10.076, 9.392, -13.316
2016-10-13T04:04:00, -9.794, 11.991, -11.601
2016-10-13T04:05:00, -8.664, 14.866, -10.292
2016-10-13T04:06:00, -6.012, 16.402, -9.479
2016-10-13T04:07:00, -13.306, 10.929, -13.866
2016-10-13T04:08:00, -11.167, 9.710, -12.855
2016-10-13T04:09:00, -13.234, 12.152, -12.844
2016-10-13T04:10:00, -15.846, 8.912, -14.435
2016-10-13T04:11:00, -15.431, 12.397, -12.925
2016-10-13T04:12:00, -13.511, 14.446, -11.114
2016-10-13T04:13:00, -8.737, 15.966, -9.405
2016-10-13T04:14:00, -8.970, 15.100, -9.599
2016-10-13T04:15:00, -5.303, 13.954, -8.691
2016-10-13T04:16:00, -4.306, 13.206, -8.581
2016-10-13T04:17:00, -3.668, 13.423, -7.772
2016-10-13T04:18:00, -5.331, 12.466, -9.064
2016-10-13T04:19:00, -3.397, 11.882, -8.557
2016-10-13T04:20:00, -3.724, 11.737, -9.151
2016-10-13T04:21:00, -5.286, 10.765, -10.144
2016-10-13T04:22:00, -7.278, 8.947, -11.535
2016-10-13T04:23:00, -10.288, 9.101, -13.029
2016-10-13T04:24:00, -9.255, 9.258, -12.022
2016-10-13T04:25:00, -7.745, 8.535, -11.716
2016-10-13T04:26:00, -5.862, 10.992, -9.210
2016-10-13T04:27:00, -5.292, 11.420, -8.607
2016-10-13T04:28:00, -4.625, 11.834, -7.801
2016-10-13T04:29:00, -5.715, 11.297, -8.496
2016-10-13T04:30:00, -2.789, 15.317, -6.390
2016-10-13T04:31:00, -5.694, 14.142, -8.687
2016-10-13T04:32:00, 2.778, 11.975, -7.183
2016-10-13T04:33:00, 4.118, 10.772, -7.879
2016-10-13T04:34:00, 3.196, 7.986, -9.083
2016-10-13T04:35:00, -4.300, 7.194, -10.779
2016-10-13T04:36:00, -6.349, 7.003, -10.777
2016-10-13T04:37:00, -5.726, 11.165, -8.873
2016-10-13T04:38:00, -10.312, 12.263, -10.172
2016-10-13T04:39:00, -7.141, 9.776, -10.170
2016-10-13T04:40:00, -3.796, 12.521, -8.970
2016-10-13T04:41:00, -6.676, 12.858, -9.969
2016-10-13T04:42:00, -3.650, 12.111, -8.570
2016-10-13T04:43:00, -2.184, 15.136, -7.269
2016-10-13T04:44:00, -4.132, 14.930, -8.570
2016-10-13T04:45:00, -2.807, 15.651, -8.070
2016-10-13T04:46:00, -2.763, 15.248, -9.270
2016-10-13T04:47:00, -5.331, 10.887, -11.572
2016-10-13T04:48:00, -1.280, 10.896, -11.073
2016-10-13T04:49:00, -6.195, 11.132, -12.173
2016-10-13T04:50:00, -1.319, 11.928, -10.776
2016-10-13T04:51:00, -4.261, 13.183, -11.477
2016-10-13T04:52:00, -5.483, 13.069, -11.878
2016-10-13T04:53:00, -4.516, 12.729, -11.881
2016-10-13T04:54:00, -1.829, 11.727, -11.989
2016-10-13T04:55:00, -4.882, 10.875, -13.192
2016-10-13T04:56:00, -7.325, 10.032, -13.598
2016-10-13T04:57:00, -5.236, 10.433, -12.301
2016-10-13T04:58:00, -14.077, 15.499, -13.703
2016-10-13T04:59:00, -16.039, 12.460, -15.610
2016-10-13T05:00:00, -19.012, 12.808, -15.712
2016-10-13T05:01:00, -19.883, 14.357, -15.017
2016-10-13T05:02:00, -19.451, 18.543, -11.722
2016-10-13T05:03:00, -14.319, 25.767, -8.927
2016-10-13T05:04:00, -9.116, 26.005, -8.535
2016-10-13T05:05:00, -2.940, 25.995, -8.343
2016-10-13T05:06:00, -0.965, 25.602, -9.651
2016-10-13T05:07:00, 2.801, 20.290, -12.057
2016-10-13T05:08:00, 5.019, 18.141, -14.167
2016-10-13T05:09:00, 5.082, 15.101, -15.374
2016-10-13T05:10:00, 3.244, 13.557, -16.383
2016-10-13T05:11:00, 3.504, 12.509, -17.892
