Date_UTC,dbn_nez,dbe_nez,dbz_nez
2016-10-13T00:00:00, -11.784, 26.408, 52.126
2016-10-13T00:01:00, -7.307, 23.771, 58.308
2016-10-13T00:02:00, -4.723, 24.932, 57.987
2016-10-13T00:03:00, -0.541, 21.628, 60.566
2016-10-13T00:04:00, 1.104, 18.980, 61.740
2016-10-13T00:05:00, 2.766, 16.430, 59.814
2016-10-13T00:06:00, 6.627, 20.940, 60.080
2016-10-13T00:07:00, 3.725, 16.807, 61.348
2016-10-13T00:08:00, 0.373, 16.674, 59.412
2016-10-13T00:09:00, 1.198, 15.349, 59.074
2016-10-13T00:10:00, 4.499, 12.970, 57.435
2016-10-13T00:11:00, 6.496, 12.086, 56.098
2016-10-13T00:12:00, 7.917, 9.970, 55.454
2016-10-13T00:13:00, 6.468, 7.549, 52.411
2016-10-13T00:14:00, 5.258, 5.395, 49.665
2016-10-13T00:15:00, 4.331, 3.809, 46.317
2016-10-13T00:16:00, 4.745, 3.147, 43.070
2016-10-13T00:17:00, 5.605, 4.946, 41.021
2016-10-13T00:18:00, 6.840, 4.371, 40.368
2016-10-13T00:19:00, 6.139, 3.664, 38.117
2016-10-13T00:20:00, 9.559, 0.663, 38.865
2016-10-13T00:21:00, 9.740, -1.684, 37.111
2016-10-13T00:22:00, 8.836, -5.290, 35.552
2016-10-13T00:23:00, 7.823, -10.394, 33.395
2016-10-13T00:24:00, 5.518, -13.196, 28.839
2016-10-13T00:25:00, 1.918, -12.989, 22.681
2016-10-13T00:26:00, 0.395, -11.658, 19.725
2016-10-13T00:27:00, 0.040, -12.812, 18.469
2016-10-13T00:28:00, 2.054, -11.469, 16.411
2016-10-13T00:29:00, 3.899, -9.902, 16.152
2016-10-13T00:30:00, 3.623, -8.337, 16.691
2016-10-13T00:31:00, 2.718, -9.106, 17.932
2016-10-13T00:32:00, 2.986, -9.434, 18.570
2016-10-13T00:33:00, 1.798, -9.357, 19.307
2016-10-13T00:34:00, -0.152, -9.678, 19.141
2016-10-13T00:35:00, -0.548, -9.711, 18.574
2016-10-13T00:36:00, 0.163, -6.166, 18.304
2016-10-13T00:37:00, 2.913, -2.500, 22.031
2016-10-13T00:38:00, 3.821, -3.322, 25.859
2016-10-13T00:39:00, 4.179, -8.812, 28.087
2016-10-13T00:40:00, 4.918, -14.456, 27.115
2016-10-13T00:41:00, 4.177, -16.257, 22.240
2016-10-13T00:42:00, -0.589, -14.363, 16.665
2016-10-13T00:43:00, -6.020, -12.173, 11.789
2016-10-13T00:44:00, -9.066, -8.098, 9.210
2016-10-13T00:45:00, -9.988, -4.720, 9.234
2016-10-13T00:46:00, -10.625, -2.190, 10.255
2016-10-13T00:47:00, -10.707, -0.746, 11.880
2016-10-13T00:48:00, -10.423, 1.859, 13.701
2016-10-13T00:49:00, -9.669, 3.491, 16.424
2016-10-13T00:50:00, -8.038, 4.900, 19.847
