Date_UTC,dbn_nez,dbe_nez,dbz_nez
2016-10-13T00:00:00, 25.532, 4.047, -26.543
2016-10-13T00:01:00, 23.908, 3.977, -28.047
2016-10-13T00:02:00, 23.836, 6.930, -28.528
2016-10-13T00:03:00, 24.941, 10.693, -27.363
2016-10-13T00:04:00, 23.999, 9.516, -27.791
2016-10-13T00:05:00, 21.979, 7.661, -29.225
2016-10-13T00:06:00, 21.837, 8.945, -29.252
2016-10-13T00:07:00, 22.954, 11.702, -28.812
2016-10-13T00:08:00, 23.052, 14.110, -28.510
2016-10-13T00:09:00, 23.512, 14.392, -28.420
2016-10-13T00:10:00, 23.836, 13.461, -29.002
2016-10-13T00:11:00, 21.957, 9.883, -31.023
2016-10-13T00:12:00, 20.275, 6.948, -32.166
2016-10-13T00:13:00, 21.040, 7.921, -31.568
2016-10-13T00:14:00, 23.290, 10.478, -29.333
2016-10-13T00:15:00, 23.989, 9.945, -28.049
2016-10-13T00:16:00, 23.592, 10.125, -27.426
2016-10-13T00:17:00, 24.062, 11.518, -26.394
2016-10-13T00:18:00, 23.521, 9.390, -26.550
2016-10-13T00:19:00, 22.909, 8.583, -27.031
2016-10-13T00:20:00, 24.788, 12.192, -25.521
2016-10-13T00:21:00, 25.972, 12.860, -23.859
2016-10-13T00:22:00, 26.737, 11.637, -22.593
2016-10-13T00:23:00, 27.486, 8.378, -22.113
2016-10-13T00:24:00, 27.115, 4.874, -22.919
2016-10-13T00:25:00, 26.018, 1.784, -24.503
2016-10-13T00:26:00, 24.037, -1.798, -26.987
2016-10-13T00:27:00, 25.166, -1.136, -26.772
2016-10-13T00:28:00, 27.118, 1.967, -25.383
2016-10-13T00:29:00, 25.279, 0.091, -26.319
2016-10-13T00:30:00, 25.183, 1.181, -26.650
2016-10-13T00:31:00, 24.210, -1.531, -27.611
2016-10-13T00:32:00, 23.008, -3.822, -29.202
2016-10-13T00:33:00, 23.403, -2.566, -30.197
2016-10-13T00:34:00, 22.858, -5.249, -30.501
2016-10-13T00:35:00, 20.628, -8.474, -30.846
2016-10-13T00:36:00, 20.237, -6.986, -31.071
2016-10-13T00:37:00, 20.965, -4.146, -31.098
2016-10-13T00:38:00, 21.319, -3.045, -30.419
2016-10-13T00:39:00, 21.392, -2.725, -29.857
2016-10-13T00:40:00, 23.169, 0.174, -28.317
2016-10-13T00:41:00, 21.607, -1.978, -28.308
2016-10-13T00:42:00, 20.007, -0.803, -28.320
2016-10-13T00:43:00, 17.940, -2.218, -28.782
2016-10-13T00:44:00, 14.511, -4.476, -29.667
2016-10-13T00:45:00, 12.605, -1.839, -28.970
2016-10-13T00:46:00, 10.992, -0.933, -28.966
2016-10-13T00:47:00, 10.034, -2.630, -29.192
2016-10-13T00:48:00, 8.929, -5.375, -28.529
2016-10-13T00:49:00, 7.698, -6.048, -27.624
2016-10-13T00:50:00, 6.564, -7.271, -26.801
2016-10-13T00:51:00, 6.010, -7.222, -25.460
2016-10-13T00:52:00, 5.744, -6.947, -25.568
2016-10-13T00:53:00, 5.809, -4.921, -26.216
2016-10-13T00:54:00, 8.582, -0.404, -25.145
2016-10-13T00:55:00, 9.933, 1.434, -23.466
2016-10-13T00:56:00, 7.840, -1.483, -22.306
2016-10-13T00:57:00, 4.808, -6.042, -22.877
2016-10-13T00:58:00, 3.735, -5.876, -23.296
2016-10-13T00:59:00, 6.913, -1.037, -22.817
2016-10-13T01:00:00, 8.302, 0.252, -22.599
2016-10-13T01:01:00, 6.767, -0.073, -22.198
2016-10-13T01:02:00, 3.539, -1.287, -22.099
2016-10-13T01:03:00, 1.559, -4.246, -22.364
2016-10-13T01:04:00, -0.766, -3.875, -24.755
2016-10-13T01:05:00, -1.781, 5.272, -31.190
2016-10-13T01:06:00, -3.316, -2.077, -36.067
2016-10-13T01:07:00, -9.205, -10.925, -35.023
2016-10-13T01:08:00, -11.211, -10.242, -29.401
2016-10-13T01:09:00, -6.945, 2.251, -25.186
2016-10-13T01:10:00, -4.068, 6.745, -28.553
2016-10-13T01:11:00, -5.850, -4.042, -33.413
2016-10-13T01:12:00, -9.261, -1.824, -31.320
2016-10-13T01:13:00, -3.961, -2.056, -26.830
2016-10-13T01:14:00, -1.825, -2.180, -24.149
2016-10-13T01:15:00, 1.286, 0.119, -23.718
2016-10-13T01:16:00, 2.490, 4.817, -21.182
2016-10-13T01:17:00, 3.227, 2.156, -21.169
2016-10-13T01:18:00, 2.539, 0.961, -24.512
2016-10-13T01:19:00, 1.779, 0.023, -25.293
2016-10-13T01:20:00, 2.860, 0.179, -24.452
2016-10-13T01:21:00, 4.440, 5.732, -20.176
2016-10-13T01:22:00, 2.397, 4.972, -20.957
2016-10-13T01:23:00, 0.384, -5.451, -27.297
2016-10-13T01:24:00, -2.652, -12.766, -31.386
2016-10-13T01:25:00, -6.752, -13.930, -30.609
2016-10-13T01:26:00, -3.773, -8.629, -27.991
2016-10-13T01:27:00, 0.414, -9.366, -27.550
2016-10-13T01:28:00, -3.384, -15.786, -27.291
2016-10-13T01:29:00, -6.625, -13.614, -24.252
2016-10-13T01:30:00, 1.388, -0.752, -18.322
2016-10-13T01:31:00, 0.897, -3.606, -19.145
2016-10-13T01:32:00, 1.496, -4.054, -21.062
2016-10-13T01:33:00, 2.386, -5.996, -22.886
2016-10-13T01:34:00, 3.075, -5.144, -23.834
2016-10-13T01:35:00, 2.138, -6.935, -23.865
2016-10-13T01:36:00, -0.931, -3.177, -22.928
2016-10-13T01:37:00, -0.998, 2.799, -22.721
