Date_UTC,dbn_nez,dbe_nez,dbz_nez
2018-08-25T00:00:00, 1.650, 0.811, -3.706
2018-08-25T00:01:00, 2.106, 1.074, -3.497
2018-08-25T00:02:00, 2.272, 1.144, -3.379
2018-08-25T00:03:00, 2.332, 1.210, -3.268
2018-08-25T00:04:00, 2.357, 1.155, -3.220
2018-08-25T00:05:00, 2.262, 0.967, -3.173
2018-08-25T00:06:00, 2.056, 0.641, -3.133
2018-08-25T00:07:00, 2.201, 0.398, -3.155
2018-08-25T00:08:00, 2.418, 0.359, -3.135
2018-08-25T00:09:00, 2.848, 0.545, -3.107
2018-08-25T00:10:00, 3.205, 0.868, -2.990
2018-08-25T00:11:00, 3.396, 0.894, -2.880
2018-08-25T00:12:00, 3.663, 0.816, -2.825
2018-08-25T00:13:00, 4.015, 0.983, -2.696
2018-08-25T00:14:00, 3.672, 0.624, -2.677
2018-08-25T00:15:00, 3.770, 0.227, -2.661
2018-08-25T00:16:00, 3.892, 0.277, -2.712
2018-08-25T00:17:00, 4.060, 0.308, -2.716
2018-08-25T00:18:00, 4.380, 0.428, -2.658
2018-08-25T00:19:00, 4.229, 0.196, -2.561
2018-08-25T00:20:00, 4.215, -0.073, -2.561
2018-08-25T00:21:00, 4.569, -0.132, -2.527
2018-08-25T00:22:00, 4.892, -0.074, -2.453
2018-08-25T00:23:00, 5.041, -0.150, -2.356
2018-08-25T00:24:00, 4.802, -0.260, -2.361
2018-08-25T00:25:00, 4.280, -0.622, -2.444
2018-08-25T00:26:00, 3.755, -1.089, -2.566
2018-08-25T00:27:00, 3.620, -1.214, -2.712
2018-08-25T00:28:00, 3.554, -1.416, -2.733
2018-08-25T00:29:00, 3.805, -1.398, -2.757
2018-08-25T00:30:00, 3.985, -1.171, -2.739
2018-08-25T00:31:00, 4.126, -1.068, -2.694
2018-08-25T00:32:00, 4.021, -1.064, -2.699
2018-08-25T00:33:00, 3.944, -1.104, -2.662
2018-08-25T00:34:00, 3.827, -1.258, -2.656
2018-08-25T00:35:00, 3.858, -1.438, -2.619
2018-08-25T00:36:00, 4.068, -1.348, -2.606
2018-08-25T00:37:00, 4.150, -1.145, -2.639
2018-08-25T00:38:00, 4.341, -1.132, -2.595
2018-08-25T00:39:00, 4.331, -1.075, -2.558
2018-08-25T00:40:00, 4.301, -1.012, -2.534
2018-08-25T00:41:00, 4.154, -1.060, -2.568
2018-08-25T00:42:00, 4.153, -1.146, -2.594
2018-08-25T00:43:00, 4.122, -1.249, -2.597
2018-08-25T00:44:00, 4.059, -1.225, -2.604
2018-08-25T00:45:00, 4.146, -1.011, -2.740
2018-08-25T00:46:00, 4.129, -0.834, -2.723
2018-08-25T00:47:00, 4.249, -0.798, -2.679
2018-08-25T00:48:00, 4.323, -0.907, -2.663
2018-08-25T00:49:00, 4.522, -1.070, -2.612
2018-08-25T00:50:00, 4.934, -0.933, -2.627
2018-08-25T00:51:00, 5.489, -0.557, -2.602
2018-08-25T00:52:00, 6.141, -0.085, -2.528
2018-08-25T00:53:00, 6.408, 0.271, -2.472
2018-08-25T00:54:00, 6.617, 0.542, -2.448
2018-08-25T00:55:00, 6.508, 0.634, -2.405
2018-08-25T00:56:00, 6.190, 0.572, -2.439
2018-08-25T00:57:00, 5.784, 0.479, -2.544
2018-08-25T00:58:00, 5.517, 0.461, -2.570
2018-08-25T00:59:00, 5.336, 0.554, -2.605
2018-08-25T01:00:00, 5.082, 0.559, -2.651
2018-08-25T01:01:00, 4.972, 0.535, -2.666
2018-08-25T01:02:00, 4.612, 0.514, -2.739
2018-08-25T01:03:00, 4.291, 0.510, -2.855
2018-08-25T01:04:00, 4.090, 0.506, -2.757
2018-08-25T01:05:00, 3.968, 0.304, -2.713
2018-08-25T01:06:00, 3.979, 0.081, -2.697
2018-08-25T01:07:00, 4.230, 0.164, -2.692
2018-08-25T01:08:00, 4.475, 0.493, -2.738
2018-08-25T01:09:00, 4.887, 0.901, -2.773
2018-08-25T01:10:00, 5.491, 1.315, -2.717
2018-08-25T01:11:00, 6.223, 1.810, -2.564
2018-08-25T01:12:00, 6.490, 2.050, -2.419
2018-08-25T01:13:00, 6.269, 2.048, -2.364
2018-08-25T01:14:00, 5.848, 1.978, -2.371
2018-08-25T01:15:00, 5.496, 1.718, -2.366
