Date_UTC,dbn_nez,dbe_nez,dbz_nez
2018-08-25T00:00:00, 1.476, 0.553, 0.230
2018-08-25T00:01:00, 1.692, 0.412, 0.267
2018-08-25T00:02:00, 1.797, 0.307, 0.199
2018-08-25T00:03:00, 2.000, 0.316, 0.166
2018-08-25T00:04:00, 2.134, 0.378, 0.183
2018-08-25T00:05:00, 2.095, 0.559, 0.213
2018-08-25T00:06:00, 1.837, 0.720, 0.160
2018-08-25T00:07:00, 1.504, 0.835, 0.189
2018-08-25T00:08:00, 1.432, 0.786, 0.187
2018-08-25T00:09:00, 1.695, 0.559, 0.174
2018-08-25T00:10:00, 2.105, 0.305, 0.133
2018-08-25T00:11:00, 2.218, 0.175, 0.147
2018-08-25T00:12:00, 2.571, 0.013, 0.164
2018-08-25T00:13:00, 2.709, -0.087, 0.151
2018-08-25T00:14:00, 2.562, 0.165, 0.192
2018-08-25T00:15:00, 2.562, 0.319, 0.178
2018-08-25T00:16:00, 2.765, 0.474, 0.188
2018-08-25T00:17:00, 3.003, 0.586, 0.194
2018-08-25T00:18:00, 3.022, 0.549, 0.255
2018-08-25T00:19:00, 2.916, 0.568, 0.241
2018-08-25T00:20:00, 2.721, 0.601, 0.220
2018-08-25T00:21:00, 2.527, 0.533, 0.199
2018-08-25T00:22:00, 2.349, 0.524, 0.134
2018-08-25T00:23:00, 2.134, 0.587, 0.132
2018-08-25T00:24:00, 1.934, 0.730, 0.103
2018-08-25T00:25:00, 1.684, 1.104, 0.058
2018-08-25T00:26:00, 1.357, 1.532, 0.036
2018-08-25T00:27:00, 1.259, 1.899, 0.034
2018-08-25T00:28:00, 0.995, 2.163, -0.045
2018-08-25T00:29:00, 0.793, 2.333, -0.039
2018-08-25T00:30:00, 0.721, 2.417, -0.041
2018-08-25T00:31:00, 0.732, 2.376, -0.071
2018-08-25T00:32:00, 0.720, 2.295, -0.128
2018-08-25T00:33:00, 0.709, 2.264, -0.161
2018-08-25T00:34:00, 0.557, 2.371, -0.132
2018-08-25T00:35:00, 0.603, 2.446, -0.103
2018-08-25T00:36:00, 0.698, 2.459, -0.148
2018-08-25T00:37:00, 0.931, 2.514, -0.088
2018-08-25T00:38:00, 0.877, 2.373, -0.122
2018-08-25T00:39:00, 0.908, 2.348, -0.054
2018-08-25T00:40:00, 0.881, 2.355, -0.044
2018-08-25T00:41:00, 0.882, 2.331, -0.109
2018-08-25T00:42:00, 0.823, 2.329, -0.080
2018-08-25T00:43:00, 0.737, 2.319, -0.094
2018-08-25T00:44:00, 0.779, 2.291, -0.007
2018-08-25T00:45:00, 0.875, 2.210, -0.126
2018-08-25T00:46:00, 1.034, 2.107, -0.129
2018-08-25T00:47:00, 1.106, 2.067, -0.112
2018-08-25T00:48:00, 1.326, 1.839, -0.106
2018-08-25T00:49:00, 1.386, 1.779, -0.046
2018-08-25T00:50:00, 1.581, 1.632, -0.068
2018-08-25T00:51:00, 1.967, 1.315, -0.113
2018-08-25T00:52:00, 2.241, 0.923, -0.124
2018-08-25T00:53:00, 2.545, 0.580, -0.122
2018-08-25T00:54:00, 2.824, 0.308, -0.055
2018-08-25T00:55:00, 2.864, 0.048, -0.077
2018-08-25T00:56:00, 2.845, 0.041, -0.111
2018-08-25T00:57:00, 2.813, 0.164, -0.121
2018-08-25T00:58:00, 2.714, 0.341, -0.092
2018-08-25T00:59:00, 2.662, 0.465, -0.157
2018-08-25T01:00:00, 2.597, 0.710, -0.121
2018-08-25T01:01:00, 2.513, 0.835, -0.131
2018-08-25T01:02:00, 2.547, 1.054, -0.165
2018-08-25T01:03:00, 2.536, 1.195, -0.156
2018-08-25T01:04:00, 2.578, 1.213, -0.159
2018-08-25T01:05:00, 2.792, 1.222, -0.153
2018-08-25T01:06:00, 3.019, 1.300, -0.144
2018-08-25T01:07:00, 3.199, 1.259, -0.076
2018-08-25T01:08:00, 3.430, 1.066, -0.141
2018-08-25T01:09:00, 3.671, 0.812, -0.074
2018-08-25T01:10:00, 3.971, 0.224, -0.033
2018-08-25T01:11:00, 4.295, -0.355, 0.002
2018-08-25T01:12:00, 4.349, -0.710, -0.109
2018-08-25T01:13:00, 4.285, -0.659, -0.014
2018-08-25T01:14:00, 4.371, -0.566, -0.036
