Date_UTC,dbn_nez,dbe_nez,dbz_nez
2020-04-20T00:00:00, 2.705, 7.737, 1.069
2020-04-20T00:01:00, 2.573, 7.861, 1.040
2020-04-20T00:02:00, 2.518, 7.901, 1.013
2020-04-20T00:03:00, 2.481, 7.977, 0.998
2020-04-20T00:04:00, 2.502, 7.952, 0.980
2020-04-20T00:05:00, 2.486, 7.911, 0.944
2020-04-20T00:06:00, 2.437, 7.940, 0.908
2020-04-20T00:07:00, 2.395, 7.998, 0.878
2020-04-20T00:08:00, 2.354, 8.056, 0.864
2020-04-20T00:09:00, 2.308, 8.095, 0.836
2020-04-20T00:10:00, 2.302, 8.093, 0.800
2020-04-20T00:11:00, 2.223, 8.248, 0.789
2020-04-20T00:12:00, 2.245, 8.258, 0.771
2020-04-20T00:13:00, 2.342, 8.230, 0.754
2020-04-20T00:14:00, 2.411, 8.229, 0.706
2020-04-20T00:15:00, 2.505, 8.171, 0.691
2020-04-20T00:16:00, 2.601, 8.155, 0.684
2020-04-20T00:17:00, 2.644, 8.214, 0.681
2020-04-20T00:18:00, 2.606, 8.327, 0.668
2020-04-20T00:19:00, 2.685, 8.362, 0.651
2020-04-20T00:20:00, 2.678, 8.383, 0.642
2020-04-20T00:21:00, 2.696, 8.388, 0.619
2020-04-20T00:22:00, 2.714, 8.446, 0.608
2020-04-20T00:23:00, 2.623, 8.533, 0.574
2020-04-20T00:24:00, 2.655, 8.512, 0.556
2020-04-20T00:25:00, 2.643, 8.583, 0.546
2020-04-20T00:26:00, 2.597, 8.592, 0.533
2020-04-20T00:27:00, 2.511, 8.641, 0.504
2020-04-20T00:28:00, 2.548, 8.643, 0.484
2020-04-20T00:29:00, 2.519, 8.625, 0.468
2020-04-20T00:30:00, 2.601, 8.593, 0.460
2020-04-20T00:31:00, 2.534, 8.729, 0.430
2020-04-20T00:32:00, 2.552, 8.740, 0.419
2020-04-20T00:33:00, 2.536, 8.737, 0.383
2020-04-20T00:34:00, 2.530, 8.749, 0.359
2020-04-20T00:35:00, 2.497, 8.778, 0.323
2020-04-20T00:36:00, 2.448, 8.812, 0.281
2020-04-20T00:37:00, 2.383, 8.850, 0.248
2020-04-20T00:38:00, 2.305, 8.891, 0.203
2020-04-20T00:39:00, 2.337, 8.826, 0.151
2020-04-20T00:40:00, 2.347, 8.849, 0.123
2020-04-20T00:41:00, 2.303, 8.844, 0.073
2020-04-20T00:42:00, 2.259, 8.860, 0.042
2020-04-20T00:43:00, 2.226, 8.869, -0.006
2020-04-20T00:44:00, 2.144, 8.891, -0.075
2020-04-20T00:45:00, 2.054, 8.879, -0.104
2020-04-20T00:46:00, 1.931, 8.906, -0.172
2020-04-20T00:47:00, 1.698, 8.938, -0.259
2020-04-20T00:48:00, 1.623, 9.068, -0.298
2020-04-20T00:49:00, 1.478, 9.031, -0.373
2020-04-20T00:50:00, 1.414, 8.996, -0.439
2020-04-20T00:51:00, 1.321, 8.998, -0.517
2020-04-20T00:52:00, 1.165, 9.027, -0.568
2020-04-20T00:53:00, 1.121, 8.980, -0.625
2020-04-20T00:54:00, 1.081, 8.942, -0.680
2020-04-20T00:55:00, 1.107, 8.869, -0.737
2020-04-20T00:56:00, 1.113, 8.771, -0.791
2020-04-20T00:57:00, 1.224, 8.659, -0.837
2020-04-20T00:58:00, 1.268, 8.595, -0.891
2020-04-20T00:59:00, 1.387, 8.535, -0.910
2020-04-20T01:00:00, 1.353, 8.530, -0.995
2020-04-20T01:01:00, 1.358, 8.435, -1.029
2020-04-20T01:02:00, 1.308, 8.365, -1.074
2020-04-20T01:03:00, 1.341, 8.348, -1.131
2020-04-20T01:04:00, 1.429, 8.216, -1.164
2020-04-20T01:05:00, 1.469, 8.097, -1.215
2020-04-20T01:06:00, 1.494, 8.054, -1.271
2020-04-20T01:07:00, 1.499, 7.985, -1.314
2020-04-20T01:08:00, 1.540, 7.981, -1.345
2020-04-20T01:09:00, 1.591, 7.924, -1.388
2020-04-20T01:10:00, 1.586, 7.880, -1.461
2020-04-20T01:11:00, 1.684, 7.798, -1.491
2020-04-20T01:12:00, 1.785, 7.695, -1.545
2020-04-20T01:13:00, 1.705, 7.610, -1.602
2020-04-20T01:14:00, 1.651, 7.539, -1.671
2020-04-20T01:15:00, 1.676, 7.465, -1.713
2020-04-20T01:16:00, 1.604, 7.374, -1.774
2020-04-20T01:17:00, 1.630, 7.256, -1.827
2020-04-20T01:18:00, 1.610, 7.107, -1.907
2020-04-20T01:19:00, 1.614, 6.975, -1.948
2020-04-20T01:20:00, 1.618, 6.863, -1.978
2020-04-20T01:21:00, 1.499, 6.749, -2.059
2020-04-20T01:22:00, 1.501, 6.592, -2.112
2020-04-20T01:23:00, 1.515, 6.484, -2.142
2020-04-20T01:24:00, 1.492, 6.364, -2.204
2020-04-20T01:25:00, 1.434, 6.273, -2.277
2020-04-20T01:26:00, 1.465, 6.115, -2.323
2020-04-20T01:27:00, 1.456, 5.967, -2.382
2020-04-20T01:28:00, 1.486, 5.903, -2.413
2020-04-20T01:29:00, 1.465, 5.754, -2.464
2020-04-20T01:30:00, 1.291, 5.650, -2.539
2020-04-20T01:31:00, 1.248, 5.500, -2.595
2020-04-20T01:32:00, 1.282, 5.416, -2.627
2020-04-20T01:33:00, 1.280, 5.361, -2.679
2020-04-20T01:34:00, 1.219, 5.300, -2.738
2020-04-20T01:35:00, 1.166, 5.136, -2.794
2020-04-20T01:36:00, 1.098, 5.067, -2.857
2020-04-20T01:37:00, 1.054, 5.014, -2.901
2020-04-20T01:38:00, 1.005, 4.984, -2.945
2020-04-20T01:39:00, 1.005, 4.860, -2.958
2020-04-20T01:40:00, 0.994, 4.766, -3.022
2020-04-20T01:41:00, 1.004, 4.625, -3.077
2020-04-20T01:42:00, 1.030, 4.487, -3.110
2020-04-20T01:43:00, 0.957, 4.330, -3.170
2020-04-20T01:44:00, 0.958, 4.265, -3.203
2020-04-20T01:45:00, 0.959, 4.118, -3.263
2020-04-20T01:46:00, 1.002, 3.976, -3.296
2020-04-20T01:47:00, 0.982, 3.830, -3.333
2020-04-20T01:48:00, 0.942, 3.738, -3.386
2020-04-20T01:49:00, 0.898, 3.577, -3.432
2020-04-20T01:50:00, 0.880, 3.491, -3.470
2020-04-20T01:51:00, 0.864, 3.461, -3.504
2020-04-20T01:52:00, 0.857, 3.249, -3.550
2020-04-20T01:53:00, 0.817, 3.123, -3.593
2020-04-20T01:54:00, 0.861, 2.992, -3.632
2020-04-20T01:55:00, 0.831, 2.841, -3.660
2020-04-20T01:56:00, 0.791, 2.710, -3.707
2020-04-20T01:57:00, 0.797, 2.572, -3.740
2020-04-20T01:58:00, 0.808, 2.499, -3.796
2020-04-20T01:59:00, 0.748, 2.329, -3.856
2020-04-20T02:00:00, 0.697, 2.219, -3.886
2020-04-20T02:01:00, 0.679, 2.131, -3.924
2020-04-20T02:02:00, 0.613, 2.096, -3.973
2020-04-20T02:03:00, 0.572, 1.901, -4.012
2020-04-20T02:04:00, 0.560, 1.793, -4.042
2020-04-20T02:05:00, 0.528, 1.679, -4.113
2020-04-20T02:06:00, 0.511, 1.551, -4.163
2020-04-20T02:07:00, 0.483, 1.385, -4.176
2020-04-20T02:08:00, 0.439, 1.217, -4.246
2020-04-20T02:09:00, 0.356, 1.141, -4.298
2020-04-20T02:10:00, 0.231, 1.053, -4.358
2020-04-20T02:11:00, 0.150, 0.858, -4.402
2020-04-20T02:12:00, 0.073, 0.730, -4.462
2020-04-20T02:13:00, 0.014, 0.488, -4.535
2020-04-20T02:14:00, -0.004, 0.325, -4.568
2020-04-20T02:15:00, -0.071, 0.179, -4.617
2020-04-20T02:16:00, -0.075, -0.018, -4.651
2020-04-20T02:17:00, 0.026, -0.183, -4.674
2020-04-20T02:18:00, 0.096, -0.259, -4.697
2020-04-20T02:19:00, 0.127, -0.305, -4.712
2020-04-20T02:20:00, 0.018, -0.351, -4.759
2020-04-20T02:21:00, 0.046, -0.464, -4.778
2020-04-20T02:22:00, 0.050, -0.602, -4.806
2020-04-20T02:23:00, 0.126, -0.644, -4.818
2020-04-20T02:24:00, 0.236, -0.736, -4.804
2020-04-20T02:25:00, 0.292, -0.789, -4.816
2020-04-20T02:26:00, 0.394, -0.889, -4.818
2020-04-20T02:27:00, 0.614, -0.925, -4.780
2020-04-20T02:28:00, 0.712, -0.948, -4.767
2020-04-20T02:29:00, 0.853, -1.011, -4.753
2020-04-20T02:30:00, 0.981, -1.042, -4.752
2020-04-20T02:31:00, 0.456, -2.232, -5.094
2020-04-20T02:32:00, 3.554, -3.423, -4.543
2020-04-20T02:33:00, 6.986, -2.944, -4.015
2020-04-20T02:34:00, 8.282, -0.411, -3.753
2020-04-20T02:35:00, 9.380, 0.685, -3.671
2020-04-20T02:36:00, 11.539, 0.952, -3.355
2020-04-20T02:37:00, 13.306, 1.398, -3.106
2020-04-20T02:38:00, 13.341, 2.085, -3.095
2020-04-20T02:39:00, 12.851, 2.225, -3.112
2020-04-20T02:40:00, 12.872, 1.837, -3.044
2020-04-20T02:41:00, 12.393, 1.159, -3.085
2020-04-20T02:42:00, 11.971, 0.498, -3.032
2020-04-20T02:43:00, 11.522, 0.177, -2.996
2020-04-20T02:44:00, 10.940, -0.236, -3.030
2020-04-20T02:45:00, 10.297, -1.001, -3.099
2020-04-20T02:46:00, 10.232, -1.621, -3.028
2020-04-20T02:47:00, 9.988, -1.620, -3.011
2020-04-20T02:48:00, 9.537, -1.809, -3.062
2020-04-20T02:49:00, 9.241, -2.053, -3.073
2020-04-20T02:50:00, 9.155, -2.438, -3.081
2020-04-20T02:51:00, 8.943, -2.472, -3.089
2020-04-20T02:52:00, 8.771, -2.561, -3.108
2020-04-20T02:53:00, 8.762, -2.313, -3.073
2020-04-20T02:54:00, 8.582, -2.421, -3.136
2020-04-20T02:55:00, 8.412, -2.634, -3.168
2020-04-20T02:56:00, 8.474, -2.623, -3.122
2020-04-20T02:57:00, 8.234, -2.533, -3.150
2020-04-20T02:58:00, 7.933, -2.789, -3.213
2020-04-20T02:59:00, 7.752, -2.990, -3.214
2020-04-20T03:00:00, 7.655, -3.128, -3.203
2020-04-20T03:01:00, 7.057, -3.296, -3.314
2020-04-20T03:02:00, 6.662, -3.376, -3.327
2020-04-20T03:03:00, 6.536, -3.601, -3.328
2020-04-20T03:04:00, 6.433, -3.668, -3.334
2020-04-20T03:05:00, 6.261, -3.965, -3.379
2020-04-20T03:06:00, 6.523, -4.073, -3.335
2020-04-20T03:07:00, 6.907, -3.821, -3.274
2020-04-20T03:08:00, 7.184, -3.683, -3.250
2020-04-20T03:09:00, 7.658, -3.630, -3.206
2020-04-20T03:10:00, 8.156, -3.681, -3.193
2020-04-20T03:11:00, 8.616, -3.508, -3.145
2020-04-20T03:12:00, 8.751, -3.538, -3.172
2020-04-20T03:13:00, 8.876, -3.714, -3.179
2020-04-20T03:14:00, 9.247, -3.589, -3.105
2020-04-20T03:15:00, 9.404, -3.671, -3.101
2020-04-20T03:16:00, 9.220, -4.454, -3.225
2020-04-20T03:17:00, 10.577, -4.159, -2.889
2020-04-20T03:18:00, 9.840, -2.692, -3.003
2020-04-20T03:19:00, 8.171, -2.572, -3.198
2020-04-20T03:20:00, 7.266, -4.054, -3.335
2020-04-20T03:21:00, 6.826, -5.071, -3.362
2020-04-20T03:22:00, 6.235, -5.849, -3.410
2020-04-20T03:23:00, 5.775, -6.233, -3.433
2020-04-20T03:24:00, 5.379, -6.153, -3.422
2020-04-20T03:25:00, 4.949, -5.964, -3.438
2020-04-20T03:26:00, 4.819, -5.884, -3.434
2020-04-20T03:27:00, 5.012, -5.908, -3.399
2020-04-20T03:28:00, 5.052, -5.288, -3.348
2020-04-20T03:29:00, 5.395, -4.886, -3.266
2020-04-20T03:30:00, 5.785, -4.397, -3.208
2020-04-20T03:31:00, 6.191, -4.204, -3.177
2020-04-20T03:32:00, 6.417, -4.217, -3.173
2020-04-20T03:33:00, 7.130, -4.033, -3.041
2020-04-20T03:34:00, 7.922, -3.898, -2.916
2020-04-20T03:35:00, 8.386, -3.571, -2.850
2020-04-20T03:36:00, 8.644, -3.320, -2.819
2020-04-20T03:37:00, 8.831, -3.438, -2.785
2020-04-20T03:38:00, 9.027, -3.465, -2.707
2020-04-20T03:39:00, 9.571, -3.500, -2.595
2020-04-20T03:40:00, 9.735, -3.526, -2.545
2020-04-20T03:41:00, 9.802, -3.406, -2.499
2020-04-20T03:42:00, 9.637, -3.531, -2.504
2020-04-20T03:43:00, 9.596, -3.556, -2.434
2020-04-20T03:44:00, 9.306, -3.832, -2.470
2020-04-20T03:45:00, 9.627, -3.816, -2.292
2020-04-20T03:46:00, 10.000, -3.552, -2.218
2020-04-20T03:47:00, 9.855, -3.559, -2.188
2020-04-20T03:48:00, 10.830, -3.002, -1.947
2020-04-20T03:49:00, 10.907, -2.880, -1.995
2020-04-20T03:50:00, 10.411, -2.997, -2.039
2020-04-20T03:51:00, 10.898, -2.559, -1.864
2020-04-20T03:52:00, 10.704, -2.699, -1.865
2020-04-20T03:53:00, 11.673, -0.806, -1.412
2020-04-20T03:54:00, 10.202, -1.023, -1.839
2020-04-20T03:55:00, 10.431, 0.483, -1.523
2020-04-20T03:56:00, 10.231, 0.852, -1.403
2020-04-20T03:57:00, 9.825, 0.961, -1.447
2020-04-20T03:58:00, 9.869, 1.613, -1.315
2020-04-20T03:59:00, 9.214, 1.778, -1.350
2020-04-20T04:00:00, 9.572, 2.050, -1.167
2020-04-20T04:01:00, 9.449, 1.920, -1.183
2020-04-20T04:02:00, 9.806, 1.735, -1.117
2020-04-20T04:03:00, 9.546, 1.569, -1.188
2020-04-20T04:04:00, 8.986, 1.205, -1.243
2020-04-20T04:05:00, 8.984, 0.641, -1.220
2020-04-20T04:06:00, 8.975, 0.351, -1.189
2020-04-20T04:07:00, 8.419, 0.544, -1.221
2020-04-20T04:08:00, 7.497, 1.273, -1.194
2020-04-20T04:09:00, 7.724, 2.959, -0.878
2020-04-20T04:10:00, 7.932, 3.912, -0.722
2020-04-20T04:11:00, 6.733, 4.190, -1.027
2020-04-20T04:12:00, 7.664, 6.198, -0.531
2020-04-20T04:13:00, 6.643, 5.579, -0.777
2020-04-20T04:14:00, 6.814, 5.944, -0.801
2020-04-20T04:15:00, 6.559, 6.222, -0.723
2020-04-20T04:16:00, 6.322, 6.081, -0.704
2020-04-20T04:17:00, 6.409, 6.188, -0.633
2020-04-20T04:18:00, 6.193, 6.077, -0.661
2020-04-20T04:19:00, 5.956, 5.607, -0.716
2020-04-20T04:20:00, 5.802, 5.687, -0.669
2020-04-20T04:21:00, 5.491, 5.101, -0.755
2020-04-20T04:22:00, 5.779, 4.342, -0.719
2020-04-20T04:23:00, 5.777, 4.089, -0.739
2020-04-20T04:24:00, 5.682, 3.617, -0.754
