Date_UTC,dbn_nez,dbe_nez,dbz_nez
2006-12-14T12:00:00, 36.671, -0.750, 37.036
2006-12-14T12:01:00, 35.552, -1.643, 36.030
2006-12-14T12:02:00, 27.478, -1.764, 34.024
2006-12-14T12:03:00, 22.273, -3.209, 33.018
2006-12-14T12:04:00, 18.947, -5.870, 31.013
2006-12-14T12:05:00, 14.737, -7.427, 30.007
2006-12-14T12:06:00, 10.747, -6.997, 28.001
2006-12-14T12:07:00, 1.567, -8.003, 26.995
2006-12-14T12:08:00, -0.323, -6.801, 26.990
2006-12-14T12:09:00, 2.643, -7.144, 26.984
2006-12-14T12:10:00, 5.832, -5.500, 27.978
2006-12-14T12:11:00, 2.063, -3.084, 28.973
2006-12-14T12:12:00, 0.170, -1.883, 28.967
2006-12-14T12:13:00, -2.493, 1.415, 28.962
2006-12-14T12:14:00, 2.572, 1.843, 29.956
2006-12-14T12:15:00, 0.680, 3.044, 30.951
2006-12-14T12:16:00, -0.328, 3.139, 30.945
2006-12-14T12:17:00, -1.335, 3.235, 29.936
2006-12-14T12:18:00, 1.853, 4.877, 30.931
2006-12-14T12:19:00, 8.244, 8.175, 32.926
2006-12-14T12:20:00, 2.489, 10.810, 33.922
2006-12-14T12:21:00, 12.195, 7.703, 33.917
2006-12-14T12:22:00, 7.987, 6.142, 32.912
2006-12-14T12:23:00, 11.840, 4.691, 32.908
2006-12-14T12:24:00, 19.669, 2.799, 33.903
2006-12-14T12:25:00, 19.769, 3.778, 34.899
2006-12-14T12:26:00, 24.948, 5.198, 36.895
2006-12-14T12:27:00, 24.275, 8.275, 39.891
2006-12-14T12:28:00, 20.290, 8.701, 39.887
2006-12-14T12:29:00, 19.177, 7.802, 40.884
2006-12-14T12:30:00, 25.462, 10.107, 42.880
2006-12-14T12:31:00, 29.761, 12.631, 45.877
2006-12-14T12:32:00, 29.642, 11.621, 46.874
2006-12-14T12:33:00, 28.530, 10.722, 46.870
2006-12-14T12:34:00, 32.498, 10.264, 46.867
2006-12-14T12:35:00, 35.031, 5.941, 45.864
2006-12-14T12:36:00, 23.207, -0.812, 41.860
2006-12-14T12:37:00, 22.097, -1.713, 37.857
2006-12-14T12:38:00, 35.341, -0.183, 36.854
2006-12-14T12:39:00, 44.500, 0.794, 39.851
2006-12-14T12:40:00, 46.481, 9.611, 44.848
2006-12-14T12:41:00, 15.003, -11.060, 31.845
2006-12-14T12:42:00, 11.246, -17.703, 19.842
2006-12-14T12:43:00, 32.993, -3.032, 29.840
2006-12-14T12:44:00, 34.755, 3.796, 36.837
2006-12-14T12:45:00, 32.984, -3.067, 34.835
2006-12-14T12:46:00, 12.108, -9.824, 29.833
2006-12-14T12:47:00, 3.269, -7.855, 25.831
2006-12-14T12:48:00, 12.762, -3.896, 28.829
2006-12-14T12:49:00, 17.950, -2.478, 32.828
2006-12-14T12:50:00, 19.050, -1.612, 34.827
2006-12-14T12:51:00, 16.287, 0.689, 35.826
2006-12-14T12:52:00, 14.299, 0.892, 35.825
2006-12-14T12:53:00, 18.383, 1.428, 35.825
2006-12-14T12:54:00, 5.351, 1.852, 32.825
2006-12-14T12:55:00, 0.160, 0.399, 29.825
2006-12-14T12:56:00, 9.216, 0.384, 30.826
2006-12-14T12:57:00, 23.461, 1.805, 33.827
2006-12-14T12:58:00, 22.248, -0.086, 32.829
2006-12-14T12:59:00, 11.096, -0.876, 29.830
2006-12-14T13:00:00, -3.036, -1.334, 23.833
2006-12-14T13:01:00, -4.247, -3.226, 20.835
2006-12-14T13:02:00, 9.227, 0.293, 24.838
2006-12-14T13:03:00, 10.446, 2.156, 27.841
2006-12-14T13:04:00, 11.003, -1.943, 24.844
2006-12-14T13:05:00, 13.435, 1.797, 25.847
2006-12-14T13:06:00, 17.306, 0.347, 25.850
2006-12-14T13:07:00, 8.036, -1.655, 23.854
2006-12-14T13:08:00, 6.718, -4.540, 20.858
2006-12-14T13:09:00, 12.798, -4.222, 21.862
2006-12-14T13:10:00, 9.934, -2.911, 21.866
2006-12-14T13:11:00, 12.702, -5.243, 19.871
2006-12-14T13:12:00, 16.133, -1.612, 20.875
2006-12-14T13:13:00, 22.657, 2.681, 23.881
2006-12-14T13:14:00, 23.658, 11.613, 27.886
2006-12-14T13:15:00, -1.841, 8.395, 24.892
2006-12-14T13:16:00, -3.597, 1.535, 16.898
2006-12-14T13:17:00, 20.928, -4.217, 21.905
2006-12-14T13:18:00, 26.902, -4.891, 24.912
2006-12-14T13:19:00, 10.016, -3.027, 17.919
2006-12-14T13:20:00, -4.881, -1.384, 14.926
2006-12-14T13:21:00, 24.724, 2.362, 17.934
2006-12-14T13:22:00, 31.360, 7.652, 26.943
2006-12-14T13:23:00, 16.463, 9.296, 24.952
2006-12-14T13:24:00, 12.612, 1.666, 20.961
2006-12-14T13:25:00, 20.685, 1.767, 20.971
2006-12-14T13:26:00, 37.483, -1.111, 22.977
2006-12-14T13:27:00, 34.624, 0.204, 24.988
2006-12-14T13:28:00, 19.287, -2.124, 19.999
2006-12-14T13:29:00, 23.938, -5.666, 17.011
2006-12-14T13:30:00, 48.245, -4.346, 22.024
2006-12-14T13:31:00, 47.487, -2.256, 24.037
2006-12-14T13:32:00, 33.585, -0.718, 21.051
2006-12-14T13:33:00, 15.710, 1.260, 18.065
2006-12-14T13:34:00, 27.763, 0.923, 21.079
2006-12-14T13:35:00, 44.784, 0.035, 26.094
2006-12-14T13:36:00, 48.665, -1.405, 28.110
2006-12-14T13:37:00, 47.798, -0.307, 29.125
2006-12-14T13:38:00, 46.821, -0.202, 29.142
2006-12-14T13:39:00, 45.954, 0.896, 31.159
2006-12-14T13:40:00, 47.186, 2.769, 33.176
2006-12-14T13:41:00, 46.872, -0.216, 33.193
2006-12-14T13:42:00, 51.749, -1.766, 34.211
2006-12-14T13:43:00, 52.539, -3.868, 35.230
2006-12-14T13:44:00, 52.337, -5.859, 34.249
2006-12-14T13:45:00, 49.927, -9.617, 33.268
2006-12-14T13:46:00, 48.952, -9.510, 33.288
2006-12-14T13:47:00, 47.204, -7.304, 35.308
2006-12-14T13:48:00, 45.455, -5.098, 38.328
2006-12-14T13:49:00, 50.223, -7.640, 38.349
2006-12-14T13:50:00, 41.628, -12.722, 36.369
2006-12-14T13:51:00, 32.370, -14.712, 32.390
2006-12-14T13:52:00, 33.493, -13.830, 32.411
2006-12-14T13:53:00, 36.603, -13.167, 35.433
2006-12-14T13:54:00, 35.627, -13.057, 37.455
2006-12-14T13:55:00, 42.051, -9.744, 40.476
2006-12-14T13:56:00, 60.399, -7.754, 46.498
2006-12-14T13:57:00, 61.079, -1.790, 51.521
2006-12-14T13:58:00, 61.317, 0.198, 53.543
2006-12-14T13:59:00, 68.954, -3.664, 54.566
2006-12-14T14:00:00, 53.289, -8.965, 52.588
2006-12-14T14:01:00, 42.484, -6.755, 50.613
2006-12-14T14:02:00, 59.728, -5.647, 54.636
2006-12-14T14:03:00, 66.260, -10.392, 56.660
2006-12-14T14:04:00, 50.264, -9.617, 54.685
2006-12-14T14:05:00, 53.372, -8.951, 54.710
2006-12-14T14:06:00, 59.574, -7.621, 54.735
2006-12-14T14:07:00, 58.375, -9.494, 56.761
2006-12-14T14:08:00, 54.969, -13.134, 52.787
2006-12-14T14:09:00, 72.434, -10.035, 55.814
2006-12-14T14:10:00, 80.732, -7.931, 61.840
2006-12-14T14:11:00, 91.018, -6.046, 64.867
2006-12-14T14:12:00, 107.157, -5.818, 66.894
2006-12-14T14:13:00, 92.486, -2.169, 70.922
2006-12-14T14:14:00, 102.772, -0.284, 73.949
2006-12-14T14:15:00, 34.764, -14.861, 72.977
2006-12-14T14:16:00, -5.966, -19.385, 69.007
2006-12-14T14:17:00, 142.252, -61.989, 47.035
2006-12-14T14:18:00, 117.636, -11.958, 69.063
2006-12-14T14:19:00, 178.385, 27.589, 85.091
2006-12-14T14:20:00, 214.625, 0.435, 84.119
2006-12-14T14:21:00, 134.026, -0.668, 66.147
2006-12-14T14:22:00, 134.150, 18.444, 52.175
2006-12-14T14:23:00, 180.767, 12.273, 63.203
2006-12-14T14:24:00, 171.285, 17.361, 74.231
2006-12-14T14:25:00, 131.214, 9.746, 57.259
2006-12-14T14:26:00, 155.966, -3.051, 50.286
2006-12-14T14:27:00, 142.619, 3.471, 57.314
2006-12-14T14:28:00, 114.697, -21.589, 45.341
2006-12-14T14:29:00, 127.739, -3.909, 56.368
2006-12-14T14:30:00, 129.963, -11.188, 55.395
2006-12-14T14:31:00, 139.918, -21.336, 53.423
2006-12-14T14:32:00, 169.196, -29.605, 59.450
2006-12-14T14:33:00, 104.055, -27.392, 51.477
2006-12-14T14:34:00, 89.051, -35.775, 36.505
2006-12-14T14:35:00, 176.857, -24.380, 49.532
2006-12-14T14:36:00, 161.409, -9.572, 58.560
2006-12-14T14:37:00, 187.265, -21.483, 64.584
2006-12-14T14:38:00, 145.424, -17.831, 67.612
2006-12-14T14:39:00, 148.309, -10.088, 65.639
2006-12-14T14:40:00, 100.616, -22.890, 54.667
2006-12-14T14:41:00, 137.955, -21.989, 48.695
2006-12-14T14:42:00, 85.953, -10.165, 56.723
2006-12-14T14:43:00, 126.385, -17.656, 58.751
2006-12-14T14:44:00, 168.029, -5.160, 61.779
2006-12-14T14:45:00, 164.288, -11.772, 51.806
2006-12-14T14:46:00, 220.621, -21.028, 32.835
2006-12-14T14:47:00, 223.396, -41.444, 1.862
2006-12-14T14:48:00, 182.879, -25.863, -12.110
2006-12-14T14:49:00, 192.609, -37.995, -20.083
2006-12-14T14:50:00, 205.322, -50.459, -31.057
2006-12-14T14:51:00, 221.452, -14.001, -48.030
2006-12-14T14:52:00, 243.108, -18.402, -101.005
2006-12-14T14:53:00, 194.307, -4.920, -150.979
2006-12-14T14:54:00, 201.276, -32.845, -194.954
2006-12-14T14:55:00, 206.479, -58.561, -191.930
2006-12-14T14:56:00, 201.189, -60.978, -197.906
2006-12-14T14:57:00, 233.776, -75.649, -198.882
2006-12-14T14:58:00, 258.190, -64.259, -222.859
2006-12-14T14:59:00, 254.556, -78.933, -247.836
2006-12-14T15:00:00, 272.678, -106.085, -268.814
2006-12-14T15:01:00, 258.443, -134.675, -268.791
2006-12-14T15:02:00, 250.169, -136.762, -261.770
2006-12-14T15:03:00, 224.332, -106.714, -245.749
2006-12-14T15:04:00, 259.348, -126.686, -268.728
2006-12-14T15:05:00, 219.158, -126.236, -264.708
2006-12-14T15:06:00, 265.545, -107.224, -260.688
2006-12-14T15:07:00, 361.842, -55.519, -281.668
2006-12-14T15:08:00, 411.317, -8.679, -250.648
2006-12-14T15:09:00, 494.253, 40.483, -199.629
2006-12-14T15:10:00, 547.375, 56.735, -245.610
2006-12-14T15:11:00, 473.064, 21.734, -261.591
2006-12-14T15:12:00, 511.722, 7.394, -267.573
2006-12-14T15:13:00, 528.624, -12.579, -321.555
2006-12-14T15:14:00, 453.432, -73.643, -348.537
2006-12-14T15:15:00, 436.322, -100.908, -353.520
2006-12-14T15:16:00, 425.950, -139.989, -372.502
2006-12-14T15:17:00, 380.127, -163.062, -347.485
2006-12-14T15:18:00, 334.076, -115.679, -268.468
2006-12-14T15:19:00, 249.370, -26.778, -203.452
2006-12-14T15:20:00, 253.125, 7.025, -155.437
2006-12-14T15:21:00, 233.251, 0.188, -125.421
2006-12-14T15:22:00, 196.919, 17.313, -108.406
2006-12-14T15:23:00, 258.987, -3.651, -86.392
2006-12-14T15:24:00, 209.735, 5.852, -79.378
2006-12-14T15:25:00, 227.295, 9.951, -76.364
2006-12-14T15:26:00, 236.794, 4.882, -81.350
2006-12-14T15:27:00, 244.750, -32.210, -83.337
2006-12-14T15:28:00, 220.896, -20.497, -73.324
2006-12-14T15:29:00, 237.240, -9.221, -64.312
2006-12-14T15:30:00, 236.026, -20.143, -66.300
2006-12-14T15:31:00, 243.757, -23.004, -65.288
2006-12-14T15:32:00, 222.221, -17.585, -65.277
2006-12-14T15:33:00, 228.077, -37.342, -66.267
2006-12-14T15:34:00, 242.655, -51.025, -68.257
2006-12-14T15:35:00, 261.318, -55.100, -71.247
2006-12-14T15:36:00, 263.970, -76.514, -91.238
2006-12-14T15:37:00, 293.347, -92.846, -124.229
2006-12-14T15:38:00, 339.065, -97.912, -144.221
2006-12-14T15:39:00, 284.846, -133.136, -173.213
2006-12-14T15:40:00, 245.645, -178.077, -181.206
2006-12-14T15:41:00, 260.221, -173.650, -148.198
2006-12-14T15:42:00, 303.837, -152.324, -113.192
2006-12-14T15:43:00, 388.535, -141.596, -122.185
2006-12-14T15:44:00, 465.172, -140.034, -175.179
2006-12-14T15:45:00, 401.014, -201.322, -263.173
2006-12-14T15:46:00, 381.123, -117.609, -237.167
