Sym-H and AL  obtained from Kyoto WDC for SWPC Event 5.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2010 04 04 19 00 00 000  -14.00  -543.00
2010 04 04 19 01 00 000  -14.00  -542.00
2010 04 04 19 02 00 000  -14.00  -554.00
2010 04 04 19 03 00 000  -14.00  -552.00
2010 04 04 19 04 00 000  -14.00  -533.00
2010 04 04 19 05 00 000  -15.00  -498.00
2010 04 04 19 06 00 000  -15.00  -460.00
2010 04 04 19 07 00 000  -15.00  -425.00
2010 04 04 19 08 00 000  -15.00  -385.00
2010 04 04 19 09 00 000  -15.00  -358.00
2010 04 04 19 10 00 000  -15.00  -352.00
2010 04 04 19 11 00 000  -16.00  -341.00
2010 04 04 19 12 00 000  -16.00  -340.00
2010 04 04 19 13 00 000  -16.00  -329.00
2010 04 04 19 14 00 000  -16.00  -312.00
2010 04 04 19 15 00 000  -16.00  -288.00
2010 04 04 19 16 00 000  -16.00  -289.00
2010 04 04 19 17 00 000  -16.00  -298.00
2010 04 04 19 18 00 000  -16.00  -299.00
2010 04 04 19 19 00 000  -18.00  -300.00
2010 04 04 19 20 00 000  -18.00  -309.00
2010 04 04 19 21 00 000  -18.00  -321.00
2010 04 04 19 22 00 000  -18.00  -349.00
2010 04 04 19 23 00 000  -19.00  -357.00
2010 04 04 19 24 00 000  -18.00  -366.00
2010 04 04 19 25 00 000  -18.00  -379.00
2010 04 04 19 26 00 000  -17.00  -393.00
2010 04 04 19 27 00 000  -16.00  -426.00
2010 04 04 19 28 00 000  -17.00  -460.00
2010 04 04 19 29 00 000  -17.00  -508.00
2010 04 04 19 30 00 000  -16.00  -533.00
2010 04 04 19 31 00 000  -16.00  -539.00
2010 04 04 19 32 00 000  -16.00  -533.00
2010 04 04 19 33 00 000  -15.00  -510.00
2010 04 04 19 34 00 000  -16.00  -479.00
2010 04 04 19 35 00 000  -16.00  -464.00
2010 04 04 19 36 00 000  -17.00  -451.00
2010 04 04 19 37 00 000  -17.00  -426.00
2010 04 04 19 38 00 000  -17.00  -418.00
2010 04 04 19 39 00 000  -18.00  -421.00
2010 04 04 19 40 00 000  -17.00  -424.00
2010 04 04 19 41 00 000  -17.00  -422.00
2010 04 04 19 42 00 000  -17.00  -418.00
2010 04 04 19 43 00 000  -17.00  -401.00
2010 04 04 19 44 00 000  -18.00  -388.00
2010 04 04 19 45 00 000  -18.00  -369.00
2010 04 04 19 46 00 000  -18.00  -362.00
2010 04 04 19 47 00 000  -19.00  -357.00
2010 04 04 19 48 00 000  -20.00  -342.00
2010 04 04 19 49 00 000  -21.00  -337.00
2010 04 04 19 50 00 000  -22.00  -334.00
2010 04 04 19 51 00 000  -22.00  -331.00
2010 04 04 19 52 00 000  -23.00  -329.00
2010 04 04 19 53 00 000  -23.00  -326.00
2010 04 04 19 54 00 000  -24.00  -321.00
2010 04 04 19 55 00 000  -23.00  -318.00
2010 04 04 19 56 00 000  -23.00  -304.00
2010 04 04 19 57 00 000  -24.00  -284.00
2010 04 04 19 58 00 000  -24.00  -259.00
2010 04 04 19 59 00 000  -24.00  -252.00
2010 04 04 20 00 00 000  -23.00  -245.00
2010 04 04 20 01 00 000  -23.00  -241.00
2010 04 04 20 02 00 000  -23.00  -244.00
2010 04 04 20 03 00 000  -23.00  -243.00
2010 04 04 20 04 00 000  -23.00  -239.00
2010 04 04 20 05 00 000  -22.00  -250.00
2010 04 04 20 06 00 000  -22.00  -271.00
2010 04 04 20 07 00 000  -24.00  -280.00
2010 04 04 20 08 00 000  -25.00  -288.00
2010 04 04 20 09 00 000  -24.00  -283.00
2010 04 04 20 10 00 000  -23.00  -269.00
2010 04 04 20 11 00 000  -22.00  -257.00
2010 04 04 20 12 00 000  -22.00  -243.00
2010 04 04 20 13 00 000  -21.00  -238.00
2010 04 04 20 14 00 000  -22.00  -234.00
2010 04 04 20 15 00 000  -21.00  -214.00
2010 04 04 20 16 00 000  -21.00  -212.00
2010 04 04 20 17 00 000  -20.00  -239.00
2010 04 04 20 18 00 000  -20.00  -325.00
2010 04 04 20 19 00 000  -20.00  -291.00
2010 04 04 20 20 00 000  -21.00  -327.00
2010 04 04 20 21 00 000  -22.00  -383.00
2010 04 04 20 22 00 000  -22.00  -407.00
2010 04 04 20 23 00 000  -23.00  -358.00
2010 04 04 20 24 00 000  -22.00  -368.00
2010 04 04 20 25 00 000  -22.00  -332.00
2010 04 04 20 26 00 000  -22.00  -289.00
2010 04 04 20 27 00 000  -21.00  -289.00
2010 04 04 20 28 00 000  -20.00  -305.00
2010 04 04 20 29 00 000  -20.00  -317.00
2010 04 04 20 30 00 000  -21.00  -296.00
2010 04 04 20 31 00 000  -20.00  -277.00
2010 04 04 20 32 00 000  -20.00  -273.00
2010 04 04 20 33 00 000  -19.00  -270.00
2010 04 04 20 34 00 000  -19.00  -273.00
2010 04 04 20 35 00 000  -18.00  -251.00
2010 04 04 20 36 00 000  -18.00  -238.00
2010 04 04 20 37 00 000  -18.00  -231.00
2010 04 04 20 38 00 000  -17.00  -235.00
2010 04 04 20 39 00 000  -17.00  -238.00
2010 04 04 20 40 00 000  -18.00  -226.00
2010 04 04 20 41 00 000  -18.00  -211.00
2010 04 04 20 42 00 000  -18.00  -198.00
2010 04 04 20 43 00 000  -18.00  -173.00
2010 04 04 20 44 00 000  -18.00  -171.00
2010 04 04 20 45 00 000  -18.00  -171.00
2010 04 04 20 46 00 000  -18.00  -172.00
2010 04 04 20 47 00 000  -17.00  -177.00
2010 04 04 20 48 00 000  -18.00  -175.00
2010 04 04 20 49 00 000  -18.00  -164.00
2010 04 04 20 50 00 000  -18.00  -148.00
2010 04 04 20 51 00 000  -18.00  -137.00
2010 04 04 20 52 00 000  -17.00  -131.00
2010 04 04 20 53 00 000  -16.00  -121.00
2010 04 04 20 54 00 000  -15.00  -101.00
2010 04 04 20 55 00 000  -14.00  -102.00
2010 04 04 20 56 00 000  -14.00  -107.00
2010 04 04 20 57 00 000  -14.00  -104.00
2010 04 04 20 58 00 000  -14.00   -94.00
2010 04 04 20 59 00 000  -14.00   -85.00
2010 04 04 21 00 00 000  -13.00   -78.00
2010 04 04 21 01 00 000  -13.00   -74.00
2010 04 04 21 02 00 000  -13.00   -77.00
2010 04 04 21 03 00 000  -13.00   -81.00
2010 04 04 21 04 00 000  -13.00   -71.00
2010 04 04 21 05 00 000  -13.00   -66.00
2010 04 04 21 06 00 000  -13.00   -61.00
