Date_UTC,dbn_nez,dbe_nez,dbz_nez
2011-08-05T09:00:00, 2.092, 4.607, 2.936
2011-08-05T09:01:00, 2.084, 4.591, 2.937
2011-08-05T09:02:00, 2.077, 4.574, 2.939
2011-08-05T09:03:00, 3.033, 4.284, 2.940
2011-08-05T09:04:00, 3.026, 4.267, 2.941
2011-08-05T09:05:00, 3.020, 4.251, 2.942
2011-08-05T09:06:00, 3.013, 4.235, 2.944
2011-08-05T09:07:00, 3.007, 4.218, 2.945
2011-08-05T09:08:00, 3.001, 4.201, 2.946
2011-08-05T09:09:00, 2.996, 4.185, 2.951
2011-08-05T09:10:00, 2.990, 4.168, 2.952
2011-08-05T09:11:00, 2.985, 4.152, 1.953
2011-08-05T09:12:00, 2.978, 4.136, 2.954
2011-08-05T09:13:00, 2.974, 4.120, 1.954
2011-08-05T09:14:00, 2.007, 4.377, 1.955
2011-08-05T09:15:00, 2.003, 4.361, 1.956
2011-08-05T09:16:00, 2.274, 5.306, 1.957
2011-08-05T09:17:00, 1.310, 5.563, 1.957
2011-08-05T09:18:00, 1.031, 4.586, 1.958
2011-08-05T09:19:00, 1.029, 4.569, 1.958
2011-08-05T09:20:00, 1.026, 4.553, 1.958
2011-08-05T09:21:00, 1.024, 4.537, 1.959
2011-08-05T09:22:00, -0.214, 3.833, 1.963
2011-08-05T09:23:00, -0.215, 3.817, 1.963
2011-08-05T09:24:00, -1.177, 4.074, 1.963
2011-08-05T09:25:00, -1.178, 4.059, 1.963
2011-08-05T09:26:00, -1.179, 4.042, 1.962
2011-08-05T09:27:00, -2.142, 4.300, 1.962
2011-08-05T09:28:00, -2.142, 4.285, 1.962
2011-08-05T09:29:00, -2.142, 4.269, 1.961
2011-08-05T09:30:00, -2.829, 5.487, 1.960
2011-08-05T09:31:00, -2.828, 5.471, 1.960
2011-08-05T09:32:00, -2.826, 5.455, 1.959
2011-08-05T09:33:00, -3.512, 6.675, 1.958
2011-08-05T09:34:00, -3.509, 6.659, 1.957
2011-08-05T09:35:00, -3.507, 6.643, 1.956
2011-08-05T09:36:00, -3.503, 6.627, 1.959
2011-08-05T09:37:00, -3.500, 6.611, 1.958
2011-08-05T09:38:00, -3.496, 6.595, 1.957
2011-08-05T09:39:00, -3.492, 6.579, 1.955
2011-08-05T09:40:00, -3.212, 7.525, 1.954
2011-08-05T09:41:00, -3.207, 7.509, 2.952
2011-08-05T09:42:00, -3.477, 6.533, 2.951
2011-08-05T09:43:00, -2.509, 6.243, 2.949
2011-08-05T09:44:00, -2.503, 6.227, 2.947
2011-08-05T09:45:00, -2.497, 6.211, 2.946
2011-08-05T09:46:00, -1.530, 5.922, 1.944
2011-08-05T09:47:00, -1.524, 5.906, 1.942
2011-08-05T09:48:00, -1.791, 4.928, 1.940
2011-08-05T09:49:00, -1.784, 4.913, 1.937
2011-08-05T09:50:00, -2.738, 5.171, 1.939
2011-08-05T09:51:00, -1.771, 4.881, 1.937
2011-08-05T09:52:00, -1.490, 5.827, 1.934
2011-08-05T09:53:00, -1.483, 5.811, 1.932
2011-08-05T09:54:00, -1.475, 5.795, 1.929
2011-08-05T09:55:00, -1.468, 5.780, 1.926
2011-08-05T09:56:00, -1.460, 5.764, 2.923
2011-08-05T09:57:00, -1.453, 5.748, 2.920
2011-08-05T09:58:00, -0.484, 5.458, 2.917
2011-08-05T09:59:00, -0.477, 5.443, 2.914
2011-08-05T10:00:00, -0.469, 5.426, 2.911
2011-08-05T10:01:00, -0.461, 5.410, 2.907
2011-08-05T10:02:00, -0.180, 6.356, 2.904
2011-08-05T10:03:00, -0.171, 6.340, 2.904
2011-08-05T10:04:00, -0.162, 6.325, 2.900
2011-08-05T10:05:00, 0.808, 6.036, 2.897
2011-08-05T10:06:00, 0.818, 6.020, 2.893
2011-08-05T10:07:00, 0.554, 5.043, 2.889
2011-08-05T10:08:00, 0.564, 5.028, 2.885
2011-08-05T10:09:00, -0.388, 5.286, 2.881
2011-08-05T10:10:00, -0.378, 5.271, 2.876
2011-08-05T10:11:00, -0.368, 5.255, 2.872
2011-08-05T10:12:00, -0.631, 4.279, 2.868
2011-08-05T10:13:00, 0.341, 3.990, 2.863
2011-08-05T10:14:00, 0.352, 3.974, 2.858
2011-08-05T10:15:00, 0.636, 4.921, 2.854
2011-08-05T10:16:00, 0.373, 3.943, 2.849
2011-08-05T10:17:00, 0.657, 4.889, 2.848
2011-08-05T10:18:00, 0.668, 4.874, 2.843
2011-08-05T10:19:00, 0.678, 4.858, 2.837
2011-08-05T10:20:00, 1.652, 4.568, 2.832
2011-08-05T10:21:00, 1.662, 4.551, 2.827
2011-08-05T10:22:00, 1.673, 4.534, 2.821
2011-08-05T10:23:00, 1.683, 4.518, 2.816
2011-08-05T10:24:00, 1.693, 4.501, 2.810
2011-08-05T10:25:00, 1.703, 4.484, 2.804
2011-08-05T10:26:00, 1.713, 4.467, 2.798
2011-08-05T10:27:00, 1.723, 4.450, 2.792
2011-08-05T10:28:00, 1.732, 4.432, 2.786
2011-08-05T10:29:00, 2.702, 4.140, 2.780
2011-08-05T10:30:00, 2.712, 4.122, 2.777
2011-08-05T10:31:00, 2.720, 4.103, 2.770
2011-08-05T10:32:00, 2.729, 4.085, 2.764
2011-08-05T10:33:00, 2.738, 4.067, 2.757
2011-08-05T10:34:00, 2.747, 4.049, 2.750
2011-08-05T10:35:00, 2.757, 4.031, 2.743
2011-08-05T10:36:00, 2.490, 3.052, 2.736
2011-08-05T10:37:00, 2.500, 3.033, 2.729
2011-08-05T10:38:00, 2.509, 3.015, 2.721
2011-08-05T10:39:00, 2.518, 2.998, 2.714
