Date_UTC,dbn_nez,dbe_nez,dbz_nez
2011-08-05T09:00:00, -10.480, -5.983, -15.409
2011-08-05T09:01:00, -11.364, -5.760, -16.350
2011-08-05T09:02:00, -11.248, -5.563, -16.290
2011-08-05T09:03:00, -12.130, -5.333, -16.231
2011-08-05T09:04:00, -11.011, -5.159, -17.172
2011-08-05T09:05:00, -9.890, -4.984, -17.113
2011-08-05T09:06:00, -9.799, -5.775, -17.054
2011-08-05T09:07:00, -9.674, -5.558, -16.993
2011-08-05T09:08:00, -8.553, -5.374, -17.934
2011-08-05T09:09:00, -8.462, -6.158, -17.875
2011-08-05T09:10:00, -8.340, -5.940, -17.816
2011-08-05T09:11:00, -8.247, -6.720, -17.757
2011-08-05T09:12:00, -8.125, -6.499, -17.703
2011-08-05T09:13:00, -8.002, -6.276, -17.644
2011-08-05T09:14:00, -8.880, -6.021, -18.586
2011-08-05T09:15:00, -9.755, -5.759, -18.526
2011-08-05T09:16:00, -9.663, -6.531, -18.468
2011-08-05T09:17:00, -9.542, -6.302, -19.410
2011-08-05T09:18:00, -10.421, -6.043, -19.352
2011-08-05T09:19:00, -8.301, -5.873, -19.294
2011-08-05T09:20:00, -9.183, -5.612, -19.237
2011-08-05T09:21:00, -8.065, -5.410, -20.179
2011-08-05T09:22:00, -8.974, -6.141, -20.120
2011-08-05T09:23:00, -9.889, -6.879, -20.063
2011-08-05T09:24:00, -9.775, -6.646, -20.006
2011-08-05T09:25:00, -9.691, -7.414, -19.950
2011-08-05T09:26:00, -10.578, -7.152, -20.893
2011-08-05T09:27:00, -11.468, -6.890, -20.837
2011-08-05T09:28:00, -11.357, -6.658, -20.781
2011-08-05T09:29:00, -11.251, -6.428, -20.725
2011-08-05T09:30:00, -12.144, -6.161, -21.667
2011-08-05T09:31:00, -11.040, -5.960, -21.612
2011-08-05T09:32:00, -11.967, -6.697, -21.556
2011-08-05T09:33:00, -11.864, -6.464, -21.501
2011-08-05T09:34:00, -12.762, -6.199, -21.445
2011-08-05T09:35:00, -13.659, -5.933, -22.389
2011-08-05T09:36:00, -13.558, -5.696, -22.334
2011-08-05T09:37:00, -14.456, -5.420, -22.277
2011-08-05T09:38:00, -14.356, -5.181, -22.221
2011-08-05T09:39:00, -15.258, -4.911, -22.166
2011-08-05T09:40:00, -14.161, -4.701, -22.111
2011-08-05T09:41:00, -14.095, -5.459, -22.056
2011-08-05T09:42:00, -14.000, -5.217, -23.001
2011-08-05T09:43:00, -13.905, -4.975, -22.947
2011-08-05T09:44:00, -13.841, -5.733, -22.892
2011-08-05T09:45:00, -12.746, -5.513, -22.837
2011-08-05T09:46:00, -13.685, -6.241, -22.783
2011-08-05T09:47:00, -13.595, -5.998, -22.729
2011-08-05T09:48:00, -12.507, -5.786, -22.676
2011-08-05T09:49:00, -13.420, -5.515, -22.623
2011-08-05T09:50:00, -13.334, -5.274, -22.571
2011-08-05T09:51:00, -13.278, -6.032, -22.519
2011-08-05T09:52:00, -13.195, -5.785, -22.465
2011-08-05T09:53:00, -13.114, -5.546, -22.414
2011-08-05T09:54:00, -13.035, -5.308, -22.363
2011-08-05T09:55:00, -12.989, -6.070, -22.313
2011-08-05T09:56:00, -13.914, -5.804, -22.263
2011-08-05T09:57:00, -13.840, -5.569, -22.214
2011-08-05T09:58:00, -13.769, -5.335, -22.165
2011-08-05T09:59:00, -13.728, -6.102, -22.117
2011-08-05T10:00:00, -13.659, -5.865, -22.068
2011-08-05T10:01:00, -13.593, -5.635, -22.021
2011-08-05T10:02:00, -14.526, -5.375, -21.974
2011-08-05T10:03:00, -13.465, -5.176, -21.927
2011-08-05T10:04:00, -13.403, -4.947, -21.881
2011-08-05T10:05:00, -12.343, -4.748, -21.834
2011-08-05T10:06:00, -12.313, -5.519, -21.788
2011-08-05T10:07:00, -12.254, -5.284, -21.742
2011-08-05T10:08:00, -12.198, -5.057, -21.696
2011-08-05T10:09:00, -12.173, -5.829, -21.651
2011-08-05T10:10:00, -11.120, -5.632, -21.607
2011-08-05T10:11:00, -11.068, -5.407, -21.563
2011-08-05T10:12:00, -12.018, -5.151, -21.519
2011-08-05T10:13:00, -11.970, -4.926, -21.475
2011-08-05T10:14:00, -10.953, -5.732, -21.432
2011-08-05T10:15:00, -11.906, -5.472, -21.389
2011-08-05T10:16:00, -11.862, -5.249, -21.347
2011-08-05T10:17:00, -11.820, -5.027, -21.305
2011-08-05T10:18:00, -11.780, -4.806, -21.265
2011-08-05T10:19:00, -11.742, -4.586, -21.224
2011-08-05T10:20:00, -11.734, -5.366, -21.184
2011-08-05T10:21:00, -11.699, -5.147, -21.145
2011-08-05T10:22:00, -11.664, -4.923, -21.110
2011-08-05T10:23:00, -10.633, -4.736, -21.072
2011-08-05T10:24:00, -10.603, -4.520, -21.034
2011-08-05T10:25:00, -10.604, -5.305, -20.998
2011-08-05T10:26:00, -10.578, -5.092, -20.962
2011-08-05T10:27:00, -9.553, -4.909, -20.927
2011-08-05T10:28:00, -9.531, -4.698, -20.892
2011-08-05T10:29:00, -9.542, -5.487, -20.858
2011-08-05T10:30:00, -9.522, -5.272, -20.825
2011-08-05T10:31:00, -9.506, -5.064, -20.792
2011-08-05T10:32:00, -9.492, -4.857, -20.760
2011-08-05T10:33:00, -9.510, -5.650, -20.729
2011-08-05T10:34:00, -9.501, -5.445, -20.698
2011-08-05T10:35:00, -8.495, -5.270, -20.668
2011-08-05T10:36:00, -8.491, -5.067, -20.638
2011-08-05T10:37:00, -8.516, -5.858, -20.608
2011-08-05T10:38:00, -8.516, -5.656, -20.579
2011-08-05T10:39:00, -8.518, -5.455, -19.550
2011-08-05T10:40:00, -8.551, -6.255, -19.523
2011-08-05T10:41:00, -8.556, -6.055, -19.496
2011-08-05T10:42:00, -9.563, -5.827, -19.469
2011-08-05T10:43:00, -9.572, -5.630, -19.443
2011-08-05T10:44:00, -9.613, -6.433, -19.418
2011-08-05T10:45:00, -9.625, -6.232, -19.393
2011-08-05T10:46:00, -9.637, -6.037, -19.369
2011-08-05T10:47:00, -9.651, -5.844, -19.346
2011-08-05T10:48:00, -9.695, -6.651, -19.323
2011-08-05T10:49:00, -9.710, -6.459, -19.301
2011-08-05T10:50:00, -9.726, -6.268, -19.280
2011-08-05T10:51:00, -9.743, -6.078, -19.260
2011-08-05T10:52:00, -9.762, -5.883, -18.240
2011-08-05T10:53:00, -9.780, -5.695, -18.221
2011-08-05T10:54:00, -9.828, -6.508, -18.203
2011-08-05T10:55:00, -9.846, -6.322, -18.186
2011-08-05T10:56:00, -9.865, -6.137, -18.170
2011-08-05T10:57:00, -9.884, -5.952, -18.154
2011-08-05T10:58:00, -9.904, -5.769, -18.139
