Date_UTC,dbn_nez,dbe_nez,dbz_nez
2016-10-13T00:00:00, 25.175, -5.635, -0.961
2016-10-13T00:01:00, 25.407, -5.536, -1.026
2016-10-13T00:02:00, 25.519, -5.371, -1.108
2016-10-13T00:03:00, 26.052, -5.340, -1.106
2016-10-13T00:04:00, 27.065, -5.379, -1.054
2016-10-13T00:05:00, 26.820, -4.877, -1.189
2016-10-13T00:06:00, 26.227, -4.579, -1.368
2016-10-13T00:07:00, 25.671, -4.482, -1.495
2016-10-13T00:08:00, 25.813, -4.655, -1.535
2016-10-13T00:09:00, 26.648, -4.895, -1.451
2016-10-13T00:10:00, 26.871, -4.598, -1.507
2016-10-13T00:11:00, 27.402, -4.637, -1.504
2016-10-13T00:12:00, 26.897, -4.406, -1.674
2016-10-13T00:13:00, 26.252, -4.311, -1.839
2016-10-13T00:14:00, 26.105, -4.620, -1.926
2016-10-13T00:15:00, 26.658, -4.997, -1.912
2016-10-13T00:16:00, 27.342, -5.306, -1.870
2016-10-13T00:17:00, 28.037, -5.414, -1.836
2016-10-13T00:18:00, 28.322, -4.983, -1.821
2016-10-13T00:19:00, 27.224, -4.619, -2.131
2016-10-13T00:20:00, 26.658, -4.995, -2.296
2016-10-13T00:21:00, 27.050, -5.374, -2.184
2016-10-13T00:22:00, 27.903, -5.415, -1.979
2016-10-13T00:23:00, 28.828, -5.659, -1.867
2016-10-13T00:24:00, 28.298, -5.632, -2.044
2016-10-13T00:25:00, 27.441, -5.808, -2.191
2016-10-13T00:26:00, 27.363, -6.589, -2.251
2016-10-13T00:27:00, 27.333, -6.967, -2.226
2016-10-13T00:28:00, 27.327, -6.874, -2.205
2016-10-13T00:29:00, 27.237, -6.849, -2.216
2016-10-13T00:30:00, 26.820, -7.025, -2.289
2016-10-13T00:31:00, 26.279, -7.000, -2.359
2016-10-13T00:32:00, 25.209, -6.839, -2.519
2016-10-13T00:33:00, 24.486, -7.084, -2.604
2016-10-13T00:34:00, 24.635, -7.260, -2.494
2016-10-13T00:35:00, 24.297, -6.831, -2.525
2016-10-13T00:36:00, 23.504, -6.808, -2.693
2016-10-13T00:37:00, 22.824, -6.850, -2.752
2016-10-13T00:38:00, 23.126, -6.826, -2.642
2016-10-13T00:39:00, 22.645, -6.533, -2.752
2016-10-13T00:40:00, 22.122, -6.576, -2.783
2016-10-13T00:41:00, 19.232, -5.944, -3.213
2016-10-13T00:42:00, 17.920, -6.324, -3.291
2016-10-13T00:43:00, 16.958, -6.300, -3.370
2016-10-13T00:44:00, 16.209, -6.411, -3.504
2016-10-13T00:45:00, 16.253, -6.523, -3.524
2016-10-13T00:46:00, 16.513, -6.366, -3.493
2016-10-13T00:47:00, 16.700, -5.940, -3.482
2016-10-13T00:48:00, 17.035, -5.648, -3.502
2016-10-13T00:49:00, 17.253, -5.356, -3.503
2016-10-13T00:50:00, 17.410, -5.267, -3.555
2016-10-13T00:51:00, 17.878, -5.179, -3.533
2016-10-13T00:52:00, 18.134, -5.022, -3.534
2016-10-13T00:53:00, 18.041, -4.664, -3.586
2016-10-13T00:54:00, 18.136, -4.576, -3.575
2016-10-13T00:55:00, 18.222, -4.083, -3.479
2016-10-13T00:56:00, 18.395, -3.658, -3.378
2016-10-13T00:57:00, 18.230, -3.366, -3.407
2016-10-13T00:58:00, 17.698, -3.682, -3.517
2016-10-13T00:59:00, 17.662, -3.932, -3.461
2016-10-13T01:00:00, 17.988, -3.911, -3.341
2016-10-13T01:01:00, 18.100, -3.688, -3.331
2016-10-13T01:02:00, 18.574, -3.871, -3.242
2016-10-13T01:03:00, 19.298, -3.784, -3.084
2016-10-13T01:04:00, 19.450, -3.631, -3.054
2016-10-13T01:05:00, 19.365, -3.545, -3.068
2016-10-13T01:06:00, 19.205, -3.527, -3.051
2016-10-13T01:07:00, 19.557, -3.779, -2.952
2016-10-13T01:08:00, 19.821, -3.896, -2.884
2016-10-13T01:09:00, 20.042, -3.877, -2.784
2016-10-13T01:10:00, 20.174, -3.658, -2.697
2016-10-13T01:11:00, 20.404, -3.640, -2.617
2016-10-13T01:12:00, 20.448, -3.690, -2.581
2016-10-13T01:13:00, 20.666, -3.741, -2.482
2016-10-13T01:14:00, 20.720, -3.927, -2.454
2016-10-13T01:15:00, 20.828, -4.111, -2.386
2016-10-13T01:16:00, 20.988, -4.297, -2.338
2016-10-13T01:17:00, 20.985, -4.279, -2.301
2016-10-13T01:18:00, 20.887, -4.262, -2.284
2016-10-13T01:19:00, 21.217, -4.245, -2.166
2016-10-13T01:20:00, 21.464, -4.026, -2.098
2016-10-13T01:21:00, 21.515, -4.009, -2.081
2016-10-13T01:22:00, 21.846, -3.924, -1.971
2016-10-13T01:23:00, 22.056, -3.704, -1.903
2016-10-13T01:24:00, 22.004, -3.753, -1.917
2016-10-13T01:25:00, 21.784, -3.668, -1.919
2016-10-13T01:26:00, 21.642, -3.783, -1.909
2016-10-13T01:27:00, 21.729, -4.033, -1.892
2016-10-13T01:28:00, 21.817, -4.148, -1.851
2016-10-13T01:29:00, 21.735, -3.995, -1.822
2016-10-13T01:30:00, 21.253, -4.109, -1.921
2016-10-13T01:31:00, 21.161, -4.492, -1.935
2016-10-13T01:32:00, 21.508, -4.606, -1.866
2016-10-13T01:33:00, 21.597, -4.384, -1.844
2016-10-13T01:34:00, 21.544, -4.296, -1.866
2016-10-13T01:35:00, 21.591, -4.208, -1.867
2016-10-13T01:36:00, 22.080, -4.054, -1.761
2016-10-13T01:37:00, 22.233, -3.898, -1.770
2016-10-13T01:38:00, 22.542, -3.810, -1.721
2016-10-13T01:39:00, 22.858, -3.453, -1.653
2016-10-13T01:40:00, 22.854, -3.229, -1.647
2016-10-13T01:41:00, 22.508, -3.073, -1.719
2016-10-13T01:42:00, 22.324, -3.052, -1.689
2016-10-13T01:43:00, 22.201, -3.165, -1.691
2016-10-13T01:44:00, 22.024, -3.414, -1.720
2016-10-13T01:45:00, 21.711, -3.526, -1.773
2016-10-13T01:46:00, 21.516, -3.773, -1.794
2016-10-13T01:47:00, 21.892, -3.951, -1.725
2016-10-13T01:48:00, 22.326, -4.063, -1.695
2016-10-13T01:49:00, 23.159, -4.040, -1.567
2016-10-13T01:50:00, 23.696, -3.882, -1.556
2016-10-13T01:51:00, 23.949, -3.658, -1.565
2016-10-13T01:52:00, 23.892, -3.633, -1.636
2016-10-13T01:53:00, 24.435, -3.474, -1.507
2016-10-13T01:54:00, 25.252, -3.113, -1.328
2016-10-13T01:55:00, 23.885, -2.886, -1.656
2016-10-13T01:56:00, 22.480, -3.263, -1.843
2016-10-13T01:57:00, 22.277, -3.641, -1.784
2016-10-13T01:58:00, 22.318, -4.287, -1.834
2016-10-13T01:59:00, 24.191, -4.464, -1.521
2016-10-13T02:00:00, 26.226, -4.168, -1.258
2016-10-13T02:01:00, 26.980, -4.006, -1.390
2016-10-13T02:02:00, 29.221, -3.642, -1.044
2016-10-13T02:03:00, 30.846, -3.345, -0.972
2016-10-13T02:04:00, 32.960, -3.182, -0.764
2016-10-13T02:05:00, 34.161, -3.557, -0.801
2016-10-13T02:06:00, 35.486, -3.799, -0.666
2016-10-13T02:07:00, 36.670, -3.636, -0.434
2016-10-13T02:08:00, 34.130, -4.076, -1.111
2016-10-13T02:09:00, 33.644, -5.325, -1.101
