Date_UTC,dbn_nez,dbe_nez,dbz_nez
2016-10-13T00:00:00, 7.014, -8.481, -3.665
2016-10-13T00:01:00, 6.450, -8.148, -4.568
2016-10-13T00:02:00, 6.370, -7.705, -4.355
2016-10-13T00:03:00, 7.707, -7.498, -4.361
2016-10-13T00:04:00, 11.153, -7.090, -3.597
2016-10-13T00:05:00, 11.841, -5.372, -2.995
2016-10-13T00:06:00, 8.073, -5.390, -3.560
2016-10-13T00:07:00, 5.376, -6.806, -4.747
2016-10-13T00:08:00, 6.766, -6.750, -5.102
2016-10-13T00:09:00, 10.557, -6.248, -3.919
2016-10-13T00:10:00, 11.312, -4.868, -3.286
2016-10-13T00:11:00, 12.704, -5.237, -2.986
2016-10-13T00:12:00, 11.927, -4.418, -2.885
2016-10-13T00:13:00, 8.194, -5.099, -3.921
2016-10-13T00:14:00, 7.573, -6.244, -4.353
2016-10-13T00:15:00, 10.598, -7.249, -3.881
2016-10-13T00:16:00, 16.179, -6.751, -2.031
2016-10-13T00:17:00, 18.864, -5.744, -0.631
2016-10-13T00:18:00, 19.230, -4.822, -0.660
2016-10-13T00:19:00, 16.722, -3.200, -1.260
2016-10-13T00:20:00, 8.621, -4.815, -3.328
2016-10-13T00:21:00, 10.666, -7.983, -4.280
2016-10-13T00:22:00, 22.550, -7.969, -1.802
2016-10-13T00:23:00, 31.575, -6.277, 3.160
2016-10-13T00:24:00, 26.906, -4.740, 4.353
2016-10-13T00:25:00, 17.568, -7.211, 0.624
2016-10-13T00:26:00, 18.117, -9.552, -1.249
2016-10-13T00:27:00, 21.739, -8.926, -0.259
2016-10-13T00:28:00, 21.035, -9.379, 0.331
2016-10-13T00:29:00, 21.083, -9.605, 0.301
2016-10-13T00:30:00, 21.219, -9.388, 0.401
2016-10-13T00:31:00, 19.958, -8.661, -0.198
2016-10-13T00:32:00, 16.338, -9.085, -1.029
2016-10-13T00:33:00, 14.012, -10.768, -1.660
2016-10-13T00:34:00, 15.418, -10.627, -1.839
2016-10-13T00:35:00, 17.098, -9.214, -1.291
2016-10-13T00:36:00, 14.876, -9.436, -1.110
2016-10-13T00:37:00, 11.910, -9.773, -1.820
2016-10-13T00:38:00, 12.555, -10.333, -2.933
2016-10-13T00:39:00, 14.758, -9.058, -2.393
2016-10-13T00:40:00, 14.594, -10.306, -1.682
2016-10-13T00:41:00, 11.985, -7.749, -1.751
2016-10-13T00:42:00, 4.468, -10.824, -4.454
2016-10-13T00:43:00, 3.658, -10.548, -5.044
2016-10-13T00:44:00, 0.091, -9.913, -6.485
2016-10-13T00:45:00, -3.175, -11.536, -7.918
2016-10-13T00:46:00, -0.597, -10.484, -7.391
2016-10-13T00:47:00, 2.104, -8.813, -6.993
2016-10-13T00:48:00, 3.995, -7.632, -6.223
2016-10-13T00:49:00, 4.140, -7.079, -5.614
2016-10-13T00:50:00, 2.835, -7.449, -5.926
2016-10-13T00:51:00, 2.924, -7.503, -5.887
2016-10-13T00:52:00, 2.712, -6.939, -5.962
2016-10-13T00:53:00, 1.635, -6.397, -6.411
2016-10-13T00:54:00, 2.443, -6.834, -6.376
2016-10-13T00:55:00, 6.175, -6.167, -5.341
2016-10-13T00:56:00, 8.920, -3.554, -4.212
2016-10-13T00:57:00, 7.939, -2.892, -3.877
2016-10-13T00:58:00, 5.374, -4.057, -4.267
2016-10-13T00:59:00, 5.110, -4.524, -4.690
2016-10-13T01:00:00, 5.439, -4.152, -5.201
2016-10-13T01:01:00, 5.126, -3.871, -5.034
2016-10-13T01:02:00, 4.526, -5.034, -5.116
2016-10-13T01:03:00, 7.363, -4.327, -4.597
2016-10-13T01:04:00, 8.611, -3.814, -4.500
2016-10-13T01:05:00, 7.405, -2.874, -4.583
2016-10-13T01:06:00, 5.793, -2.666, -5.045
2016-10-13T01:07:00, 6.180, -3.303, -5.191
2016-10-13T01:08:00, 7.288, -3.993, -5.001
2016-10-13T01:09:00, 8.179, -3.583, -4.545
2016-10-13T01:10:00, 8.595, -2.975, -4.429
2016-10-13T01:11:00, 10.254, -2.590, -3.817
2016-10-13T01:12:00, 10.217, -2.929, -3.612
2016-10-13T01:13:00, 10.934, -2.669, -3.574
2016-10-13T01:14:00, 10.090, -3.283, -3.728
2016-10-13T01:15:00, 10.150, -4.039, -3.929
2016-10-13T01:16:00, 10.396, -4.162, -4.203
2016-10-13T01:17:00, 10.159, -3.807, -4.216
2016-10-13T01:18:00, 8.690, -3.780, -4.709
2016-10-13T01:19:00, 8.776, -3.695, -4.992
2016-10-13T01:20:00, 9.526, -3.401, -5.063
