imf20031029-30.log geotail20031029-31.log geotail_pwi_electron_density.log GSE

#COOR
GSE

yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2003 10 28 23 59 33 869       3.59       8.21      -3.35    -597.09     -11.82     -50.48       5.16    488100.00
 2003 10 29  0 35 33 869       3.59       8.21      -3.35    -597.09     -11.82     -50.48       5.16    488100.00
 2003 10 29  0 35 49 976       5.10       6.58      -3.88    -597.06     -11.84     -50.41       5.16    489592.38
 2003 10 29  0 36  6  83       6.09       5.71      -4.44    -597.03     -11.86     -50.33       5.16    491084.77
 2003 10 29  0 36 22 190       5.72       6.60      -3.53    -597.00     -11.89     -50.26       5.16    492577.15
 2003 10 29  0 36 38 298       5.23       7.24      -3.07    -596.97     -11.91     -50.19       5.16    494069.53
 2003 10 29  0 36 54 405       3.73       8.66      -0.94    -596.94     -11.93     -50.12       5.16    495561.92
 2003 10 29  0 37 10 512       4.89       7.82      -1.19    -596.91     -11.95     -50.04       5.16    497054.30
 2003 10 29  0 37 26 619       6.64       6.57       0.58    -596.88     -11.97     -49.97       5.16    498546.69
 2003 10 29  0 37 42 726       7.00       6.20      -0.09    -596.85     -11.99     -49.90       5.16    500039.07
 2003 10 29  0 37 58 833       5.84       7.17      -1.68    -596.82     -12.01     -49.83       5.16    501531.45
 2003 10 29  0 38 14 940       5.28       7.70      -1.60    -596.79     -12.03     -49.76       5.16    503023.84
 2003 10 29  0 38 31  47       4.90       8.16      -0.48    -596.76     -12.06     -49.68       5.16    504516.22
 2003 10 29  0 38 47 154       1.94       8.93       2.13    -596.73     -12.08     -49.61       5.16    506008.60
 2003 10 29  0 39  3 297      -0.12       8.74       3.15    -596.69     -12.10     -49.54       5.16    507500.99
 2003 10 29  0 39 19 404       1.83       8.99       1.66    -596.66     -12.12     -49.47       5.16    508993.37
 2003 10 29  0 39 35 511       3.12       8.70       0.96    -596.63     -12.14     -49.39       5.16    510485.75
 2003 10 29  0 39 51 619       4.43       7.89       1.06    -596.60     -12.16     -49.32       5.16    511978.14
 2003 10 29  0 40  7 726       5.82       6.72       1.84    -596.57     -12.18     -49.25       5.16    513470.52
 2003 10 29  0 40 23 833       6.54       5.48       3.13    -596.54     -12.20     -49.18       5.16    514962.90
 2003 10 29  0 40 39 940       7.47       4.27       2.93    -596.51     -12.23     -49.10       5.21    516455.29
 2003 10 29  0 40 56  48       8.40       2.32       2.44    -596.48     -12.25     -49.03       5.25    517947.67
 2003 10 29  0 41 12 155       8.77       1.09       2.01    -596.45     -12.27     -48.96       5.30    519440.06
 2003 10 29  0 41 28 262       8.59      -1.49       2.16    -596.42     -12.29     -48.89       5.34    520932.44
 2003 10 29  0 41 44 369       6.68      -3.82       3.46    -596.39     -12.31     -48.82       5.39    522424.82
 2003 10 29  0 42  0 477       6.66       5.02       2.36    -596.36     -12.33     -48.74       5.43    523917.21
 2003 10 29  0 42 16 584       6.62       3.50      -1.79    -596.33     -12.35     -48.67       5.47    525409.59
 2003 10 29  0 42 32 691       8.36       2.70      -2.57    -596.30     -12.37     -48.60       5.52    526901.97
 2003 10 29  0 42 48 834       8.27       4.07      -1.06    -596.26     -12.40     -48.53       5.56    528394.36
 2003 10 29  0 43  4 958       8.56       3.63      -1.61    -596.23     -12.42     -48.45       5.61    529886.74
 2003 10 29  0 43 21  66       8.90       1.37      -2.03    -596.20     -12.44     -48.38       5.65    531379.12
 2003 10 29  0 43 37 173       9.09      -0.37      -2.29    -596.17     -12.46     -48.31       5.70    532871.51
 2003 10 29  0 43 53 280       9.10       1.43      -1.51    -596.14     -12.48     -48.24       5.74    534363.89
 2003 10 29  0 44  9 388       9.03       1.63      -1.81    -596.11     -12.50     -48.17       5.78    535856.28
 2003 10 29  0 44 25 495       8.70       3.34      -1.07    -596.08     -12.52     -48.09       5.83    537348.66
 2003 10 29  0 44 41 602       8.27       4.04      -1.34    -596.05     -12.55     -48.02       5.87    538841.04
 2003 10 29  0 44 57 710       7.66       4.00      -3.15    -596.02     -12.57     -47.95       5.92    540333.43
